# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.101
metadata : {}


# id : NWRW1800000049.101.1.1
열화 같은 ‘응답’에 불친절한 결말

열화	열화/NNG
지금은 사라진 이웃 간의 따뜻한 정을 그려 잃어버린 공동체를 복원한 점과 병우유, 카세트테이프, 보온 도시락 등 추억을 떠올리게 하는 소품도 극의 인기를 끌어올린 요소다.

지금은	지금/NNG+은/JX
사라진	사라지/VV+ㄴ/ETM
이웃	이웃/NNG
간의	간/NNB+의/JKG
따뜻한	따뜻하/VA+ㄴ/ETM
정을	정/NNG+을/JKO
그려	그리/VV+어/EC
잃어버린	잃어버리/VV+ㄴ/ETM
공동체를	공동체/NNG+를/JKO
복원한	복원/NNG+하/XSV+ㄴ/ETM
점과	점/NNG+과/JC
병우유,	병/NNG+우유/NNG+,/SP
카세트테이프,	카세트테이프/NNG+,/SP
보온	보온/NNG
도시락	도시락/NNG
등	등/NNB
추억을	추억/NNG+을/JKO
떠올리게	떠올리/VV+게/EC
하는	하/VX+는/ETM
소품도	소품/NNG+도/JX
극의	극/NNG+의/JKG
인기를	인기/NNG+를/JKO
끌어올린	끌어올리/VV+ㄴ/ETM
요소다.	요소/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.101.11.1
○ 산으로 간 결말 아쉬워

○	○/SW
산으로	산/NNG+으로/JKB
간	가/VV+ㄴ/ETM
결말	결말/NNG
아쉬워	아쉽/VA+어/EF


# id : NWRW1800000049.101.12.1
아쉬운 점도 많았다.

아쉬운	아쉽/VA+ㄴ/ETM
점도	점/NNG+도/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.101.12.2
드라마의 주요 재미였던 남편 찾기의 결말이 이상해졌다는 지적이 많다.

드라마의	드라마/NNG+의/JKG
주요	주요/NNG
재미였던	재미/NNG+이/VCP+었/EP+던/ETM
남편	남편/NNG
찾기의	찾/VV+기/ETN+의/JKG
결말이	결말/NNG+이/JKS
이상해졌다는	이상/NNG+하/XSA+아/EC+지/VX+었/EP+다는/ETM
지적이	지적/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000049.101.12.3
누리꾼들은 극 내내 덕선의 남편으로 택과 경쟁하던 정환이 말 한마디로 사랑을 포기하는 것이 납득할 수 없다는 반응을 보였다.

누리꾼들은	누리/NNG+꾼/XSN+들/XSN+은/JX
극	극/NNG
내내	내내/MAG
덕선의	덕선/NNP+의/JKG
남편으로	남편/NNG+으로/JKB
택과	택/NNP+과/JKB
경쟁하던	경쟁/NNG+하/XSV+던/ETM
정환이	정환/NNP+이/JKS
말	말/NNG
한마디로	한마디/NNG+로/JKB
사랑을	사랑/NNG+을/JKO
포기하는	포기/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
납득할	납득/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
반응을	반응/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.101.12.4
한 누리꾼은 “갑자기 스토리 전개가 이상해지고 류준열의 분량이 사라졌다.

한	한/MMN
누리꾼은	누리/NNG+꾼/XSN+은/JX
“갑자기	“/SS+갑자기/MAG
스토리	스토리/NNG
전개가	전개/NNG+가/JKS
이상해지고	이상/NNG+하/XSA+아/EC+지/VX+고/EC
류준열의	류준열/NNP+의/JKG
분량이	분량/NNG+이/JKS
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.101.12.5
결말이 성의가 없다”고 지적했다.

결말이	결말/NNG+이/JKS
성의가	성의/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.101.13.1
16회까지 방영한 뒤 가진 휴식기는 독이 됐다.

16회까지	16/SN+회/NNB+까지/JX
방영한	방영/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
가진	가지/VV+ㄴ/ETM
휴식기는	휴식기/NNG+는/JX
독이	독/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.101.13.2
온라인상에 각종 소문과 ‘스포일러’(결정적 내용을 미리 알리는 것)가 나오며 논란을 불렀다.

온라인상에	온라인/NNG+상/XSN+에/JKB
각종	각종/NNG
소문과	소문/NNG+과/JC
‘스포일러’(결정적	‘/SS+스포일러/NNG+’/SS+(/SS+결정/NNG+적/XSN
내용을	내용/NNG+을/JKO
미리	미리/MAG
알리는	알리/VV+는/ETM
것)가	것/NNB+)/SS+가/JKS
나오며	나오/VV+며/EC
논란을	논란/NNG+을/JKO
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.101.13.3
제작진이 이에 대해 ‘법적 대응을 하겠다’는 반응을 보이며 논란은 더 커졌다.

제작진이	제작진/NNG+이/JKS
이에	이/NP+에/JKB
대해	대하/VV+아/EC
‘법적	‘/SS+법/NNG+적/XSN
대응을	대응/NNG+을/JKO
하겠다’는	하/VV+겠/EP+다/EF+’/SS+는/ETM
반응을	반응/NNG+을/JKO
보이며	보이/VV+며/EC
논란은	논란/NNG+은/JX
더	더/MAG
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.101.13.4
한 드라마 제작사 관계자는 “(갑자기 극의 흐름이 바뀐 것은) 제작진이 ‘스포일러’에 민감해했다는 방증이라 볼 수 있다”고 말했다.

한	한/MMN
드라마	드라마/NNG
제작사	제작사/NNG
관계자는	관계자/NNG+는/JX
“(갑자기	“/SS+(/SS+갑자기/MAG
극의	극/NNG+의/JKG
흐름이	흐름/NNG+이/JKS
바뀐	바뀌/VV+ㄴ/ETM
것은)	것/NNB+은/JX+)/SS
제작진이	제작진/NNG+이/JKS
‘스포일러’에	‘/SS+스포일러/NNG+’/SS+에/JKB
민감해했다는	민감/NNG+하/XSA+아/EC+하/VX+았/EP+다는/ETM
방증이라	방증/NNG+이/VCP+라/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.101.14.1
온 가족이 볼 수 있었던 드라마가 마지막 부분에서는 의미가 퇴색했다는 지적도 있다.

온	온/MMN
가족이	가족/NNG+이/JKS
볼	보/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
드라마가	드라마/NNG+가/JKS
마지막	마지막/NNG
부분에서는	부분/NNG+에서/JKB+는/JX
의미가	의미/NNG+가/JKS
퇴색했다는	퇴색/NNG+하/XSV+았/EP+다는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.101.14.2
선우 보라 커플은 알고 보니 동성동본이며, 보라 덕선 자매가 겹사돈 등으로 얽히고설킨 반전에 시청자들은 “막장이냐”라며 곱지 않은 시선을 보냈다.

선우	선우/NNP
보라	보라/NNP
커플은	커플/NNG+은/JX
알고	알/VV+고/EC
보니	보/VX+니/EC
동성동본이며,	동성동본/NNG+이/VCP+며/EC+,/SP
덕선	덕선/NNP
자매가	자매/NNG+가/JKS
겹사돈	겹사돈/NNG
등으로	등/NNB+으로/JKB
얽히고설킨	얽히고설키/VV+ㄴ/ETM
반전에	반전/NNG+에/JKB
시청자들은	시청자/NNG+들/XSN+은/JX
“막장이냐”라며	“/SS+막장/NNG+이/VCP+냐/EF+”/SS+이/VCP+라며/EC
곱지	곱/VA+지/EC
않은	않/VX+은/ETM
시선을	시선/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


