# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.309
metadata : {}


# id : NWRW1800000048.309.1.1
‘국정화 반대’ 징계 국립대 부설학교부터?

‘국정화	‘/SS+국정/NNG+화/XSN
경위를	경위/NNG+를/JKO
파악한	파악/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
징계에	징계/NNG+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
소명자료를	소명/NNG+자료/NNG+를/JKO
받았다”며	받/VV+았/EP+다/EF+”/SS+며/EC
“이는	“/SS+이/NP+는/JX
다른	다른/MMD
공립학교에서	공립/NNG+학교/NNG+에서/JKB
아직	아직/MAG
아무런	아무런/MMD
징계	징계/NNG
움직임이	움직임/NNG+이/JKS
없는	없/VA+는/ETM
것과	것/NNB+과/JKB
대조적인	대조/NNG+적/XSN+이/VCP+ㄴ/ETM
‘속도전’”이라고	‘/SS+속도전/NNG+’/SS+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.309.5.2
그는 “교육부가 교육부 직속 국립대 부설 초·중·고등학교들부터 징계를 시작하려고 하는 것 같다”며 “교사로서 순수한 마음으로 국정화에 반대한 것을 정치적으로 징계하고 있다”고 말했다.

그는	그/NP+는/JX
“교육부가	“/SS+교육부/NNG+가/JKS
교육부	교육부/NNG
직속	직속/NNG
국립대	국립대/NNG
부설	부설/NNG
초·중·고등학교들부터	초·중·고등학교/NNG+들/XSN+부터/JX
징계를	징계/NNG+를/JKO
시작하려고	시작/NNG+하/XSV+려고/EC
하는	하/VX+는/ETM
것	것/NNB
같다”며	같/VA+다/EF+”/SS+며/EC
“교사로서	“/SS+교사/NNG+로서/JKB
순수한	순수/NNG+하/XSA+ㄴ/ETM
마음으로	마음/NNG+으로/JKB
국정화에	국정/NNG+화/XSN+에/JKB
반대한	반대/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
정치적으로	정치/NNG+적/XSN+으로/JKB
징계하고	징계/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.309.6.1
초·중·고 가운데 공립학교는 교육감 관할, 국립대 부설 학교들은 교육부 관할이다.

초·중·고	초·중·고/NNG
가운데	가운데/NNG
공립학교는	공립/NNG+학교/NNG+는/JX
교육감	교육감/NNG
관할,	관할/NNG+,/SP
국립대	국립대/NNG
부설	부설/NNG
학교들은	학교/NNG+들/XSN+은/JX
교육부	교육부/NNG
관할이다.	관할/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.309.6.2
징계가 현실화될 조짐을 보이자 이 국립대의 ‘민주화를 위한 전국교수협의회’(민교협) 소속 교수들이 총장을 만나 우려의 뜻을 전했다.

징계가	징계/NNG+가/JKS
현실화될	현실/NNG+화/XSN+되/XSV+ㄹ/ETM
조짐을	조짐/NNG+을/JKO
보이자	보이/VV+자/EC
이	이/MMD
국립대의	국립대/NNG+의/JKG
‘민주화를	‘/SS+민주/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
전국교수협의회’(민교협)	전국교수협의회/NNP+’/SS+(/SS+민교협/NNP+)/SS
소속	소속/NNG
교수들이	교수/NNG+들/XSN+이/JKS
총장을	총장/NNG+을/JKO
만나	만나/VV+아/EC
우려의	우려/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.309.6.3
이 중 한 교수는 “교육부가 청와대 지시에 따르는 모양새를 갖추기 위해 국립대 부설학교 교사들이라도 희생양으로 삼아 집요하게 징계할 가능성이 높다”고 밀했다.

이	이/NP
중	중/NNB
한	한/MMN
교수는	교수/NNG+는/JX
“교육부가	“/SS+교육부/NNG+가/JKS
청와대	청와대/NNP
지시에	지시/NNG+에/JKB
따르는	따르/VV+는/ETM
모양새를	모양새/NNG+를/JKO
갖추기	갖추/VV+기/ETN
위해	위하/VV+아/EC
국립대	국립대/NNG
부설학교	부설/NNG+학교/NNG
교사들이라도	교사/NNG+들/XSN+이/VCP+라도/EC
희생양으로	희생양/NNG+으로/JKB
삼아	삼/VV+아/EC
집요하게	집요하/VA+게/EC
징계할	징계/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다”고	높/VA+다/EF+”/SS+고/JKQ
밀했다.	밀/NNG+하/XSV+았/EP+다/EF+./SF


