# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.165
metadata : {}


# id : NWRW1800000054.165.1.1
노인정액제냐 중증 입원비냐… 정부, 의료비지원 고민

노인정액제냐	노인/NNG+정액/NNG+제/XSN+이/VCP+냐/EF
투입할지는	투입/NNG+하/XSV+ㄹ지/EC+는/JX
고민이	고민/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.165.9.2
정통령 복지부 보험급여과장은 "의협 주장처럼 정액제 기준 금액을 올리면 몇 년 뒤 수가가 오를 경우 똑같은 요구가 있을 것"이라며 "노인들의 동네 의원 외래 진찰료 부담을 완화하는 게 우선인지, 입원 보장률이나 중증 환자 보장률부터 올리는 것이 좋은지 우선순위를 검토해야 한다"고 말했다.

정통령	정통령/NNP
복지부	복지부/NNG
보험급여과장은	보험/NNG+급여과장/NNG+은/JX
"의협	"/SS+의협/NNP
주장처럼	주장/NNG+처럼/JKB
정액제	정액/NNG+제/XSN
기준	기준/NNG
금액을	금액/NNG+을/JKO
올리면	올리/VV+면/EC
몇	몇/NR
년	년/NNB
뒤	뒤/NNG
수가가	수가/NNG+가/JKS
오를	오르/VV+ㄹ/ETM
경우	경우/NNG
똑같은	똑같/VA+은/ETM
요구가	요구/NNG+가/JKS
있을	있/VA+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"노인들의	"/SS+노인/NNG+들/XSN+의/JKG
동네	동네/NNG
의원	의원/NNG
외래	외래/NNG
진찰료	진찰료/NNG
부담을	부담/NNG+을/JKO
완화하는	완화/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
우선인지,	우선/NNG+이/VCP+ㄴ지/EC+,/SP
입원	입원/NNG
보장률이나	보장/NNG+률/XSN+이나/JC
중증	중증/NNG
환자	환자/NNG
보장률부터	보장/NNG+률/XSN+부터/JX
올리는	올리/VV+는/ETM
것이	것/NNB+이/JKS
좋은지	좋/VA+은지/EC
우선순위를	우선순위/NNG+를/JKO
검토해야	검토/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.165.10.1
더구나 의료계 주장처럼 기준 금액을 2만5000원(①안)이나 정액+정률 혼합(②안) 형태로 바꾸면 건강보험료가 매년 2400억~5527억원 정도 더 들어갈 것으로 분석됐다.

더구나	더구나/MAG
의료계	의료/NNG+계/XSN
주장처럼	주장/NNG+처럼/JKB
기준	기준/NNG
금액을	금액/NNG+을/JKO
2만5000원(①안)이나	2/SN+만/NR+5000/SN+원/NNB+(/SS+①/SW+안/NNG+)/SS+이나/JC
정액+정률	정액/NNG++/SW+정률/NNG
혼합(②안)	혼합/NNG+(/SS+②/SW+안/NNG+)/SS
형태로	형태/NNG+로/JKB
바꾸면	바꾸/VV+면/EC
건강보험료가	건강/NNG+보험료/NNG+가/JKS
매년	매년/MAG
2400억~5527억원	2400/SN+억/NR+~/SO+5527/SN+억/NR+원/NNB
정도	정도/NNG
더	더/MAG
들어갈	들어가/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.165.10.2
급속한 고령화로 노인 진료비 비중은 자꾸 올라 이 금액은 더 커질 수 있다.

급속한	급속/NNG+하/XSA+ㄴ/ETM
고령화로	고령/NNG+화/XSN+로/JKB
노인	노인/NNG
진료비	진료비/NNG
비중은	비중/NNG+은/JX
자꾸	자꾸/MAG
올라	오르/VV+아/EC
이	이/MMD
금액은	금액/NNG+은/JX
더	더/MAG
커질	커지/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.165.10.3
국민건강보험공단 통계에 따르면 우리나라 전체 진료비 가운데 65세 이상 노인이 쓰는 진료비 비중은 2010년 32.2%에서 2016년 38.7%까지 치솟았다.

국민건강보험공단	국민건강보험공단/NNP
통계에	통계/NNG+에/JKB
따르면	따르/VV+면/EC
우리나라	우리나라/NNG
전체	전체/NNG
진료비	진료비/NNG
가운데	가운데/NNG
65세	65/SN+세/NNB
이상	이상/NNG
노인이	노인/NNG+이/JKS
쓰는	쓰/VV+는/ETM
비중은	비중/NNG+은/JX
2010년	2010/SN+년/NNB
32.2%에서	32/SN+./SP+2/SN+%/SW+에서/JKB
2016년	2016/SN+년/NNB
38.7%까지	38/SN+./SP+7/SN+%/SW+까지/JX
치솟았다.	치솟/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.165.10.4
2020년 45.6%, 2030년엔 65.4%까지 오를 것으로 예상된다.

2020년	2020/SN+년/NNB
45.6%,	45/SN+./SP+6/SN+%/SW+,/SP
2030년엔	2030/SN+년/NNB+에/JKB+ㄴ/JX
65.4%까지	65/SN+./SP+4/SN+%/SW+까지/JX
오를	오르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.165.11.1
복지부는 이 때문에 '정률' 방식을 검토 중이다.

복지부는	복지부/NNG+는/JX
이	이/NP
때문에	때문/NNB+에/JKB
'정률'	'/SS+정률/NNG+'/SS
방식을	방식/NNG+을/JKO
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.165.11.2
노인 진료비가 1만5000원을 넘을 경우 ▲1만5000~2만원은 진료비의 10%, 2만~2만5000원은 20%, 2만5000원 초과는 30%를 내게 하거나 ▲1만5000원 초과 진료비에 대한 일정 구간별 정률제를 적용하는 방식 등이다.

노인	노인/NNG
진료비가	진료비/NNG+가/JKS
1만5000원을	1/SN+만/NR+5000/SN+원/NNB+을/JKO
넘을	넘/VV+을/ETM
경우	경우/NNG
▲1만5000~2만원은	▲/SW+1/SN+만/NR+5000/SN+~/SO+2/SN+만/NR+원/NNB+은/JX
진료비의	진료비/NNG+의/JKG
10%,	10/SN+%/SW+,/SP
2만~2만5000원은	2/SN+만/NR+~/SO+2/SN+만/NR+5000/SN+원/NNB+은/JX
20%,	20/SN+%/SW+,/SP
2만5000원	2/SN+만/NR+5000/SN+원/NNB
초과는	초과/NNG+는/JX
30%를	30/SN+%/SW+를/JKO
내게	내/VV+게/EC
하거나	하/VX+거나/EC
▲1만5000원	▲/SW+1/SN+만/NR+5000/SN+원/NNB
초과	초과/NNG
진료비에	진료비/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
일정	일정/NNG
구간별	구간/NNG+별/XSN
정률제를	정률/NNG+제/XSN+를/JKO
적용하는	적용/NNG+하/XSV+는/ETM
방식	방식/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.165.12.1
건강보험 재정 추이 등을 볼 때 16년간 1500원으로 동결한 노인 기본 진료비를 높일 필요가 있다는 의견도 있다.

건강보험	건강/NNG+보험/NNG
재정	재정/NNG
추이	추이/NNG
등을	등/NNB+을/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
16년간	16/SN+년/NNB+간/XSN
1500원으로	1500/SN+원/NNB+으로/JKB
동결한	동결/NNG+하/XSV+ㄴ/ETM
노인	노인/NNG
기본	기본/NNG
진료비를	진료비/NNG+를/JKO
높일	높이/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다는	있/VA+다는/ETM
의견도	의견/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.165.12.2
한 의사는 "노인들이 마실 나오듯 동네 의원을 들러 물리치료 받는 데에 건강보험 재정을 더 투입해야 하는지 고민해야 할 문제"라고 했다.

한	한/MMN
의사는	의사/NNG+는/JX
"노인들이	"/SS+노인/NNG+들/XSN+이/JKS
마실	마실/NNG
나오듯	나오/VV+듯/EC
동네	동네/NNG
의원을	의원/NNG+을/JKO
들러	들르/VV+어/EC
물리치료	물리/NNG+치료/NNG
받는	받/VV+는/ETM
데에	데/NNB+에/JKB
건강보험	건강/NNG+보험/NNG
재정을	재정/NNG+을/JKO
더	더/MAG
투입해야	투입/NNG+하/XSV+아야/EC
하는지	하/VX+는지/EC
고민해야	고민/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
문제"라고	문제/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.165.13.1
신영석 보건사회연구원 선임 연구위원은 "건보 재정의 지속 가능성을 최우선 원칙으로 해야 한다"며 "이번엔 의료 현장 목소리에 맞춰 어느 정도 노인정액제를 현실화하더라도 재정 투입 우선순위 등 종합적 검토가 필요하다"고 말했다.

신영석	신영석/NNP
보건사회연구원	보건/NNG+사회/NNG+연구원/NNG
선임	선임/NNG
연구위원은	연구/NNG+위원/NNG+은/JX
"건보	"/SS+건보/NNG
재정의	재정/NNG+의/JKG
지속	지속/NNG
가능성을	가능/NNG+성/XSN+을/JKO
최우선	최/XPN+우선/NNG
원칙으로	원칙/NNG+으로/JKB
해야	하/VV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"이번엔	"/SS+이번/NNG+에/JKB+ㄴ/JX
의료	의료/NNG
현장	현장/NNG
목소리에	목소리/NNG+에/JKB
맞춰	맞추/VV+어/EC
어느	어느/MMD
정도	정도/NNG
노인정액제를	노인/NNG+정액/NNG+제/XSN+를/JKO
현실화하더라도	현실/NNG+화/XSN+하/XSV+더라도/EC
재정	재정/NNG
투입	투입/NNG
우선순위	우선순위/NNG
등	등/NNB
종합적	종합/NNG+적/XSN
검토가	검토/NNG+가/JKS
필요하다"고	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


