# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.240
metadata : {}


# id : NWRW1800000049.240.1.1
30승 함께… 한국 女골퍼 ‘특급 도우미’

30승	30/SN+승/NNB
톱10에	톱/NNG+10/SN+에/JKB
들며	들/VV+며/EC
특급	특급/NNG
대회에서만	대회/NNG+에서/JKB+만/JX
3승을	3/SN+승/NNB+을/JKO
거둔	거두/VV+ㄴ/ETM
데는	데/NNB+는/JX
허든의	허든/NNP+의/JKG
역할이	역할/NNG+이/JKS
컸다는	크/VA+었/EP+다는/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.240.6.1
프로골퍼 출신인 허든은 “선수 시절인 1980년대 후반 코리아오픈에 출전했던 기억이 난다.

프로골퍼	프로/NNG+골퍼/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
허든은	허든/NNP+은/JX
“선수	“/SS+선수/NNG
시절인	시절/NNG+이/VCP+ㄴ/ETM
1980년대	1980/SN+년대/NNB
후반	후반/NNG
코리아오픈에	코리아/NNP+오픈/NNG+에/JKB
출전했던	출전/NNG+하/XSV+았/EP+던/ETM
기억이	기억/NNG+이/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.240.6.2
최경주의 캐디를 하기도 했다.

최경주의	최경주/NNP+의/JKG
캐디를	캐디/NNG+를/JKO
하기도	하/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.240.6.3
뛰어난 골프 선수들이 많은 한국과는 각별한 인연이 있다”고 설명했다.

뛰어난	뛰어나/VA+ㄴ/ETM
골프	골프/NNG
선수들이	선수/NNG+들/XSN+이/JKS
많은	많/VA+은/ETM
한국과는	한국/NNP+과/JKB+는/JX
각별한	각별/NNG+하/XSA+ㄴ/ETM
인연이	인연/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.240.7.1
그는 또 “강한 정신력을 지닌 고진영은 지난해보다 일관성이 향상돼 늘 상위권을 유지하고 있다.

그는	그/NP+는/JX
또	또/MAG
“강한	“/SS+강하/VA+ㄴ/ETM
정신력을	정신력/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
고진영은	고진영/NNP+은/JX
지난해보다	지난해/NNG+보다/JKB
일관성이	일관/NNG+성/XSN+이/JKS
향상돼	향상/NNG+되/XSV+어/EC
늘	늘/MAG
상위권을	상위/NNG+권/XSN+을/JKO
유지하고	유지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.240.7.2
영어 실력도 뛰어나 즐겁게 일한다”고 말했다.

영어	영어/NNP
실력도	실력/NNG+도/JX
뛰어나	뛰어나/VA+아/EC
즐겁게	즐겁/VA+게/EC
일한다”고	일/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.240.8.1
고진영은 “허든은 경험이 풍부해 바람과 거리 측정을 잘한다.

고진영은	고진영/NNP+은/JX
“허든은	“/SS+허든/NNP+은/JX
경험이	경험/NNG+이/JKS
풍부해	풍부하/VA+아/EC
바람과	바람/NNG+과/JC
거리	거리/NNG
측정을	측정/NNG+을/JKO
잘한다.	잘/MAG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.240.8.2
클럽 선택에서 큰 도움을 받고 있다.

클럽	클럽/NNG
선택에서	선택/NNG+에서/JKB
큰	크/VA+ㄴ/ETM
도움을	도움/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.240.8.3
내가 가라앉아 있을 때는 분위기를 잘 끌어올린다”며 고마워했다.

내가	내/NP+가/JKS
가라앉아	가라앉/VV+아/EC
있을	있/VX+을/ETM
때는	때/NNG+는/JX
분위기를	분위기/NNG+를/JKO
잘	잘/MAG
끌어올린다”며	끌어올리/VV+ㄴ다/EF+”/SS+며/EC
고마워했다.	고마워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.240.9.1
캐디로 장수하는 비결에 대해 허든은 “한국 선수들은 내성적인 성격이 많아 플레이에 나쁜 영향을 주기도 한다.

캐디로	캐디/NNG+로/JKB
장수하는	장수/NNG+하/XSV+는/ETM
비결에	비결/NNG+에/JKB
대해	대하/VV+아/EC
허든은	허든/NNP+은/JX
“한국	“/SS+한국/NNP
선수들은	선수/NNG+들/XSN+은/JX
내성적인	내성/NNG+적/XSN+이/VCP+ㄴ/ETM
성격이	성격/NNG+이/JKS
많아	많/VA+아/EC
플레이에	플레이/NNG+에/JKB
나쁜	나쁘/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
주기도	주/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.240.9.2
실수가 나와도 빨리 잊어버리고 긍정적인 마인드를 갖도록 대화를 많이 나누는 편이다”고 말했다.

실수가	실수/NNG+가/JKS
나와도	나오/VV+아도/EC
빨리	빨리/MAG
잊어버리고	잊어버리/VV+고/EC
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
마인드를	마인드/NNG+를/JKO
갖도록	갖/VV+도록/EC
대화를	대화/NNG+를/JKO
많이	많이/MAG
나누는	나누/VV+는/ETM
편이다”고	편/NNB+이/VCP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.240.10.1
1000달러 정도의 주급을 받는 허든은 이번 시즌 상금만 10억 원 가까이 번 고진영의 활약 속에 올해 1억 원가량의 수입(인센티브 포함)을 올렸다.

1000달러	1000/SN+달러/NNB
정도의	정도/NNG+의/JKG
주급을	주급/NNG+을/JKO
받는	받/VV+는/ETM
허든은	허든/NNP+은/JX
이번	이번/NNG
시즌	시즌/NNG
상금만	상금/NNG+만/JX
10억	10/SN+억/NR
원	원/NNB
가까이	가까이/MAG
번	벌/VV+ㄴ/ETM
고진영의	고진영/NNP+의/JKG
활약	활약/NNG
속에	속/NNG+에/JKB
올해	올해/NNG
1억	1/SN+억/NR
원가량의	원/NNB+가량/XSN+의/JKG
수입(인센티브	수입/NNG+(/SS+인센티브/NNG
포함)을	포함/NNG+)/SS+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.240.10.2
한국에서 750만 원을 주고 장만한 중고차를 운전하고 다니는 그는 다음 달 인천의 원룸에서 방 3개짜리 아파트로 이사한다고 자랑했다.

한국에서	한국/NNP+에서/JKB
750만	750/SN+만/NR
원을	원/NNB+을/JKO
주고	주/VV+고/EC
장만한	장만/NNG+하/XSV+ㄴ/ETM
중고차를	중고차/NNG+를/JKO
운전하고	운전/NNG+하/XSV+고/EC
다니는	다니/VV+는/ETM
그는	그/NP+는/JX
다음	다음/NNG
달	달/NNG
인천의	인천/NNP+의/JKG
원룸에서	원룸/NNG+에서/JKB
방	방/NNG
3개짜리	3/SN+개/NNB+짜리/XSN
아파트로	아파트/NNG+로/JKB
이사한다고	이사/NNG+하/XSV+ㄴ다고/EC
자랑했다.	자랑/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.240.11.1
국내에 정착한 외국인 캐디 1호인 허든은 “호주인과 한국인은 공통적으로 캐주얼한 스타일에 사적인 사교를 즐기며 스포츠와 맥주를 좋아한다.

국내에	국내/NNG+에/JKB
정착한	정착/NNG+하/XSV+ㄴ/ETM
외국인	외국인/NNG
캐디	캐디/NNG
1호인	1/SN+호/NNB+이/VCP+ㄴ/ETM
허든은	허든/NNP+은/JX
“호주인과	“/SS+호주인/NNG+과/JC
한국인은	한국인/NNG+은/JX
공통적으로	공통/NNG+적/XSN+으로/JKB
캐주얼한	캐주얼/NNG+하/XSA+ㄴ/ETM
스타일에	스타일/NNG+에/JKB
사적인	사/NNG+적/XSN+이/VCP+ㄴ/ETM
사교를	사교/NNG+를/JKO
즐기며	즐기/VV+며/EC
스포츠와	스포츠/NNG+와/JC
맥주를	맥주/NNG+를/JKO
좋아한다.	좋아하/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.240.11.2
쉴 때는 삼겹살과 김치찌개 등을 안주 삼아 맥주를 마신다”며 웃었다.

쉴	쉬/VV+ㄹ/ETM
때는	때/NNG+는/JX
삼겹살과	삼겹살/NNG+과/JC
김치찌개	김치찌개/NNG
등을	등/NNB+을/JKO
안주	안주/NNG
삼아	삼/VV+아/EC
맥주를	맥주/NNG+를/JKO
마신다”며	마시/VV+ㄴ다/EF+”/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.240.12.1
아버지가 암으로 돌아가신 뒤 어머니마저 2년 전 알츠하이머로 세상을 뜬 허든은 “한국 선수들과 아픔을 극복할 수 있었다.

아버지가	아버지/NNG+가/JKS
암으로	암/NNG+으로/JKB
돌아가신	돌아가/VV+시/EP+ㄴ/ETM
뒤	뒤/NNG
어머니마저	어머니/NNG+마저/JX
2년	2/SN+년/NNB
전	전/NNG
알츠하이머로	알츠하이머/NNG+로/JKB
세상을	세상/NNG+을/JKO
뜬	뜨/VV+ㄴ/ETM
허든은	허든/NNP+은/JX
“한국	“/SS+한국/NNP
선수들과	선수/NNG+들/XSN+과/JKB
아픔을	아픔/NNG+을/JKO
극복할	극복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.240.12.2
캐디 은퇴 후에는 한국 골프 발전을 위해 어떤 역할이라도 하고 싶다”고 말했다.

캐디	캐디/NNG
은퇴	은퇴/NNG
후에는	후/NNG+에/JKB+는/JX
한국	한국/NNP
골프	골프/NNG
발전을	발전/NNG+을/JKO
위해	위하/VV+아/EC
어떤	어떤/MMD
역할이라도	역할/NNG+이/VCP+라도/EC
하고	하/VV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


