# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.240
metadata : {}


# id : NWRW1800000052.240.1.1
교사에게 두번이상 청탁하면 ‘청탁등록시스템’에 이름 올라가

교사에게	교사/NNG+에게/JKB
서울시교육청은 김영란법 시행 이후 모든 교사·공무원·사립학교 임직원을 대상으로 청탁을 거절했는데도 같은 청탁이 두번 이상 들어오는 경우 교육청에 마련될 예정인 ‘청탁등록시스템’에 의무적으로 신고해야 한다고 7일 밝혔다.

서울시교육청은	서울시교육청/NNP+은/JX
김영란법	김영란법/NNG
시행	시행/NNG
이후	이후/NNG
모든	모든/MMN
교사·공무원·사립학교	교사/NNG+·/SP+공무원/NNG+·/SP+사립/NNG+학교/NNG
임직원을	임직원/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
청탁을	청탁/NNG+을/JKO
거절했는데도	거절/NNG+하/XSV+았/EP+는데/EC+도/JX
같은	같/VA+은/ETM
청탁이	청탁/NNG+이/JKS
두번	두/MMN+번/NNB
이상	이상/NNG
들어오는	들어오/VV+는/ETM
경우	경우/NNG
교육청에	교육청/NNG+에/JKB
마련될	마련/NNG+되/XSV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
‘청탁등록시스템’에	‘/SS+청탁/NNG+등록/NNG+시스템/NNG+’/SS+에/JKB
의무적으로	의무/NNG+적/XSN+으로/JKB
신고해야	신고/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
7일	7/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.240.6.2
시교육청에 내·외부 전문가로 구성된 청렴자문위원회를 운영하고, 소속 감사관실에 김영란법 전담팀도 따로 운영할 방침이다.

시교육청에	시/NNG+교육청/NNG+에/JKB
내·외부	내·외부/NNG
전문가로	전문가/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
청렴자문위원회를	청렴/NNG+자문/NNG+위원회/NNG+를/JKO
운영하고,	운영/NNG+하/XSV+고/EC+,/SP
소속	소속/NNG
감사관실에	감사관실/NNG+에/JKB
김영란법	김영란법/NNG
전담팀도	전담/NNG+팀/NNG+도/JX
따로	따로/MAG
운영할	운영/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.240.6.3
시교육청은 10만원 이상 금품을 받을 경우 공직에서 배제하는 공무원 행동강령(조희연법)을 현재 운영하고 있지만, 김영란법이 시행되면 이같은 청렴 지침에 대한 법적 근거가 더욱 강화될 것으로 보고 있다.

시교육청은	시/NNG+교육청/NNG+은/JX
10만원	10/SN+만/NR+원/NNB
이상	이상/NNG
금품을	금품/NNG+을/JKO
받을	받/VV+을/ETM
경우	경우/NNG
공직에서	공직/NNG+에서/JKB
배제하는	배제/NNG+하/XSV+는/ETM
공무원	공무원/NNG
행동강령(조희연법)을	행동/NNG+강령/NNG+(/SS+조희연/NNP+법/NNG+)/SS+을/JKO
현재	현재/MAG
운영하고	운영/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
김영란법이	김영란법/NNG+이/JKS
시행되면	시행/NNG+되/XSV+면/EC
이같은	이/NP+같/VA+은/ETM
청렴	청렴/NNG
지침에	지침/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
법적	법/NNG+적/XSN
근거가	근거/NNG+가/JKS
더욱	더욱/MAG
강화될	강화/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.240.7.1
또, 시교육청 산하기관 및 사립학교를 포함한 전체 학교의 행동강령책임관을 대상으로 1차 연수를 실시할 예정이다.

또,	또/MAG+,/SP
시교육청	시/NNG+교육청/NNG
산하기관	산하/NNG+기관/NNG
및	및/MAG
사립학교를	사립/NNG+학교/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
전체	전체/NNG
학교의	학교/NNG+의/JKG
행동강령책임관을	행동/NNG+강령/NNG+책임관/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
1차	1/SN+차/NNB
연수를	연수/NNG+를/JKO
실시할	실시/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.240.7.2
이 연수에 참여한 각 학교 행동강령책임관은 다시 소속 기관 교직원들을 대상으로 자체 연수를 진행하는 방식이다.

이	이/MMD
연수에	연수/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
각	각/MMD
학교	학교/NNG
행동강령책임관은	행동/NNG+강령/NNG+책임관/NNG+은/JX
다시	다시/MAG
소속	소속/NNG
기관	기관/NNG
교직원들을	교직원/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
자체	자체/NNG
연수를	연수/NNG+를/JKO
진행하는	진행/NNG+하/XSV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.240.7.3
시교육청은 또 '내 몫은 내가 내기', '회식은 1차로 끝내기', '마음만 가지고 학교 방문하세요' 등 깨끗한 학교 문화 만들기에 필요한 구성원들의 행동수칙을 알리고 캠페인을 벌일 예정이다.

시교육청은	시/NNG+교육청/NNG+은/JX
또	또/MAG
'내	'/SS+나/NP+의/JKG
몫은	몫/NNG+은/JX
내가	내/NP+가/JKS
내기',	내/VV+기/ETN+'/SS+,/SP
'회식은	'/SS+회식/NNG+은/JX
1차로	1/SN+차/NNB+로/JKB
끝내기',	끝내/VV+기/ETN+'/SS+,/SP
'마음만	'/SS+마음/NNG+만/JX
가지고	가지/VV+고/EC
학교	학교/NNG
방문하세요'	방문/NNG+하/XSV+시/EP+어요/EF+'/SS
등	등/NNB
깨끗한	깨끗하/VA+ㄴ/ETM
문화	문화/NNG
만들기에	만들/VV+기/ETN+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
구성원들의	구성원/NNG+들/XSN+의/JKG
행동수칙을	행동/NNG+수칙/NNG+을/JKO
알리고	알리/VV+고/EC
캠페인을	캠페인/NNG+을/JKO
벌일	벌이/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.240.7.4
또한 사립학교들이 자체적으로 윤리강령을 제정하도록 적극 권장할 계획이다.

또한	또한/MAG
사립학교들이	사립/NNG+학교/NNG+들/XSN+이/JKS
자체적으로	자체/NNG+적/XSN+으로/JKB
윤리강령을	윤리/NNG+강령/NNG+을/JKO
제정하도록	제정/NNG+하/XSV+도록/EC
적극	적극/NNG
권장할	권장/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


