# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.105
metadata : {}


# id : NWRW1800000030.105.1.1
法과 씨름하며 평창 도운 '파란 눈 한국인'

法과	法/SH+과/JKB
되면	되/VV+면/EC
프레젠테이션에서	프레젠테이션/NNG+에서/JKB
스피드스케이트장	스피드/NNG+스케이트장/NNG
부분은	부분/NNG+은/JX
빼야	빼/VV+어야/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
'협박'했다.	'/SS+협박/NNG+'/SS+하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.105.6.3
평창올림픽 유치위 관계자들은 이미 더반으로 출국한 상태였다.

평창올림픽	평창/NNP+올림픽/NNG
유치위	유치위/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
이미	이미/MAG
더반으로	더반/NNP+으로/JKB
출국한	출국/NNG+하/XSV+ㄴ/ETM
상태였다.	상태/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.105.7.1
이때부터 시차(時差) 때문에 올빼미처럼 날밤 새우며 피 말리는 협상이 다시 시작됐다.

이때부터	이때/NNG+부터/JX
시차(時差)	시차/NNG+(/SS+時差/SH+)/SS
때문에	때문/NNB+에/JKB
올빼미처럼	올빼미/NNG+처럼/JKB
날밤	날/XPN+밤/NNG
새우며	새우/VV+며/EC
피	피/NNG
말리는	말리/VV+는/ETM
협상이	협상/NNG+이/JKS
다시	다시/MAG
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.105.7.2
주로 전화와 이메일로 밀라노를 설득하고 더반의 유치위에서 허락을 얻으며 협상을 이어갔다.

주로	주로/MAG
전화와	전화/NNG+와/JC
이메일로	이메일/NNG+로/JKB
밀라노를	밀라노/NNP+를/JKO
설득하고	설득/NNG+하/XSV+고/EC
더반의	더반/NNP+의/JKG
유치위에서	유치위/NNG+에서/JKB
허락을	허락/NNG+을/JKO
얻으며	얻/VV+으며/EC
협상을	협상/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.105.7.3
마라톤협상은 프레젠테이션 하루 전인 5일 오전에야 타결됐다.

마라톤협상은	마라톤협상/NNG+은/JX
프레젠테이션	프레젠테이션/NNG
하루	하루/NNG
전인	전/NNG+이/VCP+ㄴ/ETM
5일	5/SN+일/NNB
오전에야	오전/NNG+에/JKB+야/JX
타결됐다.	타결/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.105.7.4
한국법상 불가능한 은행보증서 대신 김앤장이 보증한다는 약속을 조피노측이 받아들였다.

한국법상	한국/NNP+법/NNG+상/XSN
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
은행보증서	은행/NNG+보증서/NNG
대신	대신/NNG
김앤장이	김앤장/NNP+이/JKS
보증한다는	보증/NNG+하/XSV+ㄴ다는/ETM
약속을	약속/NNG+을/JKO
조피노측이	조피노/NNP+측/NNB+이/JKS
받아들였다.	받아들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.105.7.5
존스 변호사는 "막판 타결이 안 됐다면 더반에서 선보인 환상적 프레젠테이션에서 스피드스케이트장 모습을 황급히 빼야 하는 아찔한 상황이었다"고 했다.

존스	존스/NNP
변호사는	변호사/NNG+는/JX
"막판	"/SS+막판/NNG
타결이	타결/NNG+이/JKS
안	안/MAG
됐다면	되/VV+었/EP+다면/EC
더반에서	더반/NNP+에서/JKB
선보인	선보이/VV+ㄴ/ETM
환상적	환상/NNG+적/XSN
프레젠테이션에서	프레젠테이션/NNG+에서/JKB
스피드스케이트장	스피드/NNG+스케이트장/NNG
모습을	모습/NNG+을/JKO
황급히	황급히/MAG
빼야	빼/VV+어야/EC
하는	하/VX+는/ETM
아찔한	아찔/MAG+하/XSA+ㄴ/ETM
상황이었다"고	상황/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.105.8.1
존스 변호사는 두 달치의 자문료와 밀라노 왕복 항공료 및 호텔비도 한 푼 받지 않았다.

존스	존스/NNP
변호사는	변호사/NNG+는/JX
두	두/MMN
달치의	달/NNB+치/NNB+의/JKG
자문료와	자문료/NNG+와/JC
밀라노	밀라노/NNP
왕복	왕복/NNG
항공료	항공료/NNG
및	및/MAG
호텔비도	호텔비/NNG+도/JX
한	한/MMN
푼	푼/NNB
받지	받/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.105.8.2
"왜 공짜로 도와줬느냐?"는 질문에 그는 "나라를 위해 희생해야죠.

"왜	"/SS+왜/MAG
공짜로	공짜/NNG+로/JKB
도와줬느냐?"는	도와주/VV+었/EP+느냐/EF+?/SF+"/SS+는/ETM
질문에	질문/NNG+에/JKB
그는	그/NP+는/JX
"나라를	"/SS+나라/NNG+를/JKO
위해	위하/VV+아/EC
희생해야죠.	희생/NNG+하/XSV+아야지/EF+요/JX+./SF


# id : NWRW1800000030.105.8.3
온 국민이 그렇게 바라는 사업인데…"라고 했다.

온	온/MMN
국민이	국민/NNG+이/JKS
그렇게	그렇/VA+게/EC
바라는	바라/VV+는/ETM
사업인데…"라고	사업/NNG+이/VCP+ㄴ데/EC+…/SE+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.105.8.4
"저는 미국 시민이지만 아이들을 낳고 키우며 30년 넘게 산 한국도 조국이라고 생각해요."

"저는	"/SS+저/NP+는/JX
미국	미국/NNP
시민이지만	시민/NNG+이/VCP+지만/EC
아이들을	아이/NNG+들/XSN+을/JKO
낳고	낳/VV+고/EC
키우며	키우/VV+며/EC
30년	30/SN+년/NNB
넘게	넘/VV+게/EC
산	살/VV+ㄴ/ETM
한국도	한국/NNP+도/JX
조국이라고	조국/NNG+이/VCP+라고/EC
생각해요."	생각/NNG+하/XSV+아요/EF+./SF+"/SS


# id : NWRW1800000030.105.9.1
그는 대학시절 2년간 한국에서 선교사로 활동한 뒤 1980년 김앤장에 합류한 이후 계속 한국에서 살고 있다.

그는	그/NP+는/JX
대학시절	대학/NNG+시절/NNG
2년간	2/SN+년/NNB+간/XSN
한국에서	한국/NNP+에서/JKB
선교사로	선교사/NNG+로/JKB
활동한	활동/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
1980년	1980/SN+년/NNB
김앤장에	김앤장/NNP+에/JKB
합류한	합류/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
계속	계속/MAG
살고	살/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.105.9.2
1998~2002년 주한미국상공회의소 회장을 맡아 외국기업의 투자를 유치한 공로로 동탑훈장을 받았고, 한국의 잠재력을 분석한 책 '나는 한국이 두렵다'도 썼다.

1998~2002년	1998/SN+~/SO+2002/SN+년/NNB
주한미국상공회의소	주한미국상공회의소/NNP
회장을	회장/NNG+을/JKO
맡아	맡/VV+아/EC
외국기업의	외국/NNG+기업/NNG+의/JKG
투자를	투자/NNG+를/JKO
유치한	유치/NNG+하/XSV+ㄴ/ETM
공로로	공로/NNG+로/JKB
동탑훈장을	동탑/NNG+훈장/NNG+을/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
한국의	한국/NNP+의/JKG
잠재력을	잠재력/NNG+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
책	책/NNG
'나는	'/SS+나/NP+는/JX
한국이	한국/NNP+이/JKS
두렵다'도	두렵/VA+다/EF+'/SS+도/JX
썼다.	쓰/VV+었/EP+다/EF+./SF


