# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.404
metadata : {}


# id : NWRW1800000054.404.1.1
人事 논란 때마다… 靑은 슬쩍 빠진다

人事	人事/SH
논란이	논란/NNG+이/JKS
일면	일/VV+면/EC
당사자가	당사자/NNG+가/JKS
알아서	알/VV+아서/EC
하라는	하/VV+라는/ETM
식"이라며	식/NNB+"/SS+이/VCP+라며/EC
"청와대가	"/SS+청와대/NNP+가/JKS
손에	손/NNG+에/JKB
직접	직접/MAG
피를	피/NNG+를/JKO
안	안/MAG
묻히면서	묻히/VV+면서/EC
문제	문제/NNG
'자진	'/SS+자진/NNG
사퇴'시키는	사퇴/NNG+'/SS+시키/XSV+는/ETM
무책임한	무/XPN+책임/NNG+하/XSA+ㄴ/ETM
인사가	인사/NNG+가/JKS
반복되고	반복/NNG+되/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.404.5.1
지난 6월 5일 사퇴한 김기정 전 NSC 2차장은 연세대 교수 시절 처신 등이 논란이 됐다.

지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
5일	5/SN+일/NNB
사퇴한	사퇴/NNG+하/XSV+ㄴ/ETM
김기정	김기정/NNP
전	전/MMD
NSC	NSC/SL
2차장은	2/SN+차장/NNG+은/JX
연세대	연세대/NNP
교수	교수/NNG
시절	시절/NNG
처신	처신/NNG
등이	등/NNB+이/JKS
논란이	논란/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.404.5.2
청와대는 김 전 차장 사의 소식을 알리며 "업무 과중으로 인한 건강 악화와 시중에 도는 구설 등에 도의적 책임을 진 것"이라고만 했다.

청와대는	청와대/NNP+는/JX
김	김/NNP
전	전/MMD
차장	차장/NNG
사의	사의/NNG
소식을	소식/NNG+을/JKO
알리며	알리/VV+며/EC
"업무	"/SS+업무/NNG
과중으로	과중/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
건강	건강/NNG
악화와	악화/NNG+와/JC
시중에	시중/NNG+에/JKB
도는	돌/VV+는/ETM
구설	구설/NNG
등에	등/NNB+에/JKB
도의적	도의/NNG+적/XSN
책임을	책임/NNG+을/JKO
진	지/VV+ㄴ/ETM
것"이라고만	것/NNB+"/SS+이라고/JKQ+만/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.404.5.3
같은 달 16일 물러난 안경환 전 후보자는 허위 혼인신고 파문 등 논란이 일었다.

같은	같/VA+은/ETM
달	달/NNG
16일	16/SN+일/NNB
물러난	물러나/VV+ㄴ/ETM
안경환	안경환/NNP
전	전/MMD
후보자는	후보자/NNG+는/JX
허위	허위/NNG
혼인신고	혼인/NNG+신고/NNG
파문	파문/NNG
등	등/NNB
논란이	논란/NNG+이/JKS
일었다.	일/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.404.5.4
안 전 후보자는 기자회견을 열고 "기회가 주어진다면 검찰 개혁을 반드시 이루겠다"고 했지만, 10시간 만에 입장을 바꿔 "문재인 정부의 개혁 추진에 걸림돌이 될 수 없어 직을 내려놓는다"며 사퇴했다.

안	안/NNP
전	전/MMD
후보자는	후보자/NNG+는/JX
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
"기회가	"/SS+기회/NNG+가/JKS
주어진다면	주어지/VV+ㄴ다면/EC
검찰	검찰/NNG
개혁을	개혁/NNG+을/JKO
반드시	반드시/MAG
이루겠다"고	이루/VV+겠/EP+다/EF+"/SS+고/JKQ
했지만,	하/VV+았/EP+지만/EC+,/SP
10시간	10/SN+시간/NNB
만에	만/NNB+에/JKB
입장을	입장/NNG+을/JKO
바꿔	바꾸/VV+어/EC
"문재인	"/SS+문재인/NNP
정부의	정부/NNG+의/JKG
개혁	개혁/NNG
추진에	추진/NNG+에/JKB
걸림돌이	걸림돌/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
직을	직/NNG+을/JKO
내려놓는다"며	내려놓/VV+는다/EF+"/SS+며/EC
사퇴했다.	사퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.404.5.5
이때 청와대는 "안타깝게 생각하며 본인의 의사를 존중한다"고 했다.

이때	이때/NNG
청와대는	청와대/NNP+는/JX
"안타깝게	"/SS+안타깝/VA+게/EC
생각하며	생각/NNG+하/XSV+며/EC
본인의	본인/NNG+의/JKG
의사를	의사/NNG+를/JKO
존중한다"고	존중/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.404.5.6
음주 운전 등 의혹이 일었던 조대엽 전 후보자는 국회 인사청문회에서 해명·사과하며 버텼지만 지난달 13일 "정국 타개 걸림돌이 된다면 기꺼이 사퇴하겠다"며 사퇴했다.

음주	음주/NNG
운전	운전/NNG
등	등/NNB
의혹이	의혹/NNG+이/JKS
일었던	일/VV+었/EP+던/ETM
조대엽	조대엽/NNP
전	전/MMD
후보자는	후보자/NNG+는/JX
국회	국회/NNG
인사청문회에서	인사/NNG+청문회/NNG+에서/JKB
해명·사과하며	해명/NNG+·/SP+사과/NNG+하/XSV+며/EC
버텼지만	버티/VV+었/EP+지만/EC
지난달	지난달/NNG
13일	13/SN+일/NNB
"정국	"/SS+정국/NNG
타개	타개/NNG
걸림돌이	걸림돌/NNG+이/JKC
된다면	되/VV+ㄴ다면/EC
기꺼이	기꺼이/MAG
사퇴하겠다"며	사퇴/NNG+하/XSV+겠/EP+다/EF+"/SS+며/EC
사퇴했다.	사퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.404.5.7
이때 청와대 측은 "본인이 여러 가지를 고심하고 결단했기 때문에 (사퇴를) 받아들이는 것이 본인에 대한 예의"라고 했다.

이때	이때/NNG
청와대	청와대/NNP
측은	측/NNB+은/JX
"본인이	"/SS+본인/NNG+이/JKS
여러	여러/MMN
가지를	가지/NNB+를/JKO
고심하고	고심/NNG+하/XSV+고/EC
결단했기	결단/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
(사퇴를)	(/SS+사퇴/NNG+를/JKO+)/SS
받아들이는	받아들이/VV+는/ETM
것이	것/NNB+이/JKS
본인에	본인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
예의"라고	예의/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


