# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.89
metadata : {}


# id : NWRW1800000053.89.1.1
‘공조’ 3일동안 관객 193만… ‘더 킹’ 제쳐

‘공조’	‘/SS+공조/NNP+’/SS
‘공조’는 27일 47만1899명, 28일 66만4223명, 29일엔 79만7353명을 모으며 연휴 3일 동안 관객 수 193만 명을 기록했다.

‘공조’는	‘/SS+공조/NNP+’/SS+는/JX
27일	27/SN+일/NNB
47만1899명,	47/SN+만/NR+1899/SN+명/NNB+,/SP
28일	28/SN+일/NNB
66만4223명,	66/SN+만/NR+4223/SN+명/NNB+,/SP
29일엔	29/SN+일/NNB+에/JKB+ㄴ/JX
79만7353명을	79/SN+만/NR+7353/SN+명/NNB+을/JKO
모으며	모으/VV+며/EC
연휴	연휴/NNG
3일	3/SN+일/NNB
동안	동안/NNG
관객	관객/NNG
수	수/NNG
193만	193/SN+만/NR
명을	명/NNB+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.89.4.3
스크린 수도 개봉 첫날 900개에서 1383개로 늘었다.

스크린	스크린/NNG
수도	수/NNG+도/JX
개봉	개봉/NNG
첫날	첫날/NNG
900개에서	900/SN+개/NNB+에서/JKB
1383개로	1383/SN+개/NNB+로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.89.4.4
‘더 킹’은 같은 기간 125만 명의 관객으로 박스오피스 2위로 밀려났다.

‘더	‘/SS+더/NNP
킹’은	킹/NNP+’/SS+은/JX
같은	같/VA+은/ETM
기간	기간/NNG
125만	125/SN+만/NR
명의	명/NNB+의/JKG
관객으로	관객/NNG+으로/JKB
박스오피스	박스오피스/NNG
2위로	2/SN+위/NNB+로/JKB
밀려났다.	밀려나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.89.5.1
국내 대형 배급사들의 흥행 경쟁이 펼쳐지면서 상대적으로 작은 작품들은 설 대목 특수를 누리지 못했다.

국내	국내/NNG
대형	대형/NNG
배급사들의	배급사/NNG+들/XSN+의/JKG
흥행	흥행/NNG
경쟁이	경쟁/NNG+이/JKS
펼쳐지면서	펼쳐지/VV+면서/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
작은	작/VA+은/ETM
작품들은	작품/NNG+들/XSN+은/JX
설	설/NNG
대목	대목/NNG
특수를	특수/NNG+를/JKO
누리지	누리/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.89.5.2
디즈니 애니메이션 ‘모아나’와 할리우드 블록버스터 ‘레지던트 이블: 파멸의 날’은 각각 29만8465명과 26만5356명이 관람해 3, 4위를 기록했다.

디즈니	디즈니/NNP
애니메이션	애니메이션/NNG
‘모아나’와	‘/SS+모아나/NNP+’/SS+와/JC
할리우드	할리우드/NNP
블록버스터	블록버스터/NNG
‘레지던트	‘/SS+레지던트/NNG
이블:	이블/NNP+:/SP
파멸의	파멸/NNG+의/JKG
날’은	날/NNG+’/SS+은/JX
각각	각각/MAG
29만8465명과	29/SN+만/NR+8465/SN+명/NNB+과/JC
26만5356명이	26/SN+만/NR+5356/SN+명/NNB+이/JKS
관람해	관람/NNG+하/XSV+아/EC
3,	3/SN+,/SP
4위를	4/SN+위/NNB+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.89.6.1
TV에선 예상 밖 커플의 동거와 어머니의 소개팅, 남자끼리 떠나는 여행처럼 ‘로맨스’를 바탕으로 이색적인 시도를 한 파일럿(시험) 예능 프로그램들이 시청자의 선택을 받았다.

TV에선	TV/SL+에서/JKB+ㄴ/JX
예상	예상/NNG
밖	밖/NNG
커플의	커플/NNG+의/JKG
동거와	동거/NNG+와/JC
어머니의	어머니/NNG+의/JKG
소개팅,	소개팅/NNG+,/SP
남자끼리	남자/NNG+끼리/XSN
떠나는	떠나/VV+는/ETM
여행처럼	여행/NNG+처럼/JKB
‘로맨스’를	‘/SS+로맨스/NNG+’/SS+를/JKO
바탕으로	바탕/NNG+으로/JKB
이색적인	이색/NNG+적/XSN+이/VCP+ㄴ/ETM
시도를	시도/NNG+를/JKO
한	하/VV+ㄴ/ETM
파일럿(시험)	파일럿/NNG+(/SS+시험/NNG+)/SS
예능	예능/NNG
프로그램들이	프로그램/NNG+들/XSN+이/JKS
시청자의	시청자/NNG+의/JKG
선택을	선택/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.89.7.1
KBS, MBC, SBS 등 지상파 3사는 설 연휴 기간 중 파일럿 예능 11편을 선보였다.

KBS,	KBS/SL+,/SP
MBC,	MBC/SL+,/SP
SBS	SBS/SL
등	등/NNB
지상파	지상파/NNG
3사는	3사/NNG+는/JX
설	설/NNG
연휴	연휴/NNG
기간	기간/NNG
중	중/NNB
파일럿	파일럿/NNG
예능	예능/NNG
11편을	11/SN+편/NNB+을/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.89.7.2
명절 파일럿 프로그램을 정규 편성의 ‘테스트베드(시험무대)’로 여기는 경향이 이번에도 반영된 것이다.

명절	명절/NNG
파일럿	파일럿/NNG
프로그램을	프로그램/NNG+을/JKO
정규	정규/NNG
편성의	편성/NNG+의/JKG
‘테스트베드(시험무대)’로	‘/SS+테스트/NNG+베드/NNG+(/SS+시험/NNG+무대/NNG+)/SS+’/SS+로/JKB
여기는	여기/VV+는/ETM
경향이	경향/NNG+이/JKS
이번에도	이번/NNG+에/JKB+도/JX
반영된	반영/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.89.7.3
각 방송사의 대표 예능인 MBC의 ‘복면가왕’이나 KBS의 ‘슈퍼맨이 돌아왔다’ 등은 명절 파일럿으로 인기 몰이를 한 후 정규 프로그램이 됐다.

각	각/MMD
방송사의	방송사/NNG+의/JKG
대표	대표/NNG
예능인	예능/NNG+이/VCP+ㄴ/ETM
MBC의	MBC/SL+의/JKG
‘복면가왕’이나	‘/SS+복면/NNG+가왕/NNG+’/SS+이나/JC
KBS의	KBS/SL+의/JKG
‘슈퍼맨이	‘/SS+슈퍼맨/NNG+이/JKS
돌아왔다’	돌아오/VV+았/EP+다/EF+’/SS
등은	등/NNB+은/JX
명절	명절/NNG
파일럿으로	파일럿/NNG+으로/JKB
인기	인기/NNG
몰이를	몰이/NNG+를/JKO
한	하/VV+ㄴ/ETM
후	후/NNG
정규	정규/NNG
프로그램이	프로그램/NNG+이/JKS
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.89.8.1
파일럿 예능 중 27일부터 이틀간 방송된 MBC ‘발칙한 동거―빈방 있음’이 8.3%로 시청률이 가장 높았다.

파일럿	파일럿/NNG
예능	예능/NNG
중	중/NNB
27일부터	27/SN+일/NNB+부터/JX
이틀간	이틀/NNG+간/XSN
방송된	방송/NNG+되/XSV+ㄴ/ETM
MBC	MBC/SL
‘발칙한	‘/SS+발칙하/VA+ㄴ/ETM
동거―빈방	동거/NNG+―/SS+빈방/NNG
있음’이	있/VA+음/ETN+’/SS+이/JKS
8.3%로	8/SN+./SP+3/SN+%/SW+로/JKB
시청률이	시청/NNG+률/XSN+이/JKS
가장	가장/MAG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000053.89.8.2
김구라와 한은정, 오세득 셰프와 우주소녀가 각각 집주인과 세입자로 동거하는 모습이 시청자들의 관심을 끌었다.

김구라와	김구라/NNP+와/JC
한은정,	한은정/NNP+,/SP
오세득	오세득/NNP
셰프와	셰프/NNG+와/JC
우주소녀가	우주소녀/NNP+가/JKS
각각	각각/MAG
집주인과	집주인/NNG+과/JC
세입자로	세입자/NNG+로/JKB
동거하는	동거/NNG+하/XSV+는/ETM
모습이	모습/NNG+이/JKS
시청자들의	시청자/NNG+들/XSN+의/JKG
관심을	관심/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.89.9.1
20년 지기 친구 사이인 권상우와 정준하가 함께 출연한 MBC ‘가출선언―사십춘기’가 6.3%의 시청률로 뒤를 이었다.

20년	20/SN+년/NNB
지기	지기/NNG
친구	친구/NNG
사이인	사이/NNG+이/VCP+ㄴ/ETM
권상우와	권상우/NNP+와/JC
정준하가	정준하/NNP+가/JKS
함께	함께/MAG
출연한	출연/NNG+하/XSV+ㄴ/ETM
MBC	MBC/SL
‘가출선언―사십춘기’가	‘/SS+가출/NNG+선언/NNG+―/SS+사십/NR+춘기/NNG+’/SS+가/JKS
6.3%의	6/SN+./SP+3/SN+%/SW+의/JKG
시청률로	시청/NNG+률/XSN+로/JKB
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.89.9.2
홀로 된 어머니에게 남자친구를 소개해 준다는 기발한 시도를 한 KBS2의 ‘엄마의 소개팅’도 6.3%를 기록했다.

홀로	홀로/MAG
된	되/VV+ㄴ/ETM
어머니에게	어머니/NNG+에게/JKB
남자친구를	남자/NNG+친구/NNG+를/JKO
소개해	소개/NNG+하/XSV+아/EC
준다는	주/VX+ㄴ다는/ETM
기발한	기발하/VA+ㄴ/ETM
시도를	시도/NNG+를/JKO
한	하/VV+ㄴ/ETM
KBS2의	KBS/SL+2/SN+의/JKG
‘엄마의	‘/SS+엄마/NNG+의/JKG
소개팅’도	소개팅/NNG+’/SS+도/JX
6.3%를	6/SN+./SP+3/SN+%/SW+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.89.10.1
초등학생이 외국인 아이돌 그룹 멤버에게 한국어 수업을 해주는 SBS ‘초등학쌤’과 소셜네트워크서비스(SNS)로 참여한 시청자와 함께 미스터리 사건을 풀어 나가는 SBS ‘뜻밖의 미스터리 클럽’은 각각 4.6%와 2.2%로 시청률은 높지 않았지만 신선한 형식으로 주목을 끌었다.

초등학생이	초등학생/NNG+이/JKS
외국인	외국인/NNG
아이돌	아이돌/NNG
그룹	그룹/NNG
멤버에게	멤버/NNG+에게/JKB
한국어	한국어/NNP
수업을	수업/NNG+을/JKO
해주는	하/VV+아/EC+주/VX+는/ETM
SBS	SBS/SL
‘초등학쌤’과	‘/SS+초등/NNG+학/NNG+쌤/NNG+’/SS+과/JC
소셜네트워크서비스(SNS)로	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS+로/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
시청자와	시청자/NNG+와/JKB
함께	함께/MAG
미스터리	미스터리/NNG
사건을	사건/NNG+을/JKO
풀어	풀/VV+어/EC
나가는	나가/VX+는/ETM
‘뜻밖의	‘/SS+뜻밖/NNG+의/JKG
클럽’은	클럽/NNG+’/SS+은/JX
각각	각각/MAG
4.6%와	4/SN+./SP+6/SN+%/SW+와/JC
2.2%로	2/SN+./SP+2/SN+%/SW+로/JKB
시청률은	시청/NNG+률/XSN+은/JX
높지	높/VA+지/EC
않았지만	않/VX+았/EP+지만/EC
신선한	신선하/VA+ㄴ/ETM
형식으로	형식/NNG+으로/JKB
주목을	주목/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


