# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.269
metadata : {}


# id : NWRW1800000038.269.1.1
장하나 주춤하는 사이… 김세영, 상금왕 뒤집기 시동

장하나	장하나/NNP
경우	경우/NNG
장하나가	장하나/NNP+가/JKS
4위	4/SN+위/NNB
이하,	이하/NNG+,/SP
3위일	3/SN+위/NNB+이/VCP+ㄹ/ETM
8위	8/SN+위/NNB
이하	이하/NNG
성적을	성적/NNG+을/JKO
내면	내/VV+면/EC
상금왕의	상금왕/NNG+의/JKG
주인공이	주인공/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.269.7.5
김세영이 3위 이내에 들지 못하면 상금왕은 장하나의 차지다.

김세영이	김세영/NNP+이/JKS
3위	3/SN+위/NNB
이내에	이내/NNG+에/JKB
들지	들/VV+지/EC
못하면	못하/VX+면/EC
상금왕은	상금왕/NNG+은/JX
장하나의	장하나/NNP+의/JKG
차지다.	차지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.269.8.1
장하나와 김효주의 대상 경쟁도 관심이다.

장하나와	장하나/NNP+와/JC
김효주의	김효주/NNP+의/JKG
대상	대상/NNG
경쟁도	경쟁/NNG+도/JX
관심이다.	관심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.269.8.2
대상 포인트는 각 대회 상위 10위 안에 든 선수에게만 주어진다.

대상	대상/NNG
포인트는	포인트/NNG+는/JX
각	각/MMD
대회	대회/NNG
상위	상위/NNG
10위	10/SN+위/NNB
안에	안/NNG+에/JKB
든	들/VV+ㄴ/ETM
선수에게만	선수/NNG+에게/JKB+만/JX
주어진다.	주어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.269.8.3
이번 대회에서는 우승 40점, 2위 22점, 3위 19점, 4위 17점, 10위 11점이 각각 부여된다.

이번	이번/NNG
대회에서는	대회/NNG+에서/JKB+는/JX
우승	우승/NNG
40점,	40/SN+점/NNB+,/SP
2위	2/SN+위/NNB
22점,	22/SN+점/NNB+,/SP
3위	3/SN+위/NNB
19점,	19/SN+점/NNB+,/SP
4위	4/SN+위/NNB
17점,	17/SN+점/NNB+,/SP
10위	10/SN+위/NNB
11점이	11/SN+점/NNB+이/JKS
각각	각각/MAG
부여된다.	부여/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.269.8.4
장하나와 김효주 둘 중 한 선수만 이번 대회 10위 안에 들 경우 '톱10'에 든 그 선수가 대상을 차지하게 된다.

장하나와	장하나/NNP+와/JC
김효주	김효주/NNP
둘	둘/NR
중	중/NNB
한	한/MMN
선수만	선수/NNG+만/JX
이번	이번/NNG
대회	대회/NNG
10위	10/SN+위/NNB
안에	안/NNG+에/JKB
들	들/VV+ㄹ/ETM
경우	경우/NNG
'톱10'에	'/SS+톱/NNG+10/SN+'/SS+에/JKB
든	들/VV+ㄴ/ETM
그	그/MMD
선수가	선수/NNG+가/JKS
대상을	대상/NNG+을/JKO
차지하게	차지/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.269.8.5
둘 다 이번 대회 10위 안에 든다면 더 높은 순위에 오른 선수가 대상을 가져간다.

둘	둘/NR
다	다/MAG
이번	이번/NNG
대회	대회/NNG
10위	10/SN+위/NNB
안에	안/NNG+에/JKB
든다면	들/VV+ㄴ다면/EC
더	더/MAG
높은	높/VA+은/ETM
순위에	순위/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
선수가	선수/NNG+가/JKS
대상을	대상/NNG+을/JKO
가져간다.	가져가/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.269.8.6
두 사람 모두 이번 대회 10위 밖으로 밀려날 경우엔 KLPGA 규정에 따라 상금 랭킹이 더 높은 장하나가 대상을 받는다.

두	두/MMN
사람	사람/NNG
모두	모두/MAG
이번	이번/NNG
대회	대회/NNG
10위	10/SN+위/NNB
밖으로	밖/NNG+으로/JKB
밀려날	밀려나/VV+ㄹ/ETM
경우엔	경우/NNG+에/JKB+ㄴ/JX
KLPGA	KLPGA/SL
규정에	규정/NNG+에/JKB
따라	따르/VV+아/EC
상금	상금/NNG
랭킹이	랭킹/NNG+이/JKS
더	더/MAG
높은	높/VA+은/ETM
장하나가	장하나/NNP+가/JKS
대상을	대상/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


