# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.113
metadata : {}


# id : NWRW1800000041.113.1.1
화재취약 하회마을… 시뮬레이션 결과 최대 100동 소실될수도

화재취약	화재/NNG+취약/NNG
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.113.3.3
안동시는 이번 일을 교훈 삼아 예산 10억여 원을 들여 최신 방재시스템을 갖추겠다고 밝혔다.

안동시는	안동시/NNP+는/JX
이번	이번/NNG
일을	일/NNG+을/JKO
교훈	교훈/NNG
삼아	삼/VV+아/EC
예산	예산/NNG
10억여	10/SN+억/NR+여/XSN
원을	원/NNB+을/JKO
들여	들이/VV+어/EC
최신	최신/NNG
방재시스템을	방재/NNG+시스템/NNG+을/JKO
갖추겠다고	갖추/VV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.113.4.1
하지만 하회마을의 화재 취약성은 학계에선 일찌감치 지적됐다.

하지만	하지만/MAJ
하회마을의	하회마을/NNP+의/JKG
화재	화재/NNG
취약성은	취약/NNG+성/XSN+은/JX
학계에선	학계/NNG+에서/JKB+ㄴ/JX
일찌감치	일찌감치/MAG
지적됐다.	지적/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.113.4.2
지난해 5월 한국건축역사학회 학술대회에서 발표된 논문 ‘안동 하회마을 화재안전성에 관한 조사연구’를 통해서다.

지난해	지난해/NNG
5월	5/SN+월/NNB
한국건축역사학회	한국건축역사학회/NNP
학술대회에서	학술/NNG+대회/NNG+에서/JKB
발표된	발표/NNG+되/XSV+ㄴ/ETM
논문	논문/NNG
‘안동	‘/SS+안동/NNP
하회마을	하회마을/NNP
화재안전성에	화재/NNG+안전/NNG+성/XSN+에/JKB
관한	관하/VV+ㄴ/ETM
조사연구’를	조사/NNG+연구/NNG+’/SS+를/JKO
통해서다.	통하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000041.113.4.3
일본 교토 시에 있는 리쓰메이칸(立命館)대 역사도시방재연구소의 김민숙 전문연구원(39)이 명지대 한국건축역사연구실, 정연상 안동대 건축공학과 연구팀과 함께 컴퓨터 가상작업 및 현지조사, 설문을 진행했다.

일본	일본/NNP
교토	교토/NNP
시에	시/NNG+에/JKB
있는	있/VA+는/ETM
리쓰메이칸(立命館)대	리쓰메이칸/NNP+(/SS+立命館/SH+)/SS+대/NNG
역사도시방재연구소의	역사/NNG+도시/NNG+방재/NNG+연구소/NNG+의/JKG
김민숙	김민숙/NNP
전문연구원(39)이	전문/NNG+연구원/NNG+(/SS+39/SN+)/SS+이/JKS
명지대	명지대/NNP
한국건축역사연구실,	한국/NNP+건축/NNG+역사/NNG+연구실/NNG+,/SP
정연상	정연상/NNP
안동대	안동대/NNP
건축공학과	건축/NNG+공학과/NNG
연구팀과	연구/NNG+팀/NNG+과/JKB
함께	함께/MAG
컴퓨터	컴퓨터/NNG
가상작업	가상/NNG+작업/NNG
및	및/MAG
현지조사,	현지/NNG+조사/NNG+,/SP
설문을	설문/NNG+을/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.113.5.1
공동연구팀이 교토대 방재연구소가 고안한 ‘화재연소 시뮬레이션’을 돌려본 결과, 하회마을은 최대 100여 동(전체 130동)의 가옥이 소실되는 최악의 상황을 맞기도 했다.

공동연구팀이	공동/NNG+연구/NNG+팀/NNG+이/JKS
교토대	교토대/NNP
방재연구소가	방재/NNG+연구소/NNG+가/JKS
고안한	고안/NNG+하/XSV+ㄴ/ETM
‘화재연소	‘/SS+화재/NNG+연소/NNG
시뮬레이션’을	시뮬레이션/NNG+’/SS+을/JKO
돌려본	돌려보/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
하회마을은	하회마을/NNP+은/JX
최대	최대/NNG
100여	100/SN+여/XSN
동(전체	동/NNB+(/SS+전체/NNG
130동)의	130/SN+동/NNB+)/SS+의/JKG
가옥이	가옥/NNG+이/JKS
소실되는	소실/NNG+되/XSV+는/ETM
최악의	최악/NNG+의/JKG
상황을	상황/NNG+을/JKO
맞기도	맞/VV+기/ETN+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.113.5.2
이 지역의 풍속이 비교적 강한 데다 주위에서 산불이 나면 대량으로 쏟아지는 불티에 그대로 노출되는 위치이기 때문이다.

이	이/MMD
지역의	지역/NNG+의/JKG
풍속이	풍속/NNG+이/JKS
비교적	비교/NNG+적/XSN
강한	강하/VA+ㄴ/ETM
데다	데/NNB+다/JX
주위에서	주위/NNG+에서/JKB
산불이	산불/NNG+이/JKS
나면	나/VV+면/EC
대량으로	대량/NNG+으로/JKB
쏟아지는	쏟아지/VV+는/ETM
불티에	불티/NNG+에/JKB
그대로	그대로/MAG
노출되는	노출/NNG+되/XSV+는/ETM
위치이기	위치/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.113.5.3
김 연구원은 “변수가 많아 시뮬레이션 결과가 그대로 나타난다고 할 순 없지만 그만큼 철저한 대비가 필요하다는 의미”라고 말했다.

김	김/NNP
연구원은	연구원/NNG+은/JX
“변수가	“/SS+변수/NNG+가/JKS
많아	많/VA+아/EC
시뮬레이션	시뮬레이션/NNG
결과가	결과/NNG+가/JKS
그대로	그대로/MAG
나타난다고	나타나/VV+ㄴ다고/EC
할	하/VV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없지만	없/VA+지만/EC
그만큼	그만큼/NNG
철저한	철저/NNG+하/XSA+ㄴ/ETM
대비가	대비/NNG+가/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
의미”라고	의미/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.113.6.1
시스템적으로는 화재경보기 보급 비율과 화재 진압용으로 배치된 소방차의 적절성 여부가 눈에 띄었다.

시스템적으로는	시스템/NNG+적/XSN+으로/JKB+는/JX
화재경보기	화재경보기/NNG
보급	보급/NNG
비율과	비율/NNG+과/JC
화재	화재/NNG
진압용으로	진압/NNG+용/XSN+으로/JKB
배치된	배치/NNG+되/XSV+ㄴ/ETM
소방차의	소방차/NNG+의/JKG
적절성	적절성/NNG
여부가	여부/NNG+가/JKS
눈에	눈/NNG+에/JKB
띄었다.	띄/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.113.6.2
마을 건물마다 소화기는 100% 비치돼 있긴 하지만 화재경보기를 설치한 곳은 20%를 밑돌았다.

마을	마을/NNG
건물마다	건물/NNG+마다/JX
소화기는	소화기/NNG+는/JX
100%	100/SN+%/SW
비치돼	비치/NNG+되/XSV+어/EC
있긴	있/VX+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
화재경보기를	화재경보기/NNG+를/JKO
설치한	설치/NNG+하/XSV+ㄴ/ETM
곳은	곳/NNG+은/JX
20%를	20/SN+%/SW+를/JKO
밑돌았다.	밑돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.113.6.3
게다가 설문에 응한 주민 가운데 31.8%가 “소화기 사용법을 잘 모른다”고 답했다.

게다가	게다가/MAG
설문에	설문/NNG+에/JKB
응한	응하/VV+ㄴ/ETM
주민	주민/NNG
가운데	가운데/NNG
31.8%가	31/SN+./SP+8/SN+%/SW+가/JKS
“소화기	“/SS+소화기/NNG
사용법을	사용법/NNG+을/JKO
잘	잘/MAG
모른다”고	모르/VV+ㄴ다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.113.6.4
소화용수를 공급하는 소화전은 24.6%만 어떻게 쓰는지 안다고 응답했다.

소화용수를	소화용수/NNG+를/JKO
공급하는	공급/NNG+하/XSV+는/ETM
소화전은	소화전/NNG+은/JX
24.6%만	24/SN+./SP+6/SN+%/SW+만/JX
어떻게	어떻/VA+게/EC
쓰는지	쓰/VV+는지/EC
안다고	알/VV+ㄴ다고/EC
응답했다.	응답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.113.7.1
하회마을에 배치된 소방용 펌프차도 교체가 시급했다.

하회마을에	하회마을/NNP+에/JKB
배치된	배치/NNG+되/XSV+ㄴ/ETM
소방용	소방/NNG+용/XSN
펌프차도	펌프/NNG+차/NNG+도/JX
교체가	교체/NNG+가/JKS
시급했다.	시급하/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.113.7.2
마을 입구에 있는 119지역대에는 1.4t의 펌프차가 있으나 전통마을의 좁은 도로 여건상 재빠른 이동이 쉽지 않다.

마을	마을/NNG
입구에	입구/NNG+에/JKB
있는	있/VA+는/ETM
119지역대에는	119/SN+지역대/NNG+에/JKB+는/JX
1.4t의	1/SN+./SP+4/SN+t/SW+의/JKG
펌프차가	펌프/NNG+차/NNG+가/JKS
있으나	있/VA+으나/EC
전통마을의	전통/NNG+마을/NNG+의/JKG
좁은	좁/VA+은/ETM
도로	도로/NNG
여건상	여건/NNG+상/XSN
재빠른	재빠르/VA+ㄴ/ETM
이동이	이동/NNG+이/JKS
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000041.113.7.3
김 연구원은 “실제 조사기간에 (화재 신고로) 소방차가 출동한 걸 목격했는데 외부 도로로 한참 돌아가는 모습을 봤다”며 “산불 진화용으로 만들어진 0.8t 펌프차가 더 적합하다”고 설명했다.

김	김/NNP
연구원은	연구원/NNG+은/JX
“실제	“/SS+실제/MAG
조사기간에	조사/NNG+기간/NNG+에/JKB
(화재	(/SS+화재/NNG
신고로)	신고/NNG+로/JKB+)/SS
소방차가	소방차/NNG+가/JKS
출동한	출동/NNG+하/XSV+ㄴ/ETM
걸	거/NNB+ㄹ/JKO
목격했는데	목격/NNG+하/XSV+았/EP+는데/EC
외부	외부/NNG
도로로	도로/NNG+로/JKB
한참	한참/NNG
돌아가는	돌아가/VV+는/ETM
모습을	모습/NNG+을/JKO
봤다”며	보/VV+았/EP+다/EF+”/SS+며/EC
“산불	“/SS+산불/NNG
진화용으로	진화/NNG+용/XSN+으로/JKB
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
0.8t	0/SN+./SP+8/SN+t/SW
펌프차가	펌프/NNG+차/NNG+가/JKS
더	더/MAG
적합하다”고	적합/NNG+하/XSA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.113.8.1
주민들이 구성한 자위소방대에도 아쉬운 대목이 엿보였다.

주민들이	주민/NNG+들/XSN+이/JKS
구성한	구성/NNG+하/XSV+ㄴ/ETM
자위소방대에도	자위/NNG+소방대/NNG+에/JKB+도/JX
아쉬운	아쉽/VA+ㄴ/ETM
대목이	대목/NNG+이/JKS
엿보였다.	엿보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.113.8.2
마을에 애정이 높아 소방훈련에 적극 참여하고 방재 의식도 높았지만 구성원이 모두 60대 이상 노년층이었다.

마을에	마을/NNG+에/JKB
애정이	애정/NNG+이/JKS
높아	높/VA+아/EC
소방훈련에	소방/NNG+훈련/NNG+에/JKB
적극	적극/NNG
참여하고	참여/NNG+하/XSV+고/EC
방재	방재/NNG
의식도	의식/NNG+도/JX
높았지만	높/VA+았/EP+지만/EC
구성원이	구성원/NNG+이/JKS
모두	모두/MAG
60대	60/SN+대/NNB
이상	이상/NNG
노년층이었다.	노년/NNG+층/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.113.8.3
상대적으로 신속한 대처 능력이 떨어질 수밖에 없다.

상대적으로	상대/NNG+적/XSN+으로/JKB
신속한	신속/NNG+하/XSA+ㄴ/ETM
대처	대처/NNG
능력이	능력/NNG+이/JKS
떨어질	떨어지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.113.8.4
게다가 보존회나 소방대 소속과 일반 주민의 화재에 대한 시각차가 큰 것도 우려스러웠다.

게다가	게다가/MAG
보존회나	보존회/NNG+나/JC
소방대	소방대/NNG
소속과	소속/NNG+과/JC
일반	일반/NNG
주민의	주민/NNG+의/JKG
화재에	화재/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시각차가	시각차/NNG+가/JKS
큰	크/VA+ㄴ/ETM
것도	것/NNB+도/JX
우려스러웠다.	우려/NNG+스럽/XSA+었/EP+다/EF+./SF


# id : NWRW1800000041.113.8.5
일반 주민들은 ‘소방훈련이 크게 도움이 되지 않는다’고 생각하는 이들이 적지 않았다.

일반	일반/NNG
주민들은	주민/NNG+들/XSN+은/JX
‘소방훈련이	‘/SS+소방/NNG+훈련/NNG+이/JKS
크게	크/VA+게/EC
도움이	도움/NNG+이/JKC
되지	되/VV+지/EC
않는다’고	않/VX+는다/EF+’/SS+고/JKQ
생각하는	생각/NNG+하/XSV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.113.9.1
급증하는 관광객 관리도 허투루 볼 수 없는 문제다.

급증하는	급증/NNG+하/XSV+는/ETM
관광객	관광객/NNG
관리도	관리/NNG+도/JX
허투루	허투루/MAG
볼	보/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.113.9.2
이번 하회마을 화재 역시 외부인의 담뱃불이 원인으로 추정되며 샹그릴라 역시 관람객의 실수로 불이 났을 가능성이 큰 것으로 알려졌다.

이번	이번/NNG
하회마을	하회마을/NNP
화재	화재/NNG
역시	역시/MAG
외부인의	외부인/NNG+의/JKG
담뱃불이	담뱃불/NNG+이/JKS
원인으로	원인/NNG+으로/JKB
추정되며	추정/NNG+되/XSV+며/EC
샹그릴라	샹그릴라/NNP
관람객의	관람객/NNG+의/JKG
실수로	실수/NNG+로/JKB
불이	불/NNG+이/JKS
났을	나/VV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.113.9.3
김 연구원 역시 “유입 인원이 늘어날수록 실화나 방화 가능성이 높아진다는 점을 고려하면 사람의 눈이 닿지 않는 장소에 대한 방재대책을 서둘러야 한다”며 “마을에 입장하는 관람객에게 철저한 사전 교육을 시키는 방법도 고려할 필요가 있다”고 제안했다.

김	김/NNP
연구원	연구원/NNG
역시	역시/MAG
“유입	“/SS+유입/NNG
인원이	인원/NNG+이/JKS
늘어날수록	늘어나/VV+ㄹ수록/EC
실화나	실화/NNG+나/JC
방화	방화/NNG
가능성이	가능/NNG+성/XSN+이/JKS
높아진다는	높아지/VV+ㄴ다는/ETM
점을	점/NNG+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
사람의	사람/NNG+의/JKG
눈이	눈/NNG+이/JKS
닿지	닿/VV+지/EC
않는	않/VX+는/ETM
장소에	장소/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
방재대책을	방재/NNG+대책/NNG+을/JKO
서둘러야	서두르/VV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“마을에	“/SS+마을/NNG+에/JKB
입장하는	입장/NNG+하/XSV+는/ETM
관람객에게	관람객/NNG+에게/JKB
철저한	철저/NNG+하/XSA+ㄴ/ETM
사전	사전/NNG
교육을	교육/NNG+을/JKO
시키는	시키/VV+는/ETM
방법도	방법/NNG+도/JX
고려할	고려/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


