# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.234
metadata : {}


# id : NWRW1800000030.234.1.1
[태평로] 복지 전쟁의 참호에 갇힌 사람들

[태평로]	[/SS+태평로/NNP+]/SS
속에서	속/NNG+에서/JKB
교전을	교전/NNG+을/JKO
치르고	치르/VV+고/EC
있는	있/VX+는/ETM
자신을	자신/NNG+을/JKO
발견할	발견/NNG+하/XSV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.234.2.5
어제오늘 유럽에서 줄도산 위기에 처한 국가들이 그렇게 많은 복지 전쟁의 처참한 기록을 남겼건만 우리는 모른 척하고 있다.

어제오늘	어제오늘/NNG
유럽에서	유럽/NNP+에서/JKB
줄도산	줄도산/NNG
위기에	위기/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
국가들이	국가/NNG+들/XSN+이/JKS
그렇게	그렇/VA+게/EC
많은	많/VA+은/ETM
복지	복지/NNG
전쟁의	전쟁/NNG+의/JKG
처참한	처참하/VA+ㄴ/ETM
기록을	기록/NNG+을/JKO
남겼건만	남기/VV+었/EP+건만/EC
우리는	우리/NP+는/JX
모른	모르/VV+ㄴ/ETM
척하고	척/NNB+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.234.3.1
이미 연쇄 공격은 시작됐다.

이미	이미/MAG
연쇄	연쇄/NNG
공격은	공격/NNG+은/JX
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.234.3.2
무상급식, 무상보육, 무상의료, 무상(반값)교육까지 전선은 다양하다.

무상급식,	무상/NNG+급식/NNG+,/SP
무상보육,	무상/NNG+보육/NNG+,/SP
무상의료,	무상/NNG+의료/NNG+,/SP
무상(반값)교육까지	무상/NNG+(/SS+반값/NNG+)/SS+교육/NNG+까지/JX
전선은	전선/NNG+은/JX
다양하다.	다양/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.234.3.3
한쪽이 물가 잡기에 팔려 있을 때 한쪽은 설맞이용 종합세트를 준비하고 있다.

한쪽이	한쪽/NNG+이/JKS
물가	물가/NNG
잡기에	잡/VV+기/ETN+에/JKB
팔려	팔리/VV+어/EC
있을	있/VX+을/ETM
때	때/NNG
한쪽은	한쪽/NNG+은/JX
설맞이용	설맞이/NNG+용/XSN
종합세트를	종합/NNG+세트/NNG+를/JKO
준비하고	준비/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.234.3.4
앞으로 보름만 군불을 지피면 유권자들은 설날(2월 초) 세배를 마친 다음 따끈한 '무상 세트'를 화제로 올릴 것이다.

앞으로	앞/NNG+으로/JKB
보름만	보름/NNG+만/JX
군불을	군불/NNG+을/JKO
지피면	지피/VV+면/EC
유권자들은	유권자/NNG+들/XSN+은/JX
설날(2월	설날/NNG+(/SS+2/SN+월/NNB
초)	초/NNB+)/SS
세배를	세배/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
다음	다음/NNG
따끈한	따끈하/VA+ㄴ/ETM
'무상	'/SS+무상/NNG
세트'를	세트/NNG+'/SS+를/JKO
화제로	화제/NNG+로/JKB
올릴	올리/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.234.4.1
'복지 전쟁'은 일단 선전전이다.

'복지	'/SS+복지/NNG
전쟁'은	전쟁/NNG+'/SS+은/JX
일단	일단/MAG
선전전이다.	선전전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.234.4.2
어차피 포퓰리즘인 줄은 코흘리개도 안다.

어차피	어차피/MAG
포퓰리즘인	포퓰리즘/NNG+이/VCP+ㄴ/ETM
줄은	줄/NNB+은/JX
코흘리개도	코흘리개/NNG+도/JX
안다.	알/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.234.4.3
이왕 내친김에 무상주택, 무상교통까지 못 갈 것도 없다.

이왕	이왕/MAG
내친김에	내친김/NNG+에/JKB
무상주택,	무상/NNG+주택/NNG+,/SP
무상교통까지	무상/NNG+교통/NNG+까지/JX
못	못/MAG
갈	가/VV+ㄹ/ETM
것도	것/NNB+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.234.4.4
미분양 아파트를 국가가 수용하고, 버스·택시 기사를 준(準)공무원으로 채용하면 된다.

미분양	미/XPN+분양/NNG
아파트를	아파트/NNG+를/JKO
국가가	국가/NNG+가/JKS
수용하고,	수용/NNG+하/XSV+고/EC+,/SP
버스·택시	버스/NNG+·/SP+택시/NNG
기사를	기사/NNG+를/JKO
준(準)공무원으로	준/XPN+(/SS+準/SH+)/SS+공무원/NNG+으로/JKB
채용하면	채용/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.234.4.5
핀란드는 의사의 70% 정도가 공무원이다.

핀란드는	핀란드/NNP+는/JX
의사의	의사/NNG+의/JKG
70%	70/SN+%/SW
정도가	정도/NNG+가/JKS
공무원이다.	공무원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.234.4.6
누군가 이미 '전투적 복지'란 말을 썼으니, 군비(軍費)야 조달되든 말든 일단 표를 얻는 데 유리한 전선을 확대하고 볼 일이다.

누군가	누구/NP+이/VCP+ㄴ가/EF
이미	이미/MAG
'전투적	'/SS+전투/NNG+적/XSN
복지'란	복지/NNG+'/SS+이/VCP+란/ETM
말을	말/NNG+을/JKO
썼으니,	쓰/VV+었/EP+으니/EC+,/SP
군비(軍費)야	군비/NNG+(/SS+軍費/SH+)/SS+야/JX
조달되든	조달/NNG+되/XSV+든/EC
말든	말/VV+든/EC
일단	일단/MAG
표를	표/NNG+를/JKO
얻는	얻/VV+는/ETM
데	데/NNB
유리한	유리/NNG+하/XSA+ㄴ/ETM
전선을	전선/NNG+을/JKO
확대하고	확대/NNG+하/XSV+고/EC
볼	보/VX+ㄹ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.234.4.7
핀란드는 소득의 절반쯤이 세금이라는 말은 숨겨야 한다.

핀란드는	핀란드/NNP+는/JX
소득의	소득/NNG+의/JKG
절반쯤이	절반/NNG+쯤/XSN+이/JKS
세금이라는	세금/NNG+이/VCP+라는/ETM
말은	말/NNG+은/JX
숨겨야	숨기/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.234.5.1
무상이란 공짜란 뜻이다.

무상이란	무상/NNG+이란/JX
공짜란	공짜/NNG+이/VCP+란/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.234.5.2
그들은 유권자들이 무조건 공짜를 좋아할 것이라는 '검증된 신념'을 갖고 전략을 짜고 있다.

그들은	그/NP+들/XSN+은/JX
유권자들이	유권자/NNG+들/XSN+이/JKS
무조건	무/XPN+조건/NNG
공짜를	공짜/NNG+를/JKO
좋아할	좋아하/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
'검증된	'/SS+검증/NNG+되/XSV+ㄴ/ETM
신념'을	신념/NNG+'/SS+을/JKO
갖고	갖/VV+고/EC
전략을	전략/NNG+을/JKO
짜고	짜/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.234.5.3
무례한 전략이다.

무례한	무례/NNG+하/XSA+ㄴ/ETM
전략이다.	전략/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.234.5.4
철학적으로 말하면 매일 1만3000번쯤 하는 호흡으로 들이마시는 신선한 공기, 잠자기 좋게 2000룩스 이상 하염없이 쪼일 수 있는 겨울 햇볕, 이것이 무상(無償)이다.

철학적으로	철학/NNG+적/XSN+으로/JKB
말하면	말/NNG+하/XSV+면/EC
매일	매일/MAG
1만3000번쯤	1/SN+만/NR+3000/SN+번/NNB+쯤/XSN
하는	하/VV+는/ETM
호흡으로	호흡/NNG+으로/JKB
들이마시는	들이마시/VV+는/ETM
신선한	신선하/VA+ㄴ/ETM
공기,	공기/NNG+,/SP
잠자기	잠자/VV+기/ETN
좋게	좋/VA+게/EC
2000룩스	2000/SN+룩스/NNB
이상	이상/NNG
하염없이	하염없이/MAG
쪼일	쪼이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
겨울	겨울/NNG
햇볕,	햇볕/NNG+,/SP
이것이	이것/NP+이/JKS
무상(無償)이다.	무상/NNG+(/SS+無償/SH+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000030.234.5.5
공기와 햇빛을 제외하고 모든 '공짜'는, 하다못해 '공짜 점심' 한 끼라도 반드시 대가를 요구한다.

공기와	공기/NNG+와/JC
햇빛을	햇빛/NNG+을/JKO
제외하고	제외/NNG+하/XSV+고/EC
모든	모든/MMN
'공짜'는,	'/SS+공짜/NNG+'/SS+는/JX+,/SP
하다못해	하다못해/MAG
'공짜	'/SS+공짜/NNG
점심'	점심/NNG+'/SS
한	한/MMN
끼라도	끼/NNG+이/VCP+라도/EC
반드시	반드시/MAG
대가를	대가/NNG+를/JKO
요구한다.	요구/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.234.6.1
선전전은 말과 구호가 실탄인데, "아니 아이들 밥 좀 먹이자는데 뭐가 문제냐"는 말 정도면 대포알이다.

선전전은	선전전/NNG+은/JX
말과	말/NNG+과/JC
구호가	구호/NNG+가/JKS
실탄인데,	실탄/NNG+이/VCP+ㄴ데/EC+,/SP
"아니	"/SS+아니/IC
아이들	아이/NNG+들/XSN
밥	밥/NNG
좀	좀/MAG
먹이자는데	먹이/VV+자는데/EC
뭐가	뭐/NP+가/JKS
문제냐"는	문제/NNG+이/VCP+냐/EF+"/SS+는/ETM
말	말/NNG
정도면	정도/NNG+이/VCP+면/EC
대포알이다.	대포알/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.234.6.2
불과 2년 전 "광우병 소를 먹으란 말이냐" 한마디에 광화문이 쑥대밭이 됐다.

불과	불과/MAG
2년	2/SN+년/NNB
전	전/NNG
"광우병	"/SS+광우병/NNG
소를	소/NNG+를/JKO
먹으란	먹/VV+으란/ETM
말이냐"	말/NNG+이/VCP+냐/EF+"/SS
한마디에	한마디/NNG+에/JKB
광화문이	광화문/NNP+이/JKS
쑥대밭이	쑥대밭/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.234.6.3
앞으로 선거 때까지 "아니 돈 없는 대학생 학비 좀 보태주자는데 뭐가 문제냐" "아니 돈 없고 병든 사람은 사람도 아니냐" 같은 포격이 계속될 것이다.

앞으로	앞/NNG+으로/JKB
선거	선거/NNG
때까지	때/NNG+까지/JX
"아니	"/SS+아니/IC
돈	돈/NNG
없는	없/VA+는/ETM
대학생	대학/NNG+생/XSN
학비	학비/NNG
좀	좀/MAG
보태주자는데	보태/VV+어/EC+주/VX+자는데/EC
뭐가	뭐/NP+가/JKS
문제냐"	문제/NNG+이/VCP+냐/EF+"/SS
없고	없/VA+고/EC
병든	병들/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
사람도	사람/NNG+도/JX
아니냐"	아니/VCN+냐/EF+"/SS
같은	같/VA+은/ETM
포격이	포격/NNG+이/JKS
계속될	계속/NNG+되/XSV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.234.7.1
'왜 내 자식의 밥을 서울시장이나 서울시 의회가 왈가왈부 결정하는가' 같은 근본적인 질문에 대답할 기회가 있겠지만, 제도적으로 봤을 때 복지 문제는 다당제 정파 간 합의가 원칙이다.

'왜	'/SS+왜/MAG
내	나/NP+의/JKG
자식의	자식/NNG+의/JKG
밥을	밥/NNG+을/JKO
서울시장이나	서울시장/NNG+이나/JC
서울시	서울시/NNP
의회가	의회/NNG+가/JKS
왈가왈부	왈가왈부/NNG
결정하는가'	결정/NNG+하/XSV+는가/EF+'/SS
같은	같/VA+은/ETM
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
질문에	질문/NNG+에/JKB
대답할	대답/NNG+하/XSV+ㄹ/ETM
기회가	기회/NNG+가/JKS
있겠지만,	있/VA+겠/EP+지만/EC+,/SP
제도적으로	제도/NNG+적/XSN+으로/JKB
봤을	보/VV+았/EP+을/ETM
때	때/NNG
복지	복지/NNG
문제는	문제/NNG+는/JX
다당제	다당/NNG+제/XSN
정파	정파/NNG
간	간/NNB
합의가	합의/NNG+가/JKS
원칙이다.	원칙/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.234.7.2
곳간에 곡식을 채우는 것이 먼저냐 나누어주는 것이 먼저냐를 합의해야 한다.

곳간에	곳간/NNG+에/JKB
곡식을	곡식/NNG+을/JKO
채우는	채우/VV+는/ETM
것이	것/NNB+이/JKS
먼저냐	먼저/NNG+이/VCP+냐/EF
나누어주는	나누/VV+어/EC+주/VX+는/ETM
먼저냐를	먼저/NNG+이/VCP+냐/EF+를/JKO
합의해야	합의/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.234.7.3
이 문제에 관한 한 대통령과 정파 지도자들은 정말로 '초당적'(bipartisan)이어야 한다.

이	이/MMD
문제에	문제/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
한	한/NNG
대통령과	대통령/NNG+과/JC
정파	정파/NNG
지도자들은	지도자/NNG+들/XSN+은/JX
정말로	정말로/MAG
'초당적'(bipartisan)이어야	'/SS+초당/NNG+적/XSN+'/SS+(/SS+bipartisan/SL+)/SS+이/VCP+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.234.8.1
하버드대 경제학 교수인 니컬러스 그레고리 맨큐(52)는 올 초 오바마 대통령에게 공개 편지를 썼다.

하버드대	하버드대/NNP
경제학	경제학/NNG
교수인	교수/NNG+이/VCP+ㄴ/ETM
니컬러스	니컬러스/NNP
그레고리	그레고리/NNP
맨큐(52)는	맨큐/NNP+(/SS+52/SN+)/SS+는/JX
올	올/NNG
초	초/NNB
오바마	오바마/NNP
대통령에게	대통령/NNG+에게/JKB
공개	공개/NNG
편지를	편지/NNG+를/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.234.8.2
"진보주의자들은 경기부양 같은 단기처방에 매달리는데 당신은 재정문제 같은 장기정책에 집중하라.

"진보주의자들은	"/SS+진보주의자/NNG+들/XSN+은/JX
경기부양	경기/NNG+부양/NNG
같은	같/VA+은/ETM
단기처방에	단기/NNG+처방/NNG+에/JKB
매달리는데	매달리/VV+는데/EC
당신은	당신/NP+은/JX
재정문제	재정/NNG+문제/NNG
장기정책에	장기/NNG+정책/NNG+에/JKB
집중하라.	집중/NNG+하/XSV+라/EF+./SF


# id : NWRW1800000030.234.8.3
소득 재분배 노력을 멈춰라.

소득	소득/NNG
재분배	재/XPN+분배/NNG
노력을	노력/NNG+을/JKO
멈춰라.	멈추/VV+어라/EF+./SF


# id : NWRW1800000030.234.8.4
경제적 파이(pie)를 조각내지 말라.

경제적	경제/NNG+적/XSN
파이(pie)를	파이/NNG+(/SS+pie/SL+)/SS+를/JKO
조각내지	조각내/VV+지/EC
말라.	말/VX+라/EF+./SF


# id : NWRW1800000030.234.8.5
대신 더 많은 기회를 만들어 파이를 키워라.

대신	대신/NNG
더	더/MAG
많은	많/VA+은/ETM
기회를	기회/NNG+를/JKO
만들어	만들/VV+어/EC
파이를	파이/NNG+를/JKO
키워라.	키우/VV+어라/EF+./SF


# id : NWRW1800000030.234.8.6
그렇다고 해서 상대 당을 적으로 만들지는 말라…."

그렇다고	그렇/VA+다고/EC
해서	하/VV+아서/EC
상대	상대/NNG
당을	당/NNG+을/JKO
적으로	적/NNG+으로/JKB
만들지는	만들/VV+지/EC+는/JX
말라…."	말/VX+라/EC+…/SE+./SF+"/SS


# id : NWRW1800000030.234.9.1
우리도 새겨들을 부분이 있겠으나, 복지 전쟁이 과열되고 선거가 다가오면 귀에 잘 들리지는 않을 것이다.

우리도	우리/NP+도/JX
새겨들을	새겨듣/VV+을/ETM
부분이	부분/NNG+이/JKS
있겠으나,	있/VA+겠/EP+으나/EC+,/SP
복지	복지/NNG
전쟁이	전쟁/NNG+이/JKS
과열되고	과열/NNG+되/XSV+고/EC
선거가	선거/NNG+가/JKS
다가오면	다가오/VV+면/EC
귀에	귀/NNG+에/JKB
잘	잘/MAG
들리지는	들리/VV+지/EC+는/JX
않을	않/VX+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.234.9.2
좌파든 우파든 정치적으로 살아남는 일에만 신경 쓸 테니까.

좌파든	좌파/NNG+이/VCP+든/EC
우파든	우파/NNG+이/VCP+든/EC
정치적으로	정치/NNG+적/XSN+으로/JKB
살아남는	살아남/VV+는/ETM
일에만	일/NNG+에/JKB+만/JX
신경	신경/NNG
쓸	쓰/VV+ㄹ/ETM
테니까.	터/NNB+이/VCP+니까/EC+./SF


