# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.181
metadata : {}


# id : NWRW1800000041.181.1.1
성북구의원 외유비 이르면 3월부터 환수

성북구의원	성북구/NNP+의원/NNG
감사	감사/NNG
결과	결과/NNG
처분요구서를	처분/NNG+요구서/NNG+를/JKO
이달	이달/NNG
성북구로	성북구/NNP+로/JKB
발송할	발송/NNG+하/XSV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
5일	5/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.181.5.1
성북구는 처분요구서를 받은 뒤 3개 월 안에 감사 결과에 대한 조치를 이행해야 한다.

성북구는	성북구/NNP+는/JX
처분요구서를	처분/NNG+요구서/NNG+를/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
3개	3/SN+개/NNB
월	월/NNG
안에	안/NNG+에/JKB
감사	감사/NNG
결과에	결과/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조치를	조치/NNG+를/JKO
이행해야	이행/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.181.5.2
성북구가 환수하지 않으면 서울시장이 안전행정부 장관에게 이행 명령을 내려줄 것을 요구할 수 있다.

성북구가	성북구/NNP+가/JKS
환수하지	환수/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
서울시장이	서울시장/NNG+이/JKS
안전행정부	안전/NNG+행정부/NNG
장관에게	장관/NNG+에게/JKB
이행	이행/NNG
명령을	명령/NNG+을/JKO
내려줄	내/VV+려/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.181.6.1
성북구는 주민감사 청구로 잘못 사용한 비용을 환수하는 첫 사례라는 점에서 감사 결과를 수용할 것으로 알려졌다.

성북구는	성북구/NNP+는/JX
주민감사	주민/NNG+감사/NNG
청구로	청구/NNG+로/JKB
잘못	잘못/MAG
사용한	사용/NNG+하/XSV+ㄴ/ETM
비용을	비용/NNG+을/JKO
환수하는	환수/NNG+하/XSV+는/ETM
첫	첫/MMN
사례라는	사례/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
감사	감사/NNG
결과를	결과/NNG+를/JKO
수용할	수용/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.181.6.2
성북구 관계자는 “주민감사 청구로 결정된 사안인 만큼 법적 검토를 거친 뒤 환수 조치에 나설 것으로 안다”고 말했다.

성북구	성북구/NNP
관계자는	관계자/NNG+는/JX
“주민감사	“/SS+주민/NNG+감사/NNG
청구로	청구/NNG+로/JKB
결정된	결정/NNG+되/XSV+ㄴ/ETM
사안인	사안/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
법적	법/NNG+적/XSN
검토를	검토/NNG+를/JKO
거친	거치/VV+ㄴ/ETM
뒤	뒤/NNG
환수	환수/NNG
조치에	조치/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.181.7.1
성북구의회 의원들이 사용한 비용 1440여만 원은 일반 환수 조치와 마찬가지로 의원 개인별로 이뤄질 것으로 보인다.

성북구의회	성북구의회/NNP
의원들이	의원/NNG+들/XSN+이/JKS
사용한	사용/NNG+하/XSV+ㄴ/ETM
비용	비용/NNG
1440여만	1440/SN+여/XSN+만/NR
원은	원/NNB+은/JX
일반	일반/NNG
환수	환수/NNG
조치와	조치/NNG+와/JKB
마찬가지로	마찬가지/NNG+로/JKB
의원	의원/NNG
개인별로	개인/NNG+별/XSN+로/JKB
이뤄질	이뤄지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.181.7.2
이유 없이 환수를 거부하면 세비가 지급되는 통장에 대한 압류도 가능하다.

이유	이유/NNG
없이	없이/MAG
환수를	환수/NNG+를/JKO
거부하면	거부/NNG+하/XSV+면/EC
세비가	세비/NNG+가/JKS
지급되는	지급/NNG+되/XSV+는/ETM
통장에	통장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
압류도	압류/NNG+도/JX
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000041.181.7.3
하지만 내달부터 환수 절차에 들어가도 개인별로 모두 회수하는 데는 시간이 걸릴 것으로 예상된다.

하지만	하지만/MAJ
내달부터	내달/NNG+부터/JX
환수	환수/NNG
절차에	절차/NNG+에/JKB
들어가도	들어가/VV+아도/EC
개인별로	개인/NNG+별/XSN+로/JKB
모두	모두/MAG
회수하는	회수/NNG+하/XSV+는/ETM
데는	데/NNB+는/JX
시간이	시간/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.181.8.1
한편 안행부에 따르면 2009년부터 지난해까지 5년간 전국에서 주민감사가 청구된 사안은 모두 137건이었다.

한편	한편/MAG
안행부에	안행부/NNG+에/JKB
따르면	따르/VV+면/EC
2009년부터	2009/SN+년/NNB+부터/JX
지난해까지	지난해/NNG+까지/JX
5년간	5/SN+년/NNB+간/XSN
전국에서	전국/NNG+에서/JKB
주민감사가	주민/NNG+감사/NNG+가/JKS
청구된	청구/NNG+되/XSV+ㄴ/ETM
사안은	사안/NNG+은/JX
모두	모두/MAG
137건이었다.	137/SN+건/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.181.8.2
서울이 86건으로 가장 많았고 충남 6건, 경기·전남 각 5건, 광주 4건 순이었다.

서울이	서울/NNP+이/JKS
86건으로	86/SN+건/NNB+으로/JKB
가장	가장/MAG
많았고	많/VA+았/EP+고/EC
충남	충남/NNP
6건,	6/SN+건/NNB+,/SP
경기·전남	경기/NNP+·/SP+전남/NNP
각	각/MMD
5건,	5/SN+건/NNB+,/SP
광주	광주/NNP
4건	4/SN+건/NNB
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


