# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.420
metadata : {}


# id : NWRW1800000026.420.1.1
[호남] 군산항 컨테이너 10만TEU 돌파

[호남]	[/SS+호남/NNP+]/SS
물류기지로서	물류/NNG+기지/NNG+로서/JKB
항만시스템	항만/NNG+시스템/NNG
개선과	개선/NNG+과/JC
중국·일본·동남아	중국/NNP+·/SP+일본/NNP+·/SP+동남아/NNP
등으로의	등/NNB+으로/JKB+의/JKG
항로	항로/NNG
다변화가	다변/NNG+화/XSN+가/JKS
계속	계속/MAG
이뤄질	이뤄지/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.420.6.1
도와 시는 군산항 컨테이너 10만TEU 돌파 축하 행사를 23일 군산항 컨테이너 부두에서 갖는다.

도와	도/NNG+와/JC
시는	시/NNG+는/JX
군산항	군산항/NNP
컨테이너	컨테이너/NNG
10만TEU	10/SN+만/NR+TEU/SW
돌파	돌파/NNG
축하	축하/NNG
행사를	행사/NNG+를/JKO
23일	23/SN+일/NNB
부두에서	부두/NNG+에서/JKB
갖는다.	갖/VV+는다/EF+./SF


