# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.20
metadata : {}


# id : NWRW1800000036.20.1.1
삼성, 중국 시안에 반도체 공장

삼성,	삼성/NNP+,/SP
하이닉스가 디(D)램 생산량의 절반을 중국 우시 공장에서 만들고 인텔이 지난 2010년부터 다롄 공장에서 중앙처리장치(CPU)를 생산하고 있어, 삼성의 낸드플래시까지 포함하면 중국은 반도체 핵심 부품을 모두 생산하는 국가가 된다.

하이닉스가	하이닉스/NNP+가/JKS
디(D)램	디/NNG+(/SS+D/SL+)/SS+램/NNG
생산량의	생산량/NNG+의/JKG
절반을	절반/NNG+을/JKO
중국	중국/NNP
우시	우시/NNP
공장에서	공장/NNG+에서/JKB
만들고	만들/VV+고/EC
인텔이	인텔/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
2010년부터	2010/SN+년/NNB+부터/JX
다롄	다롄/NNP
중앙처리장치(CPU)를	중앙/NNG+처리/NNG+장치/NNG+(/SS+CPU/SL+)/SS+를/JKO
생산하고	생산/NNG+하/XSV+고/EC
있어,	있/VX+어/EC+,/SP
삼성의	삼성/NNP+의/JKG
낸드플래시까지	낸드플래시/NNG+까지/JX
포함하면	포함/NNG+하/XSV+면/EC
중국은	중국/NNP+은/JX
반도체	반도체/NNG
핵심	핵심/NNG
부품을	부품/NNG+을/JKO
모두	모두/MAG
생산하는	생산/NNG+하/XSV+는/ETM
국가가	국가/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.20.6.1
삼성전자 관계자는 “시안은 반도체 라인을 가동하는 데 필요한 산업용수와 전기 등 산업 기반시설이 잘 갖춰져 있고, 세계적인 정보기술(IT)기업들의 연구 거점과 유수의 대학들이 있어 우수 인재를 확보할 수 있는 곳”이라고 말했다.

삼성전자	삼성전자/NNP
관계자는	관계자/NNG+는/JX
“시안은	“/SS+시안/NNP+은/JX
반도체	반도체/NNG
라인을	라인/NNG+을/JKO
가동하는	가동/NNG+하/XSV+는/ETM
데	데/NNB
필요한	필요/NNG+하/XSA+ㄴ/ETM
산업용수와	산업용수/NNG+와/JC
전기	전기/NNG
등	등/NNB
산업	산업/NNG
기반시설이	기반/NNG+시설/NNG+이/JKS
잘	잘/MAG
갖춰져	갖추/VV+어/EC+지/VX+어/EC
있고,	있/VX+고/EC+,/SP
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
정보기술(IT)기업들의	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS+기업/NNG+들/XSN+의/JKG
연구	연구/NNG
거점과	거점/NNG+과/JC
유수의	유수/NNG+의/JKG
대학들이	대학/NNG+들/XSN+이/JKS
있어	있/VA+어/EC
우수	우수/NNG
인재를	인재/NNG+를/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
곳”이라고	곳/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.20.6.2
실제로 시안 등 중국 서부지역에는 퀄컴·마이크로소프트(MS)·인텔·도시바·에이치티시(HTC) 등 글로벌 기업들의 공장이 줄줄이 가동 중이다.

실제로	실제로/MAG
시안	시안/NNP
등	등/NNB
중국	중국/NNP
서부지역에는	서부/NNG+지역/NNG+에/JKB+는/JX
퀄컴·마이크로소프트(MS)·인텔·도시바·에이치티시(HTC)	퀄컴/NNP+·/SP+마이크로소프트/NNP+(/SS+MS/SL+)/SS+·/SP+인텔/NNP+·/SP+도시바/NNP+·/SP+에이치티시/NNP+(/SS+HTC/SL+)/SS
글로벌	글로벌/NNG
기업들의	기업/NNG+들/XSN+의/JKG
공장이	공장/NNG+이/JKS
줄줄이	줄줄이/MAG
가동	가동/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.20.7.1
아울러 베이징·상하이·톈진 등 중국 동부 해안지역은 이미 기업이 몰려있는데다 인건비가 가파르게 오르고 있어 시안과 충칭 등 서부지역이 외자기업 및 공장의 부지로 각광받고 있다.

아울러	아울러/MAG
베이징·상하이·톈진	베이징/NNP+·/SP+상하이/NNP+·/SP+톈진/NNP
등	등/NNB
중국	중국/NNP
동부	동부/NNG
해안지역은	해안/NNG+지역/NNG+은/JX
이미	이미/MAG
기업이	기업/NNG+이/JKS
몰려있는데다	몰리/VV+어/EC+있/VX+는/ETM+데/NNB+다/JX
인건비가	인건비/NNG+가/JKS
가파르게	가파르/VA+게/EC
오르고	오르/VV+고/EC
있어	있/VX+어/EC
시안과	시안/NNP+과/JC
충칭	충칭/NNP
서부지역이	서부/NNG+지역/NNG+이/JKS
외자기업	외자/NNG+기업/NNG
및	및/MAG
공장의	공장/NNG+의/JKG
부지로	부지/NNG+로/JKB
각광받고	각광/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.20.7.2
삼성전자의 중국 낸드플래시 공장 진출이 결정된 뒤로 충칭 지역이 유력하다는 이야기가 제기돼왔지만, 최근 보시라이 충칭 당서기가 해임되는 등 정치적 혼란 때문에 충칭은 공장설립지에서 배제된 것으로 알려졌다.

삼성전자의	삼성전자/NNP+의/JKG
중국	중국/NNP
낸드플래시	낸드플래시/NNG
공장	공장/NNG
진출이	진출/NNG+이/JKS
결정된	결정/NNG+되/XSV+ㄴ/ETM
뒤로	뒤/NNG+로/JKB
충칭	충칭/NNP
지역이	지역/NNG+이/JKS
유력하다는	유력/NNG+하/XSA+다는/ETM
이야기가	이야기/NNG+가/JKS
제기돼왔지만,	제기/NNG+되/XSV+어/EC+오/VX+았/EP+지만/EC+,/SP
최근	최근/MAG
보시라이	보시라이/NNP
당서기가	당/NNG+서기/NNG+가/JKS
해임되는	해임/NNG+되/XSV+는/ETM
등	등/NNB
정치적	정치/NNG+적/XSN
혼란	혼란/NNG
때문에	때문/NNB+에/JKB
충칭은	충칭/NNP+은/JX
공장설립지에서	공장/NNG+설립지/NNG+에서/JKB
배제된	배제/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.20.8.1
중국 시안 지역은 향후 삼성전자의 중국 서부 거점으로 부각될 것으로 전망된다.

중국	중국/NNP
시안	시안/NNP
지역은	지역/NNG+은/JX
향후	향후/NNG
삼성전자의	삼성전자/NNP+의/JKG
서부	서부/NNG
거점으로	거점/NNG+으로/JKB
부각될	부각/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.20.8.2
지금까지 중국 서부에는 삼성전자의 판매·생산 시설이 마련돼 있지 않았다.

지금까지	지금/NNG+까지/JX
중국	중국/NNP
서부에는	서부/NNG+에/JKB+는/JX
삼성전자의	삼성전자/NNP+의/JKG
판매·생산	판매/NNG+·/SP+생산/NNG
시설이	시설/NNG+이/JKS
마련돼	마련/NNG+되/XSV+어/EC
있지	있/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.20.8.3
이에 따라 삼성의 반도체 공장 설립을 계기로 시안이 삼성전자가 중국 서부지역으로 진출하는 교두보로 떠오를 것이라는 예상이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
삼성의	삼성/NNP+의/JKG
반도체	반도체/NNG
공장	공장/NNG
설립을	설립/NNG+을/JKO
계기로	계기/NNG+로/JKB
시안이	시안/NNG+이/JKS
삼성전자가	삼성전자/NNP+가/JKS
중국	중국/NNP
서부지역으로	서부/NNG+지역/NNG+으로/JKB
진출하는	진출/NNG+하/XSV+는/ETM
교두보로	교두보/NNG+로/JKB
떠오를	떠오르/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
예상이다.	예상/NNG+이/VCP+다/EF+./SF


