# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.38
metadata : {}


# id : NWRW1800000049.38.1.1
국민지갑 더 얇아졌다

국민지갑	국민/NNG+지갑/NNG
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.38.4.5
2008년 금융위기 때 3개 분기 연속 감소한 적이 있다.

2008년	2008/SN+년/NNB
금융위기	금융/NNG+위기/NNG
때	때/NNG
3개	3/SN+개/NNB
분기	분기/NNG
연속	연속/NNG
감소한	감소/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.38.4.6
이번에는 금융위기 같은 대형 충격이 없었는데도 저성장 국면이 길어져 국민들의 체감경기가 악화되고 있다.

이번에는	이번/NNG+에/JKB+는/JX
금융위기	금융/NNG+위기/NNG
같은	같/VA+은/ETM
대형	대형/NNG
충격이	충격/NNG+이/JKS
없었는데도	없/VA+었/EP+는데/EC+도/JX
저성장	저/XPN+성장/NNG
국면이	국면/NNG+이/JKS
길어져	길어지/VV+어/EC
국민들의	국민/NNG+들/XSN+의/JKG
체감경기가	체감/NNG+경기/NNG+가/JKS
악화되고	악화/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.38.5.1
또 3분기 실질 국내총생산(GDP)은 전 분기보다 0.6% 증가한 것으로 집계됐다.

또	또/MAG
3분기	3/SN+분기/NNG
실질	실질/NNG
국내총생산(GDP)은	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS+은/JX
전	전/MMD
분기보다	분기/NNG+보다/JKB
0.6%	0/SN+./SP+6/SN+%/SW
증가한	증가/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.38.5.2
앞서 10월 발표된 속보치(0.7%)보다 0.1%포인트 낮은 수치다.

앞서	앞서/MAG
10월	10/SN+월/NNB
발표된	발표/NNG+되/XSV+ㄴ/ETM
속보치(0.7%)보다	속보/NNG+치/XSN+(/SS+0/SN+./SP+7/SN+%/SW+)/SS+보다/JKB
0.1%포인트	0/SN+./SP+1/SN+%포인트/NNG
낮은	낮/VA+은/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.38.5.3
9월 들어 건설 투자가 당초 예상보다 부진했고 외국인 관광객의 국내 소비가 줄어든 영향이 컸다.

9월	9/SN+월/NNB
들어	들/VV+어/EC
건설	건설/NNG
투자가	투자/NNG+가/JKS
당초	당초/NNG
예상보다	예상/NNG+보다/JKB
부진했고	부진/NNG+하/XSA+았/EP+고/EC
외국인	외국인/NNG
관광객의	관광객/NNG+의/JKG
국내	국내/NNG
소비가	소비/NNG+가/JKS
줄어든	줄어들/VV+ㄴ/ETM
영향이	영향/NNG+이/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.38.6.1
3분기 성장세가 예상보다 더 꺾이면서 올해 경제 성장률 역시 정부 전망치(2.8%)는 물론이고 한은 전망치(2.7%)를 밑돌 가능성이 커지고 있다.

3분기	3/SN+분기/NNG
성장세가	성장세/NNG+가/JKS
예상보다	예상/NNG+보다/JKB
더	더/MAG
꺾이면서	꺾이/VV+면서/EC
올해	올해/NNG
경제	경제/NNG
성장률	성장/NNG+률/XSN
역시	역시/MAG
정부	정부/NNG
전망치(2.8%)는	전망/NNG+치/XSN+(/SS+2/SN+./SP+8/SN+%/SW+)/SS+는/JX
물론이고	물론/NNG+이/VCP+고/EC
한은	한은/NNP
전망치(2.7%)를	전망/NNG+치/XSN+(/SS+2/SN+./SP+7/SN+%/SW+)/SS+를/JKO
밑돌	밑돌/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.38.7.1
한편 코시 마타이 국제통화기금(IMF) 아시아태평양 담당 부국장은 1일(현지 시간) 뉴욕 맨해튼 코리아소사이어티에서 열린 한국 경제 리뷰 세미나에서 “내년 성장률 전망치(3.0%)를 아마도 내려야 할 것”이라고 밝혔다.

한편	한편/MAG
코시	코시/NNP
마타이	마타이/NNP
국제통화기금(IMF)	국제통화기금/NNP+(/SS+IMF/SL+)/SS
아시아태평양	아시아/NNP+태평양/NNP
담당	담당/NNG
부국장은	부국장/NNG+은/JX
1일(현지	1/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
뉴욕	뉴욕/NNP
맨해튼	맨해튼/NNP
코리아소사이어티에서	코리아소사이어티/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
한국	한국/NNP
경제	경제/NNG
리뷰	리뷰/NNG
세미나에서	세미나/NNG+에서/JKB
“내년	“/SS+내년/NNG
성장률	성장/NNG+률/XSN
전망치(3.0%)를	전망/NNG+치/XSN+(/SS+3/SN+./SP+0/SN+%/SW+)/SS+를/JKO
아마도	아마도/MAG
내려야	내리/VV+어야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.38.7.2
지지부진한 구조개혁 때문에 한국 경제의 중장기 리스크가 커지고 있다는 게 이유다.

지지부진한	지지부진/NNG+하/XSV+ㄴ/ETM
구조개혁	구조/NNG+개혁/NNG
때문에	때문/NNB+에/JKB
한국	한국/NNP
경제의	경제/NNG+의/JKG
중장기	중장기/NNG
리스크가	리스크/NNG+가/JKS
커지고	커지/VV+고/EC
있다는	있/VX+다는/ETM
게	거/NNB+이/JKS
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.38.8.1
그는 △높은 가계부채 △고령화에 따른 노동인구 감소 △여성 및 젊은층의 노동시장 참여율 저조 △경제협력개발기구(OECD) 최하위 수준의 노동생산성 △내수와 서비스업 주도형으로의 경제구조 전환 지연 등을 한국 경제의 위기 요소로 지목했다.

그는	그/NP+는/JX
△높은	△/SW+높/VA+은/ETM
가계부채	가계/NNG+부채/NNG
△고령화에	△/SW+고령/NNG+화/XSN+에/JKB
따른	따르/VV+ㄴ/ETM
노동인구	노동/NNG+인구/NNG
감소	감소/NNG
△여성	△/SW+여성/NNG
및	및/MAG
젊은층의	젊/VA+은/ETM+층/NNG+의/JKG
노동시장	노동/NNG+시장/NNG
참여율	참여/NNG+율/XSN
저조	저조/NNG
△경제협력개발기구(OECD)	△/SW+경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
최하위	최/XPN+하위/NNG
수준의	수준/NNG+의/JKG
노동생산성	노동/NNG+생산/NNG+성/XSN
△내수와	△/SW+내수/NNG+와/JC
서비스업	서비스업/NNG
주도형으로의	주도/NNG+형/XSN+으로/JKB+의/JKG
경제구조	경제/NNG+구조/NNG
전환	전환/NNG
지연	지연/NNG
등을	등/NNB+을/JKO
한국	한국/NNP
경제의	경제/NNG+의/JKG
위기	위기/NNG
요소로	요소/NNG+로/JKB
지목했다.	지목/NNG+하/XSV+았/EP+다/EF+./SF


