# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.199
metadata : {}


# id : NWRW1800000024.199.1.1
팔미도, 개방 6개월만에 통제 위기

팔미도,	팔미도/NNP+,/SP
보호를	보호/NNG+를/JKO
위해	위하/VV+아/EC
긴급한	긴급/NNG+하/XSA+ㄴ/ETM
조처가	조처/NNG+가/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
인정되는	인정/NNG+되/XSV+는/ETM
경우	경우/NNG
준보전	준/XPN+보전/NNG
무인도서의	무인/NNG+도서/NNG+의/JKG
전부나	전부/NNG+나/JC
일부에	일부/NNG+에/JKB
대해	대하/VV+아/EC
일정	일정/NNG
기간	기간/NNG
출입을	출입/NNG+을/JKO
제한할	제한/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.199.5.1
군부대 쪽의 요구대로 팔미도가 준보전 무인도서로 지정되면 사실상 시민들은 출입제한 조처를 받는 것과 마찬가지여서 우려의 목소리도 나온다.

군부대	군부대/NNG
쪽의	쪽/NNB+의/JKG
요구대로	요구/NNG+대로/JX
팔미도가	팔미도/NNP+가/JKS
준보전	준/XPN+보전/NNG
무인도서로	무인/NNG+도서/NNG+로/JKB
지정되면	지정/NNG+되/XSV+면/EC
사실상	사실/NNG+상/XSN
시민들은	시민/NNG+들/XSN+은/JX
출입제한	출입/NNG+제한/NNG
조처를	조처/NNG+를/JKO
받는	받/VV+는/ETM
것과	것/NNB+과/JKB
마찬가지여서	마찬가지/NNG+이/VCP+어서/EC
우려의	우려/NNG+의/JKG
목소리도	목소리/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.199.6.1
현재 팔미도는 하루에 1000명의 관광객들이 찾고 있다.

현재	현재/MAG
팔미도는	팔미도/NNP+는/JX
하루에	하루/NNG+에/JKB
1000명의	1000/SN+명/NNB+의/JKG
관광객들이	관광객/NNG+들/XSN+이/JKS
찾고	찾/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.199.6.2
팔미도는 인천항에서 약 14㎞ 떨어진 남서쪽 해상에 있는 무인도로 우리나라 최초의 등대가 있고 천혜의 자연환경을 갖춰 시민들에게 개방된 뒤 관광지로 각광받아왔다.

팔미도는	팔미도/NNP+는/JX
인천항에서	인천항/NNP+에서/JKB
약	약/MMA
14㎞	14/SN+㎞/SW
떨어진	떨어지/VV+ㄴ/ETM
남서쪽	남서쪽/NNG
해상에	해상/NNG+에/JKB
있는	있/VA+는/ETM
무인도로	무인도/NNG+로/JKB
우리나라	우리나라/NNG
최초의	최초/NNG+의/JKG
등대가	등대/NNG+가/JKS
있고	있/VA+고/EC
천혜의	천혜/NNG+의/JKG
자연환경을	자연환경/NNG+을/JKO
갖춰	갖추/VV+어/EC
시민들에게	시민/NNG+들/XSN+에게/JKB
개방된	개방/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
관광지로	관광지/NNG+로/JKB
각광받아왔다.	각광/NNG+받/XSV+아/EC+오/VX+았/EP+다/EF+./SF


