# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.316
metadata : {}


# id : NWRW1800000022.316.1.1
[여성 프로페셔널] 김연희 베인&컴퍼니 대표; "感보다 데이터, 책상보다 현장"

[여성	[/SS+여성/NNG
그는	그/NP+는/JX
'제대로	'/SS+제대로/MAG
말하는	말/NNG+하/XSV+는/ETM
연습'을	연습/NNG+'/SS+을/JKO
하기	하/VV+기/ETN
위해	위하/VV+아/EC
꼬박꼬박	꼬박꼬박/MAG
하루	하루/NNG
20~30분씩	20/SN+~/SO+30/SN+분/NNB+씩/XSN
본인이	본인/NNG+이/JKS
장면을	장면/NNG+을/JKO
비디오로	비디오/NNG+로/JKB
녹화해	녹화/NNG+하/XSV+아/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.316.6.1
현재 16세인 아들을 임신했을 때는 만삭인 상태로 출산 예정일 이틀 전까지 출근했다.

현재	현재/MAG
16세인	16/SN+세/NNB+이/VCP+ㄴ/ETM
아들을	아들/NNG+을/JKO
임신했을	임신/NNG+하/XSV+았/EP+을/ETM
때는	때/NNG+는/JX
만삭인	만삭/NNG+이/VCP+ㄴ/ETM
상태로	상태/NNG+로/JKB
출산	출산/NNG
예정일	예정일/NNG
이틀	이틀/NNG
전까지	전/NNG+까지/JX
출근했다.	출근/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.316.6.2
꿈에서까지 일한 적도 다반사이다.

꿈에서까지	꿈/NNG+에서/JKB+까지/JX
일한	일/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
다반사이다.	다반사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.316.6.3
그는 "꿈속에서 떠오른 아이디어를 갖고 회의에 들어갔다 풀리지 않은 문제를 풀어 낸 적도 있다"고 말했다.

그는	그/NP+는/JX
"꿈속에서	"/SS+꿈속/NNG+에서/JKB
떠오른	떠오르/VV+ㄴ/ETM
아이디어를	아이디어/NNG+를/JKO
갖고	갖/VV+고/EC
회의에	회의/NNG+에/JKB
들어갔다	들어가/VV+았/EP+다/EC
풀리지	풀리/VV+지/EC
않은	않/VX+은/ETM
문제를	문제/NNG+를/JKO
풀어	풀/VV+어/EC
낸	내/VX+ㄴ/ETM
적도	적/NNB+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.316.7.1
이런 노력 덕택에 그는 업계에서 '독(毒)한 기업회생 전문가'라는 별명을 얻었다.

이런	이런/MMD
노력	노력/NNG
덕택에	덕택/NNG+에/JKB
그는	그/NP+는/JX
업계에서	업계/NNG+에서/JKB
'독(毒)한	'/SS+독/NNG+(/SS+毒/SH+)/SS+하/XSA+ㄴ/ETM
기업회생	기업/NNG+회생/NNG
전문가'라는	전문가/NNG+'/SS+이/VCP+라는/ETM
별명을	별명/NNG+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.316.7.2
그는 IMF 금융위기 이후 국내 첫 매각 은행의 기업회생 전략 프로젝트를 맡았다.

그는	그/NP+는/JX
IMF	IMF/SL
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
국내	국내/NNG
첫	첫/MMN
매각	매각/NNG
은행의	은행/NNG+의/JKG
기업회생	기업/NNG+회생/NNG
전략	전략/NNG
프로젝트를	프로젝트/NNG+를/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.316.7.3
또다른 그의 성공비결은 책상머리보다는 현장을 늘 가까이 했다는 점이다.

또다른	또/MAG+다른/MMD
그의	그/NP+의/JKG
성공비결은	성공/NNG+비결/NNG+은/JX
책상머리보다는	책상머리/NNG+보다/JKB+는/JX
현장을	현장/NNG+을/JKO
늘	늘/MAG
가까이	가까이/MAG
했다는	하/VV+았/EP+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.316.8.1
"직관이나 '감'에 의존하는 한국의 기업 경영과 달리 서구 기업들은 철저히 데이터에 기반한 계량적 분석을 중시합니다.

"직관이나	"/SS+직관/NNG+이나/JC
'감'에	'/SS+감/NNG+'/SS+에/JKB
의존하는	의존/NNG+하/XSV+는/ETM
한국의	한국/NNP+의/JKG
기업	기업/NNG
경영과	경영/NNG+과/JKB
달리	달리/MAG
서구	서구/NNG
기업들은	기업/NNG+들/XSN+은/JX
철저히	철저히/MAG
데이터에	데이터/NNG+에/JKB
기반한	기반/NNG+하/XSV+ㄴ/ETM
계량적	계량/NNG+적/XSN
분석을	분석/NNG+을/JKO
중시합니다.	중시/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000022.316.8.2
'결국 데이터가 모든 것을 말해준다'는 생각으로 정직하게 데이터분석에 매달렸던 것도 이 때문이죠."

'결국	'/SS+결국/MAG
데이터가	데이터/NNG+가/JKS
모든	모든/MMN
것을	것/NNB+을/JKO
말해준다'는	말/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+'/SS+는/ETM
생각으로	생각/NNG+으로/JKB
정직하게	정직/NNG+하/XSA+게/EC
데이터분석에	데이터/NNG+분석/NNG+에/JKB
매달렸던	매달리/VV+었/EP+던/ETM
것도	것/NNB+도/JX
이	이/NP
때문이죠."	때문/NNB+이/VCP+죠/EF+./SF+"/SS


# id : NWRW1800000022.316.9.1
데이터 분석과 함께 각종 전문가, 재계 CEO, 고위 임원 등 '현장 전문가 그룹' 네트워크를 활용해 각종 경영 관련 정보를 모으는 방식으로 자신의 경쟁력을 높이고 있다.

데이터	데이터/NNG
분석과	분석/NNG+과/JKB
함께	함께/MAG
각종	각종/NNG
전문가,	전문가/NNG+,/SP
재계	재계/NNG
CEO,	CEO/SL+,/SP
고위	고위/NNG
임원	임원/NNG
등	등/NNB
'현장	'/SS+현장/NNG
전문가	전문가/NNG
그룹'	그룹/NNG+'/SS
네트워크를	네트워크/NNG+를/JKO
활용해	활용/NNG+하/XSV+아/EC
경영	경영/NNG
관련	관련/NNG
정보를	정보/NNG+를/JKO
모으는	모으/VV+는/ETM
방식으로	방식/NNG+으로/JKB
자신의	자신/NNG+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
높이고	높이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.316.10.1
이런 그에게 가장 힘들었던 점은 무엇일까?

이런	이런/MMD
그에게	그/NP+에게/JKB
가장	가장/MAG
힘들었던	힘들/VA+었/EP+던/ETM
점은	점/NNG+은/JX
무엇일까?	무엇/NP+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000022.316.10.2
대답은 의외로 '아랫 사람들과의 관계'였다.

대답은	대답/NNG+은/JX
의외로	의외로/MAG
'아랫	'/SS+아랫/NNG
사람들과의	사람/NNG+들/XSN+과/JKB+의/JKG
관계'였다.	관계/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.316.10.3
"젊고 합리적인 사고를 가진 남성 컨설턴트들에게도 '여자 상사'라는 존재는 편하고 쉽지 않은 것 같았어요."

"젊고	"/SS+젊/VA+고/EC
합리적인	합리/NNG+적/XSN+이/VCP+ㄴ/ETM
사고를	사고/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
남성	남성/NNG
컨설턴트들에게도	컨설턴트/NNG+들/XSN+에게/JKB+도/JX
'여자	'/SS+여자/NNG
상사'라는	상사/NNG+'/SS+이/VCP+라는/ETM
존재는	존재/NNG+는/JX
편하고	편하/VA+고/EC
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
것	것/NNB
같았어요."	같/VA+았/EP+어요/EF+./SF+"/SS


# id : NWRW1800000022.316.11.1
그는 "일을 잣대로 후배들을 몰아친 적도 있었는데, 그들이 회사를 떠나는 모습을 보며 '일과 사람을 따로 떼어내 생각하자'라고 생각한 적도 있었다"고 말했다.

그는	그/NP+는/JX
"일을	"/SS+일/NNG+을/JKO
잣대로	잣대/NNG+로/JKB
후배들을	후배/NNG+들/XSN+을/JKO
몰아친	몰아치/VV+ㄴ/ETM
적도	적/NNB+도/JX
있었는데,	있/VA+었/EP+는데/EC+,/SP
그들이	그/NP+들/XSN+이/JKS
회사를	회사/NNG+를/JKO
떠나는	떠나/VV+는/ETM
모습을	모습/NNG+을/JKO
보며	보/VV+며/EC
'일과	'/SS+일/NNG+과/JC
사람을	사람/NNG+을/JKO
따로	따로/MAG
떼어내	떼/VV+어/EC+내/VX+어/EC
생각하자'라고	생각/NNG+하/XSV+자/EF+'/SS+라고/JKQ
생각한	생각/NNG+하/XSV+ㄴ/ETM
있었다"고	있/VA+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.316.12.1
그는 여성 후배들에게 "항상 자신의 '타이틀'에 걸맞은 삶을 살라"고 주문한다.

그는	그/NP+는/JX
여성	여성/NNG
후배들에게	후배/NNG+들/XSN+에게/JKB
"항상	"/SS+항상/MAG
자신의	자신/NNG+의/JKG
'타이틀'에	'/SS+타이틀/NNG+'/SS+에/JKB
걸맞은	걸맞/VA+은/ETM
삶을	삶/NNG+을/JKO
살라"고	살/VV+라/EF+"/SS+고/JKQ
주문한다.	주문/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.316.12.2
"늘 자신이 서 있는 위치에서 회사가 나에게 뭘 요구하는지, 현재 내가 해내야 할 일은 뭔지 염두에 두고 살았습니다.

"늘	"/SS+늘/MAG
자신이	자신/NNG+이/JKS
서	서/VV+어/EC
있는	있/VX+는/ETM
위치에서	위치/NNG+에서/JKB
회사가	회사/NNG+가/JKS
나에게	나/NP+에게/JKB
뭘	뭐/NP+ㄹ/JKO
요구하는지,	요구/NNG+하/XSV+는지/EC+,/SP
현재	현재/MAG
내가	내/NP+가/JKS
해내야	해내/VV+어야/EC
할	하/VX+ㄹ/ETM
일은	일/NNG+은/JX
뭔지	뭐/NP+이/VCP+ㄴ지/EC
염두에	염두/NNG+에/JKB
두고	두/VV+고/EC
살았습니다.	살/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000022.316.12.3
3년은커녕 1년 앞도 내다보지 않고 살 정도로 현실에 충실했던 게 성공의 비결이라면 비결입니다."

3년은커녕	3/SN+년/NNB+은커녕/JX
1년	1/SN+년/NNB
앞도	앞/NNG+도/JX
내다보지	내다보/VV+지/EC
않고	않/VX+고/EC
살	살/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
현실에	현실/NNG+에/JKB
충실했던	충실/NNG+하/XSA+았/EP+던/ETM
게	거/NNB+이/JKS
성공의	성공/NNG+의/JKG
비결이라면	비결/NNG+이/VCP+라면/EC
비결입니다."	비결/NNG+이/VCP+ㅂ니다/EF+./SF+"/SS


