# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.89
metadata : {}


# id : NWRW1800000032.89.1.1
튀니지 이어 이집트·알제리서도 /벼랑끝 몰린 서민들 분신 잇따라

튀니지	튀니지/NNP
사람들이	사람/NNG+들/XSN+이/JKS
따를	따르/VV+ㄹ/ETM
모델”이라며	모델/NNG+”/SS+이/VCP+라며/EC
“독재자와	“/SS+독재자/NNG+와/JC
독재	독재/NNG
정권의	정권/NNG+의/JKG
시대는	시대/NNG+는/JX
끝나고	끝나/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.89.9.1
한편 23년 독재정치를 펼치던 자인 엘아비딘 벤알리 대통령이 쫓겨난 튀니지에서는 17일 과도정부가 구성됐으나 벤알리 정권의 장관들 상당수가 그대로 남아 시위가 계속되고 있다.

한편	한편/MAG
23년	23/SN+년/NNB
독재정치를	독재/NNG+정치/NNG+를/JKO
펼치던	펼치/VV+던/ETM
자인	자인/NNP
엘아비딘	엘아비딘/NNP
벤알리	벤알리/NNP
대통령이	대통령/NNG+이/JKS
쫓겨난	쫓겨나/VV+ㄴ/ETM
튀니지에서는	튀니지/NNP+에서/JKB+는/JX
17일	17/SN+일/NNB
과도정부가	과도/NNG+정부/NNG+가/JKS
구성됐으나	구성/NNG+되/XSV+었/EP+으나/EC
정권의	정권/NNG+의/JKG
장관들	장관/NNG+들/XSN
상당수가	상당수/NNG+가/JKS
그대로	그대로/MAG
남아	남/VV+아/EC
시위가	시위/NNG+가/JKS
계속되고	계속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.89.9.2
시위대는 벤알리 전 대통령의 정당인 입헌민주연합(RCD)을 해체하라고 요구하고 있다.

시위대는	시위대/NNG+는/JX
벤알리	벤알리/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
정당인	정당/NNG+이/VCP+ㄴ/ETM
입헌민주연합(RCD)을	입헌민주연합/NNP+(/SS+RCD/SL+)/SS+을/JKO
해체하라고	해체/NNG+하/XSV+라고/EC
요구하고	요구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


