# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.18
metadata : {}


# id : NWRW1800000028.18.1.1
재개발 상세정보 인터넷서 본다

재개발	재/XPN+개발/NNG
개설했다고	개설/NNG+하/XSV+았/EP+다고/EC
14일	14/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.18.3.2
서울시는 지난해 철거민 등 6명이 희생된 용산참사 이후 재발 방지를 위해 도시 정비사업과 관련한 제도 개선을 추진해왔다.

서울시는	서울시/NNP+는/JX
지난해	지난해/NNG
철거민	철거민/NNG
등	등/NNB
6명이	6/SN+명/NNB+이/JKS
희생된	희생/NNG+되/XSV+ㄴ/ETM
용산참사	용산/NNP+참사/NNG
이후	이후/NNG
재발	재발/NNG
방지를	방지/NNG+를/JKO
위해	위하/VV+아/EC
도시	도시/NNG
정비사업과	정비/NNG+사업/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
제도	제도/NNG
개선을	개선/NNG+을/JKO
추진해왔다.	추진/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.18.3.3
이날 공개한 클린업 시스템 홈페이지는 시가 추진중인 정비사업 공공관리제도의 핵심 기반이라고 시는 설명했다.

이날	이날/NNG
공개한	공개/NNG+하/XSV+ㄴ/ETM
클린업	클린업/NNG
시스템	시스템/NNG
홈페이지는	홈페이지/NNG+는/JX
시가	시/NNG+가/JKS
추진중인	추진/NNG+중/NNB+이/VCP+ㄴ/ETM
정비사업	정비/NNG+사업/NNG
공공관리제도의	공공/NNG+관리/NNG+제도/NNG+의/JKG
핵심	핵심/NNG
기반이라고	기반/NNG+이/VCP+라고/EC
시는	시/NNG+는/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.18.4.1
이 시스템에는 현행 ‘도시 및 주거환경정비법’(도정법)에 의무적으로 공개하게 돼 있는 용역업체 선정 계약서, 의사록, 공문서, 회계감사 보고서 등 7개 항목의 정보가 일목요연하게 실려 있다.

이	이/MMD
시스템에는	시스템/NNG+에/JKB+는/JX
현행	현행/NNG
‘도시	‘/SS+도시/NNG
및	및/MAG
주거환경정비법’(도정법)에	주거/NNG+환경/NNG+정비법/NNG+’/SS+(/SS+도정법/NNG+)/SS+에/JKB
의무적으로	의무/NNG+적/XSN+으로/JKB
공개하게	공개/NNG+하/XSV+게/EC
돼	되/VV+어/EC
있는	있/VX+는/ETM
용역업체	용역업체/NNG
선정	선정/NNG
계약서,	계약서/NNG+,/SP
의사록,	의사록/NNG+,/SP
공문서,	공문서/NNG+,/SP
회계감사	회계/NNG+감사/NNG
보고서	보고서/NNG
등	등/NNB
7개	7/SN+개/NNB
항목의	항목/NNG+의/JKG
정보가	정보/NNG+가/JKS
일목요연하게	일목요연하/VA+게/EC
실려	실리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.18.4.2
또 법률상 공개 의무 항목이 아닌 월별 자금 유출입 내역, 사업비 변경 내역 등 8개 항목의 정보도 조합에 따라 이미 공개해놓았다.

또	또/MAG
법률상	법률/NNG+상/XSN
공개	공개/NNG
의무	의무/NNG
항목이	항목/NNG+이/JKS
아닌	아니/VCN+ㄴ/ETM
월별	월/NNG+별/XSN
자금	자금/NNG
유출입	유출입/NNG
내역,	내역/NNG+,/SP
사업비	사업비/NNG
변경	변경/NNG
내역	내역/NNG
등	등/NNB
8개	8/SN+개/NNB
항목의	항목/NNG+의/JKG
정보도	정보/NNG+도/JX
조합에	조합/NNG+에/JKB
따라	따르/VV+아/EC
이미	이미/MAG
공개해놓았다.	공개/NNG+하/XSV+아/EC+놓/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.18.5.1
시는 이 8개 항목의 공개 의무화가 현재 국회에 계류중인 도정법 개정안에 반영되도록 국토해양부와 국회에 건의하기로 했다.

시는	시/NNG+는/JX
이	이/MMD
8개	8/SN+개/NNB
항목의	항목/NNG+의/JKG
공개	공개/NNG
의무화가	의무/NNG+화/XSN+가/JKS
현재	현재/MAG
국회에	국회/NNG+에/JKB
계류중인	계류/NNG+중/NNB+이/VCP+ㄴ/ETM
도정법	도정법/NNG
개정안에	개정안/NNG+에/JKB
반영되도록	반영/NNG+되/XSV+도록/EC
국토해양부와	국토/NNG+해양부/NNG+와/JC
건의하기로	건의/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.18.5.2
김효수 서울시 주택국장은 “도정법 개정안은 이르면 2월 국회에서 통과될 것으로 보인다”며 “법 개정 전이라도 이 항목들의 정보를 공개하도록 조합 쪽에 권유하고 있다”고 말했다.

김효수	김효수/NNP
서울시	서울시/NNP
주택국장은	주택/NNG+국장/NNG+은/JX
“도정법	“/SS+도정법/NNG
개정안은	개정안/NNG+은/JX
이르면	이르/VA+면/EC
2월	2/SN+월/NNB
국회에서	국회/NNG+에서/JKB
통과될	통과/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“법	“/SS+법/NNG
개정	개정/NNG
전이라도	전/NNG+이/VCP+라도/EC
이	이/MMD
항목들의	항목/NNG+들/XSN+의/JKG
정보를	정보/NNG+를/JKO
공개하도록	공개/NNG+하/XSV+도록/EC
조합	조합/NNG
쪽에	쪽/NNB+에/JKB
권유하고	권유/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.18.5.3
세입자들도 홈페이지에 본인 정보만 입력하면 세입자 대책 예정자 여부를 조회할 수 있고, 관리처분 단계에서는 개인별 임대아파트 입주 정보와 보상 금액까지 확인할 수 있다.

세입자들도	세입자/NNG+들/XSN+도/JX
홈페이지에	홈페이지/NNG+에/JKB
본인	본인/NNG
정보만	정보/NNG+만/JX
입력하면	입력/NNG+하/XSV+면/EC
세입자	세입자/NNG
대책	대책/NNG
예정자	예정자/NNG
여부를	여부/NNG+를/JKO
조회할	조회/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
관리처분	관리/NNG+처분/NNG
단계에서는	단계/NNG+에서/JKB+는/JX
개인별	개인/NNG+별/XSN
임대아파트	임대/NNG+아파트/NNG
입주	입주/NNG
정보와	정보/NNG+와/JC
보상	보상/NNG
금액까지	금액/NNG+까지/JX
확인할	확인/NNG+하/XSV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.18.6.1
이와 함께 시는 조합원이 사업 초기인 조합설립 단계에서 분담금을 얼마나 내야 하는지 알 수 있도록 ‘사업비 및 분담금 추정 프로그램’도 개발해, 이르면 3월부터 클린업시스템에 올릴 예정이다.

이와	이/NP+와/JKB
함께	함께/MAG
시는	시/NNG+는/JX
조합원이	조합원/NNG+이/JKS
사업	사업/NNG
초기인	초기/NNG+이/VCP+ㄴ/ETM
조합설립	조합/NNG+설립/NNG
단계에서	단계/NNG+에서/JKB
분담금을	분담금/NNG+을/JKO
얼마나	얼마나/MAG
내야	내/VV+어야/EC
하는지	하/VX+는지/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
‘사업비	‘/SS+사업비/NNG
및	및/MAG
분담금	분담금/NNG
추정	추정/NNG
프로그램’도	프로그램/NNG+’/SS+도/JX
개발해,	개발/NNG+하/XSV+아/EC+,/SP
이르면	이르/VA+면/EC
3월부터	3/SN+월/NNB+부터/JX
클린업시스템에	클린업시스템/NNG+에/JKB
올릴	올리/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.18.6.2
그동안 철거와 착공 직전인 관리처분인가 단계에서 뒤늦게 사업비와 분담금 내용을 공개해 재개발·재건축 분쟁의 주요 원인이 됐던 만큼, 이 프로그램이 나오면 이런 분쟁이 줄어들 것으로 시는 기대했다.

그동안	그동안/NNG
철거와	철거/NNG+와/JC
착공	착공/NNG
직전인	직전/NNG+이/VCP+ㄴ/ETM
관리처분인가	관리/NNG+처분/NNG+인가/NNG
단계에서	단계/NNG+에서/JKB
뒤늦게	뒤늦/VA+게/EC
사업비와	사업비/NNG+와/JC
분담금	분담금/NNG
내용을	내용/NNG+을/JKO
공개해	공개/NNG+하/XSV+아/EC
재개발·재건축	재/XPN+개발/NNG+·/SP+재/XPN+건축/NNG
분쟁의	분쟁/NNG+의/JKG
주요	주요/NNG
원인이	원인/NNG+이/JKC
됐던	되/VV+었/EP+던/ETM
만큼,	만큼/NNB+,/SP
이	이/MMD
프로그램이	프로그램/NNG+이/JKS
나오면	나오/VV+면/EC
이런	이런/MMD
분쟁이	분쟁/NNG+이/JKS
줄어들	줄어들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
시는	시/NNG+는/JX
기대했다.	기대/NNG+하/XSV+았/EP+다/EF+./SF


