# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.275
metadata : {}


# id : NWRW1800000032.275.1.1
이국철 “검사장급 11명에 구명로비”

이국철	이국철/NNP
숫자가	숫자/NNG+가/JKS
더	더/MAG
늘어난	늘어나/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.275.5.1
<오마이뉴스> 보도를 보면, 이 회장은 비망록에서 김씨뿐만 아니라, 이상득 의원의 보좌관인 박아무개씨에게 로비를 시도한 대영로직스 문아무개 대표(구속)를 통해서도 검찰 간부에게 로비를 했다고 주장했다.

<오마이뉴스>	</SS+오마이뉴스/NNP+>/SS
보도를	보도/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
이	이/NNP
회장은	회장/NNG+은/JX
비망록에서	비망록/NNG+에서/JKB
김씨뿐만	김/NNP+씨/NNB+뿐/JX+만/JX
아니라,	아니/VCN+라/EC+,/SP
이상득	이상득/NNP
의원의	의원/NNG+의/JKG
보좌관인	보좌관/NNG+이/VCP+ㄴ/ETM
박아무개씨에게	박/NNP+아무개/NP+씨/NNB+에게/JKB
로비를	로비/NNG+를/JKO
시도한	시도/NNG+하/XSV+ㄴ/ETM
대영로직스	대영로직스/NNP
문아무개	문/NNP+아무개/NP
대표(구속)를	대표/NNG+(/SS+구속/NNG+)/SS+를/JKO
통해서도	통하/VV+아서/EC+도/JX
검찰	검찰/NNG
간부에게	간부/NNG+에게/JKB
했다고	하/VV+았/EP+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.275.5.2
문 대표가 검찰 로비용 자금이라며 돈을 요구해 “(한번에) 2억~3억원씩, 2주일에 한번씩 계속 줬”고, “2010년 11월에는 문씨가 (검찰 간부) ㅈ씨에게 전달한다며 박 보좌관이 움직일 자금과 함께 1억원을 요구해서 서울 금호역 ㅎ마트 앞에서 1억원을 전달하고, (나중에) 같은 장소에서 5000만원을 추가로 전달”했으며, “2011년 8월께 문씨가 큰누님 집으로 와서 ‘검찰 고위층에게 인사해야 한다’며 9만불을 가지고 갔다”는 것이다.

문	문/NNP
대표가	대표/NNG+가/JKS
검찰	검찰/NNG
로비용	로비/NNG+용/XSN
자금이라며	자금/NNG+이/VCP+라며/EC
돈을	돈/NNG+을/JKO
요구해	요구/NNG+하/XSV+아/EC
“(한번에)	“/SS+(/SS+한/MMN+번/NNB+에/JKB+)/SS
2억~3억원씩,	2/SN+억/NR+~/SO+3/SN+억/NR+원/NNB+씩/XSN+,/SP
2주일에	2/SN+주일/NNB+에/JKB
한번씩	한/MMN+번/NNB+씩/XSN
계속	계속/MAG
줬”고,	주/VV+었/EP+”/SS+고/EC+,/SP
“2010년	“/SS+2010/SN+년/NNB
11월에는	11/SN+월/NNB+에/JKB+는/JX
문씨가	문/NNP+씨/NNB+가/JKS
(검찰	(/SS+검찰/NNG
간부)	간부/NNG+)/SS
ㅈ씨에게	ㅈ/NNG+씨/NNB+에게/JKB
전달한다며	전달/NNG+하/XSV+ㄴ다며/EC
박	박/NNP
보좌관이	보좌관/NNG+이/JKS
움직일	움직이/VV+ㄹ/ETM
자금과	자금/NNG+과/JKB
함께	함께/MAG
1억원을	1/SN+억/NR+원/NNB+을/JKO
요구해서	요구/NNG+하/XSV+아서/EC
서울	서울/NNP
금호역	금호역/NNP
ㅎ마트	ㅎ/NNG+마트/NNG
앞에서	앞/NNG+에서/JKB
전달하고,	전달/NNG+하/XSV+고/EC+,/SP
(나중에)	(/SS+나중/NNG+에/JKB+)/SS
같은	같/VA+은/ETM
장소에서	장소/NNG+에서/JKB
5000만원을	5000/SN+만/NR+원/NNB+을/JKO
추가로	추가/NNG+로/JKB
전달”했으며,	전달/NNG+”/SS+하/XSV+았/EP+으며/EC+,/SP
“2011년	“/SS+2011/SN+년/NNB
8월께	8/SN+월/NNB+께/XSN
큰누님	큰누님/NNG
집으로	집/NNG+으로/JKB
와서	오/VV+아서/EC
‘검찰	‘/SS+검찰/NNG
고위층에게	고위/NNG+층/XSN+에게/JKB
인사해야	인사/NNG+하/XSV+아야/EC
한다’며	하/VX+ㄴ다/EF+’/SS+며/EC
9만불을	9/SN+만/NR+불/NNB+을/JKO
가지고	가지/VV+고/EC
갔다”는	가/VV+았/EP+다/EF+”/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.275.6.1
이 회장은 현금 말고도 검찰 로비용으로 문 대표에게 명품시계 4점을 건넸다고 주장했다.

이	이/NNP
회장은	회장/NNG+은/JX
현금	현금/NNG
말고도	말/VV+고/EC+도/JX
검찰	검찰/NNG
로비용으로	로비/NNG+용/XSN+으로/JKB
문	문/NNP
대표에게	대표/NNG+에게/JKB
명품시계	명품/NNG+시계/NNG
4점을	4/SN+점/NNB+을/JKO
건넸다고	건네/VV+었/EP+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.275.6.2
1000만원대 오메가 시계는 지검 간부 ㅇ씨에게, 수백만원대 카르티에 시계는 대검 간부인 ㅈ씨와 박 보좌관에게 갔고, 프랭크 뮬러 시계는 문 대표가 소지했다는 게 이 회장의 주장이다.

1000만원대	1000/SN+만/NR+원/NNB+대/XSN
오메가	오메가/NNP
시계는	시계/NNG+는/JX
지검	지검/NNG
간부	간부/NNG
ㅇ씨에게,	ㅇ/NNG+씨/NNB+에게/JKB+,/SP
수백만원대	수백만/NR+원/NNB+대/XSN
카르티에	카르티에/NNP
대검	대검/NNG
간부인	간부/NNG+이/VCP+ㄴ/ETM
ㅈ씨와	ㅈ/NNG+씨/NNB+와/JC
박	박/NNP
보좌관에게	보좌관/NNG+에게/JKB
갔고,	가/VV+았/EP+고/EC+,/SP
프랭크	프랭크/NNP
뮬러	뮬러/NNP
문	문/NNP
대표가	대표/NNG+가/JKS
소지했다는	소지/NNG+하/XSV+았/EP+다는/ETM
게	거/NNB+이/JKS
이	이/NNP
회장의	회장/NNG+의/JKG
주장이다.	주장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.275.7.1
‘룸살롱 접대’도 등장한다.

‘룸살롱	‘/SS+룸살롱/NNG
접대’도	접대/NNG+’/SS+도/JX
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.275.7.2
사업가 김씨가 법무부 간부 ㅇ씨의 친구인 한 대학교수를 ㅇ씨에게 보내 룸살롱에서 술을 마시면서 수사 무마 로비를 했다는 것이다.

사업가	사업가/NNG
김씨가	김/NNP+씨/NNB+가/JKS
법무부	법무부/NNG
간부	간부/NNG
ㅇ씨의	ㅇ/NNG+씨/NNB+의/JKG
친구인	친구/NNG+이/VCP+ㄴ/ETM
한	한/MMN
대학교수를	대학교수/NNG+를/JKO
ㅇ씨에게	ㅇ/NNG+씨/NNB+에게/JKB
보내	보내/VV+어/EC
룸살롱에서	룸살롱/NNG+에서/JKB
술을	술/NNG+을/JKO
마시면서	마시/VV+면서/EC
수사	수사/NNG
무마	무마/NNG
로비를	로비/NNG+를/JKO
했다는	하/VV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.275.7.3
이 회장은 “당시 김씨는 ‘그 교수가 룸살롱에서 ㅇ씨를 접대하면서 충분히 설명했다.

이	이/NNP
회장은	회장/NNG+은/JX
“당시	“/SS+당시/NNG
김씨는	김/NNP+씨/NNB+는/JX
‘그	‘/SS+그/MMD
교수가	교수/NNG+가/JKS
룸살롱에서	룸살롱/NNG+에서/JKB
ㅇ씨를	ㅇ/NNG+씨/NNB+를/JKO
접대하면서	접대/NNG+하/XSV+면서/EC
충분히	충분히/MAG
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.275.7.4
검찰이 쉽게 영장을 치지 못할 것’이라고 내게 말했다”고 주장했다.

검찰이	검찰/NNG+이/JKS
쉽게	쉽/VA+게/EC
영장을	영장/NNG+을/JKO
치지	치/VV+지/EC
못할	못하/VX+ㄹ/ETM
것’이라고	것/NNB+’/SS+이라고/JKQ
내게	나/NP+에게/JKB
말했다”고	말/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.275.7.5
이 회장은 전직 검찰 고위급 인사 ㄱ씨와 직접 만나 구명 로비를 했다는 주장도 폈다.

이	이/NNP
회장은	회장/NNG+은/JX
전직	전직/NNG
검찰	검찰/NNG
고위급	고위급/NNG
인사	인사/NNG
ㄱ씨와	ㄱ/NNG+씨/NNB+와/JKB
직접	직접/MAG
만나	만나/VV+아/EC
구명	구명/NNG
로비를	로비/NNG+를/JKO
했다는	하/VV+았/EP+다는/ETM
주장도	주장/NNG+도/JX
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.275.7.6
값비싼 레스토랑에서 만났는데 이 인사는 “에스엘에스 사건을 수사하면 정권이 많이 부담스러워진다”고 말했다는 것이다.

값비싼	값비싸/VA+ㄴ/ETM
레스토랑에서	레스토랑/NNG+에서/JKB
만났는데	만나/VV+았/EP+는데/EC
이	이/MMD
인사는	인사/NNG+는/JX
“에스엘에스	“/SS+에스엘에스/NNP
사건을	사건/NNG+을/JKO
수사하면	수사/NNG+하/XSV+면/EC
정권이	정권/NNG+이/JKS
많이	많이/MAG
부담스러워진다”고	부담/NNG+스럽/XSA+어/EC+지/VX+ㄴ다/EF+”/SS+고/JKQ
말했다는	말/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.275.7.7
다른 로비 시도가 김씨나 문씨를 ‘통해서’ 금품이 오갔다고 한 것과 달리, 이 회장이 검찰 고위급 인사를 직접 만났다는 점이 이채롭다.

다른	다른/MMD
로비	로비/NNG
시도가	시도/NNG+가/JKS
김씨나	김/NNP+씨/NNB+나/JC
문씨를	문/NNP+씨/NNB+를/JKO
‘통해서’	‘/SS+통하/VV+아서/EC+’/SS
금품이	금품/NNG+이/JKS
오갔다고	오가/VV+았/EP+다고/EC
한	하/VV+ㄴ/ETM
것과	것/NNB+과/JKB
달리,	달리/MAG+,/SP
이	이/NNP
회장이	회장/NNG+이/JKS
검찰	검찰/NNG
고위급	고위급/NNG
인사를	인사/NNG+를/JKO
직접	직접/MAG
만났다는	만나/VV+았/EP+다는/ETM
점이	점/NNG+이/JKS
이채롭다.	이채/NNG+롭/XSA+다/EF+./SF


# id : NWRW1800000032.275.7.8
이 전직 검찰 고위급 인사는 현재 미국에 가 있다.

이	이/MMD
전직	전직/NNG
검찰	검찰/NNG
고위급	고위급/NNG
인사는	인사/NNG+는/JX
현재	현재/MAG
미국에	미국/NNP+에/JKB
가	가/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.275.8.1
그러나 이 회장 관련 의혹을 수사중인 서울중앙지검 특수3부(부장 심재돈)는 이 비망록의 내용에 신빙성을 두지 않는 분위기다.

그러나	그러나/MAJ
이	이/MMD
회장	회장/NNG
관련	관련/NNG
의혹을	의혹/NNG+을/JKO
수사중인	수사/NNG+중/NNB+이/VCP+ㄴ/ETM
서울중앙지검	서울중앙지검/NNP
특수3부(부장	특수/NNG+3/SN+부/NNG+(/SS+부장/NNG
심재돈)는	심재돈/NNP+)/SS+는/JX
비망록의	비망록/NNG+의/JKG
내용에	내용/NNG+에/JKB
신빙성을	신빙/NNG+성/XSN+을/JKO
두지	두/VV+지/EC
않는	않/VX+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.275.8.2
압수수색에서 확보했던 신 전 차관 관련 비망록 내용 가운데 로비 자금의 흐름이나 상품권 전달 등에서 실제와 다른 내용이 많았던 터라 이 회장의 주장을 섣불리 믿기 어렵다는 판단이다.

압수수색에서	압수/NNG+수색/NNG+에서/JKB
확보했던	확보/NNG+하/XSV+았/EP+던/ETM
신	신/NNP
전	전/MMD
차관	차관/NNG
관련	관련/NNG
비망록	비망록/NNG
내용	내용/NNG
가운데	가운데/NNG
로비	로비/NNG
자금의	자금/NNG+의/JKG
흐름이나	흐름/NNG+이나/JC
상품권	상품/NNG+권/XSN
전달	전달/NNG
등에서	등/NNB+에서/JKB
실제와	실제/NNG+와/JKB
다른	다르/VA+ㄴ/ETM
내용이	내용/NNG+이/JKS
많았던	많/VA+았/EP+던/ETM
터라	터/NNB+이/VCP+라/EC
이	이/NNP
회장의	회장/NNG+의/JKG
주장을	주장/NNG+을/JKO
섣불리	섣불리/MAG
믿기	믿/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
판단이다.	판단/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.275.8.3
검찰 관계자는 “이 회장이 하루하루 기록한 게 아니고 한번에 모아서 정리한 것으로 본인이 진술하는 것과 마찬가지”라며 “제기된 의혹을 일일이 다 따라가서 볼 수는 없으나, (얘기가 되는 것만) 보게 될 것”이라고 말했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“이	“/SS+이/NNP
회장이	회장/NNG+이/JKS
하루하루	하루하루/MAG
기록한	기록/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKC
아니고	아니/VCN+고/EC
한번에	한번/NNG+에/JKB
모아서	모으/VV+아서/EC
정리한	정리/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
본인이	본인/NNG+이/JKS
진술하는	진술/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
마찬가지”라며	마찬가지/NNG+”/SS+이/VCP+라며/EC
“제기된	“/SS+제기/NNG+되/XSV+ㄴ/ETM
의혹을	의혹/NNG+을/JKO
일일이	일일이/MAG
다	다/MAG
따라가서	따라가/VV+아서/EC
볼	보/VV+ㄹ/ETM
수는	수/NNB+는/JX
없으나,	없/VA+으나/EC+,/SP
(얘기가	(/SS+얘기/NNG+가/JKC
되는	되/VV+는/ETM
것만)	것/NNB+만/JX+)/SS
보게	보/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


