# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.366
metadata : {}


# id : NWRW1800000025.366.1.1
“中-개도국 저임금 벨트 무너질라”

“中-개도국	“/SS+中/SH+-/SO+개도국/NNG
임금안은	임금/NNG+안/NNG+은/JX
비숙련	비/XPN+숙련/NNG
노동자들에게	노동자/NNG+들/XSN+에게/JKB
등급에	등급/NNG+에/JKB
따라	따르/VV+아/EC
매월	매월/MAG
39∼109달러(약	39/SN+∼/SO+109/SN+달러/NNB+(/SS+약/MMA
4만5000∼12만5000원)의	4/SN+만/NR+5000/SN+∼/SO+12/SN+만/NR+5000/SN+원/NNB+)/SS+의/JKG
최저임금을	최저/NNG+임금/NNG+을/JKO
보장하도록	보장/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.366.5.4
그러자 상대적으로 임금이 높은 숙련 노동자들이 자신들에게는 임금 인상이 적용되지 않는다며 불만을 터뜨렸고 이달 들어 현지 외국 기업을 무차별적으로 공격하기 시작했다.

그러자	그러/VV+자/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
임금이	임금/NNG+이/JKS
높은	높/VA+은/ETM
숙련	숙련/NNG
노동자들이	노동자/NNG+들/XSN+이/JKS
자신들에게는	자신/NNG+들/XSN+에게/JKB+는/JX
임금	임금/NNG
인상이	인상/NNG+이/JKS
적용되지	적용/NNG+되/XSV+지/EC
않는다며	않/VX+는다며/EC
불만을	불만/NNG+을/JKO
터뜨렸고	터뜨리/VV+었/EP+고/EC
이달	이달/NNG
들어	들/VV+어/EC
현지	현지/NNG
외국	외국/NNG
기업을	기업/NNG+을/JKO
무차별적으로	무/XPN+차별/NNG+적/XSN+으로/JKB
공격하기	공격/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.366.5.5
영원무역 사태에 앞서 12월 초 한국 의류업체 ‘Haewae(해외)사’에서도 임금에 불만을 품은 노동자들이 거센 폭력 시위를 벌였다.

영원무역	영원무역/NNP
사태에	사태/NNG+에/JKB
앞서	앞서/VV+어/EC
12월	12/SN+월/NNB
초	초/NNB
한국	한국/NNP
의류업체	의류업체/NNG
‘Haewae(해외)사’에서도	‘/SS+Haewae/SL+(/SS+해외/NNG+)/SS+사/NNG+’/SS+에서/JKB+도/JX
임금에	임금/NNG+에/JKB
불만을	불만/NNG+을/JKO
품은	품/VV+은/ETM
노동자들이	노동자/NNG+들/XSN+이/JKS
거센	거세/VA+ㄴ/ETM
폭력	폭력/NNG
시위를	시위/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.366.6.1
영원무역은 6일 최저임금 인상분에 맞춰 월급을 지급했다.

영원무역은	영원무역/NNP+은/JX
6일	6/SN+일/NNB
최저임금	최저/NNG+임금/NNG
인상분에	인상/NNG+분/XSN+에/JKB
맞춰	맞추/VV+어/EC
월급을	월급/NNG+을/JKO
지급했다.	지급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.366.6.2
하지만 최저임금 조정 대상이 아닌 숙련공들이 문제를 제기하자 11일 노사 미팅을 통해 내년 1월부터 임금을 올려주기로 합의했다.

하지만	하지만/MAJ
최저임금	최저/NNG+임금/NNG
조정	조정/NNG
대상이	대상/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
숙련공들이	숙련공/NNG+들/XSN+이/JKS
문제를	문제/NNG+를/JKO
제기하자	제기/NNG+하/XSV+자/EC
11일	11/SN+일/NNB
노사	노사/NNG
미팅을	미팅/NNG+을/JKO
통해	통하/VV+아/EC
내년	내년/NNG
1월부터	1/SN+월/NNB+부터/JX
임금을	임금/NNG+을/JKO
올려주기로	올리/VV+어/EC+주/VX+기/ETN+로/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.366.6.3
이런 상황에서 11일 괴한이 침입해 공장을 점거하고 기물을 부쉈다고 회사 측은 설명했다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
11일	11/SN+일/NNB
괴한이	괴한/NNG+이/JKS
침입해	침입/NNG+하/XSV+아/EC
공장을	공장/NNG+을/JKO
점거하고	점거/NNG+하/XSV+고/EC
기물을	기물/NNG+을/JKO
부쉈다고	부수/VV+었/EP+다고/EC
회사	회사/NNG
측은	측/NNB+은/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.366.6.4
영원무역 관계자는 “이번 사태는 외국 투자기업을 공격함으로써 정부에 대한 불만을 더 크게 이슈화하려는 외부 세력의 소행으로 보인다”고 밝혔다.

영원무역	영원무역/NNP
관계자는	관계자/NNG+는/JX
“이번	“/SS+이번/NNG
사태는	사태/NNG+는/JX
외국	외국/NNG
투자기업을	투자/NNG+기업/NNG+을/JKO
공격함으로써	공격/NNG+하/XSV+ㅁ/ETN+으로써/JKB
정부에	정부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불만을	불만/NNG+을/JKO
더	더/MAG
크게	크/VA+게/EC
이슈화하려는	이슈/NNG+화/XSN+하/XSV+려는/ETM
외부	외부/NNG
세력의	세력/NNG+의/JKG
소행으로	소행/NNG+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.366.7.1
현지 공장 6곳과 공단 1곳을 폐쇄했던 영원무역은 방글라데시 노동부 장관이 영원무역 성기학 회장에게 안전을 절대적으로 보장하겠다고 해 14일부터 공장을 재가동할 계획이다.

현지	현지/NNG
공장	공장/NNG
6곳과	6/SN+곳/NNG+과/JC
공단	공단/NNG
1곳을	1/SN+곳/NNG+을/JKO
폐쇄했던	폐쇄/NNG+하/XSV+았/EP+던/ETM
영원무역은	영원무역/NNP+은/JX
방글라데시	방글라데시/NNP
노동부	노동부/NNG
장관이	장관/NNG+이/JKS
영원무역	영원무역/NNP
성기학	성기학/NNP
회장에게	회장/NNG+에게/JKB
안전을	안전/NNG+을/JKO
절대적으로	절대/NNG+적/XSN+으로/JKB
보장하겠다고	보장/NNG+하/XSV+겠/EP+다고/EC
해	하/VV+아/EC
14일부터	14/SN+일/NNB+부터/JX
공장을	공장/NNG+을/JKO
재가동할	재/XPN+가동/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.366.8.1
○ 다른 업체들도 불똥 튈까 우려

○	○/SW
다른	다른/MMD
업체들도	업체/NNG+들/XSN+도/JX
불똥	불똥/NNG
튈까	튀/VV+ㄹ까/EF
우려	우려/NNG


# id : NWRW1800000025.366.9.1
방글라데시 사태를 계기로 개발도상국에 진출한 다른 의류업체 등 노동집약적 기업의 위기감도 커지고 있다.

방글라데시	방글라데시/NNP
사태를	사태/NNG+를/JKO
계기로	계기/NNG+로/JKB
개발도상국에	개발/NNG+도상국/NNG+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
다른	다른/MMD
의류업체	의류업체/NNG
등	등/NNB
노동집약적	노동/NNG+집약/NNG+적/XSN
기업의	기업/NNG+의/JKG
위기감도	위기감/NNG+도/JX
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.366.10.1
베트남, 니카라과, 인도네시아, 중국 등 4곳에서 공장을 운영하는 세아상역 관계자는 “해마다 최저임금이 10%씩 올라가는 상황이라 이번 사태를 예의주시하고 있다”고 말했다.

베트남,	베트남/NNP+,/SP
니카라과,	니카라과/NNP+,/SP
인도네시아,	인도네시아/NNP+,/SP
중국	중국/NNP
등	등/NNB
4곳에서	4/SN+곳/NNG+에서/JKB
공장을	공장/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
세아상역	세아상역/NNP
관계자는	관계자/NNG+는/JX
“해마다	“/SS+해마다/MAG
최저임금이	최저/NNG+임금/NNG+이/JKS
10%씩	10/SN+%/SW+씩/XSN
올라가는	올라가/VV+는/ETM
상황이라	상황/NNG+이/VCP+라/EC
이번	이번/NNG
사태를	사태/NNG+를/JKO
예의주시하고	예의/NNG+주시/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.366.10.2
베트남과 캄보디아에 공장이 있는 한 의류업체 관계자는 “1만 명에 이르는 베트남 노동자들이 오전에 요구사항을 내놓으면서 들고 일어났다가도 사측에서 ‘들어주겠다’고 하면 오후에는 해산하는 일이 간혹 있다”면서 “방글라데시 사태의 분위기가 베트남으로 옮겨가지 않을까 걱정된다”고 했다.

베트남과	베트남/NNP+과/JC
캄보디아에	캄보디아/NNP+에/JKB
공장이	공장/NNG+이/JKS
있는	있/VA+는/ETM
한	한/MMN
의류업체	의류업체/NNG
관계자는	관계자/NNG+는/JX
“1만	“/SS+1/SN+만/NR
명에	명/NNB+에/JKB
이르는	이르/VV+는/ETM
베트남	베트남/NNP
노동자들이	노동자/NNG+들/XSN+이/JKS
오전에	오전/NNG+에/JKB
요구사항을	요구/NNG+사항/NNG+을/JKO
내놓으면서	내놓/VV+으면서/EC
들고	들/VV+고/EC
일어났다가도	일어나/VV+았/EP+다가/EC+도/JX
사측에서	사측/NNG+에서/JKB
‘들어주겠다’고	‘/SS+들어주/VV+겠/EP+다/EF+’/SS+고/JKQ
하면	하/VV+면/EC
오후에는	오후/NNG+에/JKB+는/JX
해산하는	해산/NNG+하/XSV+는/ETM
일이	일/NNG+이/JKS
간혹	간혹/MAG
있다”면서	있/VA+다/EF+”/SS+면서/EC
“방글라데시	“/SS+방글라데시/NNP
사태의	사태/NNG+의/JKG
분위기가	분위기/NNG+가/JKS
베트남으로	베트남/NNP+으로/JKB
옮겨가지	옮기/VV+어/EC+가/VV+지/EC
않을까	않/VX+을까/EF
걱정된다”고	걱정/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.366.11.1
KOTRA는 방글라데시 소요 사태를 계기로 해외에 진출한 우리 기업의 노무 현황을 파악하고 긴급 대책을 수립하기로 했다.

KOTRA는	KOTRA/SL+는/JX
방글라데시	방글라데시/NNP
소요	소요/NNG
사태를	사태/NNG+를/JKO
계기로	계기/NNG+로/JKB
해외에	해외/NNG+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
우리	우리/NP
기업의	기업/NNG+의/JKG
노무	노무/NNG
현황을	현황/NNG+을/JKO
파악하고	파악/NNG+하/XSV+고/EC
긴급	긴급/NNG
대책을	대책/NNG+을/JKO
수립하기로	수립/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


