# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.48
metadata : {}


# id : NWRW1800000049.48.1.1
‘세번째 대통령’ 꿈 접은 부시家

‘세번째	‘/SS+세/MMN+번/NNB+째/XSN
가장 유력한 주자였던 부시가 사우스캐롤라이나에서 중도 포기하다니”라고 보도했다.

가장	가장/MAG
유력한	유력/NNG+하/XSA+ㄴ/ETM
주자였던	주자/NNG+이/VCP+었/EP+던/ETM
부시가	부시/NNP+가/JKS
사우스캐롤라이나에서	사우스캐롤라이나/NNP+에서/JKB
중도	중도/NNG
포기하다니”라고	포기/NNG+하/XSV+다니/EF+”/SS+라고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.48.6.1
이곳은 아버지(조지 부시·41대 대통령)와 형(조지 W 부시·43대 대통령) 모두에게 압도적 지지를 보냈던 곳이다.

이곳은	이곳/NP+은/JX
아버지(조지	아버지/NNG+(/SS+조지/NNP
부시·41대	부시/NNP+·/SP+41/SN+대/NNB
대통령)와	대통령/NNG+)/SS+와/JC
형(조지	형/NNG+(/SS+조지/NNP
W	W/SL
부시·43대	부시/NNP+·/SP+43/SN+대/NNB
대통령)	대통령/NNG+)/SS
모두에게	모두/NNG+에게/JKB
압도적	압도/NNG+적/XSN
지지를	지지/NNG+를/JKO
보냈던	보내/VV+었/EP+던/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.48.6.2
‘사우스캐롤라이나는 정치 명가(名家) 부시 집안의 나라’라고 불릴 정도였다고 CNN은 전했다.

‘사우스캐롤라이나는	‘/SS+사우스캐롤라이나/NNP+는/JX
정치	정치/NNG
명가(名家)	명가/NNG+(/SS+名家/SH+)/SS
부시	부시/NNP
집안의	집안/NNG+의/JKG
나라’라고	나라/NNG+’/SS+라고/JKQ
불릴	불리/VV+ㄹ/ETM
정도였다고	정도/NNG+이/VCP+었/EP+다고/EC
CNN은	CNN/SL+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.48.7.1
부시 집안의 3번째 대통령, 41대 43대 45대(이번 대선)로 이어지는 초유의 ‘징검다리 대통령’을 꿈꿨던 부시가 자신의 정치 텃밭인 플로리다 경선(3월 15일)도 못 가고 초라하게 주저앉은 이유는 무엇일까.

부시	부시/NNP
집안의	집안/NNG+의/JKG
3번째	3/SN+번/NNB+째/XSN
대통령,	대통령/NNG+,/SP
41대	41/SN+대/NNB
43대	43/SN+대/NNB
45대(이번	45/SN+대/NNB+(/SS+이번/NNG
대선)로	대선/NNG+)/SS+로/JKB
이어지는	이어지/VV+는/ETM
초유의	초유/NNG+의/JKG
‘징검다리	‘/SS+징검다리/NNG
대통령’을	대통령/NNG+’/SS+을/JKO
꿈꿨던	꿈꾸/VV+었/EP+던/ETM
부시가	부시/NNP+가/JKS
자신의	자신/NNG+의/JKG
정치	정치/NNG
텃밭인	텃밭/NNG+이/VCP+ㄴ/ETM
플로리다	플로리다/NNP
경선(3월	경선/NNG+(/SS+3/SN+월/NNB
15일)도	15/SN+일/NNB+)/SS+도/JX
못	못/MAG
가고	가/VV+고/EC
초라하게	초라하/VA+게/EC
주저앉은	주저앉/VV+은/ETM
이유는	이유/NNG+는/JX
무엇일까.	무엇/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000049.48.7.2
미 언론은 “기성 정치에 분노하고 아웃사이더에 열광하는 ‘정치적 바람’을 외면하고, 정치 명가 출신이란 ‘자기 자리’에서 벗어나지 못했기 때문”이라고 분석했다.

미	미/NNP
언론은	언론/NNG+은/JX
“기성	“/SS+기성/NNG
정치에	정치/NNG+에/JKB
분노하고	분노/NNG+하/XSV+고/EC
아웃사이더에	아웃사이더/NNG+에/JKB
열광하는	열광/NNG+하/XSV+는/ETM
‘정치적	‘/SS+정치/NNG+적/XSN
바람’을	바람/NNG+’/SS+을/JKO
외면하고,	외면/NNG+하/XSV+고/EC+,/SP
정치	정치/NNG
명가	명가/NNG
출신이란	출신/NNG+이/VCP+란/ETM
‘자기	‘/SS+자기/NNG
자리’에서	자리/NNG+’/SS+에서/JKB
벗어나지	벗어나/VV+지/EC
못했기	못하/VX+았/EP+기/ETN
때문”이라고	때문/NNB+”/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.48.8.1
뉴욕타임스는 “지난해 여름 도널드 트럼프가 불법이민자 문제를 거론하며 국민적 관심과 지지를 모을 무렵 부시는 동유럽 국가를 방문해 정상들을 만나고 ‘미국 외교의 미래’란 고상한 얘기만 하고 있었다”고 꼬집었다.

뉴욕타임스는	뉴욕타임스/NNP+는/JX
“지난해	“/SS+지난해/NNG
여름	여름/NNG
도널드	도널드/NNP
트럼프가	트럼프/NNP+가/JKS
불법이민자	불법/NNG+이민자/NNG
문제를	문제/NNG+를/JKO
거론하며	거론/NNG+하/XSV+며/EC
국민적	국민/NNG+적/XSN
관심과	관심/NNG+과/JC
지지를	지지/NNG+를/JKO
모을	모으/VV+ㄹ/ETM
무렵	무렵/NNB
부시는	부시/NNP+는/JX
동유럽	동유럽/NNP
국가를	국가/NNG+를/JKO
방문해	방문/NNG+하/XSV+아/EC
정상들을	정상/NNG+들/XSN+을/JKO
만나고	만나/VV+고/EC
‘미국	‘/SS+미국/NNP
외교의	외교/NNG+의/JKG
미래’란	미래/NNG+’/SS+이/VCP+란/ETM
고상한	고상하/VA+ㄴ/ETM
얘기만	얘기/NNG+만/JX
하고	하/VV+고/EC
있었다”고	있/VX+었/EP+다/EF+”/SS+고/JKQ
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.48.8.2
기성 정치인처럼 보이는 행보에만 매달렸다는 얘기다.

기성	기성/NNG
정치인처럼	정치인/NNG+처럼/JKB
보이는	보이/VV+는/ETM
행보에만	행보/NNG+에/JKB+만/JX
매달렸다는	매달리/VV+었/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.48.9.1
정치 전문 매체 폴리티코는 부시의 중도 하차를 ‘1억5000만 달러(약 1845억 원)의 몰락’이라고 표현했다.

정치	정치/NNG
전문	전문/NNG
매체	매체/NNG
폴리티코는	폴리티코/NNP+는/JX
부시의	부시/NNP+의/JKG
중도	중도/NNG
하차를	하차/NNG+를/JKO
‘1억5000만	‘/SS+1/SN+억/NR+5000/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
1845억	1845/SN+억/NR
원)의	원/NNB+)/SS+의/JKG
몰락’이라고	몰락/NNG+’/SS+이라고/JKQ
표현했다.	표현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.48.9.2
부시는 가장 많은 선거 자금을 모으고도 3차례 경선에서 단 한 번도 톱3 안에 못 드는 ‘고비용 저효율’ 정치인의 대명사로 전락했다.

부시는	부시/NNP+는/JX
가장	가장/MAG
많은	많/VA+은/ETM
선거	선거/NNG
자금을	자금/NNG+을/JKO
모으고도	모으/VV+고도/EC
3차례	3/SN+차례/NNG
경선에서	경선/NNG+에서/JKB
단	단/MMA
한	한/MMN
번도	번/NNB+도/JX
톱3	톱/NNG+3/SN
안에	안/NNG+에/JKB
못	못/MAG
드는	들/VV+는/ETM
‘고비용	‘/SS+고/XPN+비용/NNG
저효율’	저/XPN+효율/NNG+’/SS
정치인의	정치인/NNG+의/JKG
대명사로	대명사/NNG+로/JKB
전락했다.	전락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.48.9.3
‘부시의 1표는 5200달러(약 640만 원)’란 조롱 섞인 보도도 나왔다.

‘부시의	‘/SS+부시/NNP+의/JKG
1표는	1/SN+표/NNG+는/JX
5200달러(약	5200/SN+달러/NNB+(/SS+약/MMA
640만	640/SN+만/NR
원)’란	원/NNB+)/SS+’/SS+란/ETM
조롱	조롱/NNG
섞인	섞이/VV+ㄴ/ETM
보도도	보도/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.48.10.1
폴리티코는 부시의 패인에 대해 △트럼프의 돌풍을 예상하지 못했고 △같은 플로리다 출신 마코 루비오 상원의원을 얕잡아 봤으며 △정치 명가 출신이란 사실이 오히려 치명적 약점이 되는 민심의 변화도 제대로 읽지 못했다고 분석했다.

폴리티코는	폴리티코/NNP+는/JX
부시의	부시/NNP+의/JKG
패인에	패인/NNG+에/JKB
대해	대하/VV+아/EC
△트럼프의	△/SW+트럼프/NNP+의/JKG
돌풍을	돌풍/NNG+을/JKO
예상하지	예상/NNG+하/XSV+지/EC
못했고	못하/VX+았/EP+고/EC
△같은	△/SW+같/VA+은/ETM
플로리다	플로리다/NNP
출신	출신/NNG
마코	마코/NNP
루비오	루비오/NNP
상원의원을	상원/NNG+의원/NNG+을/JKO
얕잡아	얕잡/VV+아/EC
봤으며	보/VX+았/EP+으며/EC
△정치	△/SW+정치/NNG
명가	명가/NNG
출신이란	출신/NNG+이/VCP+란/ETM
사실이	사실/NNG+이/JKS
오히려	오히려/MAG
치명적	치명/NNG+적/XSN
약점이	약점/NNG+이/JKC
되는	되/VV+는/ETM
민심의	민심/NNG+의/JKG
변화도	변화/NNG+도/JX
제대로	제대로/MAG
읽지	읽/VV+지/EC
못했다고	못하/VX+았/EP+다고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.48.10.2
부시 집안과 가까운 한 정치인은 “아웃사이더들이 열풍을 일으키는 선거판에서 상원의원의 손자이며 대통령의 아들이자 동생인 부시가 무엇을 할 수 있겠나.

부시	부시/NNP
집안과	집안/NNG+과/JKB
가까운	가깝/VA+ㄴ/ETM
한	한/MMN
정치인은	정치인/NNG+은/JX
“아웃사이더들이	“/SS+아웃사이더/NNG+들/XSN+이/JKS
열풍을	열풍/NNG+을/JKO
일으키는	일으키/VV+는/ETM
선거판에서	선거/NNG+판/NNG+에서/JKB
상원의원의	상원/NNG+의원/NNG+의/JKG
손자이며	손자/NNG+이/VCP+며/EC
대통령의	대통령/NNG+의/JKG
아들이자	아들/NNG+이/VCP+자/EC
동생인	동생/NNG+이/VCP+ㄴ/ETM
부시가	부시/NNP+가/JKS
무엇을	무엇/NP+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있겠나.	있/VA+겠/EP+나/EF+./SF


# id : NWRW1800000049.48.10.3
어느 날 갑자기 부시에겐 나아갈 수 있는 길이 사라져 버렸다”고 논평했다.

어느	어느/MMD
날	날/NNG
갑자기	갑자기/MAG
부시에겐	부시/NNP+에게/JKB+ㄴ/JX
나아갈	나아가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
길이	길/NNG+이/JKS
사라져	사라지/VV+어/EC
버렸다”고	버리/VX+었/EP+다/EF+”/SS+고/JKQ
논평했다.	논평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.48.11.1
부시 집안에서 그의 출마를 끝까지 반대한 사람은 어머니 바버라 부시 씨(91)였다.

부시	부시/NNP
집안에서	집안/NNG+에서/JKB
그의	그/NP+의/JKG
출마를	출마/NNG+를/JKO
끝까지	끝/NNG+까지/JX
반대한	반대/NNG+하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
어머니	어머니/NNG
바버라	바버라/NNP
씨(91)였다.	씨/NNB+(/SS+91/SN+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.48.11.2
‘남편 대통령’과 ‘아들 대통령’을 둔 바버라 씨는 이렇게 말했다.

‘남편	‘/SS+남편/NNG
대통령’과	대통령/NNG+’/SS+과/JC
‘아들	‘/SS+아들/NNG
대통령’을	대통령/NNG+’/SS+을/JKO
둔	두/VV+ㄴ/ETM
바버라	바버라/NNP
씨는	씨/NNB+는/JX
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.48.12.1
“아들아, 미국은 (너 말고도) 이미 너무 많은 ‘부시’를 가졌단다.”

“아들아,	“/SS+아들/NNG+아/JKV+,/SP
미국은	미국/NNP+은/JX
(너	(/SS+너/NP
말고도)	말/VV+고도/EC+)/SS
이미	이미/MAG
너무	너무/MAG
많은	많/VA+은/ETM
‘부시’를	‘/SS+부시/NNP+’/SS+를/JKO
가졌단다.”	가지/VV+었/EP+단다/EF+./SF+”/SS


# id : NWRW1800000049.48.13.1
부시가 오늘밤 어머니 말을 안 들은 것을 후회하며 눈물을 흘리고 있을지 모르겠다.

부시가	부시/NNP+가/JKS
오늘밤	오늘/NNG+밤/NNG
어머니	어머니/NNG
말을	말/NNG+을/JKO
안	안/MAG
들은	듣/VV+은/ETM
것을	것/NNB+을/JKO
후회하며	후회/NNG+하/XSV+며/EC
눈물을	눈물/NNG+을/JKO
흘리고	흘리/VV+고/EC
있을지	있/VX+을지/EF
모르겠다.	모르/VV+겠/EP+다/EF+./SF


