# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.168
metadata : {}


# id : NWRW1800000053.168.1.1
‘나홀로 사장’ 15년만에 최대폭 증가

‘나홀로	‘/SS+나/NNG+홀로/MAG
13만7000명	13/SN+만/NR+7000/SN+명/NNB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.168.4.3
2002년 3월(16만8000명) 이후 가장 많이 증가했다.

2002년	2002/SN+년/NNB
3월(16만8000명)	3/SN+월/NNB+(/SS+16/SN+만/NR+8000/SN+명/NNB+)/SS
이후	이후/NNG
가장	가장/MAG
많이	많이/MAG
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.168.5.1
올해 2월 전체 자영업자 수도 1년 전보다 21만3000명 늘어난 552만1000명으로 집계됐다.

올해	올해/NNG
2월	2/SN+월/NNB
전체	전체/NNG
자영업자	자영업자/NNG
수도	수/NNG+도/JX
1년	1/SN+년/NNB
전보다	전/NNG+보다/JKB
21만3000명	21/SN+만/NR+3000/SN+명/NNB
늘어난	늘어나/VV+ㄴ/ETM
552만1000명으로	552/SN+만/NR+1000/SN+명/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.168.5.2
2003년 4월(22만 명) 이후 14년 만에 증가폭이 가장 컸다.

2003년	2003/SN+년/NNB
4월(22만	4/SN+월/NNB+(/SS+22/SN+만/NR
명)	명/NNB+)/SS
이후	이후/NNG
14년	14/SN+년/NNB
만에	만/NNB+에/JKB
증가폭이	증가/NNG+폭/NNG+이/JKS
가장	가장/MAG
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000053.168.5.3
박창균 중앙대 경영학부 교수는 “경기가 좋지 않은 상황에서 재취업이 힘든 희망퇴직자들이 영세 자영업자가 되는 경우가 많다”고 설명했다.

박창균	박창균/NNP
중앙대	중앙대/NNP
경영학부	경영학부/NNG
교수는	교수/NNG+는/JX
“경기가	“/SS+경기/NNG+가/JKS
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
상황에서	상황/NNG+에서/JKB
재취업이	재/XPN+취업/NNG+이/JKS
힘든	힘들/VA+ㄴ/ETM
희망퇴직자들이	희망퇴직자/NNG+들/XSN+이/JKS
영세	영세/NNG
자영업자가	자영업자/NNG+가/JKS
되는	되/VV+는/ETM
경우가	경우/NNG+가/JKS
많다”고	많/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.168.6.1
문제는 이런 자영업자 대부분이 매출 부진에 시달리고 있다는 점이다.

문제는	문제/NNG+는/JX
이런	이런/MMD
자영업자	자영업자/NNG
대부분이	대/XPN+부분/NNG+이/JKS
매출	매출/NNG
부진에	부진/NNG+에/JKB
시달리고	시달리/VV+고/EC
있다는	있/VX+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.168.6.2
통계청에 따르면 2015년 기준 연매출 4600만 원 미만인 자영업자 비중은 51.8%로 집계됐다.

통계청에	통계청/NNG+에/JKB
따르면	따르/VV+면/EC
2015년	2015/SN+년/NNB
기준	기준/NNG
연매출	연/NNG+매출/NNG
4600만	4600/SN+만/NR
원	원/NNB
미만인	미만/NNG+이/VCP+ㄴ/ETM
자영업자	자영업자/NNG
비중은	비중/NNG+은/JX
51.8%로	51/SN+./SP+8/SN+%/SW+로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.168.6.3
전체 자영업자의 절반 이상이 월 매출 383만 원도 올리지 못하고 있다는 뜻이다.

전체	전체/NNG
자영업자의	자영업자/NNG+의/JKG
절반	절반/NNG
이상이	이상/NNG+이/JKS
월	월/NNG
매출	매출/NNG
383만	383/SN+만/NR
원도	원/NNB+도/JX
올리지	올리/VV+지/EC
못하고	못하/VX+고/EC
있다는	있/VX+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.168.6.4
임차료, 인건비, 재료비 등을 빼고 나면 실제 손에 쥐는 소득은 극히 적을 것으로 보인다.

임차료,	임차료/NNG+,/SP
인건비,	인건비/NNG+,/SP
재료비	재료비/NNG
등을	등/NNB+을/JKO
빼고	빼/VV+고/EC
나면	나/VX+면/EC
실제	실제/NNG
손에	손/NNG+에/JKB
쥐는	쥐/VV+는/ETM
소득은	소득/NNG+은/JX
극히	극히/MAG
적을	적/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.168.7.1
상황이 이렇다 보니 자영업자들의 대출이 빠르게 늘어나고 있다.

상황이	상황/NNG+이/JKS
이렇다	이렇/VA+다/EF
보니	보/VX+니/EC
자영업자들의	자영업자/NNG+들/XSN+의/JKG
대출이	대출/NNG+이/JKS
빠르게	빠르/VA+게/EC
늘어나고	늘어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.168.7.2
최근 한국은행이 발간한 ‘자영업자 대출 건전성’ 보고서를 보면 지난해 말 자영업자가 은행 등 금융기관에서 받은 대출 규모는 480조2000억 원으로 2015년 말(422조5000억 원)보다 13.7%(57조7000억 원) 급증했다.

최근	최근/MAG
한국은행이	한국은행/NNP+이/JKS
발간한	발간/NNG+하/XSV+ㄴ/ETM
‘자영업자	‘/SS+자영업자/NNG
대출	대출/NNG
건전성’	건전/NNG+성/XSN+’/SS
보고서를	보고서/NNG+를/JKO
보면	보/VV+면/EC
지난해	지난해/NNG
말	말/NNB
자영업자가	자영업자/NNG+가/JKS
은행	은행/NNG
등	등/NNB
금융기관에서	금융/NNG+기관/NNG+에서/JKB
받은	받/VV+은/ETM
규모는	규모/NNG+는/JX
480조2000억	480/SN+조/NR+2000/SN+억/NR
원으로	원/NNB+으로/JKB
2015년	2015/SN+년/NNB
말(422조5000억	말/NNB+(/SS+422/SN+조/NR+5000/SN+억/NR
원)보다	원/NNB+)/SS+보다/JKB
13.7%(57조7000억	13/SN+./SP+7/SN+%/SW+(/SS+57/SN+조/NR+7000/SN+억/NR
원)	원/NNB+)/SS
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.168.7.3
박 교수는 “정부가 직장인 신용대출 규제 등을 강화한 이후 은행들이 자영업자를 대상으로 한 영업을 확대한 것으로 보인다”며 “자영업자들의 대출 관리와 지원 대책 마련이 시급하다”고 말했다.

박	박/NNP
교수는	교수/NNG+는/JX
“정부가	“/SS+정부/NNG+가/JKS
직장인	직장인/NNG
신용대출	신용/NNG+대출/NNG
규제	규제/NNG
등을	등/NNB+을/JKO
강화한	강화/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
은행들이	은행/NNG+들/XSN+이/JKS
자영업자를	자영업자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
영업을	영업/NNG+을/JKO
확대한	확대/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“자영업자들의	“/SS+자영업자/NNG+들/XSN+의/JKG
대출	대출/NNG
관리와	관리/NNG+와/JC
지원	지원/NNG
대책	대책/NNG
마련이	마련/NNG+이/JKS
시급하다”고	시급하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


