# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.23
metadata : {}


# id : NWRW1800000049.23.1.1
‘리우올림픽 양궁 싹쓸이’ 쏜 현대車 기술

‘리우올림픽	‘/SS+리우/NNP+올림픽/NNG
제작	제작/NNG
△슈팅머신	△/SW+슈팅머신/NNG
도입	도입/NNG
△뇌파측정	△/SW+뇌파/NNG+측정/NNG
훈련	훈련/NNG
등이	등/NNB+이/JKS
그	그/MMD
예다.	예/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.23.6.1
현대차그룹은 신차를 개발할 때 부품 내부의 균열을 분석하는 기술을 적용해 ‘활 비파괴검사’를 실시했다.

현대차그룹은	현대차그룹/NNP+은/JX
신차를	신차/NNG+를/JKO
개발할	개발/NNG+하/XSV+ㄹ/ETM
때	때/NNG
부품	부품/NNG
내부의	내부/NNG+의/JKG
균열을	균열/NNG+을/JKO
분석하는	분석/NNG+하/XSV+는/ETM
기술을	기술/NNG+을/JKO
적용해	적용/NNG+하/XSV+아/EC
‘활	‘/SS+활/NNG
비파괴검사’를	비/XPN+파괴/NNG+검사/NNG+’/SS+를/JKO
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.23.6.2
이는 활 내부의 균열을 보기 위한 검사다.

이는	이/NP+는/JX
활	활/NNG
내부의	내부/NNG+의/JKG
균열을	균열/NNG+을/JKO
보기	보/VV+기/ETN
위한	위하/VV+ㄴ/ETM
검사다.	검사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.23.6.3
올림픽에서 쓰이는 리커브 활의 날개는 반복해서 당기고 쏘는 과정에서 손상을 입기 쉽다.

올림픽에서	올림픽/NNG+에서/JKB
쓰이는	쓰이/VV+는/ETM
리커브	리커브/NNG
활의	활/NNG+의/JKG
날개는	날개/NNG+는/JX
반복해서	반복/NNG+하/XSV+아서/EC
당기고	당기/VV+고/EC
쏘는	쏘/VV+는/ETM
과정에서	과정/NNG+에서/JKB
손상을	손상/NNG+을/JKO
입기	입/VV+기/ETN
쉽다.	쉽/VA+다/EF+./SF


# id : NWRW1800000049.23.6.4
또 5개의 층으로 구성돼 있어 이상이 있는지를 육안으로 확인하기는 매우 어렵다.

또	또/MAG
5개의	5/SN+개/NNB+의/JKG
층으로	층/NNG+으로/JKB
구성돼	구성/NNG+되/XSV+어/EC
있어	있/VX+어/EC
이상이	이상/NNG+이/JKS
있는지를	있/VA+는지/EF+를/JKO
육안으로	육안/NNG+으로/JKB
확인하기는	확인/NNG+하/XSV+기/ETN+는/JX
매우	매우/MAG
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000049.23.6.5
이 때문에 경기 직전이나 경기 중에 활이 부러질 위험성도 있다.

이	이/NP
때문에	때문/NNB+에/JKB
경기	경기/NNG
직전이나	직전/NNG+이나/JC
중에	중/NNB+에/JKB
활이	활/NNG+이/JKS
부러질	부러지/VV+ㄹ/ETM
위험성도	위험/NNG+성/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.23.7.1
현대차그룹은 3차원(3D) 컴퓨터단층촬영(CT) 장비를 통해 활 내부를 3D 영상으로 재현해 정밀 분석하도록 했다.

현대차그룹은	현대차그룹/NNP+은/JX
3차원(3D)	3/SN+차원/NNG+(/SS+3/SN+D/SL+)/SS
컴퓨터단층촬영(CT)	컴퓨터/NNG+단층/NNG+촬영/NNG+(/SS+CT/SL+)/SS
장비를	장비/NNG+를/JKO
통해	통하/VV+아/EC
활	활/NNG
내부를	내부/NNG+를/JKO
3D	3/SN+D/SL
영상으로	영상/NNG+으로/JKB
재현해	재현/NNG+하/XSV+아/EC
정밀	정밀/NNG
분석하도록	분석/NNG+하/XSV+도록/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.23.7.2
덕분에 미리 장비 파손에 대응할 수 있었다.

덕분에	덕분/NNG+에/JKB
미리	미리/MAG
장비	장비/NNG
파손에	파손/NNG+에/JKB
대응할	대응/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.23.7.3
6월 말 활 비파괴검사를 통해 선수 전원의 활 날개 상태를 최적화했다.

6월	6/SN+월/NNB
말	말/NNB
활	활/NNG
비파괴검사를	비/XPN+파괴/NNG+검사/NNG+를/JKO
통해	통하/VV+아/EC
선수	선수/NNG
전원의	전원/NNG+의/JKG
날개	날개/NNG
상태를	상태/NNG+를/JKO
최적화했다.	최적/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.23.8.1
현대·기아차 디자인센터의 3D 스캔 기술은 선수들의 손에 꼭 맞는 ‘맞춤형 그립’을 제작해줬다.

현대·기아차	현대/NNP+·/SP+기아차/NNP
디자인센터의	디자인/NNG+센터/NNG+의/JKG
3D	3/SN+D/SL
스캔	스캔/NNG
기술은	기술/NNG+은/JX
선수들의	선수/NNG+들/XSN+의/JKG
손에	손/NNG+에/JKB
꼭	꼭/MAG
맞는	맞/VV+는/ETM
‘맞춤형	‘/SS+맞춤/NNG+형/XSN
그립’을	그립/NNG+’/SS+을/JKO
제작해줬다.	제작/NNG+하/XSV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.23.8.2
그립은 활의 중심에 덧대는 것으로 선수의 손에 꼭 맞아야 한다.

그립은	그립/NNG+은/JX
활의	활/NNG+의/JKG
중심에	중심/NNG+에/JKB
덧대는	덧대/VV+는/ETM
것으로	것/NNB+으로/JKB
선수의	선수/NNG+의/JKG
손에	손/NNG+에/JKB
꼭	꼭/MAG
맞아야	맞/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.23.8.3
만약 그립에 손상이 가면 다시 손에 맞도록 다듬어야 하는데, 똑같이 만들기가 쉽지 않다는 문제가 있었다.

만약	만약/MAG
그립에	그립/NNG+에/JKB
손상이	손상/NNG+이/JKS
가면	가/VV+면/EC
다시	다시/MAG
손에	손/NNG+에/JKB
맞도록	맞/VV+도록/EC
다듬어야	다듬/VV+어야/EC
하는데,	하/VX+는데/EC+,/SP
똑같이	똑같이/MAG
만들기가	만들/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않다는	않/VX+다는/ETM
문제가	문제/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.23.8.4
현대차그룹은 신차 개발 시 클레이 모델을 만들어 내·외부를 3D로 정밀 스캔한 후 자동차를 설계한다.

현대차그룹은	현대차그룹/NNP+은/JX
신차	신차/NNG
개발	개발/NNG
시	시/NNB
클레이	클레이/NNG
모델을	모델/NNG+을/JKO
만들어	만들/VV+어/EC
내·외부를	내·외부/NNG+를/JKO
3D로	3/SN+D/SL+로/JKB
정밀	정밀/NNG
스캔한	스캔/NNG+하/XSV+ㄴ/ETM
후	후/NNG
자동차를	자동차/NNG+를/JKO
설계한다.	설계/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.23.8.5
이 기술과 장비를 통해 선수들의 손에 맞는 그립을 맞춤 제작했다.

이	이/MMD
기술과	기술/NNG+과/JC
장비를	장비/NNG+를/JKO
통해	통하/VV+아/EC
선수들의	선수/NNG+들/XSN+의/JKG
손에	손/NNG+에/JKB
맞는	맞/VV+는/ETM
그립을	그립/NNG+을/JKO
맞춤	맞춤/NNG
제작했다.	제작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.23.8.6
선수들은 개인당 5개의 그립을 갖고 경기에 임했다.

선수들은	선수/NNG+들/XSN+은/JX
개인당	개인/NNG+당/XSN
5개의	5/SN+개/NNB+의/JKG
그립을	그립/NNG+을/JKO
갖고	갖/VV+고/EC
경기에	경기/NNG+에/JKB
임했다.	임하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.23.9.1
이 외에도 신규 화살의 불량 여부를 테스트하는 ‘슈팅머신’을 도입했다.

이	이/NP
외에도	외/NNB+에/JKB+도/JX
신규	신규/NNG
화살의	화살/NNG+의/JKG
불량	불량/NNG
여부를	여부/NNG+를/JKO
테스트하는	테스트/NNG+하/XSV+는/ETM
‘슈팅머신’을	‘/SS+슈팅머신/NNG+’/SS+을/JKO
도입했다.	도입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.23.9.2
선수들이 활을 쏠 때 하는 행동을 뇌파로 측정하는 ‘뇌파측정 훈련’도 실시해 집중력을 최대로 끌어올릴 수 있도록 했다.

선수들이	선수/NNG+들/XSN+이/JKS
활을	활/NNG+을/JKO
쏠	쏘/VV+ㄹ/ETM
때	때/NNG
하는	하/VV+는/ETM
행동을	행동/NNG+을/JKO
뇌파로	뇌파/NNG+로/JKB
측정하는	측정/NNG+하/XSV+는/ETM
‘뇌파측정	‘/SS+뇌파/NNG+측정/NNG
훈련’도	훈련/NNG+’/SS+도/JX
실시해	실시/NNG+하/XSV+아/EC
집중력을	집중력/NNG+을/JKO
최대로	최대/NNG+로/JKB
끌어올릴	끌어올리/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.23.10.1
○ 양궁협회와의 대를 이은 인연

○	○/SW
양궁협회와의	양궁협회/NNP+와/JKB+의/JKG
대를	대/NNG+를/JKO
이은	잇/VV+은/ETM
인연	인연/NNG


# id : NWRW1800000049.23.11.1
양궁협회는 범현대가와 오랜 인연을 맺고 있다.

양궁협회는	양궁협회/NNP+는/JX
범현대가와	범/XPN+현대가/NNG+와/JKB
오랜	오랜/MMA
인연을	인연/NNG+을/JKO
맺고	맺/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.23.11.2
정몽준 아산재단 이사장이 1983년부터 1985년까지 초대 양궁협회장을 맡았고 정몽구 회장이 그 뒤를 이어 네 번 회장직을 지냈다.

정몽준	정몽준/NNP
아산재단	아산재단/NNP
이사장이	이사장/NNG+이/JKS
1983년부터	1983/SN+년/NNB+부터/JX
1985년까지	1985/SN+년/NNB+까지/JX
초대	초대/NNG
양궁협회장을	양궁/NNG+협회장/NNG+을/JKO
맡았고	맡/VV+았/EP+고/EC
정몽구	정몽구/NNP
회장이	회장/NNG+이/JKS
그	그/MMD
뒤를	뒤/NNG+를/JKO
이어	잇/VV+어/EC
네	네/MMN
번	번/NNB
회장직을	회장직/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.23.11.3
지금은 대한양궁협회 명예회장이다.

지금은	지금/NNG+은/JX
대한양궁협회	대한양궁협회/NNP
명예회장이다.	명예/NNG+회장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.23.12.1
정 회장은 1986년 서울 아시아경기대회를 앞두고 심장박동수 측정기, 시력테스트기 등 과학 장비를 직접 구매해 협회에 선물했다.

정	정/NNP
회장은	회장/NNG+은/JX
1986년	1986/SN+년/NNB
서울	서울/NNP
아시아경기대회를	아시아/NNP+경기/NNG+대회/NNG+를/JKO
앞두고	앞두/VV+고/EC
심장박동수	심장/NNG+박동/NNG+수/NNG
측정기,	측정기/NNG+,/SP
시력테스트기	시력/NNG+테스트기/NNG
등	등/NNB
과학	과학/NNG
장비를	장비/NNG+를/JKO
직접	직접/MAG
구매해	구매/NNG+하/XSV+아/EC
협회에	협회/NNG+에/JKB
선물했다.	선물/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.23.12.2
1996년 애틀랜타 올림픽을 앞두고는 “관중이 많은 야구장에서 활쏘기 훈련을 해보자”는 아이디어를 제시하기도 했다.

1996년	1996/SN+년/NNB
애틀랜타	애틀랜타/NNP
올림픽을	올림픽/NNG+을/JKO
앞두고는	앞두/VV+고/EC+는/JX
“관중이	“/SS+관중/NNG+이/JKS
많은	많/VA+은/ETM
야구장에서	야구장/NNG+에서/JKB
활쏘기	활쏘기/NNG
훈련을	훈련/NNG+을/JKO
해보자”는	하/VV+아/EC+보/VX+자/EF+”/SS+는/JX
아이디어를	아이디어/NNG+를/JKO
제시하기도	제시/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.23.12.3
2005년부터 협회장을 맡고 있는 정의선 부회장은 지난달 네 번째 연임에 성공해 2020년까지 협회를 이끈다.

2005년부터	2005/SN+년/NNB+부터/JX
협회장을	협회장/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
정의선	정의선/NNP
부회장은	부회장/NNG+은/JX
지난달	지난달/NNG
네	네/MMN
번째	번/NNB+째/XSN
연임에	연임/NNG+에/JKB
성공해	성공/NNG+하/XSV+아/EC
2020년까지	2020/SN+년/NNB+까지/JX
협회를	협회/NNG+를/JKO
이끈다.	이끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.23.12.4
정 부회장은 국가대표 선발전의 투명성을 높이고, 유소년부터 국가대표에 이르는 우수 선수 육성 체계를 갖추는 데 주력했다.

정	정/NNP
부회장은	부회장/NNG+은/JX
국가대표	국가/NNG+대표/NNG
선발전의	선발전/NNG+의/JKG
투명성을	투명/NNG+성/XSN+을/JKO
높이고,	높이/VV+고/EC+,/SP
유소년부터	유소년/NNG+부터/JX
국가대표에	국가/NNG+대표/NNG+에/JKB
이르는	이르/VV+는/ETM
우수	우수/NNG
선수	선수/NNG
육성	육성/NNG
체계를	체계/NNG+를/JKO
갖추는	갖추/VV+는/ETM
데	데/NNB
주력했다.	주력/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.23.13.1
1985년부터 현재까지 현대차그룹이 양궁 후원에 쏟아부은 금액은 450억 원에 이른다.

1985년부터	1985/SN+년/NNB+부터/JX
현재까지	현재/NNG+까지/JX
현대차그룹이	현대차그룹/NNP+이/JKS
양궁	양궁/NNG
후원에	후원/NNG+에/JKB
쏟아부은	쏟아붓/VV+은/ETM
금액은	금액/NNG+은/JX
450억	450/SN+억/NR
원에	원/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.23.13.2
지금까지 주요 국제대회에서 좋은 성적을 거둔 선수와 코치진에 돌아간 포상금만 해도 60억 원이 넘는다.

지금까지	지금/NNG+까지/JX
주요	주요/NNG
국제대회에서	국제/NNG+대회/NNG+에서/JKB
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
거둔	거두/VV+ㄴ/ETM
선수와	선수/NNG+와/JC
코치진에	코치진/NNG+에/JKB
돌아간	돌아가/VV+ㄴ/ETM
포상금만	포상금/NNG+만/JX
해도	하/VV+아도/EC
60억	60/SN+억/NR
원이	원/NNB+이/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000049.23.13.3
이번 올림픽에서도 지원을 아끼지 않았다.

이번	이번/NNG
올림픽에서도	올림픽/NNG+에서/JKB+도/JX
지원을	지원/NNG+을/JKO
아끼지	아끼/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.23.13.4
비행기의 비즈니스 클래스로 양궁 선수단 전원을 리우데자네이루까지 이동하도록 했다.

비행기의	비행기/NNG+의/JKG
비즈니스	비즈니스/NNG
클래스로	클래스/NNG+로/JKB
양궁	양궁/NNG
선수단	선수단/NNG
전원을	전원/NNG+을/JKO
리우데자네이루까지	리우데자네이루/NNP+까지/JX
이동하도록	이동/NNG+하/XSV+도록/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.23.13.5
선수촌과 거리가 먼 양궁 경기장 인근에는 물리치료실, 휴게실 등을 갖춘 대형 캠핑카를 마련해 편의를 제공했다.

선수촌과	선수촌/NNG+과/JKB
거리가	거리/NNG+가/JKS
먼	멀/VA+ㄴ/ETM
양궁	양궁/NNG
경기장	경기장/NNG
인근에는	인근/NNG+에/JKB+는/JX
물리치료실,	물리/NNG+치료실/NNG+,/SP
휴게실	휴게실/NNG
등을	등/NNB+을/JKO
갖춘	갖추/VV+ㄴ/ETM
대형	대형/NNG
캠핑카를	캠핑카/NNG+를/JKO
마련해	마련/NNG+하/XSV+아/EC
편의를	편의/NNG+를/JKO
제공했다.	제공/NNG+하/XSV+았/EP+다/EF+./SF


