# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.376
metadata : {}


# id : NWRW1800000041.376.1.1
[수도권]의정부경전철도 내년부터 환승 할인

[수도권]의정부경전철도	[/SS+수도/NNG+권/XSN+]/SS+의정부경전철/NNP+도/JX
교통카드를	교통/NNG+카드/NNG+를/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
때만	때/NNG+만/JX
해당된다.	해당/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.376.4.1
경기 의정부시와 의정부경전철㈜은 21일 시스템 구축·손실금을 각각 50% 분담키로 하고 올해 안에 통합 환승 할인제를 도입하는 데 합의했다.

경기	경기/NNP
의정부시와	의정부시/NNP+와/JC
의정부경전철㈜은	의정부경전철/NNP+㈜/SW+은/JX
21일	21/SN+일/NNB
시스템	시스템/NNG
구축·손실금을	구축/NNG+·/SP+손실금/NNG+을/JKO
각각	각각/MAG
50%	50/SN+%/SW
분담키로	분담/NNG+하/XSV+기/ETN+로/JKB
하고	하/VV+고/EC
올해	올해/NNG
안에	안/NNG+에/JKB
통합	통합/NNG
환승	환승/NNG
할인제를	할인/NNG+제/XSN+를/JKO
도입하는	도입/NNG+하/XSV+는/ETM
데	데/NNB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.376.4.2
이에 따라 현재 의정부경전철(1300원)에서 코레일(1050원·5km 이내 기준) 노선으로 갈아타면 2350원을 내지만 통합 환승 요금제가 적용될 경우 경전철 비용 1300원만 부담하면 무료 환승이 가능하다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
현재	현재/MAG
의정부경전철(1300원)에서	의정부경전철/NNP+(/SS+1300/SN+원/NNB+)/SS+에서/JKB
코레일(1050원·5km	코레일/NNP+(/SS+1050/SN+원/NNB+·/SP+5/SN+km/SW
이내	이내/MAG
기준)	기준/NNG+)/SS
노선으로	노선/NNG+으로/JKB
갈아타면	갈아타/VV+면/EC
2350원을	2350/SN+원/NNB+을/JKO
내지만	내/VV+지만/EC
통합	통합/NNG
환승	환승/NNG
요금제가	요금/NNG+제/XSN+가/JKS
적용될	적용/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
경전철	경전철/NNG
비용	비용/NNG
1300원만	1300/SN+원/NNB+만/JX
부담하면	부담/NNG+하/XSV+면/EC
무료	무료/NNG
환승이	환승/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000041.376.5.1
두 기관은 환승손실금 가운데 30%를 경기도가 부담하고 나머지는 반반씩 내기로 했다.

두	두/MMN
기관은	기관/NNG+은/JX
환승손실금	환승/NNG+손실금/NNG
가운데	가운데/NNG
30%를	30/SN+%/SW+를/JKO
경기도가	경기도/NNP+가/JKS
부담하고	부담/NNG+하/XSV+고/EC
나머지는	나머지/NNG+는/JX
반반씩	반반/NNG+씩/XSN
내기로	내/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.376.5.2
경로무임 제도는 통합 환승 할인제 도입 전에 우선 시행하고 손실금은 경전철㈜ 측이 매년 부담하기로 했다.

경로무임	경로/NNG+무임/NNG
제도는	제도/NNG+는/JX
통합	통합/NNG
환승	환승/NNG
할인제	할인/NNG+제/XSN
도입	도입/NNG
전에	전/NNG+에/JKB
우선	우선/MAG
시행하고	시행/NNG+하/XSV+고/EC
손실금은	손실금/NNG+은/JX
경전철㈜	경전철/NNG+㈜/SW
측이	측/NNB+이/JKS
매년	매년/MAG
부담하기로	부담/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.376.5.3
환승 시스템 구축비 60억 원도 두 기관이 30억 원씩 부담하고 경전철과 버스가 상생할 수 있도록 버스 노선도 개편한다.

환승	환승/NNG
시스템	시스템/NNG
구축비	구축비/NNG
60억	60/SN+억/NR
원도	원/NNB+도/JX
두	두/MMN
기관이	기관/NNG+이/JKS
30억	30/SN+억/NR
원씩	원/NNB+씩/XSN
부담하고	부담/NNG+하/XSV+고/EC
경전철과	경전철/NNG+과/JC
버스가	버스/NNG+가/JKS
상생할	상생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
버스	버스/NNG
노선도	노선/NNG+도/JX
개편한다.	개편/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.376.5.4
다만 통합 환승 할인제가 시행되려면 아직 의정부시의회, 경기도, 기획재정부, 경전철 환승 관련 운송기관 등의 협의를 거쳐야 한다.

다만	다만/MAG
통합	통합/NNG
환승	환승/NNG
할인제가	할인/NNG+제/XSN+가/JKS
시행되려면	시행/NNG+되/XSV+려면/EC
아직	아직/MAG
의정부시의회,	의정부시의회/NNP+,/SP
경기도,	경기도/NNP+,/SP
기획재정부,	기획/NNG+재정부/NNG+,/SP
경전철	경전철/NNG
관련	관련/NNG
운송기관	운송/NNG+기관/NNG
등의	등/NNB+의/JKG
협의를	협의/NNG+를/JKO
거쳐야	거치/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.376.6.1
안병용 시장은 “앞으로 다양한 교통수단을 이용해도 기본요금이 한 번만 부과돼 경전철 이용객들의 부담이 줄게 됐다”고 말했다.

안병용	안병용/NNP
시장은	시장/NNG+은/JX
“앞으로	“/SS+앞/NNG+으로/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
교통수단을	교통수단/NNG+을/JKO
이용해도	이용/NNG+하/XSV+아도/EC
기본요금이	기본요금/NNG+이/JKS
한	한/MMN
번만	번/NNB+만/JX
부과돼	부과/NNG+되/XSV+어/EC
경전철	경전철/NNG
이용객들의	이용객/NNG+들/XSN+의/JKG
부담이	부담/NNG+이/JKS
줄게	줄/VV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


