# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.224
metadata : {}


# id : NWRW1800000049.224.1.1
서울, 부리람 제물로 16강 진출

서울,	서울/NNP+,/SP
이로써 승점 13(4승 1무)이 된 서울은 다음 달 4일 열리는 산프레체 히로시마(일본)와의 조별리그 마지막 경기 결과에 관계없이 조 1위를 결정지으면서 ACL에 참가한 K리그 클래식 4개 팀(서울, 전북, 수원, 포항) 중 가장 먼저 16강에 진출했다.

이로써	이/NP+로써/JKB
승점	승점/NNG
13(4승	13/SN+(/SS+4/SN+승/NNB
1무)이	1/SN+무/NNB+)/SS+이/JKC
된	되/VV+ㄴ/ETM
서울은	서울/NNP+은/JX
다음	다음/NNG
달	달/NNG
4일	4/SN+일/NNB
열리는	열리/VV+는/ETM
산프레체	산프레체/NNP
히로시마(일본)와의	히로시마/NNP+(/SS+일본/NNP+)/SS+와/JKB+의/JKG
조별리그	조별/NNG+리그/NNG
마지막	마지막/NNG
경기	경기/NNG
결과에	결과/NNG+에/JKB
관계없이	관계없이/MAG
조	조/NNG
1위를	1/SN+위/NNB+를/JKO
결정지으면서	결정짓/VV+으면서/EC
ACL에	ACL/SL+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
K리그	K/SL+리그/NNG
클래식	클래식/NNG
4개	4/SN+개/NNB
팀(서울,	팀/NNG+(/SS+서울/NNP+,/SP
전북,	전북/NNP+,/SP
수원,	수원/NNP+,/SP
포항)	포항/NNP+)/SS
중	중/NNB
가장	가장/MAG
먼저	먼저/MAG
16강에	16/SN+강/NNB+에/JKB
진출했다.	진출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.224.5.1
서울은 전반 24분 데얀의 선취 골과 전반 43분 박용우의 추가 골로 승기를 잡았다.

서울은	서울/NNP+은/JX
전반	전반/NNG
24분	24/SN+분/NNB
데얀의	데얀/NNP+의/JKG
선취	선취/NNG
골과	골/NNG+과/JC
43분	43/SN+분/NNB
박용우의	박용우/NNP+의/JKG
추가	추가/NNG
골로	골/NNG+로/JKB
승기를	승기/NNG+를/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.224.5.2
후반 22분 페널티킥으로 부리람에 한 점을 내줬지만 추가 실점 없이 경기를 마무리했다.

후반	후반/NNG
22분	22/SN+분/NNB
페널티킥으로	페널티/NNG+킥/NNG+으로/JKB
부리람에	부리람/NNP+에/JKB
한	한/MMN
점을	점/NNB+을/JKO
내줬지만	내주/VV+었/EP+지만/EC
추가	추가/NNG
실점	실점/NNG
없이	없이/MAG
경기를	경기/NNG+를/JKO
마무리했다.	마무리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.224.5.3
서울의 다카하기는 장기인 정확한 오른발 크로스로 데얀과 박용우가 헤딩 골을 넣을 때 모두 도움을 기록했다.

서울의	서울/NNP+의/JKG
다카하기는	다카하기/NNP+는/JX
장기인	장기/NNG+이/VCP+ㄴ/ETM
정확한	정확/NNG+하/XSA+ㄴ/ETM
오른발	오른발/NNG
크로스로	크로스/NNG+로/JKB
데얀과	데얀/NNP+과/JC
박용우가	박용우/NNP+가/JKS
헤딩	헤딩/NNG
골을	골/NNG+을/JKO
넣을	넣/VV+을/ETM
때	때/NNG
모두	모두/MAG
도움을	도움/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.224.5.4
최용수 서울 감독은 “16강 진출을 빨리 확정해 K리그 경기에 좀 더 집중할 수 있게 된 것은 큰 소득”이라고 말했다.

최용수	최용수/NNP
서울	서울/NNP
감독은	감독/NNG+은/JX
“16강	“/SS+16/SN+강/NNB
진출을	진출/NNG+을/JKO
빨리	빨리/MAG
확정해	확정/NNG+하/XSV+아/EC
K리그	K/SL+리그/NNG
경기에	경기/NNG+에/JKB
좀	좀/MAG
더	더/MAG
집중할	집중/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
큰	크/VA+ㄴ/ETM
소득”이라고	소득/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.224.6.1
전북은 FC도쿄(일본)와의 방문경기에서 김보경의 1골 1도움 활약을 앞세워 3-0의 완승을 거두고 승점 9(3승 2패)를 기록하면서 E조 선두로 올라섰다.

전북은	전북/NNP+은/JX
FC도쿄(일본)와의	FC도쿄/NNP+(/SS+일본/NNP+)/SS+와/JKB+의/JKG
방문경기에서	방문/NNG+경기/NNG+에서/JKB
김보경의	김보경/NNP+의/JKG
1골	1/SN+골/NNG
1도움	1/SN+도움/NNG
활약을	활약/NNG+을/JKO
앞세워	앞세우/VV+어/EC
3-0의	3/SN+-/SO+0/SN+의/JKG
완승을	완승/NNG+을/JKO
거두고	거두/VV+고/EC
승점	승점/NNG
9(3승	9/SN+(/SS+3/SN+승/NNB
2패)를	2/SN+패/NNB+)/SS+를/JKO
기록하면서	기록/NNG+하/XSV+면서/EC
E조	E/SL+조/NNG
선두로	선두/NNG+로/JKB
올라섰다.	올라서/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.224.6.2
전북은 전반 35분 김보경의 첫 골을 시작으로 후반 15분 이재성, 후반 추가시간 고무열의 릴레이 골이 터지면서 완승했다.

전북은	전북/NNP+은/JX
전반	전반/NNG
35분	35/SN+분/NNB
김보경의	김보경/NNP+의/JKG
첫	첫/MMN
골을	골/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
후반	후반/NNG
15분	15/SN+분/NNB
이재성,	이재성/NNP+,/SP
추가시간	추가/NNG+시간/NNG
고무열의	고무열/NNP+의/JKG
릴레이	릴레이/NNG
골이	골/NNG+이/JKS
터지면서	터지/VV+면서/EC
완승했다.	완승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.224.7.1
한편 H조의 포항(승점 4)은 이날 같은 조 1위 시드니(호주·승점 10)와 2위 우라와 레즈(일본·8점)의 맞대결이 무승부로 끝나면서 남은 한 경기 결과에 관계없이 조별리그에서 탈락했다.

한편	한편/MAG
H조의	H/SL+조/NNG+의/JKG
포항(승점	포항/NNP+(/SS+승점/NNG
4)은	4/SN+)/SS+은/JX
이날	이날/NNG
같은	같/VA+은/ETM
조	조/NNG
1위	1/SN+위/NNB
시드니(호주·승점	시드니/NNP+(/SS+호주/NNP+·/SP+승점/NNG
10)와	10/SN+)/SS+와/JC
2위	2/SN+위/NNB
우라와	우라와/NNP
레즈(일본·8점)의	레즈/NNP+(/SS+일본/NNP+·/SP+8/SN+점/NNB+)/SS+의/JKG
맞대결이	맞대결/NNG+이/JKS
무승부로	무/XPN+승부/NNG+로/JKB
끝나면서	끝나/VV+면서/EC
남은	남/VV+은/ETM
한	한/MMN
경기	경기/NNG
결과에	결과/NNG+에/JKB
관계없이	관계없이/MAG
조별리그에서	조별/NNG+리그/NNG+에서/JKB
탈락했다.	탈락/NNG+하/XSV+았/EP+다/EF+./SF


