# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.65
metadata : {}


# id : NWRW1800000041.65.1.1
[단독]학교는커녕 하루 1달러 중노동… 300만 시리아 아동 눈물

[단독]학교는커녕	[/SS+단독/NNG+]/SS+학교/NNG+는커녕/JX
북부의 한 지역에선 100명이 넘는 어린이가 하루 8시간씩 큰 탱크에서 흘러나온 디젤유를 스펀지로 빨아들인 뒤 손으로 짜 통에 담는 일을 하고 있다.

북부의	북부/NNG+의/JKG
한	한/MMN
지역에선	지역/NNG+에서/JKB+ㄴ/JX
100명이	100/SN+명/NNB+이/JKS
넘는	넘/VV+는/ETM
어린이가	어린이/NNG+가/JKS
하루	하루/NNG
8시간씩	8/SN+시간/NNB+씩/XSN
큰	크/VA+ㄴ/ETM
탱크에서	탱크/NNG+에서/JKB
흘러나온	흘러나오/VV+ㄴ/ETM
디젤유를	디젤유/NNG+를/JKO
스펀지로	스펀지/NNG+로/JKB
빨아들인	빨아들이/VV+ㄴ/ETM
뒤	뒤/NNG
손으로	손/NNG+으로/JKB
짜	짜/VV+아/EC
통에	통/NNG+에/JKB
담는	담/VV+는/ETM
일을	일/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.65.8.3
이들이 하루에 받는 돈은 1달러에도 미치지 못한다.

이들이	이/NP+들/XSN+이/JKS
하루에	하루/NNG+에/JKB
받는	받/VV+는/ETM
돈은	돈/NNG+은/JX
1달러에도	1/SN+달러/NNB+에/JKB+도/JX
미치지	미치/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.65.8.4
이 때문에 분쟁 이전 100%에 가까웠던 취학률은 수직으로 떨어졌다.

이	이/NP
때문에	때문/NNB+에/JKB
분쟁	분쟁/NNG
이전	이전/NNG
100%에	100/SN+%/SW+에/JKB
가까웠던	가깝/VA+었/EP+던/ETM
취학률은	취학/NNG+률/XSN+은/JX
수직으로	수직/NNG+으로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.65.8.5
알레포에선 취학 어린이가 10%도 안 되며 홈스와 이들리브 지역도 출석률이 50% 이하다.

알레포에선	알레포/NNP+에서/JKB+ㄴ/JX
취학	취학/NNG
어린이가	어린이/NNG+가/JKS
10%도	10/SN+%/SW+도/JX
안	안/MAG
되며	되/VV+며/EC
홈스와	홈스/NNP+와/JC
이들리브	이들리브/NNP
지역도	지역/NNG+도/JX
출석률이	출석/NNG+률/XSN+이/JKS
50%	50/SN+%/SW
이하다.	이하/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.65.9.1
시리아를 가까스로 탈출한 어린이들도 어려움을 겪고 있다.

시리아를	시리아/NNP+를/JKO
가까스로	가까스로/MAG
탈출한	탈출/NNG+하/XSV+ㄴ/ETM
어린이들도	어린이/NNG+들/XSN+도/JX
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.65.9.2
지금까지 시리아를 떠난 난민 300만 명 중 80%가 난민 거주지역이 아닌 옮겨간 국가의 빈민촌에 살고 있다.

지금까지	지금/NNG+까지/JX
시리아를	시리아/NNP+를/JKO
떠난	떠나/VV+ㄴ/ETM
난민	난민/NNG
300만	300/SN+만/NR
명	명/NNB
중	중/NNB
80%가	80/SN+%/SW+가/JKS
거주지역이	거주/NNG+지역/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
옮겨간	옮기/VV+어/EC+가/VX+ㄴ/ETM
국가의	국가/NNG+의/JKG
빈민촌에	빈민촌/NNG+에/JKB
살고	살/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.65.9.3
이들은 기본적인 생계를 이어가기도 벅차 자녀를 학교에 보낼 수 없는 데다 대부분 급한 피란길에 서류를 챙겨오지 못했다.

이들은	이/NP+들/XSN+은/JX
기본적인	기본/NNG+적/XSN+이/VCP+ㄴ/ETM
생계를	생계/NNG+를/JKO
이어가기도	잇/VV+어/EC+가/VX+기/ETN+도/JX
벅차	벅차/VA+아/EC
자녀를	자녀/NNG+를/JKO
학교에	학교/NNG+에/JKB
보낼	보내/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
데다	데/NNB+다/JX
대부분	대/XPN+부분/NNG
급한	급하/VA+ㄴ/ETM
피란길에	피란길/NNG+에/JKB
서류를	서류/NNG+를/JKO
챙겨오지	챙기/VV+어/EC+오/VX+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.65.9.4
가까스로 학교에 들어가도 현지 교사와 학생들로부터 일상적인 차별과 폭력에 시달리기도 한다.

가까스로	가까스로/MAG
학교에	학교/NNG+에/JKB
들어가도	들어가/VV+아도/EC
현지	현지/NNG
교사와	교사/NNG+와/JC
학생들로부터	학생/NNG+들/XSN+로부터/JKB
일상적인	일상/NNG+적/XSN+이/VCP+ㄴ/ETM
차별과	차별/NNG+과/JC
폭력에	폭력/NNG+에/JKB
시달리기도	시달리/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.65.10.1
2011년 3월 시작된 시리아 내전으로 3년 반 동안 19만 명이 숨졌다.

2011년	2011/SN+년/NNB
3월	3/SN+월/NNB
시작된	시작/NNG+되/XSV+ㄴ/ETM
시리아	시리아/NNP
내전으로	내전/NNG+으로/JKB
3년	3/SN+년/NNB
반	반/NNG
동안	동안/NNG
19만	19/SN+만/NR
명이	명/NNB+이/JKS
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.65.10.2
내전 도중 반군인 이슬람국가(IS)가 세력을 키우면서 어린이들의 피해가 갈수록 커지고 있다.

내전	내전/NNG
도중	도중/NNG
반군인	반군/NNG+이/VCP+ㄴ/ETM
이슬람국가(IS)가	이슬람국가/NNP+(/SS+IS/SL+)/SS+가/JKS
세력을	세력/NNG+을/JKO
키우면서	키우/VV+면서/EC
어린이들의	어린이/NNG+들/XSN+의/JKG
피해가	피해/NNG+가/JKS
갈수록	갈수록/MAG
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


