# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.257
metadata : {}


# id : NWRW1800000033.257.1.1
볼트 ‘올해의 육상선수’ 4번째 수상

볼트	볼트/NNP
최초로	최초/NNG+로/JKB
육상	육상/NNG
단거리	단거리/NNG
세	세/MMA
종목을	종목/NNG+을/JKO
올림픽에서	올림픽/NNG+에서/JKB
2회	2/SN+회/NNB
연속	연속/NNG
석권한	석권/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.257.5.3
볼트는 100m(9초58)와 200m(19초19), 400m 계주(36초84)에서 세계기록을 보유한 지구상에서 가장 빠른 인간으로 ‘외계인’으로까지 불리고 있다.

볼트는	볼트/NNP+는/JX
100m(9초58)와	100/SN+m/SW+(/SS+9/SN+초/NNB+58/SN+)/SS+와/JC
200m(19초19),	200/SN+m/SW+(/SS+19/SN+초/NNB+19/SN+)/SS+,/SP
400m	400/SN+m/SW
계주(36초84)에서	계주/NNG+(/SS+36/SN+초/NNB+84/SN+)/SS+에서/JKB
세계기록을	세계/NNG+기록/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
지구상에서	지구/NNG+상/XSN+에서/JKB
가장	가장/MAG
빠른	빠르/VA+ㄴ/ETM
인간으로	인간/NNG+으로/JKB
‘외계인’으로까지	‘/SS+외계인/NNG+’/SS+으로/JKB+까지/JX
불리고	불리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.257.6.1
올해의 여자 선수에는 런던 올림픽 3관왕인 단거리 스타 앨리슨 펠릭스(27·미국)가 선정됐다.

올해의	올해/NNG+의/JKG
여자	여자/NNG
선수에는	선수/NNG+에/JKB+는/JX
런던	런던/NNP
올림픽	올림픽/NNG
3관왕인	3관왕/NNG+이/VCP+ㄴ/ETM
단거리	단거리/NNG
스타	스타/NNG
앨리슨	앨리슨/NNP
펠릭스(27·미국)가	펠릭스/NNP+(/SS+27/SN+·/SP+미국/NNP+)/SS+가/JKS
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.257.6.2
펠릭스는 여자 200m의 최강이었지만 유독 올림픽에서는 금메달과 인연을 맺지 못하다가 런던 올림픽에서 그 한을 풀었다.

펠릭스는	펠릭스/NNP+는/JX
여자	여자/NNG
200m의	200/SN+m/SW+의/JKG
최강이었지만	최강/NNG+이/VCP+었/EP+지만/EC
유독	유독/MAG
올림픽에서는	올림픽/NNG+에서/JKB+는/JX
금메달과	금메달/NNG+과/JKB
인연을	인연/NNG+을/JKO
맺지	맺/VV+지/EC
못하다가	못하/VX+다가/EC
런던	런던/NNP
올림픽에서	올림픽/NNG+에서/JKB
그	그/MMD
한을	한/NNG+을/JKO
풀었다.	풀/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.257.6.3
400m 계주와 1600m 계주에서도 금메달을 추가했다.

400m	400/SN+m/SW
계주와	계주/NNG+와/JC
1600m	1600/SN+m/SW
계주에서도	계주/NNG+에서/JKB+도/JX
금메달을	금메달/NNG+을/JKO
추가했다.	추가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.257.6.4
특히 400m 계주 결선에서는 40초85를 기록해 1985년 이후 27년 동안 깨지지 않은 세계기록(41초37)을 경신했다.

특히	특히/MAG
400m	400/SN+m/SW
계주	계주/NNG
결선에서는	결선/NNG+에서/JKB+는/JX
40초85를	40/SN+초/NNB+85/SN+를/JKO
기록해	기록/NNG+하/XSV+아/EC
1985년	1985/SN+년/NNB
이후	이후/NNG
27년	27/SN+년/NNB
동안	동안/NNG
깨지지	깨지/VV+지/EC
않은	않/VX+은/ETM
세계기록(41초37)을	세계/NNG+기록/NNG+(/SS+41/SN+초/NNB+37/SN+)/SS+을/JKO
경신했다.	경신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.257.6.5
볼트와 펠릭스는 트로피와 함께 상금 10만 달러(약 1억800만 원)를 각각 받았다.

볼트와	볼트/NNP+와/JC
펠릭스는	펠릭스/NNP+는/JX
트로피와	트로피/NNG+와/JKB
함께	함께/MAG
상금	상금/NNG
10만	10/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
1억800만	1/SN+억/NR+800/SN+만/NR
원)를	원/NNB+)/SS+를/JKO
각각	각각/MAG
받았다.	받/VV+았/EP+다/EF+./SF


