# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.70
metadata : {}


# id : NWRW1800000030.70.1.1
짜장면이라고 말하고 자장면이라고 적는다?

짜장면이라고	짜장면/NNG+이/VCP+라고/EC
대한	대하/VV+ㄴ/ETM
청문회	청문회/NNG
같았다.	같/VA+았/EP+다/EF+./SF


# id : NWRW1800000030.70.5.2
한쪽에선 '현실과의 괴리'를 들어 폐기를 주장했고 반대편은 '개정을 통한 유지'를 옹호했다.

한쪽에선	한쪽/NNG+에서/JKB+ㄴ/JX
'현실과의	'/SS+현실/NNG+과/JKB+의/JKG
괴리'를	괴리/NNG+'/SS+를/JKO
들어	들/VV+어/EC
폐기를	폐기/NNG+를/JKO
주장했고	주장/NNG+하/XSV+았/EP+고/EC
반대편은	반대편/NNG+은/JX
'개정을	'/SS+개정/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
유지'를	유지/NNG+'/SS+를/JKO
옹호했다.	옹호/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.70.6.1
국립국어원 주최, 국어학회·조선일보 공동 주관으로 열기를 더해가는 이번 세 번째 토론회의 주제는 '북엇국만 되고 북어국은 안 되나'(성문 한글 맞춤법 규정 유지해야 하나)였다.

국립국어원	국립/NNG+국어원/NNG
주최,	주최/NNG+,/SP
국어학회·조선일보	국어학회/NNP+·/SP+조선일보/NNP
공동	공동/NNG
주관으로	주관/NNG+으로/JKB
열기를	열기/NNG+를/JKO
더해가는	더/MAG+하/XSV+아/EC+가/VX+는/ETM
이번	이번/NNG
세	세/MMN
번째	번/NNB+째/XSN
토론회의	토론회/NNG+의/JKG
주제는	주제/NNG+는/JX
'북엇국만	'/SS+북엇국/NNG+만/JX
되고	되/VV+고/EC
북어국은	북어국/NNG+은/JX
안	안/MAG
되나'(성문	되/VV+나/EF+'/SS+(/SS+성문/NNG
한글	한글/NNG
맞춤법	맞춤법/NNG
규정	규정/NNG
유지해야	유지/NNG+하/XSV+아야/EC
하나)였다.	하/VX+나/EF+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.70.6.2
신지영(고려대·국문학)-차재은(경기대·국문학) 교수와 김정남(경희대·한국어학)-김인균(신라대·국문학) 교수가 팀을 이뤄 규정 폐지와 유지 입장에서 공방을 벌였다.

신지영(고려대·국문학)-차재은(경기대·국문학)	신지영/NNP+(/SS+고려대/NNP+·/SP+국문학/NNG+)/SS+-/SO+차재은/NNP+(/SS+경기대/NNP+·/SP+국문학/NNG+)/SS
교수와	교수/NNG+와/JC
김정남(경희대·한국어학)-김인균(신라대·국문학)	김정남/NNP+(/SS+경희대/NNP+·/SP+한국어학/NNG+)/SS+-/SO+김인균/NNP+(/SS+신라대/NNP+·/SP+국문학/NNG+)/SS
교수가	교수/NNG+가/JKS
팀을	팀/NNG+을/JKO
이뤄	이루/VV+어/EC
규정	규정/NNG
폐지와	폐지/NNG+와/JC
유지	유지/NNG
입장에서	입장/NNG+에서/JKB
공방을	공방/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.70.7.1
신 교수가 "국어사전이 보급되면서 어문 규정은 시효가 끝났다."고 하자, 김정남 교수는 "국어사전도 맞춤법 후광 덕에 권위를 갖는다.

신	신/NNP
교수가	교수/NNG+가/JKS
"국어사전이	"/SS+국어사전/NNG+이/JKS
보급되면서	보급/NNG+되/XSV+면서/EC
어문	어문/NNG
규정은	규정/NNG+은/JX
시효가	시효/NNG+가/JKS
끝났다."고	끝나/VV+았/EP+다/EF+./SF+"/SS+고/JKQ
하자,	하/VV+자/EC+,/SP
김정남	김정남/NNP
교수는	교수/NNG+는/JX
"국어사전도	"/SS+국어사전/NNG+도/JX
맞춤법	맞춤법/NNG
후광	후광/NNG
덕에	덕/NNG+에/JKB
권위를	권위/NNG+를/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000030.70.7.2
건설적인 비판은 좋지만 폐지는 섣부르다"며 응수했다.

건설적인	건설/NNG+적/XSN+이/VCP+ㄴ/ETM
비판은	비판/NNG+은/JX
좋지만	좋/VA+지만/EC
폐지는	폐지/NNG+는/JX
섣부르다"며	섣부르/VA+다/EF+"/SS+며/EC
응수했다.	응수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.70.7.3
토론에서는 "맞춤법에 '법'이라는 경직된 지위를 부여하는 대신 지침의 형태로 두는 게 언어 변화에 효과적으로 대처할 수 있다"(차 교수)는 의견과 "법과 판례처럼 맞춤법 규정과 사전은 상호보완적인 것이다."(김인균 교수)는 견해가 맞섰다.

토론에서는	토론/NNG+에서/JKB+는/JX
"맞춤법에	"/SS+맞춤법/NNG+에/JKB
'법'이라는	'/SS+법/NNG+'/SS+이/VCP+라는/ETM
경직된	경직/NNG+되/XSV+ㄴ/ETM
지위를	지위/NNG+를/JKO
부여하는	부여/NNG+하/XSV+는/ETM
대신	대신/NNG
지침의	지침/NNG+의/JKG
형태로	형태/NNG+로/JKB
두는	두/VV+는/ETM
게	거/NNB+이/JKS
언어	언어/NNG
변화에	변화/NNG+에/JKB
효과적으로	효과/NNG+적/XSN+으로/JKB
대처할	대처/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"(차	있/VA+다/EF+"/SS+(/SS+차/NNP
교수)는	교수/NNG+)/SS+는/ETM
의견과	의견/NNG+과/JC
"법과	"/SS+법/NNG+과/JC
판례처럼	판례/NNG+처럼/JKB
맞춤법	맞춤법/NNG
규정과	규정/NNG+과/JC
사전은	사전/NNG+은/JX
상호보완적인	상호/NNG+보완/NNG+적/XSN+이/VCP+ㄴ/ETM
것이다."(김인균	것/NNB+이/VCP+다/EF+./SF+"/SS+(/SS+김인균/NNP
견해가	견해/NNG+가/JKS
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.70.8.1
방청석에서 이강규씨는 "'뻐스' '딸라'라고 해왔는데 갑자기 규정에 따라 '버스' '달러'라고 한다. 규정이 현실을 따라가야지 언어생활을 압박해서는 안 된다"고 했다.

방청석에서	방청석/NNG+에서/JKB
이강규씨는	이강규/NNP+씨/NNB+는/JX
"'뻐스'	"/SS+'/SS+뻐스/NNG+'/SS
'딸라'라고	'/SS+딸라/NNG+'/SS+라고/JKQ
해왔는데	하/VV+아/EC+오/VX+았/EP+는데/EC
갑자기	갑자기/MAG
규정에	규정/NNG+에/JKB
따라	따르/VV+아/EC
'버스'	'/SS+버스/NNG+'/SS
'달러'라고	'/SS+달러/NNG+'/SS+라고/JKQ
한다.	하/VV+ㄴ다/EF+./SF
규정이	규정/NNG+이/JKS
현실을	현실/NNG+을/JKO
따라가야지	따라가/VV+아야지/EF
언어생활을	언어생활/NNG+을/JKO
압박해서는	압박/NNG+하/XSV+아서/EC+는/JX
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.70.9.1
조선닷컴 토론방에서는 '사이시옷'이 도마 위에 올랐다.

조선닷컴	조선닷컴/NNP
토론방에서는	토론방/NNG+에서/JKB+는/JX
'사이시옷'이	'/SS+사이시옷/NNG+'/SS+이/JKS
도마	도마/NNG
위에	위/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.70.9.2
김원태씨는 "방송에서는 맞춤법 규정에 따라 장맛비라고 하지만 주변에서는 장마비라 부른다. 표기법이 된소리를 억지로 표기하려고 무리하게 집착한다"고 썼다.

김원태씨는	김원태/NNP+씨/NNB+는/JX
"방송에서는	"/SS+방송/NNG+에서/JKB+는/JX
맞춤법	맞춤법/NNG
규정에	규정/NNG+에/JKB
따라	따르/VV+아/EC
장맛비라고	장맛비/NNG+이/VCP+라고/EC
하지만	하/VV+지만/EC
주변에서는	주변/NNG+에서/JKB+는/JX
장마비라	장마비/NNG+이/VCP+라/EC
부른다.	부르/VV+ㄴ다/EF+./SF
표기법이	표기법/NNG+이/JKS
된소리를	된소리/NNG+를/JKO
억지로	억지로/MAG
표기하려고	표기/NNG+하/XSV+려고/EC
무리하게	무리/NNG+하/XSA+게/EC
집착한다"고	집착/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.70.9.3
사회를 본 손범규 한국아나운서연합회장(SBS)은 "현재 아나운서연합회가 표준국어대사전 온라인판 음성을 입력 중인데 '뻐스/버스' 같은 논란이 되는 단어는 녹음을 주저하고 있다. 그게 현실이다. 이런 토론을 통한 여론 형성이 중요한 이유"라고 맺었다.

사회를	사회/NNG+를/JKO
본	보/VV+ㄴ/ETM
손범규	손범규/NNP
한국아나운서연합회장(SBS)은	한국아나운서연합회장/NNG+(/SS+SBS/SL+)/SS+은/JX
"현재	"/SS+현재/MAG
아나운서연합회가	아나운서연합회/NNP+가/JKS
표준국어대사전	표준국어대사전/NNP
온라인판	온라인판/NNG
음성을	음성/NNG+을/JKO
입력	입력/NNG
중인데	중/NNB+이/VCP+ㄴ데/EC
'뻐스/버스'	'/SS+뻐스/NNG+//SP+버스/NNG+'/SS
같은	같/VA+은/ETM
논란이	논란/NNG+이/JKC
되는	되/VV+는/ETM
단어는	단어/NNG+는/JX
녹음을	녹음/NNG+을/JKO
주저하고	주저/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF
그게	그거/NP+이/JKS
현실이다.	현실/NNG+이/VCP+다/EF+./SF
이런	이런/MMD
토론을	토론/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
여론	여론/NNG
형성이	형성/NNG+이/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
이유"라고	이유/NNG+"/SS+라고/JKQ
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.70.10.1
4차 토론회는 8월 11일 '표준어만 되고 방언은 안 되나'를 주제로 열린다.

4차	4/SN+차/NNB
토론회는	토론회/NNG+는/JX
8월	8/SN+월/NNB
11일	11/SN+일/NNB
'표준어만	'/SS+표준어/NNG+만/JX
되고	되/VV+고/EC
방언은	방언/NNG+은/JX
안	안/MAG
되나'를	되/VV+나/EF+'/SS+를/JKO
주제로	주제/NNG+로/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


