# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.244
metadata : {}


# id : NWRW1800000046.244.1.1
[만물상] 바가지 스타벅스 커피

[만물상]	[/SS+만물상/NNG+]/SS
# id : NWRW1800000046.244.3.5
하지만 1987년 하워드 슐츠 회장이 스타벅스를 인수해서는 완전히 다른 곳으로 바꿔 버렸다.

하지만	하지만/MAJ
1987년	1987/SN+년/NNB
하워드	하워드/NNP
슐츠	슐츠/NNP
회장이	회장/NNG+이/JKS
스타벅스를	스타벅스/NNP+를/JKO
인수해서는	인수/NNG+하/XSV+아서/EC+는/JX
완전히	완전히/MAG
다른	다른/MMD
곳으로	곳/NNG+으로/JKB
바꿔	바꾸/VV+어/EC
버렸다.	버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.244.3.6
커피를 홀짝거리면서 쉬거나 친구를 만나는 곳이 됐다.

커피를	커피/NNG+를/JKO
홀짝거리면서	홀짝거리/VV+면서/EC
쉬거나	쉬/VV+거나/EC
친구를	친구/NNG+를/JKO
만나는	만나/VV+는/ETM
곳이	곳/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.244.4.1
▶슐츠 회장은 "커피는 단순한 음료가 아니다. 사람과 사람을 이어주고 유대감을 형성하는 매개체"라고 했다.

▶슐츠	▶/SW+슐츠/NNP
회장은	회장/NNG+은/JX
"커피는	"/SS+커피/NNG+는/JX
단순한	단순/NNG+하/XSA+ㄴ/ETM
음료가	음료/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF
사람과	사람/NNG+과/JC
사람을	사람/NNG+을/JKO
이어주고	잇/VV+어/EC+주/VX+고/EC
유대감을	유대감/NNG+을/JKO
형성하는	형성/NNG+하/XSV+는/ETM
매개체"라고	매개체/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.244.4.2
그는 미국뿐 아니라 세계에 자신의 커피 철학을 설파했다.

그는	그/NP+는/JX
미국뿐	미국/NNP+뿐/JX
아니라	아니/VCN+라/EC
세계에	세계/NNG+에/JKB
자신의	자신/NNG+의/JKG
커피	커피/NNG
철학을	철학/NNG+을/JKO
설파했다.	설파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.244.4.3
60여개국에 2만1000개 넘는 점포를 열었다.

60여개국에	60/SN+여/XSN+개국/NNB+에/JKB
2만1000개	2/SN+만/NR+1000/SN+개/NNB
넘는	넘/VV+는/ETM
점포를	점포/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.244.4.4
우리나라엔 1999년 이화여대 앞에서 시작해 전국에 720여개 점포가 있다.

우리나라엔	우리나라/NNG+에/JKB+ㄴ/JX
1999년	1999/SN+년/NNB
이화여대	이화여대/NNP
앞에서	앞/NNG+에서/JKB
시작해	시작/NNG+하/XSV+아/EC
전국에	전국/NNG+에/JKB
720여개	720/SN+여/XSN+개/NNB
점포가	점포/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.244.4.5
정용진 신세계 부회장이 1990년대 초반 미국 유학 시절 '스타벅스 문화'에 반해 스타벅스와 절반씩 투자하기로 하고 들여왔다.

정용진	정용진/NNP
신세계	신세계/NNP
부회장이	부회장/NNG+이/JKS
1990년대	1990/SN+년대/NNB
초반	초반/NNG
미국	미국/NNP
유학	유학/NNG
시절	시절/NNG
'스타벅스	'/SS+스타벅스/NNP
문화'에	문화/NNG+'/SS+에/JKB
반해	반하/VV+아/EC
스타벅스와	스타벅스/NNP+와/JC
절반씩	절반/NNG+씩/XSN
투자하기로	투자/NNG+하/XSV+기/ETN+로/JKB
하고	하/VV+고/EC
들여왔다.	들여오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.244.5.1
▶어제 소비자단체 소비자시민모임이 세계 13개 주요 도시의 식품 가격을 조사한 결과를 내놓았다.

▶어제	▶/SW+어제/NNG
소비자단체	소비자/NNG+단체/NNG
소비자시민모임이	소비자시민모임/NNP+이/JKS
세계	세계/NNG
13개	13/SN+개/NNB
주요	주요/NNG
도시의	도시/NNG+의/JKG
식품	식품/NNG
가격을	가격/NNG+을/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과를	결과/NNG+를/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.244.5.2
그런데 서울의 스타벅스에서 파는 아메리카노 커피 값이 4100원으로 13개 도시 가운데 가장 비쌌다.

그런데	그런데/MAJ
서울의	서울/NNP+의/JKG
스타벅스에서	스타벅스/NNP+에서/JKB
파는	팔/VV+는/ETM
아메리카노	아메리카노/NNG
커피	커피/NNG
값이	값/NNG+이/JKS
4100원으로	4100/SN+원/NNB+으로/JKB
13개	13/SN+개/NNB
도시	도시/NNG
가운데	가운데/NNG
가장	가장/MAG
비쌌다.	비싸/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.244.5.3
파리·베이징·도쿄가 그 뒤를 이어 2~4위였고 뉴욕은 서울보다 40%나 싼 2477원으로 12위에 머물렀다.

파리·베이징·도쿄가	파리/NNP+·/SP+베이징/NNP+·/SP+도쿄/NNP+가/JKS
그	그/MMD
뒤를	뒤/NNG+를/JKO
이어	잇/VV+어/EC
2~4위였고	2/SN+~/SO+4/SN+위/NNB+이/VCP+었/EP+고/EC
뉴욕은	뉴욕/NNP+은/JX
서울보다	서울/NNP+보다/JKB
40%나	40/SN+%/SW+나/JX
싼	싸/VA+ㄴ/ETM
2477원으로	2477/SN+원/NNB+으로/JKB
12위에	12/SN+위/NNB+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.244.5.4
원두를 비롯한 커피 제조 원가는 가격의 10분의 1쯤이다.

원두를	원두/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
커피	커피/NNG
제조	제조/NNG
원가는	원가/NNG+는/JX
가격의	가격/NNG+의/JKG
10분의	10/SN+분/XSN+의/JKG
1쯤이다.	1/SN+쯤/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.244.5.5
그렇다면 서울은 임대료·인건비 같은 간접비가 비싸거나 회사가 이윤을 많이 남긴다는 얘기다.

그렇다면	그렇/VA+다면/EC
서울은	서울/NNP+은/JX
임대료·인건비	임대료/NNG+·/SP+인건비/NNG
같은	같/VA+은/ETM
간접비가	간접비/NNG+가/JKS
비싸거나	비싸/VA+거나/EC
회사가	회사/NNG+가/JKS
이윤을	이윤/NNG+을/JKO
많이	많이/MAG
남긴다는	남기/VV+ㄴ다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.244.6.1
▶서울의 임대료는 뉴욕·파리·도쿄보다 싼 세계 8~9위권이다.

▶서울의	▶/SW+서울/NNP+의/JKG
임대료는	임대료/NNG+는/JX
뉴욕·파리·도쿄보다	뉴욕/NNP+·/SP+파리/NNP+·/SP+도쿄/NNP+보다/JKB
싼	싸/VA+ㄴ/ETM
세계	세계/NNG
8~9위권이다.	8/SN+~/SO+9/SN+위/NNB+권/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.244.6.2
생활비도 도쿄·베이징보다 적게 들어 세계 10위권이다.

생활비도	생활비/NNG+도/JX
도쿄·베이징보다	도쿄/NNP+·/SP+베이징/NNP+보다/JKB
적게	적/VA+게/EC
들어	들/VV+어/EC
세계	세계/NNG
10위권이다.	10/SN+위/NNB+권/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.244.6.3
그런데 2013년 스타벅스 코리아의 영업이익은 321억원으로 전보다 29%가 늘어났다.

그런데	그런데/MAJ
2013년	2013/SN+년/NNB
스타벅스	스타벅스/NNP
코리아의	코리아/NNP+의/JKG
영업이익은	영업/NNG+이익/NNG+은/JX
321억원으로	321/SN+억/NR+원/NNB+으로/JKB
전보다	전/NNG+보다/JKB
29%가	29/SN+%/SW+가/JKS
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.244.6.4
이쯤 되면 세계 최대 커피 전문점이라는 스타벅스가 한국 소비자만 '봉'으로 보는 것 아니냐는 말이 나올 수밖에 없다.

이쯤	이쯤/MAG
되면	되/VV+면/EC
세계	세계/NNG
최대	최대/NNG
커피	커피/NNG
전문점이라는	전문점/NNG+이/VCP+라는/ETM
스타벅스가	스타벅스/NNP+가/JKS
한국	한국/NNP
소비자만	소비자/NNG+만/JX
'봉'으로	'/SS+봉/NNG+'/SS+으로/JKB
보는	보/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
말이	말/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.244.6.5
아무리 매력적이라지만 바가지를 쓰면서까지 체험할 이유가 있나 싶다.

아무리	아무리/MAG
매력적이라지만	매력/NNG+적/XSN+이/VCP+라지만/EC
바가지를	바가지/NNG+를/JKO
쓰면서까지	쓰/VV+면서/EC+까지/JX
체험할	체험/NNG+하/XSV+ㄹ/ETM
이유가	이유/NNG+가/JKS
있나	있/VA+나/EF
싶다.	싶/VX+다/EF+./SF


