# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.381
metadata : {}


# id : NWRW1800000028.381.1.1
세상엔 별별 음식자격증이 다 있네!

세상엔	세상/NNG+에/JKB+ㄴ/JX
4회	4/SN+회/NNB
강의를	강의/NNG+를/JKO
들은	듣/VV+은/ETM
뒤	뒤/NNG
간단한	간단하/VA+ㄴ/ETM
테스트를	테스트/NNG+를/JKO
치르면	치르/VV+면/EC
자격증을	자격증/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.381.3.12
강의료는 약 60만원.

강의료는	강의료/NNG+는/JX
약	약/MMA
60만원.	60/SN+만/NR+원/NNB+./SF


# id : NWRW1800000028.381.3.13
자격증이 생기면 어린이집이나 유치원, 교회 등 어린이가 있는 곳 어디서나 활동할 수 있으며, 초·중·고 특별활동반 강사로도 일할 수 있다.

자격증이	자격증/NNG+이/JKS
생기면	생기/VV+면/EC
어린이집이나	어린이집/NNG+이나/JC
유치원,	유치원/NNG+,/SP
교회	교회/NNG
등	등/NNB
어린이가	어린이/NNG+가/JKS
있는	있/VA+는/ETM
곳	곳/NNG
어디서나	어디/NP+서/JKB+나/JX
활동할	활동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있으며,	있/VA+으며/EC+,/SP
초·중·고	초·중·고/NNG
특별활동반	특별/NNG+활동/NNG+반/NNG
강사로도	강사/NNG+로/JKB+도/JX
일할	일/NNG+하/XSV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.381.3.14
자격증을 따러 오는 사람의 연령대나 성별·직업도 다양하단다.

자격증을	자격증/NNG+을/JKO
따러	따/VV+러/EC
오는	오/VV+는/ETM
사람의	사람/NNG+의/JKG
연령대나	연령대/NNG+나/JC
성별·직업도	성별/NNG+·/SP+직업/NNG+도/JX
다양하단다.	다양/NNG+하/XSA+단다/EF+./SF


# id : NWRW1800000028.381.3.15
취업준비 중인 대학생, 부업을 원하는 주부, 성인요리에서 아동요리로 활동 범위를 확장하려는 요리사, 학과 수업에 응용하려는 유아교육과 교수 등이 찾아온다고 한다.

취업준비	취업/NNG+준비/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
대학생,	대학/NNG+생/XSN+,/SP
부업을	부업/NNG+을/JKO
원하는	원/NNG+하/XSV+는/ETM
주부,	주부/NNG+,/SP
성인요리에서	성인/NNG+요리/NNG+에서/JKB
아동요리로	아동/NNG+요리/NNG+로/JKB
활동	활동/NNG
범위를	범위/NNG+를/JKO
확장하려는	확장/NNG+하/XSV+려는/ETM
요리사,	요리사/NNG+,/SP
학과	학과/NNG
수업에	수업/NNG+에/JKB
응용하려는	응용/NNG+하/XSV+려는/ETM
유아교육과	유아/NNG+교육과/NNG
교수	교수/NNG
등이	등/NNB+이/JKS
찾아온다고	찾아오/VV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.381.3.16
협회 회원은 현재 9000명 정도다.

협회	협회/NNG
회원은	회원/NNG+은/JX
현재	현재/MAG
9000명	9000/SN+명/NNB
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.381.3.17
(02)332-9163, cafe.naver.com/mom119 편식지도사 | 아이들 혹은 부모, 교사를 상대로 ‘아이들의 편식을 막기 위한 방법’을 지도하는 전문가다.

(02)332-9163,	(/SS+02/SN+)/SS+332/SN+-/SO+9163/SN+,/SP
cafe.naver.com/mom119	cafe/SL+./SP+naver/SL+./SP+com/SL+//SP+mom/SL+119/SN
편식지도사	편식/NNG+지도사/NNG
|	|/SW
아이들	아이/NNG+들/XSN
혹은	혹은/MAG
부모,	부모/NNG+,/SP
교사를	교사/NNG+를/JKO
상대로	상대/NNG+로/JKB
‘아이들의	‘/SS+아이/NNG+들/XSN+의/JKG
편식을	편식/NNG+을/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
방법’을	방법/NNG+’/SS+을/JKO
지도하는	지도/NNG+하/XSV+는/ETM
전문가다.	전문가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.381.3.18
이것 역시 한국아동요리지도자협회에서 실시하는 18시간짜리 강의를 들으면 자격증이 발급된다.

이것	이것/NP
역시	역시/MAG
한국아동요리지도자협회에서	한국아동요리지도자협회/NNP+에서/JKB
실시하는	실시/NNG+하/XSV+는/ETM
18시간짜리	18/SN+시간/NNB+짜리/XSN
강의를	강의/NNG+를/JKO
들으면	듣/VV+으면/EC
자격증이	자격증/NNG+이/JKS
발급된다.	발급/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.381.3.19
강의료는 약 30만원.

강의료는	강의료/NNG+는/JX
약	약/MMA
30만원.	30/SN+만/NR+원/NNB+./SF


# id : NWRW1800000028.381.3.20
편식지도 전문 강사가 되고 싶거나, 아동 영양교육과의 접목을 원하는 전문가, 혹은 자녀의 식습관 때문에 고민하는 부모들에게 유용하다고 협회 쪽은 설명했다.

편식지도	편식/NNG+지도/NNG
전문	전문/NNG
강사가	강사/NNG+가/JKC
되고	되/VV+고/EC
싶거나,	싶/VX+거나/EC+,/SP
아동	아동/NNG
영양교육과의	영양/NNG+교육/NNG+과/JKB+의/JKG
접목을	접목/NNG+을/JKO
원하는	원/NNG+하/XSV+는/ETM
전문가,	전문가/NNG+,/SP
혹은	혹은/MAG
자녀의	자녀/NNG+의/JKG
식습관	식습관/NNG
때문에	때문/NNB+에/JKB
고민하는	고민/NNG+하/XSV+는/ETM
부모들에게	부모/NNG+들/XSN+에게/JKB
유용하다고	유용/NNG+하/XSA+다고/EC
협회	협회/NNG
쪽은	쪽/NNB+은/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.381.3.21
실제로 찾아오는 사람은 유치원 조리담당이나 학부모들이 많단다.

실제로	실제로/MAG
찾아오는	찾아오/VV+는/ETM
사람은	사람/NNG+은/JX
유치원	유치원/NNG
조리담당이나	조리/NNG+담당/NNG+이나/JC
학부모들이	학부모/NNG+들/XSN+이/JKS
많단다.	많/VA+단다/EF+./SF


# id : NWRW1800000028.381.3.22
(02)332-9163, cafe.naver.com/unbalanceddiet 커퍼 | 커피머신을 통해 다양한 커피를 뽑아내는 직업이 ‘바리스타’이고 생두 상태의 커피를 볶아 원두로 만드는 직업이 ‘로스터’다.

(02)332-9163,	(/SS+02/SN+)/SS+332/SN+-/SO+9163/SN+,/SP
cafe.naver.com/unbalanceddiet	cafe/SL+./SP+naver/SL+./SP+com/SL+//SP+unbalanceddiet/SL
커퍼	커퍼/NNG
|	|/SW
커피머신을	커피/NNG+머신/NNG+을/JKO
통해	통하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
커피를	커피/NNG+를/JKO
뽑아내는	뽑아내/VV+는/ETM
직업이	직업/NNG+이/JKS
‘바리스타’이고	‘/SS+바리스타/NNG+’/SS+이/VCP+고/EC
생두	생두/NNG
상태의	상태/NNG+의/JKG
볶아	볶/VV+아/EC
원두로	원두/NNG+로/JKB
만드는	만들/VV+는/ETM
‘로스터’다.	‘/SS+로스터/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000028.381.3.23
비교적 많이 알려진 이 두 종류의 커피 직업군을 제치고 최근 가장 큰 주목을 받고 있는 게 ‘커퍼’다.

비교적	비교/NNG+적/XSN
많이	많이/MAG
알려진	알려지/VV+ㄴ/ETM
이	이/MMD
두	두/MMN
종류의	종류/NNG+의/JKG
커피	커피/NNG
직업군을	직업군/NNG+을/JKO
제치고	제치/VV+고/EC
최근	최근/NNG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
주목을	주목/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
게	거/NNB+이/JKS
‘커퍼’다.	‘/SS+커퍼/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000028.381.3.24
‘커피 품질 감별사’ 정도로 옮길 수 있는 ‘커퍼’는 같은 지역이라 하더라도 기후나 생산연도에 따라 맛이 현격히 다른 커피의 품질을 감별해내는 직종이다.

‘커피	‘/SS+커피/NNG
품질	품질/NNG
감별사’	감별사/NNG+’/SS
정도로	정도/NNG+로/JKB
옮길	옮기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘커퍼’는	‘/SS+커퍼/NNG+’/SS+는/JX
같은	같/VA+은/ETM
지역이라	지역/NNG+이/VCP+라/EC
하더라도	하/VV+더라도/EC
기후나	기후/NNG+나/JC
생산연도에	생산/NNG+연도/NNG+에/JKB
따라	따르/VV+아/EC
맛이	맛/NNG+이/JKS
현격히	현격히/MAG
다른	다르/VA+ㄴ/ETM
커피의	커피/NNG+의/JKG
품질을	품질/NNG+을/JKO
감별해내는	감별/NNG+하/XSV+아/EC+내/VX+는/ETM
직종이다.	직종/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.381.3.25
커피 시장이 커지면서, 추출이나 커피머신에 대한 관심이 로스팅에 대한 관심으로 이동했고, 이젠 커피 자체의 식재료에 대한 관심으로 옮겨가면서, 이 직종에 대한 관심도 커지고 있는 것.

커피	커피/NNG
시장이	시장/NNG+이/JKS
커지면서,	커지/VV+면서/EC+,/SP
추출이나	추출/NNG+이나/JC
커피머신에	커피/NNG+머신/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
로스팅에	로스팅/NNG+에/JKB
관심으로	관심/NNG+으로/JKB
이동했고,	이동/NNG+하/XSV+았/EP+고/EC+,/SP
이젠	이제/NNG+ㄴ/JX
자체의	자체/NNG+의/JKG
식재료에	식재료/NNG+에/JKB
옮겨가면서,	옮기/VV+어/EC+가/VX+면서/EC+,/SP
이	이/MMD
직종에	직종/NNG+에/JKB
관심도	관심/NNG+도/JX
커지고	커지/VV+고/EC
있는	있/VX+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000028.381.3.26
하지만 국제공인자격증은 따기가 어렵고 국내 교육시설 또한 커피 전문가들 사이에서 신뢰하는 교육기관이 없는 현실이다.

하지만	하지만/MAJ
국제공인자격증은	국제/NNG+공인/NNG+자격증/NNG+은/JX
따기가	따/VV+기/ETN+가/JKS
어렵고	어렵/VA+고/EC
국내	국내/NNG
교육시설	교육/NNG+시설/NNG
또한	또한/MAG
커피	커피/NNG
전문가들	전문가/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
신뢰하는	신뢰/NNG+하/XSV+는/ETM
교육기관이	교육/NNG+기관/NNG+이/JKS
없는	없/VA+는/ETM
현실이다.	현실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.381.3.27
하지만 자격증이 없어도 커퍼로 활동하는 게 불가능한 건 아니다.

하지만	하지만/MAJ
자격증이	자격증/NNG+이/JKS
없어도	없/VA+어도/EC
커퍼로	커퍼/NNG+로/JKB
활동하는	활동/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000028.381.3.28
매년 브라질·온두라스 등 대표적인 커피 생산국에서 열리는 그해 생산된 커피 중 최고의 커피를 뽑는 행사인 ‘컵 오브 엑설런스’ 국제심판관으로 활동하고 있는 이윤선(34)씨는 자격증이 없지만, 국내외에서 인정받는 커퍼다.

매년	매년/MAG
브라질·온두라스	브라질/NNP+·/SP+온두라스/NNP
등	등/NNB
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
커피	커피/NNG
생산국에서	생산국/NNG+에서/JKB
열리는	열리/VV+는/ETM
그해	그해/NNG
생산된	생산/NNG+되/XSV+ㄴ/ETM
중	중/NNB
최고의	최고/NNG+의/JKG
커피를	커피/NNG+를/JKO
뽑는	뽑/VV+는/ETM
행사인	행사/NNG+이/VCP+ㄴ/ETM
‘컵	‘/SS+컵/NNG
오브	오브/NNG
엑설런스’	엑설런스/NNG+’/SS
국제심판관으로	국제/NNG+심판관/NNG+으로/JKB
활동하고	활동/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
이윤선(34)씨는	이윤선/NNP+(/SS+34/SN+)/SS+씨/NNB+는/JX
자격증이	자격증/NNG+이/JKS
없지만,	없/VA+지만/EC+,/SP
국내외에서	국내외/NNG+에서/JKB
인정받는	인정/NNG+받/XSV+는/ETM
커퍼다.	커퍼/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.381.3.29
이씨는 ‘컵 오브 엑설런스’ 조직위에 커피회사에서 일한 경력과 연구 이력 등을 제출해 먼저 옵서버로 선출돼 활동한 뒤 인정받아 심판관으로 발탁된 경우다.

이씨는	이/NNP+씨/NNB+는/JX
‘컵	‘/SS+컵/NNG
오브	오브/NNG
엑설런스’	엑설런스/NNG+’/SS
조직위에	조직위/NNG+에/JKB
커피회사에서	커피/NNG+회사/NNG+에서/JKB
일한	일/NNG+하/XSV+ㄴ/ETM
경력과	경력/NNG+과/JC
연구	연구/NNG
이력	이력/NNG
등을	등/NNB+을/JKO
제출해	제출/NNG+하/XSV+아/EC
먼저	먼저/MAG
옵서버로	옵서버/NNG+로/JKB
선출돼	선출/NNG+되/XSV+어/EC
활동한	활동/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
인정받아	인정/NNG+받/XSV+아/EC
심판관으로	심판관/NNG+으로/JKB
발탁된	발탁/NNG+되/XSV+ㄴ/ETM
경우다.	경우/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.381.3.30
이씨는 “커퍼는 커피를 대량 수입·구매하는 등의 일을 주로 하는 커피회사에 취직하지 않고선 프리랜서로 활동하기 어려운 직종이기 때문에, 먼저 커피회사에 취직한 뒤 감별능력을 키우는 게 자격증 자체를 따는 것보다 중요하다고 본다”고 말했다.

이씨는	이/NNP+씨/NNB+는/JX
“커퍼는	“/SS+커퍼/NNG+는/JX
커피를	커피/NNG+를/JKO
대량	대량/NNG
수입·구매하는	수입/NNG+·/SP+구매/NNG+하/XSV+는/ETM
등의	등/NNB+의/JKG
일을	일/NNG+을/JKO
주로	주로/MAG
하는	하/VV+는/ETM
커피회사에	커피/NNG+회사/NNG+에/JKB
취직하지	취직/NNG+하/XSV+지/EC
않고선	않/VX+고서/EC+ㄴ/JX
프리랜서로	프리랜서/NNG+로/JKB
활동하기	활동/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
직종이기	직종/NNG+이/VCP+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
먼저	먼저/MAG
취직한	취직/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
감별능력을	감별/NNG+능력/NNG+을/JKO
키우는	키우/VV+는/ETM
게	거/NNB+이/JKS
자격증	자격증/NNG
자체를	자체/NNG+를/JKO
따는	따/VV+는/ETM
것보다	것/NNB+보다/JKB
중요하다고	중요/NNG+하/XSA+다고/EC
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.381.3.31
채소 소믈리에 | 일본의 ‘채소 & 과일 마이스터’ 자격증이 국내에 들어온 것이다.

채소	채소/NNG
소믈리에	소믈리에/NNG
|	|/SW
일본의	일본/NNP+의/JKG
‘채소	‘/SS+채소/NNG
&	&/SW
과일	과일/NNG
마이스터’	마이스터/NNG+’/SS
자격증이	자격증/NNG+이/JKS
국내에	국내/NNG+에/JKB
들어온	들어오/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.381.3.32
‘채소 & 과일 마이스터’란, 채소와 과일의 품종, 산지, 재배 과정, 영양 정보, 맛있게 먹을 수 있는 레시피 등을 종합해 전달하는 전문가다.

‘채소	‘/SS+채소/NNG
&	&/SW
과일	과일/NNG
마이스터’란,	마이스터/NNG+’/SS+란/JX+,/SP
채소와	채소/NNG+와/JC
과일의	과일/NNG+의/JKG
품종,	품종/NNG+,/SP
산지,	산지/NNG+,/SP
재배	재배/NNG
과정,	과정/NNG+,/SP
영양	영양/NNG
정보,	정보/NNG+,/SP
맛있게	맛있/VA+게/EC
먹을	먹/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
레시피	레시피/NNG
등을	등/NNB+을/JKO
종합해	종합/NNG+하/XSV+아/EC
전달하는	전달/NNG+하/XSV+는/ETM
전문가다.	전문가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.381.3.33
일본에서 자격증을 딴 김은경(44)씨가 국내에 ‘채소 & 과일 마이스터 협회 한국지부’를 만들어 일정 교육 과정을 이수한 뒤 과제를 제출하고 시험에 합격한 사람들에게 자격증을 준다.

일본에서	일본/NNP+에서/JKB
자격증을	자격증/NNG+을/JKO
딴	따/VV+ㄴ/ETM
김은경(44)씨가	김은경/NNP+(/SS+44/SN+)/SS+씨/NNB+가/JKS
