# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.24
metadata : {}


# id : NWRW1800000024.24.1.1
떨고 있는 동네슈퍼

떨고	떨/VV+고/EC
정도	정도/NNG
규모로	규모/NNG+로/JKB
아파트	아파트/NNG
단지	단지/NNG
등	등/NNB
주거밀집	주거/NNG+밀집/NNG
지역을	지역/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
생활용품을	생활용품/NNG+을/JKO
판매하는	판매/NNG+하/XSV+는/ETM
근린형	근린/NNG+형/XSN
생활점포다.	생활/NNG+점포/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.24.3.1
지에스(GS)그룹이 14일 올해 지에스슈퍼마켓 20곳 이상을 새로 마련할 계획이라고 밝혔다.

지에스(GS)그룹이	지에스/NNP+(/SS+GS/SL+)/SS+그룹/NNG+이/JKS
14일	14/SN+일/NNB
올해	올해/NNG
지에스슈퍼마켓	지에스슈퍼마켓/NNP
20곳	20/SN+곳/NNG
이상을	이상/NNG+을/JKO
새로	새로/MAG
마련할	마련/NNG+하/XSV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.24.3.2
홈플러스 역시 홈플러스 익스프레스 100곳을 새로 열 예정이다.

홈플러스	홈플러스/NNP
역시	역시/MAG
익스프레스	익스프레스/NNP
100곳을	100/SN+곳/NNG+을/JKO
새로	새로/MAG
열	열/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.24.3.3
기업형 슈퍼마켓은 2008년 5월 현재 지에스슈퍼마켓 93개, 롯데슈퍼 86개, 홈플러스 슈퍼익스프레스 74개, 농협 하나로마트 슈퍼마켓 175개 등 전국적으로 563개가 운영되고 있다.

기업형	기업/NNG+형/XSN
슈퍼마켓은	슈퍼마켓/NNG+은/JX
2008년	2008/SN+년/NNB
5월	5/SN+월/NNB
현재	현재/MAG
지에스슈퍼마켓	지에스슈퍼마켓/NNP
93개,	93/SN+개/NNB+,/SP
롯데슈퍼	롯데슈퍼/NNP
86개,	86/SN+개/NNB+,/SP
홈플러스	홈플러스/NNP
슈퍼익스프레스	슈퍼/NNG+익스프레스/NNG
74개,	74/SN+개/NNB+,/SP
농협	농협/NNP
하나로마트	하나로마트/NNP
슈퍼마켓	슈퍼마켓/NNG
175개	175/SN+개/NNB
등	등/NNB
전국적으로	전국/NNG+적/XSN+으로/JKB
563개가	563/SN+개/NNB+가/JKS
운영되고	운영/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.24.4.1
더욱이 대형마트의 경우 대구·부산 등 각 지방자치단체에서 조례를 통해 규제를 강화하고 있지만 기업형 슈퍼마켓에 대해서는 마땅한 대책이 없는 형편이다.

더욱이	더욱이/MAG
대형마트의	대형/NNG+마트/NNG+의/JKG
경우	경우/NNG
대구·부산	대구/NNP+·/SP+부산/NNP
등	등/NNB
각	각/MMD
지방자치단체에서	지방/NNG+자치/NNG+단체/NNG+에서/JKB
조례를	조례/NNG+를/JKO
통해	통하/VV+아/EC
규제를	규제/NNG+를/JKO
강화하고	강화/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
기업형	기업/NNG+형/XSN
슈퍼마켓에	슈퍼마켓/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
마땅한	마땅하/VA+ㄴ/ETM
대책이	대책/NNG+이/JKS
없는	없/VA+는/ETM
형편이다.	형편/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.24.4.2
한국수퍼마켓협동조합연합회 최경주 사무국장은 “협동조합 차원에서 공동구매, 물류센터 확보 등 애를 쓰고 있지만 대기업들이 동네 상권에까지 진출하는 횡포에 대해 뚜렷한 대책이 없다”고 말했다.

한국수퍼마켓협동조합연합회	한국수퍼마켓협동조합연합회/NNP
최경주	최경주/NNP
사무국장은	사무국장/NNG+은/JX
“협동조합	“/SS+협동조합/NNG
차원에서	차원/NNG+에서/JKB
공동구매,	공동/NNG+구매/NNG+,/SP
물류센터	물류/NNG+센터/NNG
확보	확보/NNG
등	등/NNB
애를	애/NNG+를/JKO
쓰고	쓰/VV+고/EC
있지만	있/VX+지만/EC
대기업들이	대/XPN+기업/NNG+들/XSN+이/JKS
동네	동네/NNG
상권에까지	상권/NNG+에/JKB+까지/JX
진출하는	진출/NNG+하/XSV+는/ETM
횡포에	횡포/NNG+에/JKB
대해	대하/VV+아/EC
뚜렷한	뚜렷하/VA+ㄴ/ETM
대책이	대책/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.24.5.1
동네 슈퍼마켓들은 카드 수수료에 대해서도 불만을 토로하고 있다.

동네	동네/NNG
슈퍼마켓들은	슈퍼마켓/NNG+들/XSN+은/JX
카드	카드/NNG
수수료에	수수료/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
불만을	불만/NNG+을/JKO
토로하고	토로/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.24.5.2
동네 슈퍼마켓들은 2.7~3.5%의 카드 수수료를 내 대형마트(1.5~2.0%)보다 더 부담하고 있다.

동네	동네/NNG
슈퍼마켓들은	슈퍼마켓/NNG+들/XSN+은/JX
2.7~3.5%의	2/SN+./SP+7/SN+~/SO+3/SN+./SP+5/SN+%/SW+의/JKG
카드	카드/NNG
수수료를	수수료/NNG+를/JKO
내	내/VV+어/EC
대형마트(1.5~2.0%)보다	대형/NNG+마트/NNG+(/SS+1/SN+./SP+5/SN+~/SO+2/SN+./SP+0/SN+%/SW+)/SS+보다/JKB
더	더/MAG
부담하고	부담/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.24.5.3
실제로 경기도 광명시의 ㅋ마트는 분유, 쌀, 계란 등을 팔 때마다 손해를 보고 있다.

실제로	실제로/MAG
경기도	경기도/NNP
광명시의	광명시/NNP+의/JKG
ㅋ마트는	ㅋ/NNG+마트/NNG+는/JX
분유,	분유/NNG+,/SP
쌀,	쌀/NNG+,/SP
계란	계란/NNG
등을	등/NNB+을/JKO
팔	팔/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
손해를	손해/NNG+를/JKO
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.24.5.4
김아무개(53) 사장은 “도매가 2만원인 남양분유 엑스오(XO)를 팔면 이윤이 300원 남는데 카드 수수료 3%를 내면 309원 손해가 생긴다”고 말했다.

김아무개(53)	김/NNP+아무개/NP+(/SS+53/SN+)/SS
사장은	사장/NNG+은/JX
“도매가	“/SS+도매/NNG+가/XSN
2만원인	2/SN+만/NR+원/NNB+이/VCP+ㄴ/ETM
남양분유	남양/NNP+분유/NNG
엑스오(XO)를	엑스오/NNP+(/SS+XO/SL+)/SS+를/JKO
팔면	팔/VV+면/EC
이윤이	이윤/NNG+이/JKS
300원	300/SN+원/NNB
남는데	남/VV+는데/EC
카드	카드/NNG
수수료	수수료/NNG
3%를	3/SN+%/SW+를/JKO
내면	내/VV+면/EC
309원	309/SN+원/NNB
손해가	손해/NNG+가/JKS
생긴다”고	생기/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.24.6.1
정부는 지난해 10월 소형 가맹점에 대한 카드 수수료 인하를 유도하겠다고 밝혔지만, 아직까지 구체적인 방안을 내놓지 않고 있다.

정부는	정부/NNG+는/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
소형	소형/NNG
가맹점에	가맹점/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
카드	카드/NNG
수수료	수수료/NNG
인하를	인하/NNG+를/JKO
유도하겠다고	유도/NNG+하/XSV+겠/EP+다고/EC
밝혔지만,	밝히/VV+었/EP+지만/EC+,/SP
아직까지	아직/MAG+까지/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
방안을	방안/NNG+을/JKO
내놓지	내놓/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


