# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.53
metadata : {}


# id : NWRW1800000026.53.1.1
국내에 한그루뿐인 북한産 나무 '풍산가문비'가 죽어간다는데

국내에	국내/NNG+에/JKB
말라	마르/VV+아/EC
비틀어졌고	비틀어지/VV+었/EP+고/EC
윗부분의	윗부분/NNG+의/JKG
가지	가지/NNG
서너	서너/MMN
개만	개/NNB+만/JX
살아있다.	살/VV+아/EC+있/VX+다/EF+./SF


# id : NWRW1800000026.53.3.2
산림과학원 최명섭 연구관은 "1990년대만 해도 가지들이 쭉쭉 뻗고 솔방울도 달렸는데 몇 년 전부터 갑자기 말라 영양제를 주고 응급조치를 취했다"고 했다.

산림과학원	산림/NNG+과학원/NNG
최명섭	최명섭/NNP
연구관은	연구관/NNG+은/JX
"1990년대만	"/SS+1990/SN+년대/NNB+만/JX
해도	하/VV+아도/EC
가지들이	가지/NNG+들/XSN+이/JKS
쭉쭉	쭉쭉/MAG
뻗고	뻗/VV+고/EC
솔방울도	솔방울/NNG+도/JX
달렸는데	달리/VV+었/EP+는데/EC
몇	몇/NR
년	년/NNB
전부터	전/NNG+부터/JX
갑자기	갑자기/MAG
말라	마르/VV+아/EC
영양제를	영양제/NNG+를/JKO
주고	주/VV+고/EC
응급조치를	응급조치/NNG+를/JKO
취했다"고	취하/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.53.4.1
그런데도 나무가 살아날 길이 안 보인다는 게 최 연구관의 고민이다.

그런데도	그런데/MAJ+도/JX
나무가	나무/NNG+가/JKS
살아날	살아나/VV+ㄹ/ETM
길이	길/NNG+이/JKS
안	안/MAG
보인다는	보이/VV+ㄴ다는/ETM
게	거/NNB+이/JKS
최	최/NNP
연구관의	연구관/NNG+의/JKG
고민이다.	고민/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.53.4.2
풍산가문비나무는 보통 20여m 높이로 200~300년을 산다고 한다.

풍산가문비나무는	풍산가문비/NNG+나무/NNG+는/JX
보통	보통/MAG
20여m	20/SN+여/XSN+m/SW
높이로	높이/NNG+로/JKB
200~300년을	200/SN+~/SO+300/SN+년/NNB+을/JKO
산다고	살/VV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.53.4.3
하지만 지금 8m 키에서 성장이 정지된 채 말라가고 있다.

하지만	하지만/MAJ
지금	지금/MAG
8m	8/SN+m/SW
키에서	키/NNG+에서/JKB
성장이	성장/NNG+이/JKS
정지된	정지/NNG+되/XSV+ㄴ/ETM
채	채/NNB
말라가고	마르/VV+아/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.53.5.1
이 나무가 이곳에 온 것은 임업시험장이 만들어진 1922년이다.

이	이/MMD
나무가	나무/NNG+가/JKS
이곳에	이곳/NP+에/JKB
온	오/VV+ㄴ/ETM
것은	것/NNB+은/JX
임업시험장이	임업/NNG+시험장/NNG+이/JKS
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
1922년이다.	1922/SN+년/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.53.5.2
당시 직원이던 김이만씨가 백두산에 출장가 양강도 풍산지역 후치령의 산골짜기에서 캐어왔다.

당시	당시/NNG
직원이던	직원/NNG+이/VCP+던/ETM
김이만씨가	김이만/NNP+씨/NNB+가/JKS
백두산에	백두산/NNP+에/JKB
출장가	출장/NNG+가/VV+아/EC
양강도	양강도/NNP
풍산지역	풍산/NNP+지역/NNG
후치령의	후치령/NNP+의/JKG
산골짜기에서	산골짜기/NNG+에서/JKB
캐어왔다.	캐/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.53.5.3
종비나무, 분비나무, 들쭉과 함께였다.

종비나무,	종비나무/NNG+,/SP
분비나무,	분비나무/NNG+,/SP
들쭉과	들쭉/NNG+과/JKB
함께였다.	함께/MAG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.53.6.1
보통 가문비나무는 전나무와 비슷하게 생겨 남한의 지리산 등에도 자란다.

보통	보통/MAG
가문비나무는	가문비나무/NNG+는/JX
전나무와	전나무/NNG+와/JKB
비슷하게	비슷하/VA+게/EC
생겨	생기/VV+어/EC
남한의	남한/NNP+의/JKG
지리산	지리산/NNP
등에도	등/NNB+에/JKB+도/JX
자란다.	자라/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.53.6.2
그러나 백두산 인근 풍산 지역에서만 자생하는 풍산가문비나무는 전나무와 달리 열매가 하늘을 향해 열리지 않고 아래로 처지는 게 특징이다.

그러나	그러나/MAJ
백두산	백두산/NNP
인근	인근/NNG
풍산	풍산/NNP
지역에서만	지역/NNG+에서/JKB+만/JX
자생하는	자생/NNG+하/XSV+는/ETM
풍산가문비나무는	풍산가문비/NNG+나무/NNG+는/JX
전나무와	전나무/NNG+와/JKB
달리	달리/MAG
열매가	열매/NNG+가/JKS
하늘을	하늘/NNG+을/JKO
향해	향하/VV+아/EC
열리지	열리/VV+지/EC
않고	않/VX+고/EC
아래로	아래/NNG+로/JKB
처지는	처지/VV+는/ETM
게	거/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.53.6.3
90여년이나 된 나무가 시들자 수목원은 '나무 박사'들을 총동원했다.

90여년이나	90/SN+여/XSN+년/NNB+이나/JX
된	되/VV+ㄴ/ETM
나무가	나무/NNG+가/JKS
시들자	시들/VV+자/EC
수목원은	수목원/NNG+은/JX
'나무	'/SS+나무/NNG
박사'들을	박사/NNG+'/SS+들/XSN+을/JKO
총동원했다.	총동원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.53.6.4
주변 나무를 솎아내고 퇴비에 영양제까지 놓았지만 회생 기미가 없다.

주변	주변/NNG
나무를	나무/NNG+를/JKO
솎아내고	솎/VV+아/EC+내/VX+고/EC
퇴비에	퇴비/NNG+에/JKB
영양제까지	영양제/NNG+까지/JX
놓았지만	놓/VV+았/EP+지만/EC
회생	회생/NNG
기미가	기미/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.53.6.5
최 연구관은 "추운 지방에서 자라 서울의 더운 날씨를 못 견디는 것"이라고 분석했다.

최	최/NNP
연구관은	연구관/NNG+은/JX
"추운	"/SS+춥/VA+ㄴ/ETM
지방에서	지방/NNG+에서/JKB
자라	자라/VV+아/EC
서울의	서울/NNP+의/JKG
더운	덥/VA+ㄴ/ETM
날씨를	날씨/NNG+를/JKO
못	못/MAG
견디는	견디/VV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.53.7.1
수목원측은 풍산가문비나무가 고사할 것을 대비해 후계목을 키우고 있다.

수목원측은	수목원/NNG+측/NNB+은/JX
풍산가문비나무가	풍산가문비/NNG+나무/NNG+가/JKS
고사할	고사/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
대비해	대비/NNG+하/XSV+아/EC
후계목을	후계/NNG+목/NNG+을/JKO
키우고	키우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.53.7.2
가지를 잘라내 어린 가문비나무에 접붙여 5~6개 묘목을 만들었다.

가지를	가지/NNG+를/JKO
잘라내	자르/VV+아/EC+내/VX+어/EC
어린	어리/VA+ㄴ/ETM
가문비나무에	가문비나무/NNG+에/JKB
접붙여	접붙이/VV+어/EC
5~6개	5/SN+~/SO+6/SN+개/NNB
묘목을	묘목/NNG+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.53.7.3
그러나 이는 국내 가문비나무에 접목시킨 것이어서 순수 풍산가문비나무는 아니다.

그러나	그러나/MAJ
이는	이/NP+는/JX
국내	국내/NNG
가문비나무에	가문비나무/NNG+에/JKB
접목시킨	접목/NNG+시키/XSV+ㄴ/ETM
것이어서	것/NNB+이/VCP+어서/EC
순수	순수/NNG
풍산가문비나무는	풍산가문비/NNG+나무/NNG+는/JX
아니다.	아니/VCN+다/EF+./SF


