# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.13
metadata : {}


# id : NWRW1800000036.13.1.1
‘보그’ 담뱃값 인상 1년만에 원위치

‘보그’	‘/SS+보그/NNP+’/SS
한달 뒤인 지난해 5월엔 일본계 담배회사인 제이티아이(JTI) 코리아가 마일드세븐 등의 가격을 200원 올렸고, 미국계인 피엠(PM) 코리아는 올해 2월 담배값을 인상했다.

한달	한/MMN+달/NNB
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
지난해	지난해/NNG
5월엔	5/SN+월/NNB+에/JKB+ㄴ/JX
일본계	일본/NNP+계/XSN
담배회사인	담배/NNG+회사/NNG+이/VCP+ㄴ/ETM
제이티아이(JTI)	제이티아이/NNP+(/SS+JTI/SL+)/SS
코리아가	코리아/NNP+가/JKS
마일드세븐	마일드세븐/NNG
등의	등/NNB+의/JKG
가격을	가격/NNG+을/JKO
200원	200/SN+원/NNB
올렸고,	올리/VV+었/EP+고/EC+,/SP
미국계인	미국/NNP+계/XSN+이/VCP+ㄴ/ETM
피엠(PM)	피엠/NNP+(/SS+PM/SL+)/SS
코리아는	코리아/NNP+는/JX
올해	올해/NNG
2월	2/SN+월/NNB
담배값을	담배/NNG+값/NNG+을/JKO
인상했다.	인상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.13.6.3
국내 회사인 케이티엔지(KT&G;)는 인상 가능성이 꾸준히 제기됐으나 현재까지 인상 행진에 동참하지 않고 있다.

국내	국내/NNG
회사인	회사/NNG+이/VCP+ㄴ/ETM
케이티엔지(KT&G;)는	케이티엔지/NNP+(/SS+KT/SL+&/SW+G/SL+;/SP+)/SS+는/JX
인상	인상/NNG
가능성이	가능/NNG+성/XSN+이/JKS
꾸준히	꾸준히/MAG
제기됐으나	제기/NNG+되/XSV+었/EP+으나/EC
현재까지	현재/NNG+까지/JX
행진에	행진/NNG+에/JKB
동참하지	동참/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.13.7.1
이번 가격 인하는 판매량 감소에 따른 고육책으로 보인다.

이번	이번/NNG
가격	가격/NNG
인하는	인하/NNG+는/JX
판매량	판매량/NNG
감소에	감소/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
고육책으로	고육책/NNG+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.13.7.2
비에이티 코리아는 지난해 5월 2주차 담배 판매량(편의점 판매 기준)이 인상 전인 4월 3주차보다 28% 줄어드는 등 판매 부진을 겪었다.

비에이티	비에이티/NNP
코리아는	코리아/NNP+는/JX
지난해	지난해/NNG
5월	5/SN+월/NNB
2주차	2/SN+주/NNB+차/NNB
담배	담배/NNG
판매량(편의점	판매량/NNG+(/SS+편의점/NNG
판매	판매/NNG
기준)이	기준/NNG+)/SS+이/JKS
인상	인상/NNG
전인	전/NNG+이/VCP+ㄴ/ETM
4월	4/SN+월/NNB
3주차보다	3/SN+주/NNB+차/NNB+보다/JKB
28%	28/SN+%/SW
줄어드는	줄어들/VV+는/ETM
등	등/NNB
부진을	부진/NNG+을/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.13.7.3
이번에 가격을 내린 보그의 시장 점유율도 지난해 3월 1.21%대에서 지난달 0.78%로 낮아졌다.

이번에	이번/NNG+에/JKB
가격을	가격/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
보그의	보그/NNP+의/JKG
시장	시장/NNG
점유율도	점유/NNG+율/XSN+도/JX
지난해	지난해/NNG
3월	3/SN+월/NNB
1.21%대에서	1/SN+./SP+21/SN+%/SW+대/XSN+에서/JKB
지난달	지난달/NNG
0.78%로	0/SN+./SP+78/SN+%/SW+로/JKB
낮아졌다.	낮/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.13.8.1
특히 시장점유율 1위인 케이티앤지가 가격을 올리지 않자, 가격 인상은 판매량 저하라는 부메랑으로 돌아왔다.

특히	특히/MAG
시장점유율	시장/NNG+점유/NNG+율/XSN
1위인	1/SN+위/NNB+이/VCP+ㄴ/ETM
케이티앤지가	케이티앤지/NNP+가/JKS
가격을	가격/NNG+을/JKO
올리지	올리/VV+지/EC
않자,	않/VX+자/EC+,/SP
가격	가격/NNG
인상은	인상/NNG+은/JX
판매량	판매량/NNG
저하라는	저하/NNG+이/VCP+라는/ETM
부메랑으로	부메랑/NNG+으로/JKB
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.13.8.2
2011년 판매량을 보면, 지난해 가격을 동결했던 케이티앤지와 피엠 코리아는 판매량이 각각 1.3%, 15.0% 늘었지만, 가격을 올린 비에이티 코리아와 제이티아이 코리아는 판매량이 소폭 줄어든 것으로 집계됐다.

2011년	2011/SN+년/NNB
판매량을	판매량/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
지난해	지난해/NNG
가격을	가격/NNG+을/JKO
동결했던	동결/NNG+하/XSV+았/EP+던/ETM
케이티앤지와	케이티앤지/NNP+와/JC
피엠	피엠/NNP
코리아는	코리아/NNP+는/JX
판매량이	판매량/NNG+이/JKS
각각	각각/MAG
1.3%,	1/SN+./SP+3/SN+%/SW+,/SP
15.0%	15/SN+./SP+0/SN+%/SW
늘었지만,	늘/VV+었/EP+지만/EC+,/SP
올린	올리/VV+ㄴ/ETM
비에이티	비에이티/NNP
코리아와	코리아/NNP+와/JC
제이티아이	제이티아이/NNP
소폭	소폭/MAG
줄어든	줄어들/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.13.8.3
한 담배업계 관계자는 “시장 지배력이 가장 큰 케이티앤지가 담배 가격을 올리지 않은 이상 이런 현상은 계속될 것”이라고 말했다.

한	한/MMN
담배업계	담배업/NNG+계/XSN
관계자는	관계자/NNG+는/JX
“시장	“/SS+시장/NNG
지배력이	지배력/NNG+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
케이티앤지가	케이티앤지/NNP+가/JKS
담배	담배/NNG
가격을	가격/NNG+을/JKO
올리지	올리/VV+지/EC
않은	않/VX+은/ETM
이상	이상/NNG
이런	이런/MMD
현상은	현상/NNG+은/JX
계속될	계속/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.13.8.4
케이티앤지는 현재 담배 관련 세금이 오르지 않는 한 담배값을 올리지 않을 계획이다.

케이티앤지는	케이티앤지/NNP+는/JX
현재	현재/MAG
담배	담배/NNG
관련	관련/NNG
세금이	세금/NNG+이/JKS
오르지	오르/VV+지/EC
않는	않/VX+는/ETM
한	한/NNG
담배값을	담배/NNG+값/NNG+을/JKO
올리지	올리/VV+지/EC
않을	않/VX+을/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.13.9.1
업계에서는 이번 조처가 가격 인하 신호탄으로 작용할 수 있다고 보고 있다.

업계에서는	업계/NNG+에서/JKB+는/JX
이번	이번/NNG
조처가	조처/NNG+가/JKS
가격	가격/NNG
인하	인하/NNG
신호탄으로	신호탄/NNG+으로/JKB
작용할	작용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.13.9.2
보그를 통해 가격 인하 효과를 먼저 살핀 뒤 나머지 제품의 가격 인하를 검토할 수 있다는 것이다.

보그를	보그/NNP+를/JKO
통해	통하/VV+아/EC
가격	가격/NNG
인하	인하/NNG
효과를	효과/NNG+를/JKO
먼저	먼저/MAG
살핀	살피/VV+ㄴ/ETM
뒤	뒤/NNG
나머지	나머지/NNG
제품의	제품/NNG+의/JKG
인하를	인하/NNG+를/JKO
검토할	검토/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.13.9.3
한 업계 관계자는 “최근 비에이티와 필립모리스 등 가격을 올린 업체의 판매량이 많이 줄어들고 있다”며 “일단 보그의 판매 추이를 지켜본 뒤 효과가 있으면 다른 제품의 가격도 내릴 수 있다”고 말했다.

한	한/MMN
업계	업계/NNG
관계자는	관계자/NNG+는/JX
“최근	“/SS+최근/NNG
비에이티와	비에이티/NNP+와/JC
필립모리스	필립모리스/NNP
등	등/NNB
가격을	가격/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
업체의	업체/NNG+의/JKG
판매량이	판매량/NNG+이/JKS
많이	많이/MAG
줄어들고	줄어들/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“일단	“/SS+일단/MAG
보그의	보그/NNP+의/JKG
판매	판매/NNG
추이를	추이/NNG+를/JKO
지켜본	지켜보/VV+ㄴ/ETM
뒤	뒤/NNG
효과가	효과/NNG+가/JKS
있으면	있/VA+으면/EC
다른	다른/MMD
제품의	제품/NNG+의/JKG
가격도	가격/NNG+도/JX
내릴	내리/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.13.10.1
지난달 가격을 100~200원 올린 피엠 코리아 관계자는 “우리는 가격을 인상한 지 아직 한달도 지나지 않은 상황”이라며 “일단 장기적으로 시장을 보고 있다”고 말했다.

지난달	지난달/NNG
가격을	가격/NNG+을/JKO
100~200원	100/SN+~/SO+200/SN+원/NNB
올린	올리/VV+ㄴ/ETM
피엠	피엠/NNP
코리아	코리아/NNP
관계자는	관계자/NNG+는/JX
“우리는	“/SS+우리/NP+는/JX
인상한	인상/NNG+하/XSV+ㄴ/ETM
지	지/NNB
아직	아직/MAG
한달도	한/MMN+달/NNB+도/JX
지나지	지나/VV+지/EC
않은	않/VX+은/ETM
상황”이라며	상황/NNG+”/SS+이/VCP+라며/EC
“일단	“/SS+일단/MAG
장기적으로	장기/NNG+적/XSN+으로/JKB
시장을	시장/NNG+을/JKO
보고	보/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.13.10.2
비에이티 코리아 쪽도 확대해석을 경계했다.

비에이티	비에이티/NNP
코리아	코리아/NNP
쪽도	쪽/NNB+도/JX
확대해석을	확대/NNG+해석/NNG+을/JKO
경계했다.	경계/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.13.10.3
예성희 부장은 “가격 인상 직후 많이 빠졌던 시장 점유율이 차츰 회복되기 시작해 지금은 1~2% 정도밖에 차이가 나지 않는다”며 “주력 제품인 던힐 등은 가격을 내릴 계획이 없다”고 말했다.

예성희	예성희/NNP
부장은	부장/NNG+은/JX
“가격	“/SS+가격/NNG
인상	인상/NNG
직후	직후/NNG
많이	많이/MAG
빠졌던	빠지/VV+었/EP+던/ETM
시장	시장/NNG
점유율이	점유/NNG+율/XSN+이/JKS
차츰	차츰/MAG
회복되기	회복/NNG+되/XSV+기/ETN
시작해	시작/NNG+하/XSV+아/EC
지금은	지금/NNG+은/JX
1~2%	1/SN+~/SO+2/SN+%/SW
정도밖에	정도/NNG+밖에/JX
차이가	차이/NNG+가/JKS
나지	나/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“주력	“/SS+주력/NNG
제품인	제품/NNG+이/VCP+ㄴ/ETM
던힐	던힐/NNG
등은	등/NNB+은/JX
가격을	가격/NNG+을/JKO
내릴	내리/VV+ㄹ/ETM
계획이	계획/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


