# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.202
metadata : {}


# id : NWRW1800000052.202.1.1
‘특검 무산’ 세월호 특조위, 3개월 활동연장

‘특검	‘/SS+특검/NNG
특조위는 7일 오전 전원위원회를 열어 참석 위원 만장일치로 활동기간을 3개월 연장하기로 의결했다.

특조위는	특조위/NNG+는/JX
7일	7/SN+일/NNB
오전	오전/NNG
전원위원회를	전원/NNG+위원회/NNG+를/JKO
열어	열/VV+어/EC
참석	참석/NNG
위원	위원/NNG
만장일치로	만장일치/NNG+로/JKB
활동기간을	활동/NNG+기간/NNG+을/JKO
3개월	3/SN+개월/NNB
연장하기로	연장/NNG+하/XSV+기/ETN+로/JKB
의결했다.	의결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.202.5.2
‘4·16 세월호 참사 진상규명과 안전사회 건설 등을 위한 특별법’(특별법)이 종합보고서·백서 작성을 위해 필요할 경우 3개월까지 활동기간을 연장할 수 있도록 한 데 따른 것이다.

‘4·16	‘/SS+4/SN+·/SP+16/SN
세월호	세월호/NNP
참사	참사/NNG
진상규명과	진상/NNG+규명/NNG+과/JC
안전사회	안전/NNG+사회/NNG
건설	건설/NNG
등을	등/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
특별법’(특별법)이	특별법/NNG+’/SS+(/SS+특별법/NNG+)/SS+이/JKS
종합보고서·백서	종합/NNG+보고서/NNG+·/SP+백서/NNG
작성을	작성/NNG+을/JKO
위해	위하/VV+아/EC
필요할	필요/NNG+하/XSA+ㄹ/ETM
경우	경우/NNG
3개월까지	3/SN+개월/NNB+까지/JX
활동기간을	활동/NNG+기간/NNG+을/JKO
연장할	연장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한	하/VV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.202.5.3
보고서 등엔 세월호 참사의 원인 규명과 안전사회 건설, 피해자 지원에 대한 대책들이 담길 예정이다.

보고서	보고서/NNG
등엔	등/NNB+에/JKB+ㄴ/JX
세월호	세월호/NNP
참사의	참사/NNG+의/JKG
원인	원인/NNG
규명과	규명/NNG+과/JC
안전사회	안전/NNG+사회/NNG
건설,	건설/NNG+,/SP
피해자	피해자/NNG
지원에	지원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대책들이	대책/NNG+들/XSN+이/JKS
담길	담기/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.202.6.1
특조위가 조사활동이 끝나지 않은 상태에서 보고서 작성을 위한 활동기간 연장을 의결한 것은 특조위 활동 종료 시한이 여전히 불투명한 데 따른 것이다.

특조위가	특조위/NNG+가/JKS
조사활동이	조사/NNG+활동/NNG+이/JKS
끝나지	끝나/VV+지/EC
않은	않/VX+은/ETM
상태에서	상태/NNG+에서/JKB
보고서	보고서/NNG
작성을	작성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
활동기간	활동/NNG+기간/NNG
연장을	연장/NNG+을/JKO
의결한	의결/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
특조위	특조위/NNG
활동	활동/NNG
종료	종료/NNG
시한이	시한/NNG+이/JKS
여전히	여전히/MAG
불투명한	불/XPN+투명/NNG+하/XSA+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.202.6.2
특조위 예산은 6월말까지만 배정돼 있는 상황인데, 특조위의 활동기간을 명확히 한 특별법 개정안은 국회에서 논의조차 되지 않고 있는 상황이어서, 현행 특별법에 규정된 권한을 활용해 최소한 오는 9월말까지 활동할 수 있는 명분을 확보하기 위한 조처로 풀이된다.

특조위	특조위/NNG
예산은	예산/NNG+은/JX
6월말까지만	6/SN+월/NNB+말/NNB+까지/JX+만/JX
배정돼	배정/NNG+되/XSV+어/EC
있는	있/VA+는/ETM
상황인데,	상황/NNG+이/VCP+ㄴ데/EC+,/SP
특조위의	특조위/NNG+의/JKG
활동기간을	활동/NNG+기간/NNG+을/JKO
명확히	명확히/MAG
한	하/VV+ㄴ/ETM
특별법	특별법/NNG
개정안은	개정안/NNG+은/JX
국회에서	국회/NNG+에서/JKB
논의조차	논의/NNG+조차/JX
되지	되/VV+지/EC
않고	않/VX+고/EC
상황이어서,	상황/NNG+이/VCP+어서/EC+,/SP
현행	현행/NNG
특별법에	특별법/NNG+에/JKB
규정된	규정/NNG+되/XSV+ㄴ/ETM
권한을	권한/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
최소한	최소한/MAG
오는	오/VV+는/ETM
9월말까지	9/SN+월/NNB+말/NNB+까지/JX
활동할	활동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
명분을	명분/NNG+을/JKO
확보하기	확보/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
조처로	조처/NNG+로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.202.7.1
특조위는 이날 회의에서 오는 29~30일 예정된 2차 청문회 증인 명단을 논의했다.

특조위는	특조위/NNG+는/JX
이날	이날/NNG
회의에서	회의/NNG+에서/JKB
오는	오/VV+는/ETM
29~30일	29/SN+~/SO+30/SN+일/NNB
예정된	예정/NNG+되/XSV+ㄴ/ETM
2차	2/SN+차/NNB
청문회	청문회/NNG
증인	증인/NNG
명단을	명단/NNG+을/JKO
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.202.7.2
2차 청문회는 ‘세월호 참사의 원인 및 관련 법령·제도적 문제 규명’을 주제로 이뤄지는데, 청해진해운 관계자와 세월호 선원 등을 비롯해 해상교통관제를 했던 진도·제주 브이티에스(VTS) 관계자 등 40여명이 증인 명단에 포함된 것으로 확인됐다.

2차	2/SN+차/NNB
청문회는	청문회/NNG+는/JX
‘세월호	‘/SS+세월호/NNP
참사의	참사/NNG+의/JKG
원인	원인/NNG
및	및/MAG
관련	관련/NNG
법령·제도적	법령/NNG+·/SP+제도/NNG+적/XSN
문제	문제/NNG
규명’을	규명/NNG+’/SS+을/JKO
주제로	주제/NNG+로/JKB
이뤄지는데,	이뤄지/VV+는데/EC+,/SP
청해진해운	청해진해운/NNP
관계자와	관계자/NNG+와/JC
세월호	세월호/NNP
선원	선원/NNG
등을	등/NNB+을/JKO
비롯해	비롯하/VV+아/EC
해상교통관제를	해상/NNG+교통관제/NNG+를/JKO
했던	하/VV+았/EP+던/ETM
진도·제주	진도/NNP+·/SP+제주/NNP
브이티에스(VTS)	브이티에스/NNG+(/SS+VTS/SL+)/SS
관계자	관계자/NNG
등	등/NNB
40여명이	40/SN+여/XSN+명/NNB+이/JKS
증인	증인/NNG
명단에	명단/NNG+에/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.202.8.1
한편 4·16 가족협의회는 특검 요구안과 세월호 특별법 개정안 통과를 주장하며 이날 오후 4시부터 국회 정문 앞에서 ‘80시간 1인 단식시위’를 시작했다.

한편	한편/MAG
4·16	4/SN+·/SP+16/SN
가족협의회는	가족/NNG+협의회/NNG+는/JX
특검	특검/NNG
요구안과	요구안/NNG+과/JC
세월호	세월호/NNP
특별법	특별법/NNG
개정안	개정안/NNG
통과를	통과/NNG+를/JKO
주장하며	주장/NNG+하/XSV+며/EC
이날	이날/NNG
오후	오후/NNG
4시부터	4/SN+시/NNB+부터/JX
국회	국회/NNG
정문	정문/NNG
앞에서	앞/NNG+에서/JKB
‘80시간	‘/SS+80/SN+시간/NNB
1인	1/SN+인/NNG
단식시위’를	단식/NNG+시위/NNG+’/SS+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.202.8.2
기간은 임시국회 회기가 끝나는 10일 밤까지다.

기간은	기간/NNG+은/JX
임시국회	임시/NNG+국회/NNG
회기가	회기/NNG+가/JKS
끝나는	끝나/VV+는/ETM
10일	10/SN+일/NNB
밤까지다.	밤/NNG+까지/JX+이/VCP+다/EF+./SF


