# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.311
metadata : {}


# id : NWRW1800000029.311.1.1
[기자의 눈] 의사에게 유독 약한 경찰… 왜일까?

[기자의	[/SS+기자/NNG+의/JKG
경찰은	경찰/NNG+은/JX
소환	소환/NNG
통보를	통보/NNG+를/JKO
한	하/VV+ㄴ/ETM
의사들이	의사/NNG+들/XSN+이/JKS
수술과	수술/NNG+과/JC
학회	학회/NNG
참석	참석/NNG
등을	등/NNB+을/JKO
이유로	이유/NNG+로/JKB
출석을	출석/NNG+을/JKO
미루자	미루/VV+자/EC
e메일로	e/SL+메일/NNG+로/JKB
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.311.4.4
또 변호사가 대신 답변서를 갖고 와도 받아주고 일과시간 이후에 출석하도록 배려했다.

또	또/MAG
변호사가	변호사/NNG+가/JKS
대신	대신/NNG
답변서를	답변서/NNG+를/JKO
갖고	갖/VV+고/EC
와도	오/VV+아도/EC
받아주고	받/VV+아/EC+주/VX+고/EC
일과시간	일과/NNG+시간/NNG
이후에	이후/NNG+에/JKB
출석하도록	출석/NNG+하/XSV+도록/EC
배려했다.	배려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.311.4.5
조사 과정에서 언론의 접근도 철저히 차단했다.

조사	조사/NNG
과정에서	과정/NNG+에서/JKB
언론의	언론/NNG+의/JKG
접근도	접근/NNG+도/JX
철저히	철저히/MAG
차단했다.	차단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.311.4.6
심지어 경찰은 당일 소환한 의사가 몇 명인지도 확인해주지 않고 있다.

심지어	심지어/MAG
경찰은	경찰/NNG+은/JX
당일	당일/NNG
소환한	소환/NNG+하/XSV+ㄴ/ETM
의사가	의사/NNG+가/JKS
몇	몇/NR
명인지도	명/NNB+이/VCP+ㄴ지/EF+도/JX
확인해주지	확인/NNG+하/XSV+아/EC+주/VX+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.311.5.1
의사들은 ‘자문료와 신약 시판 후 조사(PMS) 등으로 보건복지부령으로 정하는 범위 안에서 제약사로부터 경제적 이익을 받을 수 있다’는 의료법의 단서 조항을 근거로 불법이 아니라고 주장하고 있다.

의사들은	의사/NNG+들/XSN+은/JX
‘자문료와	‘/SS+자문료/NNG+와/JC
신약	신약/NNG
시판	시판/NNG
후	후/NNG
조사(PMS)	조사/NNG+(/SS+PMS/SL+)/SS
등으로	등/NNB+으로/JKB
보건복지부령으로	보건복지부령/NNG+으로/JKB
정하는	정하/VV+는/ETM
범위	범위/NNG
안에서	안/NNG+에서/JKB
제약사로부터	제약사/NNG+로부터/JKB
경제적	경제/NNG+적/XSN
이익을	이익/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다’는	있/VA+다/EF+’/SS+는/ETM
의료법의	의료법/NNG+의/JKG
단서	단서/NNG
조항을	조항/NNG+을/JKO
근거로	근거/NNG+로/JKB
불법이	불법/NNG+이/JKC
아니라고	아니/VCN+라고/EC
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.311.5.2
따라서 이번 사건에 연루된 의사들을 모두 불법행위를 저지른 사람이라고 단정할 수는 없다.

따라서	따라서/MAJ
이번	이번/NNG
사건에	사건/NNG+에/JKB
연루된	연루/NNG+되/XSV+ㄴ/ETM
의사들을	의사/NNG+들/XSN+을/JKO
모두	모두/MAG
불법행위를	불법/NNG+행위/NNG+를/JKO
저지른	저지르/VV+ㄴ/ETM
사람이라고	사람/NNG+이/VCP+라고/EC
단정할	단정/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000029.311.5.3
하지만 경찰이 언제부터 ‘생업이 바쁜 피의자’를 e메일로 조사하거나 ‘일과 후 조사’ 등으로 배려했는지, 일반 서민에게도 이러한 배려를 과연 해왔는지 자문해봤으면 한다.

하지만	하지만/MAJ
경찰이	경찰/NNG+이/JKS
언제부터	언제/NP+부터/JX
‘생업이	‘/SS+생업/NNG+이/JKS
바쁜	바쁘/VA+ㄴ/ETM
피의자’를	피의자/NNG+’/SS+를/JKO
e메일로	e/SL+메일/NNG+로/JKB
조사하거나	조사/NNG+하/XSV+거나/EC
‘일과	‘/SS+일과/NNG
후	후/NNG
조사’	조사/NNG+’/SS
등으로	등/NNB+으로/JKB
배려했는지,	배려/NNG+하/XSV+았/EP+는지/EC+,/SP
일반	일반/NNG
서민에게도	서민/NNG+에게/JKB+도/JX
이러한	이러하/VA+ㄴ/ETM
배려를	배려/NNG+를/JKO
과연	과연/MAG
해왔는지	하/VV+아/EC+오/VX+았/EP+는지/EC
자문해봤으면	자문/NNG+하/XSV+아/EC+보/VX+았/EP+으면/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.311.6.1
제약사가 의사에게 건네는 리베이트는 결국엔 약값에 반영돼 환자의 부담으로 고스란히 전가된다.

제약사가	제약사/NNG+가/JKS
의사에게	의사/NNG+에게/JKB
건네는	건네/VV+는/ETM
리베이트는	리베이트/NNG+는/JX
결국엔	결국/NNG+에/JKB+ㄴ/JX
약값에	약값/NNG+에/JKB
반영돼	반영/NNG+되/XSV+어/EC
환자의	환자/NNG+의/JKG
부담으로	부담/NNG+으로/JKB
고스란히	고스란히/MAG
전가된다.	전가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.311.6.2
사회적 약자인 돈 없는 환자를 울리고 일반 환자들에게도 ‘바가지를 씌우는’ 범죄인 셈이다.

사회적	사회/NNG+적/XSN
약자인	약자/NNG+이/VCP+ㄴ/ETM
돈	돈/NNG
없는	없/VA+는/ETM
환자를	환자/NNG+를/JKO
울리고	울리/VV+고/EC
일반	일반/NNG
환자들에게도	환자/NNG+들/XSN+에게/JKB+도/JX
‘바가지를	‘/SS+바가지/NNG+를/JKO
씌우는’	씌우/VV+는/ETM+’/SS
범죄인	범죄/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.311.6.3
경찰은 이제부터라도 초심으로 돌아가 이번 리베이트 사건을 철저하게 수사해야 한다.

경찰은	경찰/NNG+은/JX
이제부터라도	이제/NNG+부터/JX+이/VCP+라도/EC
초심으로	초심/NNG+으로/JKB
돌아가	돌아가/VV+아/EC
이번	이번/NNG
리베이트	리베이트/NNG
사건을	사건/NNG+을/JKO
철저하게	철저/NNG+하/XSA+게/EC
수사해야	수사/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.311.6.4
그렇지 않으면 ‘의사에게, 나아가 힘 있는 자에게 유독 약한 경찰’이라는 비판을 면하기 어렵다.

그렇지	그렇/VA+지/EC
않으면	않/VX+으면/EC
‘의사에게,	‘/SS+의사/NNG+에게/JKB+,/SP
나아가	나아가/VV+아/EC
힘	힘/NNG
있는	있/VA+는/ETM
자에게	자/NNB+에게/JKB
유독	유독/MAG
약한	약하/VA+ㄴ/ETM
경찰’이라는	경찰/NNG+’/SS+이/VCP+라는/ETM
비판을	비판/NNG+을/JKO
면하기	면하/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000029.311.6.5
―울산에서

―울산에서	―/SS+울산/NNP+에서/JKB


