# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.246
metadata : {}


# id : NWRW1800000040.246.1.1
전씨 집서 압류된 그림은 ‘이대원 작품’

전씨	전/NNP+씨/NNB
것으로	것/NNB+으로/JKB
알려졌으나,	알려지/VV+었/EP+으나/EC+,/SP
명품으로	명품/NNG+으로/JKB
보기는	보/VV+기/ETN+는/JX
어렵다는	어렵/VA+다는/ETM
게	거/NNB+이/JKS
관계자들	관계자/NNG+들/XSN
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.246.6.1
시공사 대표인 전재국씨는 90년 시공사를 설립하면서 미술 사업에 각별한 열정을 보여왔다.

시공사	시공사/NNG
대표인	대표/NNG+이/VCP+ㄴ/ETM
전재국씨는	전재국/NNP+씨/NNB+는/JX
90년	90/SN+년/NNB
시공사를	시공사/NNG+를/JKO
설립하면서	설립/NNG+하/XSV+면서/EC
미술	미술/NNG
사업에	사업/NNG+에/JKB
각별한	각별/NNG+하/XSA+ㄴ/ETM
열정을	열정/NNG+을/JKO
보여왔다.	보이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.246.6.2
90년대 30~40대 국내 미술작가들의 개별 화집을 모은 55권짜리 <아르비방> 시리즈를 완간했고, 홍대 앞에 예술책방 ‘아티누스’를 운영했다.

90년대	90/SN+년대/NNB
30~40대	30/SN+~/SO+40/SN+대/NNB
국내	국내/NNG
미술작가들의	미술/NNG+작가/NNG+들/XSN+의/JKG
개별	개별/NNG
화집을	화집/NNG+을/JKO
모은	모으/VV+ㄴ/ETM
55권짜리	55/SN+권/NNB+짜리/XSN
<아르비방>	</SS+아르비방/NNP+>/SS
시리즈를	시리즈/NNG+를/JKO
완간했고,	완간/NNG+하/XSV+았/EP+고/EC+,/SP
홍대	홍대/NNP
앞에	앞/NNG+에/JKB
예술책방	예술/NNG+책방/NNG
‘아티누스’를	‘/SS+아티누스/NNG+’/SS+를/JKO
운영했다.	운영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.246.6.3
94년에는 한국미술연구소를 세워 국내외 학자들의 동아시아 미술사 논문집인 <미술사논단>을 지난해 35호까지 발간하는 등 연구 지원에도 관심을 기울였다.

94년에는	94/SN+년/NNB+에/JKB+는/JX
한국미술연구소를	한국미술연구소/NNP+를/JKO
세워	세우/VV+어/EC
국내외	국내외/NNG
학자들의	학자/NNG+들/XSN+의/JKG
동아시아	동아시아/NNP
미술사	미술사/NNG
논문집인	논문집/NNG+이/VCP+ㄴ/ETM
<미술사논단>을	</SS+미술사논단/NNP+>/SS+을/JKO
지난해	지난해/NNG
35호까지	35/SN+호/NNB+까지/JX
발간하는	발간/NNG+하/XSV+는/ETM
등	등/NNB
연구	연구/NNG
지원에도	지원/NNG+에/JKB+도/JX
관심을	관심/NNG+을/JKO
기울였다.	기울이/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.246.6.4
신경민 민주당 의원은 지난달 “전재국 대표가 90년대부터 화랑에서 막대한 분량의 미술품을 수집해 경기도 오산 근처에 수장고를 두고 수집품을 보관했다”는 주장을 내놓기도 했다.

신경민	신경민/NNP
민주당	민주당/NNP
의원은	의원/NNG+은/JX
지난달	지난달/NNG
“전재국	“/SS+전재국/NNP
대표가	대표/NNG+가/JKS
90년대부터	90/SN+년대/NNB+부터/JX
화랑에서	화랑/NNG+에서/JKB
막대한	막대하/VA+ㄴ/ETM
분량의	분량/NNG+의/JKG
미술품을	미술품/NNG+을/JKO
수집해	수집/NNG+하/XSV+아/EC
경기도	경기도/NNP
오산	오산/NNP
근처에	근처/NNG+에/JKB
수장고를	수장고/NNG+를/JKO
두고	두/VV+고/EC
수집품을	수집품/NNG+을/JKO
보관했다”는	보관/NNG+하/XSV+았/EP+다/EF+”/SS+는/ETM
주장을	주장/NNG+을/JKO
내놓기도	내놓/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.246.6.5
미술계 한 연구자는 “전 대표가 일본과 미국 유학 당시부터 미술에 개인적인 애정이 깊었던 것으로 알고 있다”며 “적자를 감수하고서 꾸준히 연구 출판을 지원해 학계 평판이 좋다”고 전했다.

미술계	미술/NNG+계/XSN
한	한/MMN
연구자는	연구자/NNG+는/JX
“전	“/SS+전/NNP
대표가	대표/NNG+가/JKS
일본과	일본/NNP+과/JC
미국	미국/NNP
유학	유학/NNG
당시부터	당시/NNG+부터/JX
미술에	미술/NNG+에/JKB
개인적인	개인/NNG+적/XSN+이/VCP+ㄴ/ETM
애정이	애정/NNG+이/JKS
깊었던	깊/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“적자를	“/SS+적자/NNG+를/JKO
감수하고서	감수/NNG+하/XSV+고서/EC
꾸준히	꾸준히/MAG
연구	연구/NNG
출판을	출판/NNG+을/JKO
지원해	지원/NNG+하/XSV+아/EC
학계	학계/NNG
평판이	평판/NNG+이/JKS
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


