# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.222
metadata : {}


# id : NWRW1800000045.222.1.1
양동근 세번째 MVP냐, 라틀리프 용병 첫 수상이냐

양동근	양동근/NNP
18시즌	18/SN+시즌/NNG
동안	동안/NNG
정규리그	정규/NNG+리그/NNG
우승팀에서	우승/NNG+팀/NNG+에서/JKB
MVP가	MVP/SL+가/JKS
나오지	나오/VV+지/EC
않은	않/VX+은/ETM
건	거/NNB+ㄴ/JX
4번뿐이다.	4/SN+번/NNB+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000045.222.4.1
강력한 MVP 후보로 꼽히는 양동근(34)과 리카르도 라틀리프(26)의 공통점은 꾸준함이다.

강력한	강력/NNG+하/XSA+ㄴ/ETM
MVP	MVP/SL
후보로	후보/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
양동근(34)과	양동근/NNP+(/SS+34/SN+)/SS+과/JC
리카르도	리카르도/NNP
라틀리프(26)의	라틀리프/NNP+(/SS+26/SN+)/SS+의/JKG
공통점은	공통점/NNG+은/JX
꾸준함이다.	꾸준하/VA+ㅁ/ETN+이/VCP+다/EF+./SF


# id : NWRW1800000045.222.4.2
둘은 올 시즌 한 번의 결장도 없이 3일까지 53경기를 모두 소화했다.

둘은	둘/NR+은/JX
올	올/NNG
시즌	시즌/NNG
한	한/MMN
번의	번/NNB+의/JKG
결장도	결장/NNG+도/JX
없이	없이/MAG
3일까지	3/SN+일/NNB+까지/JX
53경기를	53/SN+경기/NNG+를/JKO
모두	모두/MAG
소화했다.	소화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.222.4.3
양동근은 리그 전체에서 가장 긴 경기당 평균 34분 59초를 코트에 머물렀다.

양동근은	양동근/NNP+은/JX
리그	리그/NNG
전체에서	전체/NNG+에서/JKB
가장	가장/MAG
긴	길/VA+ㄴ/ETM
경기당	경기/NNG+당/XSN
평균	평균/NNG
34분	34/SN+분/NNB
59초를	59/SN+초/NNB+를/JKO
코트에	코트/NNG+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.222.4.4
라틀리프도 경기당 평균 출전시간이 28분 56초로 외국인선수 중 가장 길다.

라틀리프도	라틀리프/NNP+도/JX
경기당	경기/NNG+당/XSN
평균	평균/NNG
출전시간이	출전/NNG+시간/NNG+이/JKS
28분	28/SN+분/NNB
56초로	56/SN+초/NNB+로/JKB
외국인선수	외국인/NNG+선수/NNG
중	중/NNB
가장	가장/MAG
길다.	길/VA+다/EF+./SF


# id : NWRW1800000045.222.5.1
라틀리프가 수상하면 사상 첫 외국인 MVP가 탄생하게 된다.

라틀리프가	라틀리프/NNP+가/JKS
수상하면	수상/NNG+하/XSV+면/EC
사상	사상/NNG
첫	첫/MMN
외국인	외국인/NNG
MVP가	MVP/SL+가/JKS
탄생하게	탄생/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.222.5.2
외국인선수상이 MVP로 통합된 2011∼2012시즌 이후 외국인 MVP는 나오지 않았다.

외국인선수상이	외국인/NNG+선수상/NNG+이/JKS
MVP로	MVP/SL+로/JKB
통합된	통합/NNG+되/XSV+ㄴ/ETM
2011∼2012시즌	2011/SN+∼/SO+2012/SN+시즌/NNG
이후	이후/NNG
외국인	외국인/NNG
MVP는	MVP/SL+는/JX
나오지	나오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.222.5.3
라틀리프는 경기당 평균 득점 19.89점(리그 3위), 평균 리바운드 10개(리그 1위)를 기록하고 있다.

라틀리프는	라틀리프/NNP+는/JX
경기당	경기/NNG+당/XSN
평균	평균/NNG
득점	득점/NNG
19.89점(리그	19/SN+./SP+89/SN+점/NNB+(/SS+리그/NNG
3위),	3/SN+위/NNB+)/SS+,/SP
리바운드	리바운드/NNG
10개(리그	10/SN+개/NNB+(/SS+리그/NNG
1위)를	1/SN+위/NNB+)/SS+를/JKO
기록하고	기록/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.222.5.4
MVP 경쟁자인 LG 데이본 제퍼슨(46경기, 평균 22.35득점)보다 공격이 약하다는 지적도 있지만 라틀리프는 리그에서 유일하게 평균 득점과 리바운드에서 두 자릿수를 기록하고 있다.

MVP	MVP/SL
경쟁자인	경쟁자/NNG+이/VCP+ㄴ/ETM
LG	LG/SL
데이본	데이본/NNP
제퍼슨(46경기,	제퍼슨/NNP+(/SS+46/SN+경기/NNG+,/SP
평균	평균/NNG
22.35득점)보다	22/SN+./SP+35/SN+득점/NNG+)/SS+보다/JKB
공격이	공격/NNG+이/JKS
약하다는	약하/VA+다는/ETM
지적도	지적/NNG+도/JX
있지만	있/VA+지만/EC
라틀리프는	라틀리프/NNP+는/JX
리그에서	리그/NNG+에서/JKB
유일하게	유일/NNG+하/XSA+게/EC
득점과	득점/NNG+과/JC
리바운드에서	리바운드/NNG+에서/JKB
두	두/MMN
자릿수를	자릿수/NNG+를/JKO
기록하고	기록/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.222.6.1
모비스의 대들보인 양동근이 MVP가 되면 역대 최다(3회) 정규리그 MVP 수상자가 된다.

모비스의	모비스/NNP+의/JKG
대들보인	대들보/NNG+이/VCP+ㄴ/ETM
양동근이	양동근/NNP+이/JKS
MVP가	MVP/SL+가/JKC
되면	되/VV+면/EC
역대	역대/NNG
최다(3회)	최다/NNG+(/SS+3/SN+회/NNB+)/SS
정규리그	정규/NNG+리그/NNG
MVP	MVP/SL
수상자가	수상자/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.222.6.2
양동근은 2005∼2006시즌(서장훈과 공동 수상)과 2006∼2007시즌에도 정규리그 MVP를 차지했었다.

양동근은	양동근/NNP+은/JX
2005∼2006시즌(서장훈과	2005/SN+∼/SO+2006/SN+시즌/NNG+(/SS+서장훈/NNP+과/JKB
공동	공동/NNG
수상)과	수상/NNG+)/SS+과/JC
2006∼2007시즌에도	2006/SN+∼/SO+2007/SN+시즌/NNG+에/JKB+도/JX
정규리그	정규/NNG+리그/NNG
MVP를	MVP/SL+를/JKO
차지했었다.	차지/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000045.222.6.3
이상민(현 삼성 감독), 서장훈(은퇴), 김주성(동부)과 함께 최다(2회) 수상자다.

이상민(현	이상민/NNP+(/SS+현/MMD
삼성	삼성/NNP
감독),	감독/NNG+)/SS+,/SP
서장훈(은퇴),	서장훈/NNP+(/SS+은퇴/NNG+)/SS+,/SP
김주성(동부)과	김주성/NNP+(/SS+동부/NNP+)/SS+과/JKB
함께	함께/MAG
최다(2회)	최다/NNG+(/SS+2/SN+회/NNB+)/SS
수상자다.	수상자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.222.7.1
유재학 감독은 “두 선수 모두 MVP를 받으면 좋겠지만 한 명만 고르라면 라틀리프”라며 “올스타전 때 아쉽게 MVP를 못 받았고 양동근은 이미 받은 적이 있기 때문이다”라고 말했다.

유재학	유재학/NNP
감독은	감독/NNG+은/JX
“두	“/SS+두/MMN
선수	선수/NNG
모두	모두/MAG
MVP를	MVP/SL+를/JKO
받으면	받/VV+으면/EC
좋겠지만	좋/VA+겠/EP+지만/EC
한	한/MMN
명만	명/NNB+만/JX
고르라면	고르/VA+라면/EC
라틀리프”라며	라틀리프/NNP+”/SS+라며/EC
“올스타전	“/SS+올스타전/NNG
때	때/NNG
아쉽게	아쉽/VA+게/EC
못	못/MAG
받았고	받/VV+았/EP+고/EC
양동근은	양동근/NNP+은/JX
이미	이미/MAG
받은	받/VV+은/ETM
적이	적/NNB+이/JKS
있기	있/VA+기/ETN
때문이다”라고	때문/NNB+이/VCP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.222.8.1
한편 3일 동부는 부산 방문경기에서 kt를 82-78로 꺾고 3연패에서 탈출했다.

한편	한편/MAG
3일	3/SN+일/NNB
동부는	동부/NNP+는/JX
부산	부산/NNP
방문경기에서	방문/NNG+경기/NNG+에서/JKB
kt를	kt/SL+를/JKO
82-78로	82/SN+-/SO+78/SN+로/JKB
꺾고	꺾/VV+고/EC
3연패에서	3/SN+연패/NNG+에서/JKB
탈출했다.	탈출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.222.8.2
SK는 KCC를 89-75로 누르고 3연승을 달렸다.

SK는	SK/SL+는/JX
KCC를	KCC/SL+를/JKO
89-75로	89/SN+-/SO+75/SN+로/JKB
누르고	누르/VV+고/EC
3연승을	3/SN+연승/NNG+을/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.222.8.3
공동 2위인 동부와 SK가 나란히 승리하며 4강 플레이오프 직행 싸움은 정규리그 마지막 날 가려지게 됐다.

공동	공동/NNG
2위인	2/SN+위/NNB+이/VCP+ㄴ/ETM
동부와	동부/NNP+와/JC
SK가	SK/SL+가/JKS
나란히	나란히/MAG
승리하며	승리/NNG+하/XSV+며/EC
4강	4/SN+강/NNB
플레이오프	플레이오프/NNG
직행	직행/NNG
싸움은	싸움/NNG+은/JX
정규리그	정규/NNG+리그/NNG
마지막	마지막/NNG
날	날/NNG
가려지게	가리/VV+어/EC+지/VX+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


