# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.94
metadata : {}


# id : NWRW1800000026.94.1.1
[굿모닝 CEO] 고영립 화승그룹 회장 "죽기살기로 일했더니 회사도 살고 癌도 물러갑디다"

[굿모닝	[/SS+굿모닝/NNG
화승그룹에 공채 1기로 입사한 그는 총괄 부회장을 거쳐 2008년 그룹 회장이 됐다.

화승그룹에	화승그룹/NNP+에/JKB
공채	공채/NNG
1기로	1/SN+기/NNG+로/JKB
입사한	입사/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
총괄	총괄/NNG
부회장을	부회장/NNG+을/JKO
거쳐	거치/VV+어/EC
2008년	2008/SN+년/NNB
그룹	그룹/NNG
회장이	회장/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.94.7.2
그는 심야에 불시에 회사를 찾아가 현장 점검을 하기 때문에 '올빼미'라는 별명을 갖고 있다.

그는	그/NP+는/JX
심야에	심야/NNG+에/JKB
불시에	불시/NNG+에/JKB
회사를	회사/NNG+를/JKO
찾아가	찾아가/VV+아/EC
현장	현장/NNG
점검을	점검/NNG+을/JKO
하기	하/VV+기/ETN
때문에	때문/NNB+에/JKB
'올빼미'라는	'/SS+올빼미/NNG+'/SS+이/VCP+라는/ETM
별명을	별명/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.94.8.1
그는 17일 '상공의 날' 기념식에서 최고 영예인 금탑산업훈장을 받았다.

그는	그/NP+는/JX
17일	17/SN+일/NNB
'상공의	'/SS+상공/NNG+의/JKG
날'	날/NNG+'/SS
기념식에서	기념식/NNG+에서/JKB
최고	최고/NNG
영예인	영예/NNG+이/VCP+ㄴ/ETM
금탑산업훈장을	금탑/NNG+산업/NNG+훈장/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.94.8.2
하루 전인 16일 서울 서초동 화승 서울지사에서 만난 고 회장은 "꿈만 같다"고 말했다.

하루	하루/NNG
전인	전/NNG+이/VCP+ㄴ/ETM
16일	16/SN+일/NNB
서울	서울/NNP
서초동	서초동/NNP
화승	화승/NNP
서울지사에서	서울/NNP+지사/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
고	고/NNP
회장은	회장/NNG+은/JX
"꿈만	"/SS+꿈/NNG+만/JX
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.94.9.1
"14개였던 계열사를 매각 등을 통해 8개로 정리했고 주력 계열사인 ㈜화승의 경우 1300명이던 직원 중 60%를 내보냈죠.

"14개였던	"/SS+14/SN+개/NNB+이/VCP+었/EP+던/ETM
계열사를	계열사/NNG+를/JKO
매각	매각/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
8개로	8/SN+개/NNB+로/JKB
정리했고	정리/NNG+하/XSV+았/EP+고/EC
주력	주력/NNG
계열사인	계열사/NNG+이/VCP+ㄴ/ETM
㈜화승의	㈜/SW+화승/NNP+의/JKG
경우	경우/NNG
1300명이던	1300/SN+명/NNB+이/VCP+던/ETM
직원	직원/NNG
중	중/NNB
60%를	60/SN+%/SW+를/JKO
내보냈죠.	내보내/VV+었/EP+죠/EF+./SF


# id : NWRW1800000026.94.9.2
저는 개인 재산을 전부 은행에 담보로 잡혔죠.

저는	저/NP+는/JX
개인	개인/NNG
재산을	재산/NNG+을/JKO
전부	전부/MAG
은행에	은행/NNG+에/JKB
담보로	담보/NNG+로/JKB
잡혔죠.	잡히/VV+었/EP+죠/EF+./SF


# id : NWRW1800000026.94.9.3
살기 위해 할 수 있는 일은 다 했습니다."

살기	살/VV+기/ETN
위해	위하/VV+아/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일은	일/NNG+은/JX
다	다/MAG
했습니다."	하/VV+았/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000026.94.10.1
회생의 실마리는 '해외 진출'이었다.

회생의	회생/NNG+의/JKG
실마리는	실마리/NNG+는/JX
'해외	'/SS+해외/NNG
진출'이었다.	진출/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.94.10.2
화승은 2002년 9월 베트남에 약 43만㎡(13만평) 규모의 공장을 세워 회생의 기틀을 마련했다.

화승은	화승/NNP+은/JX
2002년	2002/SN+년/NNB
9월	9/SN+월/NNB
베트남에	베트남/NNP+에/JKB
약	약/MMA
43만㎡(13만평)	43/SN+만/NR+㎡/SW+(/SS+13/SN+만/NR+평/NNB+)/SS
규모의	규모/NNG+의/JKG
공장을	공장/NNG+을/JKO
세워	세우/VV+어/EC
회생의	회생/NNG+의/JKG
기틀을	기틀/NNG+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.94.10.3
베트남 공장에서는 OEM(주문자상표부착생산) 방식으로 리복 운동화를 매월 120만켤레 생산한다.

베트남	베트남/NNP
공장에서는	공장/NNG+에서/JKB+는/JX
OEM(주문자상표부착생산)	OEM/SL+(/SS+주문자/NNG+상표/NNG+부착/NNG+생산/NNG+)/SS
방식으로	방식/NNG+으로/JKB
리복	리복/NNP
운동화를	운동화/NNG+를/JKO
매월	매월/MAG
120만켤레	120/SN+만/NR+켤레/NNB
생산한다.	생산/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.94.10.4
가동 1년 6개월 만에 흑자를 낸 이 공장은 올해 2000억원 매출을 예상한다.

가동	가동/NNG
1년	1/SN+년/NNB
6개월	6/SN+개월/NNB
만에	만/NNB+에/JKB
흑자를	흑자/NNG+를/JKO
낸	내/VV+ㄴ/ETM
이	이/MMD
공장은	공장/NNG+은/JX
올해	올해/NNG
2000억원	2000/SN+억/NR+원/NNB
매출을	매출/NNG+을/JKO
예상한다.	예상/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.94.11.1
고 회장은 "신발만 갖고는 안 되는 시대라는 판단에서 화승이 잘할 수 있는 영역으로 사업을 다각화하는 체질 개선 노력도 회사가 살아나게 된 비결"이라고 말했다.

고	고/NNP
회장은	회장/NNG+은/JX
"신발만	"/SS+신발/NNG+만/JX
갖고는	갖/VV+고/EC+는/JX
안	안/MAG
되는	되/VV+는/ETM
시대라는	시대/NNG+이/VCP+라는/ETM
판단에서	판단/NNG+에서/JKB
화승이	화승/NNP+이/JKS
잘할	잘/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
영역으로	영역/NNG+으로/JKB
사업을	사업/NNG+을/JKO
다각화하는	다각/NNG+화/XSN+하/XSV+는/ETM
체질	체질/NNG
개선	개선/NNG
노력도	노력/NNG+도/JX
회사가	회사/NNG+가/JKS
살아나게	살아나/VV+게/EC
된	되/VV+ㄴ/ETM
비결"이라고	비결/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.94.11.2
현재 그룹 전체 매출에서 신발이 차지하는 비중은 20% 정도.

현재	현재/MAG
그룹	그룹/NNG
전체	전체/NNG
매출에서	매출/NNG+에서/JKB
신발이	신발/NNG+이/JKS
차지하는	차지/NNG+하/XSV+는/ETM
비중은	비중/NNG+은/JX
20%	20/SN+%/SW
정도.	정도/NNG+./SF


# id : NWRW1800000026.94.11.3
창문 틈에 들어가는 고무를 비롯한 자동차 부품의 비중이 40%에 달하고, 앞으로는 첨단 신소재가 그룹의 주력 사업이 될 예정이다.

창문	창문/NNG
틈에	틈/NNG+에/JKB
들어가는	들어가/VV+는/ETM
고무를	고무/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
자동차	자동차/NNG
부품의	부품/NNG+의/JKG
비중이	비중/NNG+이/JKS
40%에	40/SN+%/SW+에/JKB
달하고,	달하/VV+고/EC+,/SP
앞으로는	앞/NNG+으로/JKB+는/JX
첨단	첨단/NNG
신소재가	신/XPN+소재/NNG+가/JKS
그룹의	그룹/NNG+의/JKG
주력	주력/NNG
사업이	사업/NNG+이/JKC
될	되/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.94.12.1
화승은 지난달 부산에서 5000억원 규모의 부품소재 공장 건립을 위한 MOU(양해각서)를 체결했다.

화승은	화승/NNP+은/JX
지난달	지난달/NNG
부산에서	부산/NNP+에서/JKB
5000억원	5000/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
부품소재	부품/NNG+소재/NNG
공장	공장/NNG
건립을	건립/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
MOU(양해각서)를	MOU/SL+(/SS+양해/NNG+각서/NNG+)/SS+를/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.94.12.2
나노기술이 접목된 열전소자(열에너지와 전기에너지를 바꾸는 반도체), 친환경 첨단 항균 소재, 기존의 금속재료를 대체할 수 있는 첨단 복합소재를 생산한다는 계획이다.

나노기술이	나노/NNG+기술/NNG+이/JKS
접목된	접목/NNG+되/XSV+ㄴ/ETM
열전소자(열에너지와	열전/NNG+소자/NNG+(/SS+열에너지/NNG+와/JC
전기에너지를	전기/NNG+에너지/NNG+를/JKO
바꾸는	바꾸/VV+는/ETM
반도체),	반도체/NNG+)/SS+,/SP
친환경	친/XPN+환경/NNG
첨단	첨단/NNG
항균	항균/NNG
소재,	소재/NNG+,/SP
기존의	기존/NNG+의/JKG
금속재료를	금속/NNG+재료/NNG+를/JKO
대체할	대체/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
복합소재를	복합/NNG+소재/NNG+를/JKO
생산한다는	생산/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.94.12.3
자원무역과 정밀화학도 새로운 성장동력이다.

자원무역과	자원/NNG+무역/NNG+과/JC
정밀화학도	정밀/NNG+화학/NNG+도/JX
새로운	새롭/VA+ㄴ/ETM
성장동력이다.	성장/NNG+동력/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.94.12.4
2020년 그룹 전체 매출 목표는 10조원이다.

2020년	2020/SN+년/NNB
그룹	그룹/NNG
전체	전체/NNG
매출	매출/NNG
목표는	목표/NNG+는/JX
10조원이다.	10/SN+조/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.94.13.1
평사원에서 회장 자리까지 오른 비결을 묻자, 그는 "특별한 비결은 없다"고 했다.

평사원에서	평사원/NNG+에서/JKB
회장	회장/NNG
자리까지	자리/NNG+까지/JX
오른	오르/VV+ㄴ/ETM
비결을	비결/NNG+을/JKO
묻자,	묻/VV+자/EC+,/SP
그는	그/NP+는/JX
"특별한	"/SS+특별/NNG+하/XSA+ㄴ/ETM
비결은	비결/NNG+은/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.94.13.2
누구보다 부지런하고, 남들이 하기 싫어하는 일을 하고, 부하들의 마음을 움직여야 한다는 것이다.

누구보다	누구/NP+보다/JKB
부지런하고,	부지런/NNG+하/XSA+고/EC+,/SP
남들이	남/NNG+들/XSN+이/JKS
하기	하/VV+기/ETN
싫어하는	싫어하/VV+는/ETM
일을	일/NNG+을/JKO
하고,	하/VV+고/EC+,/SP
부하들의	부하/NNG+들/XSN+의/JKG
마음을	마음/NNG+을/JKO
움직여야	움직이/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


