# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.368
metadata : {}


# id : NWRW1800000053.368.1.1
[단독]“北 핵실험장 갱도 붕괴”… 中, 동북지역 방사능오염 초긴장

[단독]“北	[/SS+단독/NNG+]/SS+“/SS+北/SH
토양의	토양/NNG+의/JKG
방사선량까지	방사선량/NNG+까지/JX
분석했다”고	분석/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.368.4.2
당 중앙군사위원회 관련 부서와 무장경찰부대 총사령부, 수리(水利), 위생계획부, 공업정보화, 지진 담당부서까지 총동원됐다.

당	당/NNG
중앙군사위원회	중앙군사위원회/NNP
관련	관련/NNG
부서와	부서/NNG+와/JC
무장경찰부대	무장/NNG+경찰/NNG+부대/NNG
총사령부,	총사령부/NNG+,/SP
수리(水利),	수리/NNG+(/SS+水利/SH+)/SS+,/SP
위생계획부,	위생/NNG+계획부/NNG+,/SP
공업정보화,	공업/NNG+정보/NNG+화/XSN+,/SP
지진	지진/NNG
담당부서까지	담당/NNG+부서/NNG+까지/JX
총동원됐다.	총동원/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.368.4.3
지정 검측소뿐 아니라 항공검측장비도 사용됐다.

지정	지정/NNG
검측소뿐	검측소/NNG+뿐/JX
아니라	아니/VCN+라/EC
항공검측장비도	항공/NNG+검측/NNG+장비/NNG+도/JX
사용됐다.	사용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.368.5.1
중국 국가핵안전국은 3일 오전 북한의 핵실험 이후 5일 오후 10시까지 이틀 만에 지린(吉林) 헤이룽장(黑龍江) 랴오닝(遼寧)성 등 동북 3성과 서해에 인접한 산둥(山東)성 전역에서 10차례 공기 중 방사선량에 대한 정밀 조사를 실시한 뒤 결과를 홈페이지에 올렸다.

중국	중국/NNP
국가핵안전국은	국가핵안전국/NNP+은/JX
3일	3/SN+일/NNB
오전	오전/NNG
북한의	북한/NNP+의/JKG
핵실험	핵/NNG+실험/NNG
이후	이후/NNG
5일	5/SN+일/NNB
오후	오후/NNG
10시까지	10/SN+시/NNB+까지/JX
이틀	이틀/NNG
만에	만/NNB+에/JKB
지린(吉林)	지린/NNP+(/SS+吉林/SH+)/SS
헤이룽장(黑龍江)	헤이룽장/NNP+(/SS+黑龍江/SH+)/SS
랴오닝(遼寧)성	랴오닝/NNP+(/SS+遼寧/SH+)/SS+성/NNG
등	등/NNB
동북	동북/NNG
3성과	3/SN+성/NNG+과/JC
서해에	서해/NNP+에/JKB
인접한	인접/NNG+하/XSV+ㄴ/ETM
산둥(山東)성	산둥/NNP+(/SS+山東/SH+)/SS+성/NNG
전역에서	전역/NNG+에서/JKB
10차례	10/SN+차례/NNG
공기	공기/NNG
중	중/NNB
방사선량에	방사선량/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정밀	정밀/NNG
조사를	조사/NNG+를/JKO
실시한	실시/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
결과를	결과/NNG+를/JKO
홈페이지에	홈페이지/NNG+에/JKB
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.368.5.2
6시간 간격으로 하루 4차례씩 조사한 뒤 이를 실시간으로 공개하고 있다.

6시간	6/SN+시간/NNB
간격으로	간격/NNG+으로/JKB
하루	하루/NNG
4차례씩	4/SN+차례/NNG+씩/XSN
조사한	조사/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이를	이/NP+를/JKO
실시간으로	실시간/NNG+으로/JKB
공개하고	공개/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.368.6.1
6차 핵실험 이후 중국 당국은 어느 때보다 면밀하게 북-중 접경지역의 방사능 오염 여부를 확인하고 있다.

6차	6/SN+차/NNB
핵실험	핵/NNG+실험/NNG
이후	이후/NNG
중국	중국/NNP
당국은	당국/NNG+은/JX
어느	어느/MMD
때보다	때/NNG+보다/JKB
면밀하게	면밀하/VA+게/EC
북-중	북-중/NNP
접경지역의	접경/NNG+지역/NNG+의/JKG
방사능	방사능/NNG
오염	오염/NNG
여부를	여부/NNG+를/JKO
확인하고	확인/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.368.6.2
물론 “현재까지는 이상징후가 없다”며 국내 여론을 안심시키고 있다.

물론	물론/MAG
“현재까지는	“/SS+현재/NNG+까지/JX+는/JX
이상징후가	이상/NNG+징후/NNG+가/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
국내	국내/NNG
여론을	여론/NNG+을/JKO
안심시키고	안심/NNG+시키/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.368.6.3
하지만 소식통에 따르면 중국 지린(吉林)성 옌볜(延邊)을 중심으로 동북 3성 주민들이 방사능 누출 가능성을 심각하게 받아들이면서 불안감이 커지고 있는 것으로 확인됐다.

하지만	하지만/MAJ
소식통에	소식통/NNG+에/JKB
따르면	따르/VV+면/EC
중국	중국/NNP
지린(吉林)성	지린/NNP+(/SS+吉林/SH+)/SS+성/NNG
옌볜(延邊)을	옌볜/NNP+(/SS+延邊/SH+)/SS+을/JKO
중심으로	중심/NNG+으로/JKB
동북	동북/NNG
3성	3/SN+성/NNG
주민들이	주민/NNG+들/XSN+이/JKS
방사능	방사능/NNG
누출	누출/NNG
가능성을	가능/NNG+성/XSN+을/JKO
심각하게	심각하/VA+게/EC
받아들이면서	받아들이/VV+면서/EC
불안감이	불안감/NNG+이/JKS
커지고	커지/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.368.6.4
헤이룽장성에 사는 진(金)모 씨는 동아일보에 “(방사능 누출 여부에 대해) 걱정이 된다.

헤이룽장성에	헤이룽장성/NNP+에/JKB
사는	살/VV+는/ETM
진(金)모	진/NNP+(/SS+金/SH+)/SS+모/NP
씨는	씨/NNB+는/JX
동아일보에	동아일보/NNP+에/JKB
“(방사능	“/SS+(/SS+방사능/NNG
누출	누출/NNG
여부에	여부/NNG+에/JKB
대해)	대하/VV+아/EC+)/SS
걱정이	걱정/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.368.6.5
(중국) 정부가 권위 있는 설명을 해줬으면 한다.

(중국)	(/SS+중국/NNP+)/SS
정부가	정부/NNG+가/JKS
권위	권위/NNG
있는	있/VA+는/ETM
설명을	설명/NNG+을/JKO
해줬으면	하/VV+아/EC+주/VX+었/EP+으면/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.368.6.6
만약 방사능 누출이 동북 3성에 영향을 미치면 정부가 적절한 대책을 세워 우리의 권익과 건강을 지켜야 한다”고 말했다.

만약	만약/MAG
방사능	방사능/NNG
누출이	누출/NNG+이/JKS
동북	동북/NNG
3성에	3/SN+성/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치면	미치/VV+면/EC
정부가	정부/NNG+가/JKS
적절한	적절하/VA+ㄴ/ETM
대책을	대책/NNG+을/JKO
세워	세우/VV+어/EC
우리의	우리/NP+의/JKG
권익과	권익/NNG+과/JC
건강을	건강/NNG+을/JKO
지켜야	지키/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.368.7.1
중국 당국은 6차 핵실험 8분 뒤에 핵실험 지역에서 진앙이 지표면인 규모 4.6의 지진이 발생했으며, 이 지진은 핵폭발이 야기한 붕괴에 따른 것으로 판단하고 있는 것으로 알려졌다.

중국	중국/NNP
당국은	당국/NNG+은/JX
6차	6/SN+차/NNB
핵실험	핵/NNG+실험/NNG
8분	8/SN+분/NNB
뒤에	뒤/NNG+에/JKB
지역에서	지역/NNG+에서/JKB
진앙이	진앙/NNG+이/JKS
지표면인	지표면/NNG+이/VCP+ㄴ/ETM
규모	규모/NNG
4.6의	4/SN+./SP+6/SN+의/JKG
지진이	지진/NNG+이/JKS
발생했으며,	발생/NNG+하/XSV+았/EP+으며/EC+,/SP
이	이/MMD
지진은	지진/NNG+은/JX
핵폭발이	핵폭발/NNG+이/JKS
야기한	야기/NNG+하/XSV+ㄴ/ETM
붕괴에	붕괴/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
판단하고	판단/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.368.7.2
핵실험장이 있는 산이 무너져 산속 동굴의 핵실험장이 외부에 노출됐을 가능성을 우려하고 있다.

핵실험장이	핵/NNG+실험장/NNG+이/JKS
있는	있/VA+는/ETM
산이	산/NNG+이/JKS
무너져	무너지/VV+어/EC
산속	산속/NNG
동굴의	동굴/NNG+의/JKG
외부에	외부/NNG+에/JKB
노출됐을	노출/NNG+되/XSV+었/EP+을/ETM
가능성을	가능/NNG+성/XSN+을/JKO
우려하고	우려/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.368.7.3
핵실험장이 있는 풍계리는 북-중 국경에서 약 100km밖에 떨어지지 않아 접경 지역이 방사능 누출의 피해를 입을 수 있다.

핵실험장이	핵/NNG+실험장/NNG+이/JKS
있는	있/VA+는/ETM
풍계리는	풍계리/NNP+는/JX
북-중	북-중/NNP
국경에서	국경/NNG+에서/JKB
약	약/MMA
100km밖에	100/SN+km/SW+밖에/JX
떨어지지	떨어지/VV+지/EC
않아	않/VX+아/EC
접경	접경/NNG
지역이	지역/NNG+이/JKS
방사능	방사능/NNG
누출의	누출/NNG+의/JKG
피해를	피해/NNG+를/JKO
입을	입/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.368.8.1
이날 홍콩 사우스차이나모닝포스트(SCMP)에 따르면 중국의 저명 핵물리학자인 왕나이옌(王乃彦) 전 중국핵사회(CNS) 이사장은 “핵실험장이 폭발로 붕괴됐을 위험성이 있다”며 “핵실험장이 있는 산 전체가 붕괴해 (핵실험을 한) 동굴이 외부에 노출됐다면 방사능이 누출돼 중국을 포함한 다른 지역으로 이동할 수 있다”고 말했다.

이날	이날/NNG
홍콩	홍콩/NNP
사우스차이나모닝포스트(SCMP)에	사우스차이나모닝포스트/NNP+(/SS+SCMP/SL+)/SS+에/JKB
따르면	따르/VV+면/EC
중국의	중국/NNP+의/JKG
저명	저명/NNG
핵물리학자인	핵물리학자/NNG+이/VCP+ㄴ/ETM
왕나이옌(王乃彦)	왕나이옌/NNP+(/SS+王乃彦/SH+)/SS
전	전/MMD
중국핵사회(CNS)	중국핵사회/NNP+(/SS+CNS/SL+)/SS
이사장은	이사장/NNG+은/JX
“핵실험장이	“/SS+핵/NNG+실험장/NNG+이/JKS
폭발로	폭발/NNG+로/JKB
붕괴됐을	붕괴/NNG+되/XSV+었/EP+을/ETM
위험성이	위험/NNG+성/XSN+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
있는	있/VA+는/ETM
산	산/NNG
전체가	전체/NNG+가/JKS
붕괴해	붕괴/NNG+하/XSV+아/EC
(핵실험을	(/SS+핵/NNG+실험/NNG+을/JKO
한)	하/VV+ㄴ/ETM+)/SS
동굴이	동굴/NNG+이/JKS
외부에	외부/NNG+에/JKB
노출됐다면	노출/NNG+되/XSV+었/EP+다면/EC
방사능이	방사능/NNG+이/JKS
누출돼	누출/NNG+되/XSV+어/EC
중국을	중국/NNP+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
다른	다른/MMD
지역으로	지역/NNG+으로/JKB
이동할	이동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.368.8.2
그는 “그렇다면 매우 큰 환경 재앙이 발생할 것”이라며 “북한 당국은 북한뿐 아니라 다른 나라, 특히 중국을 위협하는 핵실험을 중단해야 한다”고 강조했다.

그는	그/NP+는/JX
“그렇다면	“/SS+그렇/VA+다면/EC
매우	매우/MAG
큰	크/VA+ㄴ/ETM
환경	환경/NNG
재앙이	재앙/NNG+이/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“북한	“/SS+북한/NNP
당국은	당국/NNG+은/JX
북한뿐	북한/NNP+뿐/JX
아니라	아니/VCN+라/EC
다른	다른/MMD
나라,	나라/NNG+,/SP
특히	특히/MAG
중국을	중국/NNP+을/JKO
위협하는	위협/NNG+하/XSV+는/ETM
핵실험을	핵/NNG+실험/NNG+을/JKO
중단해야	중단/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.368.9.1
왕 전 이사장은 6차 핵실험의 위력이 1945년 일본 나가사키에 투하된 핵폭탄의 최대 7.8배에 이른다는 중국과학기술대 지진실험실 원롄싱(溫聯星) 교수 연구팀의 관측 결과를 바탕으로 이같이 평가했다.

왕	왕/NNP
전	전/MMD
이사장은	이사장/NNG+은/JX
6차	6/SN+차/NNB
핵실험의	핵/NNG+실험/NNG+의/JKG
위력이	위력/NNG+이/JKS
1945년	1945/SN+년/NNB
일본	일본/NNP
나가사키에	나가사키/NNP+에/JKB
투하된	투하/NNG+되/XSV+ㄴ/ETM
핵폭탄의	핵폭탄/NNG+의/JKG
최대	최대/NNG
7.8배에	7/SN+./SP+8/SN+배/NNG+에/JKB
이른다는	이르/VV+ㄴ다는/ETM
중국과학기술대	중국과학기술대/NNP
지진실험실	지진/NNG+실험실/NNG
원롄싱(溫聯星)	원롄싱/NNP+(/SS+溫聯星/SH+)/SS
교수	교수/NNG
연구팀의	연구/NNG+팀/NNG+의/JKG
관측	관측/NNG
결과를	결과/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
이같이	이/NP+같이/JKB
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.368.9.2
원 교수 연구팀의 홈페이지에 따르면 이번 핵실험의 폭발력은 108.3kt(킬로톤·1kt은 TNT 1000t의 폭발력)으로 5차 핵실험(17.8kt)의 약 6배에 이른다.

원	원/NNP
교수	교수/NNG
연구팀의	연구/NNG+팀/NNG+의/JKG
홈페이지에	홈페이지/NNG+에/JKB
따르면	따르/VV+면/EC
이번	이번/NNG
핵실험의	핵/NNG+실험/NNG+의/JKG
폭발력은	폭발력/NNG+은/JX
108.3kt(킬로톤·1kt은	108/SN+./SP+3/SN+kt/SW+(/SS+킬로톤/NNB+·/SP+1/SN+kt/SW+은/JX
TNT	TNT/SL
1000t의	1000/SN+t/SW+의/JKG
폭발력)으로	폭발력/NNG+)/SS+으로/JKB
5차	5/SN+차/NNB
핵실험(17.8kt)의	핵/NNG+실험/NNG+(/SS+17/SN+./SP+8/SN+kt/SW+)/SS+의/JKG
약	약/MMA
6배에	6/SN+배/NNG+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.368.9.3
한국 국방부에서 발표한 위력(50kt)보다 두 배 이상 크다.

한국	한국/NNP
국방부에서	국방부/NNG+에서/JKB
발표한	발표/NNG+하/XSV+ㄴ/ETM
위력(50kt)보다	위력/NNG+(/SS+50/SN+kt/SW+)/SS+보다/JKB
두	두/MMN
배	배/NNG
이상	이상/NNG
크다.	크/VA+다/EF+./SF


