# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.203
metadata : {}


# id : NWRW1800000041.203.1.1
[휴지통]‘지문의 기억’… 4년만에 덜미잡힌 택시강도

[휴지통]‘지문의	[/SS+휴지통/NNG+]/SS+‘/SS+지문/NNG+의/JKG
# id : NWRW1800000041.203.4.4
당시는 지문의 주인공들이 모두 고등학교 1학년 미성년자라 경찰이 지문을 채취해도 누군지를 알 수 없었다.

당시는	당시/NNG+는/JX
지문의	지문/NNG+의/JKG
주인공들이	주인공/NNG+들/XSN+이/JKS
모두	모두/MAG
고등학교	고등학교/NNG
1학년	1/SN+학년/NNG
미성년자라	미성년자/NNG+이/VCP+라/EC
경찰이	경찰/NNG+이/JKS
지문을	지문/NNG+을/JKO
채취해도	채취/NNG+하/XSV+아도/EC
누군지를	누구/NP+이/VCP+ㄴ지/EF+를/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.203.4.5
하지만 정 씨와 조 씨가 성인이 돼 주민등록증을 만들게 되면서 이들의 4년 전 범행은 경찰에 적발됐다.

하지만	하지만/MAJ
정	정/NNP
씨와	씨/NNB+와/JC
조	조/NNP
씨가	씨/NNB+가/JKS
성인이	성인/NNG+이/JKC
돼	되/VV+어/EC
주민등록증을	주민/NNG+등록증/NNG+을/JKO
만들게	만들/VV+게/EC
되면서	되/VV+면서/EC
이들의	이/NP+들/XSN+의/JKG
4년	4/SN+년/NNB
전	전/NNG
범행은	범행/NNG+은/JX
경찰에	경찰/NNG+에/JKB
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.203.4.6
서울 종암경찰서는 4인조 택시 강도 일당을 특수강도 혐의로 검거한 후 사건의 주모자였던 이 씨는 구속했고 나머지는 불구속 입건했다고 4일 밝혔다.

서울	서울/NNP
종암경찰서는	종암경찰서/NNP+는/JX
4인조	4/SN+인/NNG+조/NNG
택시	택시/NNG
강도	강도/NNG
일당을	일당/NNG+을/JKO
특수강도	특수/NNG+강도/NNG
혐의로	혐의/NNG+로/JKB
검거한	검거/NNG+하/XSV+ㄴ/ETM
후	후/NNG
사건의	사건/NNG+의/JKG
주모자였던	주모자/NNG+이/VCP+었/EP+던/ETM
이	이/NNP
씨는	씨/NNB+는/JX
구속했고	구속/NNG+하/XSV+았/EP+고/EC
나머지는	나머지/NNG+는/JX
불구속	불/XPN+구속/NNG
입건했다고	입건/NNG+하/XSV+았/EP+다고/EC
4일	4/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


