# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.8
metadata : {}


# id : NWRW1800000032.8.1.1
한덕수, 부동산 PF대출 ‘물꼬’ 트고 윤증현, ‘8·8클럽’ 법인대출 늘려줘

한덕수,	한덕수/NNP+,/SP
진념	진념/NNP
현	현/MMD
삼정케이피엠지	삼정케이피엠지/NNP
고문이었다.	고문/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.8.4.5
이종구 한나라당 의원은 실무책임자인 금융정책국장이었다.

이종구	이종구/NNP
한나라당	한나라당/NNP
의원은	의원/NNG+은/JX
실무책임자인	실무/NNG+책임자/NNG+이/VCP+ㄴ/ETM
금융정책국장이었다.	금융/NNG+정책국장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.8.5.1
이번 위기의 직접적인 원인으로 지목되는 부동산 프로젝트파이낸싱(PF) 대출의 물꼬를 터준 것은 지난 2006년 당시 한덕수(왼쪽 사진) 재정경제부 장관(현 주미한국대사)과 임영록 금융정책국장(현 케이비금융지주 사장)이었다.

이번	이번/NNG
위기의	위기/NNG+의/JKG
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
원인으로	원인/NNG+으로/JKB
지목되는	지목/NNG+되/XSV+는/ETM
부동산	부동산/NNG
프로젝트파이낸싱(PF)	프로젝트/NNG+파이낸싱/NNG+(/SS+PF/SL+)/SS
대출의	대출/NNG+의/JKG
물꼬를	물꼬/NNG+를/JKO
터준	트/VV+어/EC+주/VX+ㄴ/ETM
것은	것/NNB+은/JX
지난	지나/VV+ㄴ/ETM
2006년	2006/SN+년/NNB
당시	당시/NNG
한덕수(왼쪽	한덕수/NNP+(/SS+왼쪽/NNG
사진)	사진/NNG+)/SS
재정경제부	재정/NNG+경제부/NNG
장관(현	장관/NNG+(/SS+현/MMD
주미한국대사)과	주미/NNG+한국/NNP+대사/NNG+)/SS+과/JC
임영록	임영록/NNP
금융정책국장(현	금융/NNG+정책국장/NNG+(/SS+현/MMD
케이비금융지주	케이비금융지주/NNP
사장)이었다.	사장/NNG+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.8.5.2
윤증현(오른쪽) 기획재정부 장관도 당시 금융감독위원장 겸 금융감독원장으로서 책임이 적지 않다.

윤증현(오른쪽)	윤증현/NNP+(/SS+오른쪽/NNG+)/SS
기획재정부	기획/NNG+재정부/NNG
장관도	장관/NNG+도/JX
당시	당시/NNG
금융감독위원장	금융/NNG+감독/NNG+위원장/NNG
겸	겸/NNB
금융감독원장으로서	금융/NNG+감독원장/NNG+으로서/JKB
책임이	책임/NNG+이/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000032.8.5.3
이른바 ‘8·8 클럽’의 도입으로 국제결제은행(BIS) 자기자본비율 8% 이상, 고정이하 여신비율 8% 이하일 경우 우량 저축은행으로 분류해 법인 대출을 80억원 이상 할 수 있게 됐다.

이른바	이른바/MAG
‘8·8	‘/SS+8/SN+·/SP+8/SN
클럽’의	클럽/NNG+’/SS+의/JKG
도입으로	도입/NNG+으로/JKB
국제결제은행(BIS)	국제결제은행/NNP+(/SS+BIS/SL+)/SS
자기자본비율	자기/NNG+자본/NNG+비율/NNG
8%	8/SN+%/SW
이상,	이상/NNG+,/SP
고정이하	고정/NNG+이하/NNG
여신비율	여신/NNG+비율/NNG
이하일	이하/NNG+이/VCP+ㄹ/ETM
경우	경우/NNG
우량	우량/NNG
저축은행으로	저축/NNG+은행/NNG+으로/JKB
분류해	분류/NNG+하/XSV+아/EC
법인	법인/NNG
대출을	대출/NNG+을/JKO
80억원	80/SN+억/NR+원/NNB
이상	이상/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.8.5.4
서민금융기관으로서의 본령을 벗어나게 된 계기다.

서민금융기관으로서의	서민/NNG+금융/NNG+기관/NNG+으로서/JKB+의/JKG
본령을	본령/NNG+을/JKO
벗어나게	벗어나/VV+게/EC
된	되/VV+ㄴ/ETM
계기다.	계기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.8.6.1
이명박 정부가 들어선 뒤인 2008년 12월에는 상호저축은행에서 ‘상호’라는 글자를 뺄 수 있도록 하는 법안이 제출돼 국회를 통과했다.

이명박	이명박/NNP
정부가	정부/NNG+가/JKS
들어선	들어서/VV+ㄴ/ETM
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
2008년	2008/SN+년/NNB
12월에는	12/SN+월/NNB+에/JKB+는/JX
상호저축은행에서	상호/NNG+저축/NNG+은행/NNG+에서/JKB
‘상호’라는	‘/SS+상호/NNG+’/SS+이/VCP+라는/ETM
글자를	글자/NNG+를/JKO
뺄	빼/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
법안이	법안/NNG+이/JKS
제출돼	제출/NNG+되/XSV+어/EC
국회를	국회/NNG+를/JKO
통과했다.	통과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.8.6.2
강만수 기획재정부 장관(현 대통령 경제특별보좌관)과 전광우 금융위원회 위원장이 책임자다.

강만수	강만수/NNP
기획재정부	기획/NNG+재정부/NNG
장관(현	장관/NNG+(/SS+현/MMD
대통령	대통령/NNG
경제특별보좌관)과	경제/NNG+특별/NNG+보좌관/NNG+)/SS+과/JC
전광우	전광우/NNP
금융위원회	금융/NNG+위원회/NNG
위원장이	위원장/NNG+이/JKS
책임자다.	책임자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.8.7.1
김상조 한성대 교수(경제개혁연대 소장)는 “부실화한 저축은행의 문을 닫게 하는 것으로 부실을 끝내야 하는데, 그러지 못하고 다른 저축은행에 떠안기는 편법을 썼기 때문에 규제 완화와 명칭 변경 등 대가를 줄 수밖에 없었다”며 “이번 기회에 원칙적 처리의 중요성을 깨달아야 한다”고 강조했다.

김상조	김상조/NNP
한성대	한성대/NNP
교수(경제개혁연대	교수/NNG+(/SS+경제/NNG+개혁/NNG+연대/NNG
소장)는	소장/NNG+)/SS+는/JX
“부실화한	“/SS+부실/NNG+화/XSN+하/XSV+ㄴ/ETM
저축은행의	저축/NNG+은행/NNG+의/JKG
문을	문/NNG+을/JKO
닫게	닫/VV+게/EC
하는	하/VX+는/ETM
것으로	것/NNB+으로/JKB
부실을	부실/NNG+을/JKO
끝내야	끝내/VV+어야/EC
하는데,	하/VX+는데/EC+,/SP
그러지	그러/VV+지/EC
못하고	못하/VX+고/EC
다른	다른/MMD
저축은행에	저축/NNG+은행/NNG+에/JKB
떠안기는	떠안기/VV+는/ETM
편법을	편법/NNG+을/JKO
썼기	쓰/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
규제	규제/NNG
완화와	완화/NNG+와/JC
명칭	명칭/NNG
변경	변경/NNG
등	등/NNB
대가를	대가/NNG+를/JKO
줄	주/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다”며	없/VA+었/EP+다/EF+”/SS+며/EC
“이번	“/SS+이번/NNG
기회에	기회/NNG+에/JKB
원칙적	원칙/NNG+적/XSN
처리의	처리/NNG+의/JKG
중요성을	중요/NNG+성/XSN+을/JKO
깨달아야	깨닫/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


