# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.397
metadata : {}


# id : NWRW1800000037.397.1.1
[수도권]남한산성 갈까, 남양주 수종사로 갈까

[수도권]남한산성	[/SS+수도/NNG+권/XSN+]/SS+남한산성/NNP
광주 남한산성에 가면 성곽 위로 고즈넉이 떠오르는 보름달과 한강을 따라 펼쳐지는 화려한 서울 야경을 즐길 수 있다.

광주	광주/NNP
남한산성에	남한산성/NNP+에/JKB
가면	가/VV+면/EC
성곽	성곽/NNG
위로	위/NNG+로/JKB
고즈넉이	고즈넉이/MAG
떠오르는	떠오르/VV+는/ETM
보름달과	보름달/NNG+과/JC
한강을	한강/NNP+을/JKO
따라	따르/VV+아/EC
펼쳐지는	펼쳐지/VV+는/ETM
화려한	화려하/VA+ㄴ/ETM
서울	서울/NNP
야경을	야경/NNG+을/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.397.4.2
달맞이 포인트는 늠름하게 산성을 지키고 있는 수어장대로 산성로터리에서 침괘정 방향으로 20분 정도면 오를 수 있다.

달맞이	달맞이/NNG
포인트는	포인트/NNG+는/JX
늠름하게	늠름하/VA+게/EC
산성을	산성/NNG+을/JKO
지키고	지키/VV+고/EC
있는	있/VX+는/ETM
수어장대로	수어장대로/NNP
산성로터리에서	산성로터리/NNP+에서/JKB
침괘정	침괘정/NNP
방향으로	방향/NNG+으로/JKB
20분	20/SN+분/NNB
정도면	정도/NNG+이/VCP+면/EC
오를	오르/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.397.4.3
수어장대에서 서문을 지나 만나게 되는 연주봉 옹성과 남문 쪽에 위치한 제1남옹성도 황홀한 일몰과 보름달을 감상하기에 좋은 장소다.

수어장대에서	수어장대/NNP+에서/JKB
서문을	서문/NNG+을/JKO
지나	지나/VV+아/EC
만나게	만나/VV+게/EC
되는	되/VV+는/ETM
연주봉	연주봉/NNP
옹성과	옹성/NNG+과/JC
남문	남문/NNG
쪽에	쪽/NNB+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
제1남옹성도	제/XPN+1/SN+남옹성/NNG+도/JX
황홀한	황홀/NNG+하/XSA+ㄴ/ETM
일몰과	일몰/NNG+과/JC
보름달을	보름달/NNG+을/JKO
감상하기에	감상/NNG+하/XSV+기에/EC
좋은	좋/VA+은/ETM
장소다.	장소/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.397.5.1
안산 시화조력발전소 안에 있는 T-Light(티라이트) 공원은 서해 바다의 일몰과 보름달을 감상할 수 있는 곳이다.

안산	안산/NNP
시화조력발전소	시화조력발전소/NNP
안에	안/NNG+에/JKB
있는	있/VA+는/ETM
T-Light(티라이트)	T/SL+-/SO+Light/SL+(/SS+티라이트/NNP+)/SS
공원은	공원/NNG+은/JX
서해	서해/NNP
바다의	바다/NNG+의/JKG
일몰과	일몰/NNG+과/JC
보름달을	보름달/NNG+을/JKO
감상할	감상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.397.5.2
바닷물(tide)을 이용하여 만든 빛(light)을 상징하는 의미의 공원으로, 세계 최대 규모의 조력발전소 건설 과정에서 발생한 토사를 이용해 조성한 친환경 해상공원이다.

바닷물(tide)을	바닷물/NNG+(/SS+tide/SL+)/SS+을/JKO
이용하여	이용/NNG+하/XSV+아/EC
만든	만들/VV+ㄴ/ETM
빛(light)을	빛/NNG+(/SS+light/SL+)/SS+을/JKO
상징하는	상징/NNG+하/XSV+는/ETM
의미의	의미/NNG+의/JKG
공원으로,	공원/NNG+으로/JKB+,/SP
세계	세계/NNG
최대	최대/NNG
규모의	규모/NNG+의/JKG
조력발전소	조력/NNG+발전소/NNG
건설	건설/NNG
과정에서	과정/NNG+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
토사를	토사/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
조성한	조성/NNG+하/XSV+ㄴ/ETM
친환경	친/XPN+환경/NNG
해상공원이다.	해상공원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.397.5.3
수원 화성행궁 뒤편 팔달산 정상에 우뚝 솟은 서장대는 유려한 곡선의 화성과 아름다운 야경이 한눈에 들어오는 수원 최고의 전망대이다.

수원	수원/NNP
화성행궁	화성행궁/NNP
뒤편	뒤편/NNG
팔달산	팔달산/NNP
정상에	정상/NNG+에/JKB
우뚝	우뚝/MAG
솟은	솟/VV+은/ETM
서장대는	서장대/NNG+는/JX
유려한	유려하/VA+ㄴ/ETM
곡선의	곡선/NNG+의/JKG
화성과	화성/NNP+과/JC
아름다운	아름답/VA+ㄴ/ETM
야경이	야경/NNG+이/JKS
한눈에	한눈/NNG+에/JKB
들어오는	들어오/VV+는/ETM
최고의	최고/NNG+의/JKG
전망대이다.	전망대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.397.5.4
아이들과 함께 서장대에 올라 앉아 발아래 반짝이는 팔달문, 장안문, 창룡문을 찾아보면 명절의 특별한 추억으로 남을 것 같다.

아이들과	아이/NNG+들/XSN+과/JKB
함께	함께/MAG
서장대에	서장대/NNG+에/JKB
올라	오르/VV+아/EC
앉아	앉/VV+아/EC
발아래	발아래/NNG
반짝이는	반짝이/VV+는/ETM
팔달문,	팔달문/NNP+,/SP
장안문,	장안문/NNP+,/SP
창룡문을	창룡문/NNP+을/JKO
찾아보면	찾/VV+아/EC+보/VX+면/EC
명절의	명절/NNG+의/JKG
특별한	특별/NNG+하/XSA+ㄴ/ETM
추억으로	추억/NNG+으로/JKB
남을	남/VV+을/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000037.397.6.1
구리타워는 한강변 구리시 소각장의 굴뚝이다.

구리타워는	구리타워/NNP+는/JX
한강변	한강/NNP+변/NNG
구리시	구리시/NNP
소각장의	소각장/NNG+의/JKG
굴뚝이다.	굴뚝/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.397.6.2
지상 100m 높이 전망대 1, 2층으로 이뤄졌다.

지상	지상/NNG
100m	100/SN+m/SW
높이	높이/NNG
전망대	전망대/NNG
1,	1/SN+,/SP
2층으로	2/SN+층/NNG+으로/JKB
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.397.6.3
80m 높이의 1층 전망대에서는 48각 유리창을 통해 서울의 야경은 물론이고 하남의 검단산이 보인다.

80m	80/SN+m/SW
높이의	높이/NNG+의/JKG
1층	1/SN+층/NNG
전망대에서는	전망대/NNG+에서/JKB+는/JX
48각	48/SN+각/NNG
유리창을	유리창/NNG+을/JKO
통해	통하/VV+아/EC
서울의	서울/NNP+의/JKG
야경은	야경/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
하남의	하남/NNP+의/JKG
검단산이	검단산/NNP+이/JKS
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.397.6.4
6대의 망원경이 설치되어 있어 보름달을 더욱 가까이 볼 수 있다.

6대의	6/SN+대/NNB+의/JKG
망원경이	망원경/NNG+이/JKS
설치되어	설치/NNG+되/XSV+어/EC
있어	있/VX+어/EC
보름달을	보름달/NNG+을/JKO
더욱	더욱/MAG
가까이	가까이/NNG
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.397.6.5
고양 행주산성 달맞이는 행주대첩비 주변이 제격이다.

고양	고양/NNP
행주산성	행주산성/NNP
달맞이는	달맞이/NNG+는/JX
행주대첩비	행주대첩비/NNG
주변이	주변/NNG+이/JKS
제격이다.	제격/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.397.6.6
산성이 자리한 덕양산의 정상에 대첩비와 기념관인 충의정이 자리하고 있다.

산성이	산성/NNG+이/JKS
자리한	자리/NNG+하/XSV+ㄴ/ETM
덕양산의	덕양산/NNP+의/JKG
정상에	정상/NNG+에/JKB
대첩비와	대첩비/NNG+와/JC
기념관인	기념관/NNG+이/VCP+ㄴ/ETM
충의정이	충의정/NNP+이/JKS
자리하고	자리/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.397.6.7
매표소에서 가로등이 켜진 경사로를 따라 10여 분 오르면 도착한다.

매표소에서	매표소/NNG+에서/JKB
가로등이	가로등/NNG+이/JKS
켜진	켜/VV+어/EC+지/VX+ㄴ/ETM
경사로를	경사로/NNG+를/JKO
따라	따르/VV+아/EC
10여	10/SN+여/XSN
분	분/NNB
오르면	오르/VV+면/EC
도착한다.	도착/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.397.6.8
자유로를 따라 시원스레 달리는 자동차들의 궤적, 반짝이는 서울의 야경 등이 한데 어우러지는 밤 풍경이 감동을 전한다.

자유로를	자유로/NNP+를/JKO
따라	따르/VV+아/EC
시원스레	시원스레/MAG
달리는	달리/VV+는/ETM
자동차들의	자동차/NNG+들/XSN+의/JKG
궤적,	궤적/NNG+,/SP
반짝이는	반짝이/VV+는/ETM
서울의	서울/NNP+의/JKG
야경	야경/NNG
등이	등/NNB+이/JKS
한데	한데/NNG
어우러지는	어우러지/VV+는/ETM
밤	밤/NNG
풍경이	풍경/NNG+이/JKS
감동을	감동/NNG+을/JKO
전한다.	전하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.397.7.1
북한강변 남양주 수종사는 조선 전기의 문신 서거정이 동방의 사찰 중 최고의 전망이라고 극찬했을 정도로 빼어난 경관을 자랑한다.

북한강변	북한강/NNP+변/NNG
남양주	남양주/NNP
수종사는	수종사/NNP+는/JX
조선	조선/NNP
전기의	전기/NNG+의/JKG
문신	문신/NNG
서거정이	서거정/NNP+이/JKS
동방의	동방/NNG+의/JKG
사찰	사찰/NNG
중	중/NNB
최고의	최고/NNG+의/JKG
전망이라고	전망/NNG+이/VCP+라고/EC
극찬했을	극찬/NNG+하/XSV+았/EP+을/ETM
정도로	정도/NNG+로/JKB
빼어난	빼어나/VA+ㄴ/ETM
경관을	경관/NNG+을/JKO
자랑한다.	자랑/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.397.7.2
보름달에 비친 범종각의 모습과, 두물머리 물길 위로 흐르는 달빛은 고색창연한 산사의 자태와 어우러져 신비스러운 분위기를 자아낸다.

보름달에	보름달/NNG+에/JKB
비친	비치/VV+ㄴ/ETM
범종각의	범종각/NNG+의/JKG
모습과,	모습/NNG+과/JC+,/SP
두물머리	두물머리/NNP
물길	물길/NNG
위로	위/NNG+로/JKB
흐르는	흐르/VV+는/ETM
달빛은	달빛/NNG+은/JX
고색창연한	고색창연/NNG+하/XSA+ㄴ/ETM
산사의	산사/NNG+의/JKG
자태와	자태/NNG+와/JKB
어우러져	어우러지/VV+어/EC
신비스러운	신비/NNG+스럽/XSA+ㄴ/ETM
분위기를	분위기/NNG+를/JKO
자아낸다.	자아내/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.397.8.1
천년고찰 여주 신륵사 경내의 남한강변 바위 절벽에 세워진 강월헌(江月軒)은 이름처럼 달이 아름답게 보이는 곳이다.

천년고찰	천년/NNG+고찰/NNG
여주	여주/NNP
신륵사	신륵사/NNP
경내의	경내/NNG+의/JKG
남한강변	남한강/NNP+변/NNG
바위	바위/NNG
절벽에	절벽/NNG+에/JKB
세워진	세우/VV+어/EC+지/VX+ㄴ/ETM
강월헌(江月軒)은	강월헌/NNP+(/SS+江月軒/SH+)/SS+은/JX
이름처럼	이름/NNG+처럼/JKB
달이	달/NNG+이/JKS
아름답게	아름답/VA+게/EC
보이는	보이/VV+는/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.397.8.2
강바람 속 정자에 올라 밤하늘 둥근달과 여강에 흐르는 달을 번갈아 바라보면 몽환적인 아름다움에 시간을 잊게 된다.

강바람	강바람/NNG
속	속/NNG
정자에	정자/NNG+에/JKB
올라	오르/VV+아/EC
밤하늘	밤하늘/NNG
둥근달과	둥근달/NNG+과/JC
여강에	여강/NNP+에/JKB
흐르는	흐르/VV+는/ETM
달을	달/NNG+을/JKO
번갈아	번갈/VV+아/EC
바라보면	바라보/VV+면/EC
몽환적인	몽환/NNG+적/XSN+이/VCP+ㄴ/ETM
아름다움에	아름다움/NNG+에/JKB
시간을	시간/NNG+을/JKO
잊게	잊/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


