# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.328
metadata : {}


# id : NWRW1800000033.328.1.1
정부, 美서 시호크헬기 8대-하푼미사일 18기 10억달러상당 도입 추진

정부,	정부/NNG+,/SP
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.328.7.2
하푼은 일반 함정과 전투기, 잠수함 등에 모두 장착할 수 있는 전천후 지상공격용 크루즈 미사일이다.

하푼은	하푼/NNP+은/JX
일반	일반/NNG
함정과	함정/NNG+과/JC
전투기,	전투기/NNG+,/SP
잠수함	잠수함/NNG
등에	등/NNB+에/JKB
모두	모두/MAG
장착할	장착/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
전천후	전천후/NNG
지상공격용	지상/NNG+공격/NNG+용/XSN
크루즈	크루즈/NNG
미사일이다.	미사일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.328.7.3
이 계약은 보잉사가 맡게 된다고 미 국방부는 밝혔다.

이	이/MMD
계약은	계약/NNG+은/JX
보잉사가	보잉사/NNP+가/JKS
맡게	맡/VV+게/EC
된다고	되/VV+ㄴ다고/EC
미	미/NNP
국방부는	국방부/NNG+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.328.8.1
이와 관련해 한국 방위사업청은 “현재 해상작전 헬기 선정사업은 기종 결정을 위해 영국의 AW-159와 미국의 MH-60R의 제안서를 평가하고 있다”며 “시험평가와 협상을 거쳐 10월에 기종을 결정할 예정”이라고 밝혔다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
한국	한국/NNP
방위사업청은	방위/NNG+사업청/NNG+은/JX
“현재	“/SS+현재/MAG
해상작전	해상/NNG+작전/NNG
헬기	헬기/NNG
선정사업은	선정/NNG+사업/NNG+은/JX
기종	기종/NNG
결정을	결정/NNG+을/JKO
위해	위하/VV+아/EC
영국의	영국/NNP+의/JKG
AW-159와	AW/SL+-/SO+159/SN+와/JC
미국의	미국/NNP+의/JKG
MH-60R의	MH/SL+-/SO+60/SN+R/SL+의/JKG
제안서를	제안서/NNG+를/JKO
평가하고	평가/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“시험평가와	“/SS+시험/NNG+평가/NNG+와/JC
협상을	협상/NNG+을/JKO
거쳐	거치/VV+어/EC
10월에	10/SN+월/NNB+에/JKB
기종을	기종/NNG+을/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.328.8.2
이어 “미 국방부가 언급한 가격은 미 정부가 의회에 판매 승인을 얻기 위해 보고한 자료로 최종 가격은 향후 협상을 통해 결정할 계획이며 현재로선 확정된 게 없다”고 설명했다.

이어	이어/MAG
“미	“/SS+미/NNP
국방부가	국방부/NNG+가/JKS
언급한	언급/NNG+하/XSV+ㄴ/ETM
가격은	가격/NNG+은/JX
미	미/NNP
정부가	정부/NNG+가/JKS
의회에	의회/NNG+에/JKB
판매	판매/NNG
승인을	승인/NNG+을/JKO
얻기	얻/VV+기/ETN
위해	위하/VV+아/EC
보고한	보고/NNG+하/XSV+ㄴ/ETM
자료로	자료/NNG+로/JKB
최종	최종/NNG
향후	향후/NNG
협상을	협상/NNG+을/JKO
통해	통하/VV+아/EC
결정할	결정/NNG+하/XSV+ㄹ/ETM
계획이며	계획/NNG+이/VCP+며/EC
현재로선	현재/NNG+로서/JKB+ㄴ/JX
확정된	확정/NNG+되/XSV+ㄴ/ETM
게	거/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


