# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.171
metadata : {}


# id : NWRW1800000026.171.1.1
['천안함 北소행' 후폭풍] "北 작전국이 침투, 정찰국이 무기 담당";국방부 정보본부장 "천안함, 정찰총국 소행"

['천안함	[/SS+'/SS+천안함/NNP
따르면	따르/VV+면/EC
정찰총국은	정찰/NNG+총국/NNG+은/JX
모두	모두/MAG
6개국(局)으로	6/SN+개국/NNB+(/SS+局/SH+)/SS+으로/JKB
구성됐다.	구성/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.171.3.2
1~7국까지 있는데 4국은 '죽을 사(死)'자와 발음이 같다는 이유로 빠졌다고 한다.

1~7국까지	1/SN+~/SO+7/SN+국/NNG+까지/JX
있는데	있/VA+는데/EC
4국은	4국/NNG+은/JX
'죽을	'/SS+죽/VV+을/ETM
사(死)'자와	사/NNG+(/SS+死/SH+)/SS+'/SS+자/NNG+와/JKB
발음이	발음/NNG+이/JKS
같다는	같/VA+다는/ETM
이유로	이유/NNG+로/JKB
빠졌다고	빠지/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.171.3.3
과거 노동당 작전부였던 1국(작전국)은 간첩 침투와 양성을 전담한다.

과거	과거/NNG
노동당	노동당/NNP
작전부였던	작전부/NNG+이/VCP+었/EP+던/ETM
1국(작전국)은	1/SN+국/NNG+(/SS+작전국/NNG+)/SS+은/JX
간첩	간첩/NNG
침투와	침투/NNG+와/JC
양성을	양성/NNG+을/JKO
전담한다.	전담/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.171.3.4
해주·남포·원산·청진 등 4곳에 해상 침투를 위한 연락소를 운영한다.

해주·남포·원산·청진	해주/NNP+·/SP+남포/NNP+·/SP+원산/NNP+·/SP+청진/NNP
등	등/NNB
4곳에	4/SN+곳/NNG+에/JKB
해상	해상/NNG
침투를	침투/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
연락소를	연락소/NNG+를/JKO
운영한다.	운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.171.3.5
현재 대남 공작을 총괄하는 오극렬(대장) 국방위 부위원장이 20년간 당 작전부를 이끌었다.

현재	현재/MAG
대남	대남/NNG
공작을	공작/NNG+을/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
오극렬(대장)	오극렬/NNP+(/SS+대장/NNG+)/SS
국방위	국방위/NNG
부위원장이	부위원장/NNG+이/JKS
20년간	20/SN+년/NNB+간/XSN
당	당/NNG
작전부를	작전부/NNG+를/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.171.4.1
2국(정찰국)은 1968년 청와대 습격사건, 1996년 강릉 잠수함 침투사건 등을 일으킨 테러 전문부대이다.

2국(정찰국)은	2/SN+국/NNG+(/SS+정찰국/NNG+)/SS+은/JX
1968년	1968/SN+년/NNB
청와대	청와대/NNP
습격사건,	습격/NNG+사건/NNG+,/SP
1996년	1996/SN+년/NNB
강릉	강릉/NNP
잠수함	잠수함/NNG
침투사건	침투/NNG+사건/NNG
등을	등/NNB+을/JKO
일으킨	일으키/VV+ㄴ/ETM
테러	테러/NNG
전문부대이다.	전문/NNG+부대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.171.4.2
448부대로 불리는 잠수함(정) 침투부대를 거느리고 있다.

448부대로	448/SN+부대/NNG+로/JKB
불리는	불리/VV+는/ETM
잠수함(정)	잠수함/NNG+(/SS+정/NNG+)/SS
침투부대를	침투/NNG+부대/NNG+를/JKO
거느리고	거느리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.171.4.3
최근 황장엽 전 노동당 비서를 암살하기 위해 남파된 간첩들도 정찰국 소속이라고 한다.

최근	최근/MAG
황장엽	황장엽/NNP
전	전/MMD
노동당	노동당/NNP
비서를	비서/NNG+를/JKO
암살하기	암살/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
남파된	남파/NNG+되/XSV+ㄴ/ETM
간첩들도	간첩/NNG+들/XSN+도/JX
정찰국	정찰국/NNG
소속이라고	소속/NNG+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.171.4.4
특히 정부 소식통은 "1983년 아웅산 테러는 작전국과 정찰국의 합동 작전이었다"며 "천안함 사건도 작전국이 침투를, 정찰국이 무기를 담당한 것으로 판단된다"고 말했다.

특히	특히/MAG
정부	정부/NNG
소식통은	소식통/NNG+은/JX
"1983년	"/SS+1983/SN+년/NNB
아웅산	아웅산/NNP
테러는	테러/NNG+는/JX
작전국과	작전국/NNG+과/JC
정찰국의	정찰국/NNG+의/JKG
합동	합동/NNG
작전이었다"며	작전/NNG+이/VCP+었/EP+다/EF+"/SS+며/EC
"천안함	"/SS+천안함/NNP
사건도	사건/NNG+도/JX
작전국이	작전국/NNG+이/JKS
침투를,	침투/NNG+를/JKO+,/SP
정찰국이	정찰국/NNG+이/JKS
무기를	무기/NNG+를/JKO
담당한	담당/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
판단된다"고	판단/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.171.4.5
과거 당 35호실은 현재 3국(해외정보국)으로 개편됐는데 외국에서 대남 정보를 수집한다.

과거	과거/NNG
당	당/NNG
35호실은	35/SN+호실/NNG+은/JX
현재	현재/MAG
3국(해외정보국)으로	3/SN+국/NNG+(/SS+해외/NNG+정보국/NNG+)/SS+으로/JKB
개편됐는데	개편/NNG+되/XSV+었/EP+는데/EC
외국에서	외국/NNG+에서/JKB
대남	대남/NNG
정보를	정보/NNG+를/JKO
수집한다.	수집/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.171.4.6
당 35호실은 1978년 신상옥·최은희 납치와 1987년 KAL858기 폭파 사건 등을 일으켰다.

당	당/NNG
35호실은	35/SN+호실/NNG+은/JX
1978년	1978/SN+년/NNB
신상옥·최은희	신상옥/NNP+·/SP+최은희/NNP
납치와	납치/NNG+와/JC
1987년	1987/SN+년/NNB
KAL858기	KAL858기/NNP
폭파	폭파/NNG
사건	사건/NNG
등을	등/NNB+을/JKO
일으켰다.	일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.171.5.1
5~7국은 아직 공개된 적이 없는 부서들이다.

5~7국은	5/SN+~/SO+7/SN+국/NNG+은/JX
아직	아직/MAG
공개된	공개/NNG+되/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없는	없/VA+는/ETM
부서들이다.	부서/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000026.171.5.2
5국(○○국)은 남북 대화에 관여하며 협상 기술 등을 연구하는 것으로 알려졌다.

5국(○○국)은	5/SN+국/NNG+(/SS+○/SW+○/SW+국/NNG+)/SS+은/JX
남북	남북/NNP
대화에	대화/NNG+에/JKB
관여하며	관여/NNG+하/XSV+며/EC
협상	협상/NNG
기술	기술/NNG
등을	등/NNB+을/JKO
연구하는	연구/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.171.5.3
6국(기술국)은 사이버테러와 침투장비 개발 등을 맡는다.

6국(기술국)은	6/SN+국/NNG+(/SS+기술국/NNG+)/SS+은/JX
사이버테러와	사이버/NNG+테러/NNG+와/JC
침투장비	침투/NNG+장비/NNG
개발	개발/NNG
등을	등/NNB+을/JKO
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000026.171.5.4
북한이 작년처럼 다시 '디도스'(DDoS·분산서비스 거부) 공격을 해온다면 기술국이 관여할 가능성이 높다는 관측이다.

북한이	북한/NNP+이/JKS
작년처럼	작년/NNG+처럼/JKB
다시	다시/MAG
'디도스'(DDoS·분산서비스	'/SS+디도스/NNG+'/SS+(/SS+DDoS/SL+·/SP+분산/NNG+서비스/NNG
거부)	거부/NNG+)/SS
공격을	공격/NNG+을/JKO
해온다면	하/VV+아/EC+오/VX+ㄴ다면/EC
기술국이	기술국/NNG+이/JKS
관여할	관여/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다는	높/VA+다는/ETM
관측이다.	관측/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.171.5.5
7국(○○국)은 나머지 5개국을 지원하는 부서라고 한다.

7국(○○국)은	7/SN+국/NNG+(/SS+○/SW+○/SW+국/NNG+)/SS+은/JX
나머지	나머지/NNG
5개국을	5/SN+개국/NNB+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
부서라고	부서/NNG+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


