# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.13
metadata : {}


# id : NWRW1800000028.13.1.1
유럽, 조력발전소 건설 ‘밀물’

유럽,	유럽/NNP+,/SP
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.13.4.1
영국 정치인들은 일자리 창출 등의 효과를 들어 세계 최대의 조력 발전계획 추진을 지지하고 있다.

영국	영국/NNP
정치인들은	정치인/NNG+들/XSN+은/JX
일자리	일자리/NNG
창출	창출/NNG
등의	등/NNB+의/JKG
효과를	효과/NNG+를/JKO
들어	들/VV+어/EC
세계	세계/NNG
최대의	최대/NNG+의/JKG
조력	조력/NNG
발전계획	발전/NNG+계획/NNG
추진을	추진/NNG+을/JKO
지지하고	지지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.13.4.2
2020년까지 재생에너지 비율을 20%까지 끌어올린다는 영국 정부의 목표도 배경이다.

2020년까지	2020/SN+년/NNB+까지/JX
재생에너지	재생/NNG+에너지/NNG
비율을	비율/NNG+을/JKO
20%까지	20/SN+%/SW+까지/JX
끌어올린다는	끌어올리/VV+ㄴ다는/ETM
영국	영국/NNP
정부의	정부/NNG+의/JKG
목표도	목표/NNG+도/JX
배경이다.	배경/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.13.5.1
하지만 환경단체들은 강력하게 반발하고 있다.

하지만	하지만/MAJ
환경단체들은	환경/NNG+단체/NNG+들/XSN+은/JX
강력하게	강력/NNG+하/XSA+게/EC
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.13.5.2
세번강 하류는 매년 8만5000마리의 겨울 철새들이 찾아와 특별자연보호지역으로 지정돼 있다.

세번강	세번강/NNP
하류는	하류/NNG+는/JX
매년	매년/MAG
8만5000마리의	8/SN+만/NR+5000/SN+마리/NNB+의/JKG
겨울	겨울/NNG
철새들이	철새/NNG+들/XSN+이/JKS
찾아와	찾아오/VV+아/EC
특별자연보호지역으로	특별/NNG+자연/NNG+보호/NNG+지역/NNG+으로/JKB
지정돼	지정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.13.5.3
환경단체들은 댐 건설이 세번강 하류의 생태환경을 위협하고, 해안 토사 유출 등의 위험도 있다고 주장한다.

환경단체들은	환경/NNG+단체/NNG+들/XSN+은/JX
댐	댐/NNG
건설이	건설/NNG+이/JKS
세번강	세번강/NNP
하류의	하류/NNG+의/JKG
생태환경을	생태/NNG+환경/NNG+을/JKO
위협하고,	위협/NNG+하/XSV+고/EC+,/SP
해안	해안/NNG
토사	토사/NNG
유출	유출/NNG
등의	등/NNB+의/JKG
위험도	위험/NNG+도/JX
있다고	있/VA+다고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.13.6.1
이에 대해 드레스덴공대의 카이우베 그라우 교수는 “최근 발전된 조력발전 기술은 어류 등의 이동에 지장을 주지 않는 기술이라는 점에서 생태계에 대한 영향을 줄일 수 있다”고 말한다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
드레스덴공대의	드레스덴공대/NNP+의/JKG
카이우베	카이우베/NNP
그라우	그라우/NNP
교수는	교수/NNG+는/JX
“최근	“/SS+최근/NNG
발전된	발전/NNG+되/XSV+ㄴ/ETM
조력발전	조력/NNG+발전/NNG
기술은	기술/NNG+은/JX
어류	어류/NNG
등의	등/NNB+의/JKG
이동에	이동/NNG+에/JKB
지장을	지장/NNG+을/JKO
주지	주/VV+지/EC
않는	않/VX+는/ETM
기술이라는	기술/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
생태계에	생태/NNG+계/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
영향을	영향/NNG+을/JKO
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.13.6.2
2008년 여름 가동을 시작한 북아일랜드 스트랭퍼드의 조력발전소는 댐을 만드는 대신 40.7m 높이의 빔을 물속에 박아 터빈을 설치하는 기술로 환경에 대한 영향을 거의 주지 않고 있다는 것이다.

2008년	2008/SN+년/NNB
여름	여름/NNG
가동을	가동/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
북아일랜드	북아일랜드/NNP
스트랭퍼드의	스트랭퍼드/NNP+의/JKG
조력발전소는	조력/NNG+발전소/NNG+는/JX
댐을	댐/NNG+을/JKO
만드는	만들/VV+는/ETM
대신	대신/NNG
40.7m	40/SN+./SP+7/SN+m/SW
높이의	높이/NNG+의/JKG
빔을	빔/NNG+을/JKO
물속에	물속/NNG+에/JKB
박아	박/VV+아/EC
터빈을	터빈/NNG+을/JKO
설치하는	설치/NNG+하/XSV+는/ETM
기술로	기술/NNG+로/JKB
환경에	환경/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
영향을	영향/NNG+을/JKO
거의	거의/MAG
주지	주/VV+지/EC
않고	않/VX+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.13.7.1
그동안 상업용 조력발전소는 1966년에 완공돼 생태계 파괴 논란을 빚은 프랑스 랑스발전소(240㎿)가 거의 유일했지만, 최근 러시아와 독일, 캐나다 등도 조력발전소 건설에 관심을 기울이며 친환경 신기술 개발에 매진하고 있다.

그동안	그동안/NNG
상업용	상업/NNG+용/XSN
조력발전소는	조력/NNG+발전소/NNG+는/JX
1966년에	1966/SN+년/NNB+에/JKB
완공돼	완공/NNG+되/XSV+어/EC
생태계	생태/NNG+계/XSN
파괴	파괴/NNG
논란을	논란/NNG+을/JKO
빚은	빚/VV+은/ETM
프랑스	프랑스/NNP
랑스발전소(240㎿)가	랑스/NNP+발전소/NNG+(/SS+240/SN+㎿/SW+)/SS+가/JKS
거의	거의/MAG
유일했지만,	유일/NNG+하/XSA+았/EP+지만/EC+,/SP
최근	최근/MAG
러시아와	러시아/NNP+와/JC
독일,	독일/NNP+,/SP
캐나다	캐나다/NNP
등도	등/NNB+도/JX
조력발전소	조력/NNG+발전소/NNG
건설에	건설/NNG+에/JKB
관심을	관심/NNG+을/JKO
기울이며	기울이/VV+며/EC
친환경	친/XPN+환경/NNG
신기술	신/XPN+기술/NNG
개발에	개발/NNG+에/JKB
매진하고	매진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.13.7.2
중국도 압록강 어귀에 조력발전소 건설을 검토중인 것으로 알려져 있다.

중국도	중국/NNP+도/JX
압록강	압록강/NNP
어귀에	어귀/NNG+에/JKB
조력발전소	조력/NNG+발전소/NNG
건설을	건설/NNG+을/JKO
검토중인	검토/NNG+중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


