# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.24
metadata : {}


# id : NWRW1800000021.24.1.1
[연극 리뷰]극단 신기루만화경의 ‘설공찬전’

[연극	[/SS+연극/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.24.3.1
극단 ‘신기루만화경’의 연극 ‘설공찬전’(이해제 작, 연출)은 이 고전소설에서 저승세계에 대한 소개는 빼고 권력의 생리를 비판한 내용을 전면에 부각했다.

극단	극단/NNG
‘신기루만화경’의	‘/SS+신기루만화경/NNP+’/SS+의/JKG
연극	연극/NNG
‘설공찬전’(이해제	‘/SS+설공찬전/NNP+’/SS+(/SS+이해제/NNP
작,	작/NNG+,/SP
연출)은	연출/NNG+)/SS+은/JX
이	이/MMD
고전소설에서	고전/NNG+소설/NNG+에서/JKB
저승세계에	저승/NNG+세계/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
소개는	소개/NNG+는/JX
빼고	빼/VV+고/EC
권력의	권력/NNG+의/JKG
생리를	생리/NNG+를/JKO
비판한	비판/NNG+하/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
전면에	전면/NNG+에/JKB
부각했다.	부각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.24.3.2
요절한 수재 설공찬(황도연)은 죽은 지 3년 뒤 아버지 설충란(임진순)에게 못다 한 효도를 하려고 망나니 사촌동생 설공침(정재성)의 몸에 강림한다.

요절한	요절/NNG+하/XSV+ㄴ/ETM
수재	수재/NNG
설공찬(황도연)은	설공찬/NNP+(/SS+황도연/NNP+)/SS+은/JX
죽은	죽/VV+은/ETM
지	지/NNB
3년	3/SN+년/NNB
뒤	뒤/NNG
아버지	아버지/NNG
설충란(임진순)에게	설충란/NNP+(/SS+임진순/NNP+)/SS+에게/JKB
못다	못다/MAG
한	하/VV+ㄴ/ETM
효도를	효도/NNG+를/JKO
하려고	하/VV+려고/EC
망나니	망나니/NNG
사촌동생	사촌/NNG+동생/NNG
설공침(정재성)의	설공침/NNP+(/SS+정재성/NNP+)/SS+의/JKG
몸에	몸/NNG+에/JKB
강림한다.	강림/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.24.4.1
여기서 작품은 공침의 몸을 빌려 뮤지컬 ‘지킬 앤드 하이드’식의 선악 대결을 한국적 해학으로 녹여낸다.

여기서	여기/NP+서/JKB
작품은	작품/NNG+은/JX
공침의	공침/NNP+의/JKG
몸을	몸/NNG+을/JKO
빌려	빌리/VV+어/EC
뮤지컬	뮤지컬/NNG
‘지킬	‘/SS+지킬/NNP
앤드	앤드/NA
하이드’식의	하이드/NNP+’/SS+식/NNB+의/JKG
선악	선악/NNG
대결을	대결/NNG+을/JKO
한국적	한국/NNP+적/XSN
해학으로	해학/NNG+으로/JKB
녹여낸다.	녹여내/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.24.4.2
정재성씨는 점잖은 공찬과 패악스러운 공침이 한 몸을 두고 벌이는 입씨름과 몸씨름을 능청스럽게 풀어낸다.

정재성씨는	정재성/NNP+씨/NNB+는/JX
점잖은	점잖/VA+은/ETM
공찬과	공찬/NNP+과/JKB
패악스러운	패악/NNG+스럽/XSA+ㄴ/ETM
공침이	공침/NNP+이/JKS
한	한/MMN
몸을	몸/NNG+을/JKO
두고	두/VV+고/EC
벌이는	벌이/VV+는/ETM
입씨름과	입씨름/NNG+과/JC
몸씨름을	몸/NNG+씨름/NNG+을/JKO
능청스럽게	능청/NNG+스럽/XSA+게/EC
풀어낸다.	풀어내/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.24.5.1
당대 실세인 정익로(이장원) 대감을 구워삶아 아들에게 관직의 길을 열어주려는 공침의 아비 설충수(최재섭)는 죽은 공찬이 아들의 몸에 들어왔다는 사실을 알고도 이를 묵인한다.

당대	당대/NNG
실세인	실세/NNG+이/VCP+ㄴ/ETM
정익로(이장원)	정익로/NNP+(/SS+이장원/NNP+)/SS
대감을	대감/NNG+을/JKO
구워삶아	구워삶/VV+아/EC
아들에게	아들/NNG+에게/JKB
관직의	관직/NNG+의/JKG
길을	길/NNG+을/JKO
열어주려는	열/VV+어/EC+주/VX+려는/ETM
공침의	공침/NNP+의/JKG
아비	아비/NNG
설충수(최재섭)는	설충수/NNP+(/SS+최재섭/NNP+)/SS+는/JX
죽은	죽/VV+은/ETM
공찬이	공찬/NNP+이/JKS
아들의	아들/NNG+의/JKG
몸에	몸/NNG+에/JKB
들어왔다는	들어오/VV+았/EP+다는/ETM
사실을	사실/NNG+을/JKO
알고도	알/VV+고/EC+도/JX
이를	이/NP+를/JKO
묵인한다.	묵인/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.24.5.2
공침의 몸을 빌린 공찬이 정 대감 앞에서 감춰뒀던 자신의 경륜을 펼치려는 순간, 정 대감은 다음과 같은 질문으로 그의 입을 막는다.

공침의	공침/NNP+의/JKG
몸을	몸/NNG+을/JKO
빌린	빌리/VV+ㄴ/ETM
공찬이	공찬/NNP+이/JKS
정	정/NNP
대감	대감/NNG
앞에서	앞/NNG+에서/JKB
감춰뒀던	감추/VV+어/EC+두/VX+었/EP+던/ETM
자신의	자신/NNG+의/JKG
경륜을	경륜/NNG+을/JKO
펼치려는	펼치/VV+려는/ETM
순간,	순간/NNG+,/SP
대감은	대감/NNG+은/JX
다음과	다음/NNG+과/JKB
같은	같/VA+은/ETM
질문으로	질문/NNG+으로/JKB
그의	그/NP+의/JKG
입을	입/NNG+을/JKO
막는다.	막/VV+는다/EF+./SF


# id : NWRW1800000021.24.6.1
“세상엔 많은 문답이 있다.

“세상엔	“/SS+세상/NNG+에/JKB+ㄴ/JX
많은	많/VA+은/ETM
문답이	문답/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.24.6.2
…그 물음이 어디에서 흐르느냐에 따라 그 대답의 방법이 엄연히 달라지는 것.

…그	…/SE+그/MMD
물음이	물음/NNG+이/JKS
어디에서	어디/NP+에서/JKB
흐르느냐에	흐르/VV+느냐/EF+에/JKB
따라	따르/VV+아/EC
그	그/MMD
대답의	대답/NNG+의/JKG
방법이	방법/NNG+이/JKS
엄연히	엄연히/MAG
달라지는	달라지/VV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000021.24.6.3
그것이 세상 살아가는 법이다.

그것이	그것/NP+이/JKS
세상	세상/NNG
살아가는	살아가/VV+는/ETM
법이다.	법/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.24.6.4
자, 중천에 해가 떠 있다.

자,	자/IC+,/SP
중천에	중천/NNG+에/JKB
해가	해/NNG+가/JKS
떠	뜨/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.24.6.5
내 눈엔 저 해가 네 개의 모가 있는 바둑판으로 보이는데 자네의 눈엔 어떻게 보이는가.”

내	나/NP+의/JKG
눈엔	눈/NNG+에/JKB+ㄴ/JX
저	저/MMD
해가	해/NNG+가/JKS
네	네/MMN
개의	개/NNB+의/JKG
모가	모/NNG+가/JKS
있는	있/VA+는/ETM
바둑판으로	바둑판/NNG+으로/JKB
보이는데	보이/VV+는데/EC
자네의	자네/NP+의/JKG
어떻게	어떻/VA+게/EC
보이는가.”	보이/VV+는가/EF+./SF+”/SS


# id : NWRW1800000021.24.7.1
한때 세상을 내려다보긴 같지만 스스로 몸을 드러내는 해와 몸을 감추는 달은 서로 다른 족속이라고 일갈했던 공찬은 이 문답을 통해 권력의 본질을 깨닫고 이 몸 저 몸으로 옮겨 다니며 한바탕 놀이를 펼친다.

한때	한때/NNG
세상을	세상/NNG+을/JKO
내려다보긴	내려다보/VV+기/ETN+ㄴ/JX
같지만	같/VA+지만/EC
스스로	스스로/MAG
몸을	몸/NNG+을/JKO
드러내는	드러내/VV+는/ETM
해와	해/NNG+와/JC
감추는	감추/VV+는/ETM
달은	달/NNG+은/JX
서로	서로/MAG
다른	다르/VA+ㄴ/ETM
족속이라고	족속/NNG+이/VCP+라고/EC
일갈했던	일갈/NNG+하/XSV+았/EP+던/ETM
공찬은	공찬/NNP+은/JX
이	이/MMD
문답을	문답/NNG+을/JKO
통해	통하/VV+아/EC
권력의	권력/NNG+의/JKG
본질을	본질/NNG+을/JKO
깨닫고	깨닫/VV+고/EC
몸	몸/NNG
저	저/MMD
몸으로	몸/NNG+으로/JKB
옮겨	옮기/VV+어/EC
다니며	다니/VV+며/EC
한바탕	한/XPN+바탕/NNG
놀이를	놀이/NNG+를/JKO
펼친다.	펼치/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.24.8.1
작품은 정권교체기 ‘영혼 없는 공무원들’의 행태를 수없이 목도하는 요즘의 현실에 따끔한 일침을 놓는다.

작품은	작품/NNG+은/JX
정권교체기	정권/NNG+교체기/NNG
‘영혼	‘/SS+영혼/NNG
없는	없/VA+는/ETM
공무원들’의	공무원/NNG+들/XSN+’/SS+의/JKG
행태를	행태/NNG+를/JKO
수없이	수없이/MAG
목도하는	목도/NNG+하/XSV+는/ETM
요즘의	요즘/NNG+의/JKG
현실에	현실/NNG+에/JKB
따끔한	따끔/MAG+하/XSA+ㄴ/ETM
일침을	일침/NNG+을/JKO
놓는다.	놓/VV+는다/EF+./SF


# id : NWRW1800000021.24.8.2
중국어 발음으로 한자성어를 남발하는 정 대감은 어색한 영어 발음으로 세간의 비웃음을 사던 지식인들을 연상시킨다.

중국어	중국어/NNP
발음으로	발음/NNG+으로/JKB
한자성어를	한자/NNG+성어/NNG+를/JKO
남발하는	남발/NNG+하/XSV+는/ETM
정	정/NNP
대감은	대감/NNG+은/JX
어색한	어색하/VA+ㄴ/ETM
영어	영어/NNP
세간의	세간/NNG+의/JKG
비웃음을	비웃음/NNG+을/JKO
사던	사/VV+던/ETM
지식인들을	지식인/NNG+들/XSN+을/JKO
연상시킨다.	연상/NNG+시키/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.24.8.3
요즘 세태에 대해 직접적이면서도 매서운 비판의 수위를 높인다면 더욱 호응이 뜨거울 작품이다.

요즘	요즘/NNG
세태에	세태/NNG+에/JKB
대해	대하/VV+아/EC
직접적이면서도	직접/NNG+적/XSN+이/VCP+면서/EC+도/JX
매서운	매섭/VA+ㄴ/ETM
비판의	비판/NNG+의/JKG
수위를	수위/NNG+를/JKO
높인다면	높이/VV+ㄴ다면/EC
더욱	더욱/MAG
호응이	호응/NNG+이/JKS
뜨거울	뜨겁/VA+ㄹ/ETM
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.24.8.4
서울 대학로 정보소극장에서 2월 8일까지.

서울	서울/NNP
대학로	대학로/NNP
정보소극장에서	정보소극장/NNP+에서/JKB
2월	2/SN+월/NNB
8일까지.	8/SN+일/NNB+까지/JX+./SF


# id : NWRW1800000021.24.8.5
2만 원.

2만	2/SN+만/NR
원.	원/NNB+./SF


# id : NWRW1800000021.24.8.6
02-764-7462

02-764-7462	02/SN+-/SO+764/SN+-/SO+7462/SN


