# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.43
metadata : {}


# id : NWRW1800000041.43.1.1
한국인 영양균형 깨졌다

한국인	한국인/NNG
영양학적으로 칼슘과 인의 이상적인 섭취량은 1 대 1이다.

영양학적으로	영양학/NNG+적/XSN+으로/JKB
칼슘과	칼슘/NNG+과/JC
인의	인/NNG+의/JKG
이상적인	이상/NNG+적/XSN+이/VCP+ㄴ/ETM
섭취량은	섭취량/NNG+은/JX
1	1/SN
대	대/NNB
1이다.	1/SN+이/VCP+다/EF+./SF


# id : NWRW1800000041.43.5.2
국내 칼슘과 인의 하루 권장섭취량은 각각 700mg이다.

국내	국내/NNG
칼슘과	칼슘/NNG+과/JC
인의	인/NNG+의/JKG
하루	하루/NNG
권장섭취량은	권장/NNG+섭취량/NNG+은/JX
각각	각각/MAG
700mg이다.	700/SN+mg/SW+이/VCP+다/EF+./SF


# id : NWRW1800000041.43.5.3
미국은 1000 대 1000, 일본은 800 대 1000이며 독일과 스위스의 경우 1000 대 700으로 칼슘과 인의 권장섭취량의 비가 대부분 1 대 1에 가깝다.

미국은	미국/NNP+은/JX
1000	1000/SN
대	대/NNB
1000,	1000/SN+,/SP
일본은	일본/NNP+은/JX
800	800/SN
1000이며	1000/SN+이/VCP+며/EC
독일과	독일/NNP+과/JC
스위스의	스위스/NNP+의/JKG
경우	경우/NNG
700으로	700/SN+으로/JKB
칼슘과	칼슘/NNG+과/JC
인의	인/NNG+의/JKG
권장섭취량의	권장/NNG+섭취량/NNG+의/JKG
비가	비/NNG+가/JKS
대부분	대/XPN+부분/NNG
1	1/SN
1에	1/SN+에/JKB
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000041.43.6.1
하지만 한국인의 칼슘과 인의 평균섭취량은 권장섭취량과 크게 다른 것으로 확인됐다.

하지만	하지만/MAJ
한국인의	한국인/NNG+의/JKG
칼슘과	칼슘/NNG+과/JC
인의	인/NNG+의/JKG
평균섭취량은	평균/NNG+섭취량/NNG+은/JX
권장섭취량과	권장/NNG+섭취량/NNG+과/JKB
크게	크/VA+게/EC
다른	다르/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.43.6.2
2012 국민건강통계에 따르면 칼슘 섭취량은 501.5mg으로 권장량의 70%에 불과하지만 인은 1159.4mg을 먹어 권장량의 162.5%로 나타났다.

2012	2012/SN
국민건강통계에	국민/NNG+건강/NNG+통계/NNG+에/JKB
따르면	따르/VV+면/EC
칼슘	칼슘/NNG
섭취량은	섭취량/NNG+은/JX
501.5mg으로	501/SN+./SP+5/SN+mg/SW+으로/JKB
권장량의	권장량/NNG+의/JKG
70%에	70/SN+%/SW+에/JKB
불과하지만	불과/MAG+하/XSA+지만/EC
인은	인/NNG+은/JX
1159.4mg을	1159/SN+./SP+4/SN+mg/SW+을/JKO
먹어	먹/VV+어/EC
162.5%로	162/SN+./SP+5/SN+%/SW+로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.43.6.3
인을 칼슘보다 2.3배나 많이 먹는다는 것이다.

인을	인/NNG+을/JKO
칼슘보다	칼슘/NNG+보다/JKB
2.3배나	2/SN+./SP+3/SN+배/NNG+나/JX
많이	많이/MAG
먹는다는	먹/VV+는다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.43.6.4
특히 19∼29세 성인의 경우 칼슘은 68.4%로 적게 먹으면서 인은 173%나 많이 먹었다.

특히	특히/MAG
19∼29세	19/SN+∼/SO+29/SN+세/NNB
성인의	성인/NNG+의/JKG
경우	경우/NNG
칼슘은	칼슘/NNG+은/JX
68.4%로	68/SN+./SP+4/SN+%/SW+로/JKB
적게	적/VA+게/EC
먹으면서	먹/VV+으면서/EC
인은	인/NNG+은/JX
173%나	173/SN+%/SW+나/JX
많이	많이/MAG
먹었다.	먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.43.7.1
이명숙 성신여대 식품영양학과 교수는 “칼슘과 인의 불균형은 한국인의 식습관과 관련이 깊다”며 “인은 쌀이나 고기 같은 주식만 먹어도 충분히 권장량을 섭취할 수 있지만 칼슘은 우유, 멸치 등 을 일부러 먹어야 하고 짜게 먹는 습관이 칼슘을 배설시키기 때문”이라고 설명했다.

이명숙	이명숙/NNP
성신여대	성신여대/NNP
식품영양학과	식품/NNG+영양학/NNG+과/NNG
교수는	교수/NNG+는/JX
“칼슘과	“/SS+칼슘/NNG+과/JC
인의	인/NNG+의/JKG
불균형은	불/XPN+균형/NNG+은/JX
한국인의	한국인/NNG+의/JKG
식습관과	식습관/NNG+과/JKB
관련이	관련/NNG+이/JKS
깊다”며	깊/VA+다/EF+”/SS+며/EC
“인은	“/SS+인/NNG+은/JX
쌀이나	쌀/NNG+이나/JC
고기	고기/NNG
같은	같/VA+은/ETM
주식만	주식/NNG+만/JX
먹어도	먹/VV+어도/EC
충분히	충분히/MAG
권장량을	권장량/NNG+을/JKO
섭취할	섭취/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
칼슘은	칼슘/NNG+은/JX
우유,	우유/NNG+,/SP
멸치	멸치/NNG
등	등/NNB
을	을/JKO
일부러	일부러/MAG
먹어야	먹/VV+어야/EC
하고	하/VX+고/EC
짜게	짜/VV+게/EC
먹는	먹/VV+는/ETM
습관이	습관/NNG+이/JKS
칼슘을	칼슘/NNG+을/JKO
배설시키기	배설/NNG+시키/XSV+기/ETN
때문”이라고	때문/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.43.8.1
더구나 인은 맛을 좋게 하고 제조 과정에서 구성 성분을 부드럽게 섞이게 한다는 점 때문에 커피믹스나 콜라 등 가공식품의 첨가물로도 많이 들어간다.

더구나	더구나/MAG
인은	인/NNG+은/JX
맛을	맛/NNG+을/JKO
좋게	좋/VA+게/EC
하고	하/VX+고/EC
제조	제조/NNG
과정에서	과정/NNG+에서/JKB
구성	구성/NNG
성분을	성분/NNG+을/JKO
부드럽게	부드럽/VA+게/EC
섞이게	섞이/VV+게/EC
한다는	하/VX+ㄴ다는/ETM
점	점/NNG
때문에	때문/NNB+에/JKB
커피믹스나	커피믹스/NNG+나/JC
콜라	콜라/NNG
등	등/NNB
가공식품의	가공식품/NNG+의/JKG
첨가물로도	첨가물/NNG+로/JKB+도/JX
많이	많이/MAG
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.43.9.1
구리와 아연의 관계도 비슷하다.

구리와	구리/NNG+와/JC
아연의	아연/NNG+의/JKG
관계도	관계/NNG+도/JX
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000041.43.9.2
구리와 아연의 이상적인 섭취 비는 1 대 8로, 둘은 시소처럼 작용해 하나가 많으면 다른 쪽은 줄어드는 현상이 발생한다.

구리와	구리/NNG+와/JC
아연의	아연/NNG+의/JKG
이상적인	이상/NNG+적/XSN+이/VCP+ㄴ/ETM
섭취	섭취/NNG
비는	비/NNG+는/JX
1	1/SN
대	대/NNB
8로,	8/SN+로/JKB+,/SP
둘은	둘/NR+은/JX
시소처럼	시소/NNG+처럼/JKB
작용해	작용/NNG+하/XSV+아/EC
하나가	하나/NR+가/JKS
많으면	많/VA+으면/EC
다른	다른/MMD
쪽은	쪽/NNB+은/JX
줄어드는	줄어들/VV+는/ETM
현상이	현상/NNG+이/JKS
발생한다.	발생/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.43.9.3
그런데 최근 식습관이 바뀌면서 현미나 두부에 많이 든 아연의 섭취량이 줄고 있다.

그런데	그런데/MAJ
최근	최근/MAG
식습관이	식습관/NNG+이/JKS
바뀌면서	바뀌/VV+면서/EC
현미나	현미/NNG+나/JC
두부에	두부/NNG+에/JKB
많이	많이/MAG
든	들/VV+ㄴ/ETM
아연의	아연/NNG+의/JKG
섭취량이	섭취량/NNG+이/JKS
줄고	줄/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.43.9.4
구리는 견과류나 조개류, 초콜릿 등 일상적인 음식에서 쉽게 섭취할 수 있다.

구리는	구리/NNG+는/JX
견과류나	견과/NNG+류/XSN+나/JC
조개류,	조개/NNG+류/XSN+,/SP
초콜릿	초콜릿/NNG
등	등/NNB
일상적인	일상/NNG+적/XSN+이/VCP+ㄴ/ETM
음식에서	음식/NNG+에서/JKB
쉽게	쉽/VA+게/EC
섭취할	섭취/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.43.9.5
결국 구리에 비해 아연이 부족하면 아토피 같은 알레르기 피부질환에 잘 걸리고 쉽게 피로감을 느낀다.

결국	결국/MAG
구리에	구리/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
아연이	아연/NNG+이/JKS
부족하면	부족/NNG+하/XSA+면/EC
아토피	아토피/NNG
같은	같/VA+은/ETM
알레르기	알레르기/NNG
피부질환에	피부/NNG+질환/NNG+에/JKB
잘	잘/MAG
걸리고	걸리/VV+고/EC
쉽게	쉽/VA+게/EC
피로감을	피로감/NNG+을/JKO
느낀다.	느끼/VV+ㄴ다/EF+./SF


