# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.255
metadata : {}


# id : NWRW1800000052.255.1.1
활동종료 앞둔 세월호 특조위, 조사자료 서울·안산시 이관

활동종료	활동/NNG+종료/NNG
숱한	숱하/VA+ㄴ/ETM
어려움을	어려움/NNG+을/JKO
겪었으나	겪/VV+었/EP+으나/EC
참사	참사/NNG
관련	관련/NNG
자료를	자료/NNG+를/JKO
법과	법/NNG+과/JC
원칙에	원칙/NNG+에/JKB
따라	따르/VV+아/EC
국민들이	국민/NNG+들/XSN+이/JKS
접근할	접근/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
돼	되/VV+어/EC
다행으로	다행/NNG+으로/JKB
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.255.9.1
그러나 특별법에는 자료 이관 절차와 방법 등에 대한 구체적인 내용이 들어 있지 않아 특조위의 결정에 대해 정부가 제동을 걸고 나올 가능성도 배제할 수 없다.

그러나	그러나/MAJ
특별법에는	특별법/NNG+에/JKB+는/JX
자료	자료/NNG
이관	이관/NNG
절차와	절차/NNG+와/JC
방법	방법/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
내용이	내용/NNG+이/JKS
들어	들/VV+어/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
특조위의	특조위/NNG+의/JKG
결정에	결정/NNG+에/JKB
대해	대하/VV+아/EC
정부가	정부/NNG+가/JKS
제동을	제동/NNG+을/JKO
걸고	걸/VV+고/EC
나올	나오/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000052.255.9.2
실제로 이날 전원회의에서 황전원 상임위원(새누리당 추천)은 안건에 반발해 회의 초반에 퇴장했다.

실제로	실제로/MAG
이날	이날/NNG
전원회의에서	전원회의/NNG+에서/JKB
황전원	황전원/NNP
상임위원(새누리당	상임/NNG+위원/NNG+(/SS+새누리당/NNP
추천)은	추천/NNG+)/SS+은/JX
안건에	안건/NNG+에/JKB
반발해	반발/NNG+하/XSV+아/EC
회의	회의/NNG
초반에	초반/NNG+에/JKB
퇴장했다.	퇴장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.255.9.3
특별법상 추모시설은 건립 시기와 장소 등 주요 내용도 아직 정해지지 않은 상태다.

특별법상	특별법/NNG+상/XSN
추모시설은	추모/NNG+시설/NNG+은/JX
건립	건립/NNG
시기와	시기/NNG+와/JC
장소	장소/NNG
등	등/NNB
주요	주요/NNG
내용도	내용/NNG+도/JX
아직	아직/MAG
정해지지	정하/VV+아/EC+지/VX+지/EC
않은	않/VX+은/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.255.10.1
한편 특조위는 이날 전원회의에서 활동 보고서 성격의 ‘중간점검 보고서’를 특조위 활동이 종료되는 30일 일반에 공개하기로 의결했다.

한편	한편/MAG
특조위는	특조위/NNG+는/JX
이날	이날/NNG
전원회의에서	전원회의/NNG+에서/JKB
활동	활동/NNG
보고서	보고서/NNG
성격의	성격/NNG+의/JKG
‘중간점검	‘/SS+중간/NNG+점검/NNG
보고서’를	보고서/NNG+’/SS+를/JKO
특조위	특조위/NNG
활동이	활동/NNG+이/JKS
종료되는	종료/NNG+되/XSV+는/ETM
30일	30/SN+일/NNB
일반에	일반/NNG+에/JKB
공개하기로	공개/NNG+하/XSV+기/ETN+로/JKB
의결했다.	의결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.255.10.2
또, 오는 10월4일 전원회의를 다시 열어 정부 쪽이 통보한 활동 종료 이후 대응 방안을 논의하기로 했다.

또,	또/MAG+,/SP
오는	오/VV+는/ETM
10월4일	10/SN+월/NNB+4/SN+일/NNB
전원회의를	전원회의/NNG+를/JKO
다시	다시/MAG
열어	열/VV+어/EC
정부	정부/NNG
쪽이	쪽/NNB+이/JKS
통보한	통보/NNG+하/XSV+ㄴ/ETM
활동	활동/NNG
종료	종료/NNG
이후	이후/NNG
대응	대응/NNG
방안을	방안/NNG+을/JKO
논의하기로	논의/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


