# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.262
metadata : {}


# id : NWRW1800000030.262.1.1
[만물상] 무채색의 나라

[만물상]	[/SS+만물상/NNG+]/SS
방향이	방향/NNG+이/JKS
달라져	달라지/VV+어/EC
색이	색/NNG+이/JKS
변하는	변하/VV+는/ETM
신소재다.	신/XPN+소재/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.262.4.4
이를 페인트에 응용하는 기술만 갖추면 자동차 칠로 쓸 수 있다고 한다.

이를	이/NP+를/JKO
페인트에	페인트/NNG+에/JKB
응용하는	응용/NNG+하/XSV+는/ETM
기술만	기술/NNG+만/JX
갖추면	갖추/VV+면/EC
자동차	자동차/NNG
칠로	칠/NNG+로/JKB
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.262.4.5
일본 닛산은 2007년 버튼을 누르면 색깔이 변하는 '카멜레온 카'를 개발 중이라고 밝혔다.

일본	일본/NNP
닛산은	닛산/NNP+은/JX
2007년	2007/SN+년/NNB
버튼을	버튼/NNG+을/JKO
누르면	누르/VV+면/EC
색깔이	색깔/NNG+이/JKS
변하는	변하/VV+는/ETM
'카멜레온	'/SS+카멜레온/NNG
카'를	카/NNG+'/SS+를/JKO
개발	개발/NNG
중이라고	중/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.262.5.1
▶엊그제 월스트리트저널이 "한국은 무채색 자동차의 나라다. 자동차 10대 중 9대는 은색이나 검정, 흰색"이라고 보도했다.

▶엊그제	▶/SW+엊그제/MAG
월스트리트저널이	월스트리트저널/NNP+이/JKS
"한국은	"/SS+한국/NNP+은/JX
무채색	무채색/NNG
자동차의	자동차/NNG+의/JKG
나라다.	나라/NNG+이/VCP+다/EF+./SF
자동차	자동차/NNG
10대	10/SN+대/NNB
중	중/NNB
9대는	9/SN+대/NNB+는/JX
은색이나	은색/NNG+이나/JC
검정,	검정/NNG+,/SP
흰색"이라고	흰색/NNG+"/SS+이라고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.262.5.2
중국과 일본에서도 무채색 자동차가 80%나 되지만 '튀는 것을 거부하는' 한국인의 무채색 선호도가 가장 높다는 얘기다.

중국과	중국/NNP+과/JC
일본에서도	일본/NNP+에서/JKB+도/JX
무채색	무채색/NNG
자동차가	자동차/NNG+가/JKS
80%나	80/SN+%/SW+나/JX
되지만	되/VV+지만/EC
'튀는	'/SS+튀/VV+는/ETM
것을	것/NNB+을/JKO
거부하는'	거부/NNG+하/XSV+는/ETM+'/SS
한국인의	한국인/NNG+의/JKG
선호도가	선호도/NNG+가/JKS
가장	가장/MAG
높다는	높/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.262.5.3
중고 자동차 시장에서도 흰색은 차량 관리를 잘했다는 인상을 줘서 가장 높은 값을 받는다.

중고	중고/NNG
자동차	자동차/NNG
시장에서도	시장/NNG+에서/JKB+도/JX
흰색은	흰색/NNG+은/JX
차량	차량/NNG
관리를	관리/NNG+를/JKO
잘했다는	잘/MAG+하/XSV+았/EP+다는/ETM
인상을	인상/NNG+을/JKO
줘서	주/VV+어서/EC
가장	가장/MAG
높은	높/VA+은/ETM
값을	값/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000030.262.5.4
화려한 색상의 차량은 무채색 차보다 5% 싼값에 거래된다.

화려한	화려하/VA+ㄴ/ETM
색상의	색상/NNG+의/JKG
차량은	차량/NNG+은/JX
무채색	무채색/NNG
차보다	차/NNG+보다/JKB
5%	5/SN+%/SW
싼값에	싼값/NNG+에/JKB
거래된다.	거래/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.262.6.1
▶한국화(畵)는 선과 여백을 중시하고 먹의 짙고 옅음을 활용해 울긋불긋하지 않았다.

▶한국화(畵)는	▶/SW+한국화/NNG+(/SS+畵/SH+)/SS+는/JX
선과	선/NNG+과/JC
여백을	여백/NNG+을/JKO
중시하고	중시/NNG+하/XSV+고/EC
먹의	먹/NNG+의/JKG
짙고	짙/VA+고/EC
옅음을	옅/VA+음/ETN+을/JKO
활용해	활용/NNG+하/XSV+아/EC
울긋불긋하지	울긋불긋/MAG+하/XSA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.262.6.2
어린이 한복은 색동저고리와 다홍치마이지만 어른이 되면 옥색과 회색, 흰색 옷을 입었다.

어린이	어린이/NNG
한복은	한복/NNG+은/JX
색동저고리와	색동저고리/NNG+와/JC
다홍치마이지만	다홍치마/NNG+이/VCP+지만/EC
어른이	어른/NNG+이/JKC
되면	되/VV+면/EC
옥색과	옥색/NNG+과/JC
회색,	회색/NNG+,/SP
흰색	흰색/NNG
옷을	옷/NNG+을/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.262.6.3
무채색 문화가 자연스러울 수밖에 없다.

무채색	무채색/NNG
문화가	문화/NNG+가/JKS
자연스러울	자연/NNG+스럽/XSA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.262.6.4
그렇다 보니 요즘 젊은 층은 차에 화려한 색을 입히고 싶어도 주변 시선 탓에 포기한다고 한다.

그렇다	그렇/VA+다/EC
보니	보/VX+니/EC
요즘	요즘/NNG
젊은	젊/VA+은/ETM
층은	층/NNG+은/JX
차에	차/NNG+에/JKB
화려한	화려하/VA+ㄴ/ETM
색을	색/NNG+을/JKO
입히고	입히/VV+고/EC
싶어도	싶/VX+어도/EC
주변	주변/NNG
시선	시선/NNG
탓에	탓/NNG+에/JKB
포기한다고	포기/NNG+하/XSV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.262.6.5
색감(色感) 쏠림은 우리 사회 획일주의의 한 단면이다.

색감(色感)	색감/NNG+(/SS+色感/SH+)/SS
쏠림은	쏠리/VV+ㅁ/ETN+은/JX
우리	우리/NP
사회	사회/NNG
획일주의의	획일주의/NNG+의/JKG
한	한/MMN
단면이다.	단면/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.262.6.6
바람직한 시각(視覺) 문화라고 할 순 없다.

바람직한	바람직하/VA+ㄴ/ETM
시각(視覺)	시각/NNG+(/SS+視覺/SH+)/SS
문화라고	문화/NNG+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없다.	없/VA+다/EF+./SF


