# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.363
metadata : {}


# id : NWRW1800000041.363.1.1
이정희, 두달 일찍 당대표 물러나는 까닭은…

이정희,	이정희/NNP+,/SP
강제해산	강제/NNG+해산/NNG
시도를	시도/NNG+를/JKO
반드시	반드시/MAG
이겨내자”고	이기/VV+어/EC+내/VX+자/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.363.4.2
오병윤 원내대표는 “(헌법재판소의) 해산 결정이 나오면 당을 다시 만들면 된다”고 말하기도 했다.

오병윤	오병윤/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
“(헌법재판소의)	“/SS+(/SS+헌법/NNG+재판소/NNG+의/JKG+)/SS
해산	해산/NNG
결정이	결정/NNG+이/JKS
나오면	나오/VV+면/EC
당을	당/NNG+을/JKO
다시	다시/MAG
만들면	만들/VV+면/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말하기도	말/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.363.4.3
당 대회 이후 개최된 당 사수 결의대회에서는 “진정으로 해산해야 할 정당은 새누리당” 등 강성 발언이 쏟아졌다.

당	당/NNG
대회	대회/NNG
이후	이후/NNG
개최된	개최/NNG+되/XSV+ㄴ/ETM
사수	사수/NNG
결의대회에서는	결의/NNG+대회/NNG+에서/JKB+는/JX
“진정으로	“/SS+진정/NNG+으로/JKB
해산해야	해산/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
정당은	정당/NNG+은/JX
새누리당”	새누리당/NNP+”/SS
등	등/NNB
강성	강성/NNG
발언이	발언/NNG+이/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.363.4.4
“내란음모 무죄! 이석기 의원 석방시키자!”는 구호도 터져 나왔다.

“내란음모	“/SS+내란/NNG+음모/NNG
무죄!	무죄/NNG+!/SF
이석기	이석기/NNP
의원	의원/NNG
석방시키자!”는	석방/NNG+시키/XSV+자/EF+!/SF+”/SS+는/ETM
구호도	구호/NNG+도/JX
터져	터지/VV+어/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.363.5.1
당초 이 대표의 임기는 내년 2월 동시 당직선거를 치를 때까지다.

당초	당초/NNG
이	이/NNP
대표의	대표/NNG+의/JKG
임기는	임기/NNG+는/JX
내년	내년/NNG
2월	2/SN+월/NNB
동시	동시/NNG
당직선거를	당직/NNG+선거/NNG+를/JKO
치를	치르/VV+ㄹ/ETM
때까지다.	때/NNG+까지/JX+이/VCP+다/EF+./SF


# id : NWRW1800000041.363.5.2
정치권에선 2개월 정도 임기를 줄이면서까지 급히 통진당의 지도부를 재편해야 할 속사정이 있을 것이라는 관측이 지배적이다.

정치권에선	정치/NNG+권/XSN+에서/JKB+ㄴ/JX
2개월	2/SN+개월/NNB
정도	정도/NNG
임기를	임기/NNG+를/JKO
줄이면서까지	줄이/VV+면서/EC+까지/JX
급히	급히/MAG
통진당의	통진당/NNP+의/JKG
지도부를	지도부/NNG+를/JKO
재편해야	재편/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
속사정이	속사정/NNG+이/JKS
있을	있/VA+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
지배적이다.	지배/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000041.363.6.1
다음 달 이뤄질 헌법재판소의 통진당 해산심판 결정과 내년 초 있을 대법원의 이석기 의원 내란음모 사건 확정 판결이 주요한 변수다.

다음	다음/NNG
달	달/NNG
이뤄질	이뤄지/VV+ㄹ/ETM
헌법재판소의	헌법/NNG+재판소/NNG+의/JKG
통진당	통진당/NNP
해산심판	해산/NNG+심판/NNG
결정과	결정/NNG+과/JC
내년	내년/NNG
초	초/NNB
있을	있/VA+을/ETM
대법원의	대/XPN+법원/NNG+의/JKG
이석기	이석기/NNP
의원	의원/NNG
내란음모	내란/NNG+음모/NNG
사건	사건/NNG
확정	확정/NNG
판결이	판결/NNG+이/JKS
주요한	주요/NNG+하/XSA+ㄴ/ETM
변수다.	변수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.363.6.2
홍성규 대변인은 “대법원 판결과 헌재 결정을 앞두고 당을 재정비할 필요가 있다고 판단했다”고 말했다.

홍성규	홍성규/NNP
대변인은	대변인/NNG+은/JX
“대법원	“/SS+대/XPN+법원/NNG
판결과	판결/NNG+과/JC
헌재	헌재/NNG
결정을	결정/NNG+을/JKO
앞두고	앞두/VV+고/EC
당을	당/NNG+을/JKO
재정비할	재/XPN+정비/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다고	있/VA+다고/EC
판단했다”고	판단/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.363.6.3
종북 논란의 한복판에 서 있던 이 대표가 조기 퇴진하면 당 이미지 쇄신 효과를 거둘 수 있어 헌재 결정에 영향을 미치려는 포석이라는 분석이 나온다.

종북	종북/NNG
논란의	논란/NNG+의/JKG
한복판에	한/XPN+복판/NNG+에/JKB
서	서/VV+어/EC
있던	있/VX+던/ETM
이	이/NNP
대표가	대표/NNG+가/JKS
조기	조기/NNG
퇴진하면	퇴진/NNG+하/XSV+면/EC
당	당/NNG
이미지	이미지/NNG
쇄신	쇄신/NNG
효과를	효과/NNG+를/JKO
거둘	거두/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
헌재	헌재/NNG
결정에	결정/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치려는	미치/VV+려는/ETM
포석이라는	포석/NNG+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.363.7.1
종북 논란을 의식한 듯 통진당 ‘단결과 혁신위원회’가 만든 혁신안에는 “대북 문제에 대해 국민과의 소통을 적극적으로 벌여 내지 못한 점이 있었다”는 반성이 담겼다.

종북	종북/NNG
논란을	논란/NNG+을/JKO
의식한	의식/NNG+하/XSV+ㄴ/ETM
듯	듯/NNB
통진당	통진당/NNP
‘단결과	‘/SS+단결/NNG+과/JC
혁신위원회’가	혁신/NNG+위원회/NNG+’/SS+가/JKS
만든	만들/VV+ㄴ/ETM
혁신안에는	혁신안/NNG+에/JKB+는/JX
“대북	“/SS+대북/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
국민과의	국민/NNG+과/JKB+의/JKG
소통을	소통/NNG+을/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
벌여	벌이/VV+어/EC
내지	내/VX+지/EC
못한	못하/VX+ㄴ/ETM
점이	점/NNG+이/JKS
있었다”는	있/VA+었/EP+다/EF+”/SS+는/ETM
반성이	반성/NNG+이/JKS
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.363.7.2
당 관계자는 “북한의 3대 세습이나 북핵 문제 등에 대해 현안이 있을 때마다 당의 입장을 밝히면 된다고 본다”고 말했다.

당	당/NNG
관계자는	관계자/NNG+는/JX
“북한의	“/SS+북한/NNP+의/JKG
3대	3/SN+대/NNB
세습이나	세습/NNG+이나/JC
북핵	북핵/NNG
문제	문제/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
현안이	현안/NNG+이/JKS
있을	있/VA+을/ETM
때마다	때/NNG+마다/JX
당의	당/NNG+의/JKG
입장을	입장/NNG+을/JKO
밝히면	밝히/VV+면/EC
된다고	되/VV+ㄴ다고/EC
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.363.8.1
하지만 일시적으로 ‘얼굴’만 바꾸려는 위장 전술이라는 비판도 있다.

하지만	하지만/MAJ
일시적으로	일시/NNG+적/XSN+으로/JKB
‘얼굴’만	‘/SS+얼굴/NNG+’/SS+만/JX
바꾸려는	바꾸/VV+려는/ETM
위장	위장/NNG
전술이라는	전술/NNG+이/VCP+라는/ETM
비판도	비판/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.363.8.2
일각에선 선출될 새 지도부가 투쟁 강도를 더 높일 것이라는 관측도 나온다.

일각에선	일각/NNG+에서/JKB+ㄴ/JX
선출될	선출/NNG+되/XSV+ㄹ/ETM
새	새/MMA
지도부가	지도부/NNG+가/JKS
투쟁	투쟁/NNG
강도를	강도/NNG+를/JKO
더	더/MAG
높일	높이/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측도	관측/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.363.9.1
그러나 통진당의 변화는 쉽지 않아 보인다.

그러나	그러나/MAJ
통진당의	통진당/NNP+의/JKG
변화는	변화/NNG+는/JX
쉽지	쉽/VA+지/EC
않아	않/VX+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.363.9.2
이날 행사장에는 태극기가 걸리지 않았다.

이날	이날/NNG
행사장에는	행사장/NNG+에/JKB+는/JX
태극기가	태극기/NNG+가/JKS
걸리지	걸리/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.363.9.3
애국가를 부르지 않고 ‘임을 위한 행진곡’을 부르는 ‘민중의례’가 이뤄졌다.

애국가를	애국가/NNG+를/JKO
부르지	부르/VV+지/EC
않고	않/VX+고/EC
‘임을	‘/SS+임/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
행진곡’을	행진곡/NNG+’/SS+을/JKO
부르는	부르/VV+는/ETM
‘민중의례’가	‘/SS+민중/NNG+의례/NNG+’/SS+가/JKS
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.363.9.4
사회를 맡은 신창현 인천시당위원장은 “이 곡(임을 위한 행진곡)이 민중의 애국가”라고 주장했다.

사회를	사회/NNG+를/JKO
맡은	맡/VV+은/ETM
신창현	신창현/NNP
인천시당위원장은	인천/NNP+시당/NNG+위원장/NNG+은/JX
“이	“/SS+이/MMD
곡(임을	곡/NNG+(/SS+임/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
행진곡)이	행진곡/NNG+)/SS+이/JKS
민중의	민중/NNG+의/JKG
애국가”라고	애국가/NNG+”/SS+라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.363.9.5
이석기 의원은 2012년 의원 당선 뒤 “애국가는 국가(國歌)가 아니다”라고 주장해 논란이 됐다.

이석기	이석기/NNP
의원은	의원/NNG+은/JX
2012년	2012/SN+년/NNB
의원	의원/NNG
당선	당선/NNG
뒤	뒤/NNG
“애국가는	“/SS+애국가/NNG+는/JX
국가(國歌)가	국가/NNG+(/SS+國歌/SH+)/SS+가/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
주장해	주장/NNG+하/XSV+아/EC
논란이	논란/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.363.9.6
이날 북한의 연평도 포격 도발 4주기에도 통진당은 공식 반응을 보이지 않았다.

이날	이날/NNG
북한의	북한/NNP+의/JKG
연평도	연평도/NNP
포격	포격/NNG
도발	도발/NNG
4주기에도	4/SN+주기/NNG+에/JKB+도/JX
통진당은	통진당/NNP+은/JX
공식	공식/NNG
반응을	반응/NNG+을/JKO
보이지	보이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


