# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.409
metadata : {}


# id : NWRW1800000028.409.1.1
이웃사랑 양념 듬뿍 버무려… /충남 대학가 ‘김장 온정’ 훈훈

이웃사랑	이웃/NNG+사랑/NNG
학생들은	학생/NNG+들/XSN+은/JX
이달	이달/NNG
초부터	초/NNB+부터/JX
모금운동을	모금/NNG+운동/NNG+을/JKO
벌이고	벌이/VV+고/EC
군고구마를	군고구마/NNG+를/JKO
팔아	팔/VV+아/EC
비용을	비용/NNG+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.409.5.1
충남 천안 백석대·백석문화대학도 지난 9일 학생과 교수 등 250여명이 배추 6000포기(1만kg)를 절여 김장을 담갔다.

충남	충남/NNP
천안	천안/NNP
백석대·백석문화대학도	백석대/NNP+·/SP+백석문화대학/NNP+도/JX
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
학생과	학생/NNG+과/JC
교수	교수/NNG
등	등/NNB
250여명이	250/SN+여/XSN+명/NNB+이/JKS
배추	배추/NNG
6000포기(1만kg)를	6000/SN+포기/NNG+(/SS+1/SN+만/NR+kg/SW+)/SS+를/JKO
절여	절이/VV+어/EC
김장을	김장/NNG+을/JKO
담갔다.	담그/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.409.5.2
학교 쪽은 김치를 천안지역 저소득 가정 및 불우이웃들에게 전달했다.

학교	학교/NNG
쪽은	쪽/NNB+은/JX
김치를	김치/NNG+를/JKO
천안지역	천안지역/NNP
저소득	저/XPN+소득/NNG
가정	가정/NNG
및	및/MAG
불우이웃들에게	불우/NNG+이웃/NNG+들/XSN+에게/JKB
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.409.5.3
백석대 하원 총장은 “사랑의 김장 담그기 행사가 올해로 8년째를 맞았다”며 “지역에 봉사하는 대학이 되려고 김치를 담그며 사랑 나눔을 실천하고 있다”고 말했다.

백석대	백석대/NNP
하원	하원/NNP
총장은	총장/NNG+은/JX
“사랑의	“/SS+사랑/NNG+의/JKG
김장	김장/NNG
담그기	담그/VV+기/ETN
행사가	행사/NNG+가/JKS
올해로	올해/NNG+로/JKB
8년째를	8/SN+년/NNB+째/XSN+를/JKO
맞았다”며	맞/VV+았/EP+다/EF+”/SS+며/EC
“지역에	“/SS+지역/NNG+에/JKB
봉사하는	봉사/NNG+하/XSV+는/ETM
대학이	대학/NNG+이/JKC
되려고	되/VV+려고/EC
김치를	김치/NNG+를/JKO
담그며	담그/VV+며/EC
사랑	사랑/NNG
나눔을	나누/VV+ㅁ/ETN+을/JKO
실천하고	실천/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.409.6.1
이에 앞서 지난 8일 충남 아산 순천향대는 탈북자 가족과 유학생, 교직원, 재학생 등 460여명이 참석한 가운데 사랑나눔 김장 담그기 행사를 열어 배추김치 1000포기를 학교 주변 무의탁 노인 등 어려운 가정에 전달했다.

이에	이/NP+에/JKB
앞서	앞서/MAG
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
충남	충남/NNP
아산	아산/NNP
순천향대는	순천향대/NNP+는/JX
탈북자	탈북자/NNG
가족과	가족/NNG+과/JC
유학생,	유학/NNG+생/XSN+,/SP
교직원,	교직원/NNG+,/SP
재학생	재학/NNG+생/XSN
등	등/NNB
460여명이	460/SN+여/XSN+명/NNB+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
사랑나눔	사랑/NNG+나누/VV+ㅁ/ETN
김장	김장/NNG
담그기	담그/VV+기/ETN
행사를	행사/NNG+를/JKO
열어	열/VV+어/EC
배추김치	배추김치/NNG
1000포기를	1000/SN+포기/NNG+를/JKO
학교	학교/NNG
주변	주변/NNG
무의탁	무/XPN+의탁/NNG
노인	노인/NNG
어려운	어렵/VA+ㄴ/ETM
가정에	가정/NNG+에/JKB
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.409.6.2
단국대 천안캠퍼스 여학생회 역시 같은 날 배추 300포기로 김장김치를 담가 천안 제일요양원에 전했다.

단국대	단국대/NNP
천안캠퍼스	천안/NNP+캠퍼스/NNG
여학생회	여학생회/NNG
역시	역시/MAG
같은	같/VA+은/ETM
날	날/NNG
배추	배추/NNG
300포기로	300/SN+포기/NNG+로/JKB
김장김치를	김장/NNG+김치/NNG+를/JKO
담가	담그/VV+아/EC
천안	천안/NNP
제일요양원에	제일요양원/NNP+에/JKB
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.409.7.1
목원대 김원배 총장은 “사랑의 김치가 어려운 이들에게 겨울철 요긴한 반찬이 되길 바란다”고 말했다.

목원대	목원대/NNP
김원배	김원배/NNP
총장은	총장/NNG+은/JX
“사랑의	“/SS+사랑/NNG+의/JKG
김치가	김치/NNG+가/JKS
어려운	어렵/VA+ㄴ/ETM
이들에게	이/NNB+들/XSN+에게/JKB
겨울철	겨울철/NNG
요긴한	요긴하/VA+ㄴ/ETM
반찬이	반찬/NNG+이/JKC
되길	되/VV+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


