# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.162
metadata : {}


# id : NWRW1800000024.162.1.1
그 광고에 스타가 나온다고?

그	그/MMD
사람이	사람/NNG+이/JKS
광고합니다’라고	광고/NNG+하/XSV+ㅂ니다/EF+’/SS+라고/JKQ
외쳐대는	외치/VV+어/EC+대/VX+는/ETM
광고의	광고/NNG+의/JKG
차별성이	차별/NNG+성/XSN+이/JKS
적어지면서,	적어지/VV+면서/EC+,/SP
거꾸로	거꾸로/MAG
스타의	스타/NNG+의/JKG
출연	출연/NNG
비중은	비중/NNG+은/JX
줄이면서	줄이/VV+면서/EC
시청자들에게	시청자/NNG+들/XSN+에게/JKB
알아맞추기	알아맞추/VV+기/ETN
게임식으로	게임식/NNG+으로/JKB
접근하는	접근/NNG+하/XSV+는/ETM
광고들이	광고/NNG+들/XSN+이/JKS
늘어나고	늘어나/VV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000024.162.2.8
궁금증을 유발시켜 광고를 더욱 기억하게 만들자는 전략입니다.

궁금증을	궁금증/NNG+을/JKO
유발시켜	유발/NNG+시키/XSV+어/EC
광고를	광고/NNG+를/JKO
더욱	더욱/MAG
기억하게	기억/NNG+하/XSV+게/EC
만들자는	만들/VV+자는/ETM
전략입니다.	전략/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000024.162.3.1
이런 광고들이 새롭게 추구하는 방식이 ‘카메오’ 기법입니다.

이런	이런/MMD
광고들이	광고/NNG+들/XSN+이/JKS
새롭게	새롭/VA+게/EC
추구하는	추구/NNG+하/XSV+는/ETM
방식이	방식/NNG+이/JKS
‘카메오’	‘/SS+카메오/NNG+’/SS
기법입니다.	기법/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000024.162.3.2
카메오는 보통 영화나 드라마에 유명한 사람이 깜짝 출연해 강한 인상을 남기는 것을 말하는데, 이젠 광고에서도 쉽게 찾아보게 되었습니다.

카메오는	카메오/NNG+는/JX
보통	보통/MAG
영화나	영화/NNG+나/JC
드라마에	드라마/NNG+에/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
사람이	사람/NNG+이/JKS
깜짝	깜짝/MAG
출연해	출연/NNG+하/XSV+아/EC
강한	강하/VA+ㄴ/ETM
인상을	인상/NNG+을/JKO
남기는	남기/VV+는/ETM
것을	것/NNB+을/JKO
말하는데,	말/NNG+하/XSV+는데/EC+,/SP
이젠	이제/NNG+ㄴ/JX
광고에서도	광고/NNG+에서/JKB+도/JX
쉽게	쉽/VA+게/EC
찾아보게	찾아보/VV+게/EC
되었습니다.	되/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000024.162.3.3
김형일씨가 나온 팔도라면 비빔면 광고가 바로 이런 경우입니다.

김형일씨가	김형일/NNP+씨/NNB+가/JKS
나온	나오/VV+ㄴ/ETM
팔도라면	팔도/NNP+라면/NNG
비빔면	비빔면/NNG
광고가	광고/NNG+가/JKS
바로	바로/MAG
이런	이런/MMD
경우입니다.	경우/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000024.162.4.1
요즘 카메오 광고에선 정작 광고의 주연은 무명에 가깝고 대신 조연인 카메오 모델이 훨씬 유명합니다.

요즘	요즘/NNG
카메오	카메오/NNG
광고에선	광고/NNG+에서/JKB+ㄴ/JX
정작	정작/MAG
광고의	광고/NNG+의/JKG
주연은	주연/NNG+은/JX
무명에	무명/NNG+에/JKB
가깝고	가깝/VA+고/EC
대신	대신/NNG
조연인	조연/NNG+이/VCP+ㄴ/ETM
모델이	모델/NNG+이/JKS
훨씬	훨씬/MAG
유명합니다.	유명/NNG+하/XSA+ㅂ니다/EF+./SF


# id : NWRW1800000024.162.4.2
더 유명한 카메오 모델이 불과 1~2초만 나오거나 오히려 한눈에 알아볼 수 없게 등장합니다.

더	더/MAG
유명한	유명/NNG+하/XSA+ㄴ/ETM
카메오	카메오/NNG
모델이	모델/NNG+이/JKS
불과	불과/MAG
1~2초만	1/SN+~/SO+2/SN+초/NNB+만/JX
나오거나	나오/VV+거나/EC
오히려	오히려/MAG
한눈에	한눈/NNG+에/JKB
알아볼	알아보/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
등장합니다.	등장/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000024.162.4.3
처음부터 모델이 누구인지 드러내지 않고 시청자들이 모르고 보다가 누군지 알아차리는 재미를 느끼게 하려는 것입니다.

처음부터	처음/NNG+부터/JX
모델이	모델/NNG+이/JKS
누구인지	누구/NP+이/VCP+ㄴ지/EF
드러내지	드러내/VV+지/EC
않고	않/VX+고/EC
시청자들이	시청자/NNG+들/XSN+이/JKS
모르고	모르/VV+고/EC
보다가	보/VV+다가/EC
누군지	누구/NP+이/VCP+ㄴ지/EF
알아차리는	알아차리/VV+는/ETM
재미를	재미/NNG+를/JKO
느끼게	느끼/VV+게/EC
하려는	하/VX+려는/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000024.162.5.1
요즘 한창 방송을 타고 있는 빙그레 빙과 광고(오른쪽)는 대표 상품 4종을 한 광고에서 쪼개서 모두 소개합니다.

요즘	요즘/NNG
한창	한창/MAG
방송을	방송/NNG+을/JKO
타고	타/VV+고/EC
있는	있/VX+는/ETM
빙그레	빙그레/NNP
빙과	빙과/NNG
광고(오른쪽)는	광고/NNG+(/SS+오른쪽/NNG+)/SS+는/JX
대표	대표/NNG
상품	상품/NNG
4종을	4/SN+종/NNG+을/JKO
한	한/MMN
광고에서	광고/NNG+에서/JKB
쪼개서	쪼개/VV+어서/EC
모두	모두/MAG
소개합니다.	소개/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000024.162.5.2
모델들이 나와 여러가지 동작과 춤을 추며 빙과를 알리는데, 자세히 보면 기타를 치는 남자가 있습니다.

모델들이	모델/NNG+들/XSN+이/JKS
나와	나오/VV+아/EC
여러가지	여러/MMN+가지/NNB
동작과	동작/NNG+과/JC
춤을	춤/NNG+을/JKO
추며	추/VV+며/EC
빙과를	빙과/NNG+를/JKO
알리는데,	알리/VV+는데/EC+,/SP
자세히	자세히/MAG
보면	보/VV+면/EC
기타를	기타/NNG+를/JKO
치는	치/VV+는/ETM
남자가	남자/NNG+가/JKS
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000024.162.5.3
화면이 바뀔 때마다 춤추는 등장인물들은 계속 바뀌는데 이 트레이닝복 남자는 일부러 작게 보여주면서도 모든 장면에 등장합니다.

화면이	화면/NNG+이/JKS
바뀔	바뀌/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
춤추는	춤추/VV+는/ETM
등장인물들은	등장인물/NNG+들/XSN+은/JX
계속	계속/MAG
바뀌는데	바뀌/VV+는데/EC
이	이/MMD
트레이닝복	트레이닝복/NNG
남자는	남자/NNG+는/JX
일부러	일부러/MAG
작게	작/VA+게/EC
보여주면서도	보이/VV+어/EC+주/VX+면서/EC+도/JX
모든	모든/MMN
장면에	장면/NNG+에/JKB
등장합니다.	등장/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000024.162.5.4
인기 높은 텔레비전 프로그램 꼭지 ‘무릎팍 도사’에 나오는 가수 우승민씨입니다.

인기	인기/NNG
높은	높/VA+은/ETM
텔레비전	텔레비전/NNG
프로그램	프로그램/NNG
꼭지	꼭지/NNG
‘무릎팍	‘/SS+무릎팍/NNG
도사’에	도사/NNG+’/SS+에/JKB
나오는	나오/VV+는/ETM
가수	가수/NNG
우승민씨입니다.	우승민/NNP+씨/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000024.162.5.5
메인 모델인 우승민씨를 일부러 카메오처럼 등장시켜 주목하게 만드는 구성입니다.

메인	메인/NNG
모델인	모델/NNG+이/VCP+ㄴ/ETM
우승민씨를	우승민/NNP+씨/NNB+를/JKO
일부러	일부러/MAG
카메오처럼	카메오/NNG+처럼/JKB
등장시켜	등장/NNG+시키/XSV+어/EC
주목하게	주목/NNG+하/XSV+게/EC
만드는	만들/VV+는/ETM
구성입니다.	구성/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000024.162.6.1
이처럼 ‘무명 주연-유명 카메오’로 주인공 역을 바꾸는 것은 아니어도 깜짝 출연이란 카메오의 기본적 기법을 쓰는 광고도 여럿 선보였습니다.

이처럼	이/NP+처럼/JKB
‘무명	‘/SS+무명/NNG
주연-유명	주연/NNG+-/SO+유명/NNG
카메오’로	카메오/NNG+’/SS+로/JKB
주인공	주인공/NNG
역을	역/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
것은	것/NNB+은/JX
아니어도	아니/VCN+어도/EC
깜짝	깜짝/MAG
출연이란	출연/NNG+이/VCP+란/ETM
카메오의	카메오/NNG+의/JKG
기본적	기본/NNG+적/XSN
기법을	기법/NNG+을/JKO
쓰는	쓰/VV+는/ETM
광고도	광고/NNG+도/JX
여럿	여럿/NNG
선보였습니다.	선보이/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000024.162.6.2
김태희씨가 모델인 엘지전자 휴대폰 ‘쿠키폰’ 광고에서는 김태희씨에게 걸려온 발신자 사진에 인기 그룹 ‘빅뱅’의 대성씨가 등장해 카메오 노릇을 합니다.

김태희씨가	김태희/NNP+씨/NNB+가/JKS
모델인	모델/NNG+이/VCP+ㄴ/ETM
엘지전자	엘지전자/NNP
휴대폰	휴대폰/NNG
‘쿠키폰’	‘/SS+쿠키폰/NNP+’/SS
광고에서는	광고/NNG+에서/JKB+는/JX
김태희씨에게	김태희/NNP+씨/NNB+에게/JKB
걸려온	걸리/VV+어/EC+오/VX+ㄴ/ETM
발신자	발신자/NNG
사진에	사진/NNG+에/JKB
인기	인기/NNG
그룹	그룹/NNG
‘빅뱅’의	‘/SS+빅뱅/NNP+’/SS+의/JKG
대성씨가	대성/NNP+씨/NNB+가/JKS
등장해	등장/NNG+하/XSV+아/EC
카메오	카메오/NNG
노릇을	노릇/NNG+을/JKO
합니다.	하/VV+ㅂ니다/EF+./SF


# id : NWRW1800000024.162.6.3
하이모 가발 광고에서는 광고모델 이진우씨의 부인인 이응경씨와 이덕화씨의 딸 이지현씨가 카메오로 출연하기도 합니다.

하이모	하이모/NNP
가발	가발/NNG
광고에서는	광고/NNG+에서/JKB+는/JX
광고모델	광고/NNG+모델/NNG
이진우씨의	이진우/NNP+씨/NNB+의/JKG
부인인	부인/NNG+이/VCP+ㄴ/ETM
이응경씨와	이응경/NNP+씨/NNB+와/JC
이덕화씨의	이덕화/NNP+씨/NNB+의/JKG
딸	딸/NNG
이지현씨가	이지현/NNP+씨/NNB+가/JKS
카메오로	카메오/NNG+로/JKB
출연하기도	출연/NNG+하/XSV+기/ETN+도/JX
합니다.	하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000024.162.7.1
이런 카메오 전략 광고는 비용 대비 효과가 좋아 당분간 계속 이어질 것으로 광고업계는 전망합니다.

이런	이런/MMD
카메오	카메오/NNG
전략	전략/NNG
광고는	광고/NNG+는/JX
비용	비용/NNG
대비	대비/NNG
효과가	효과/NNG+가/JKS
좋아	좋/VA+아/EC
당분간	당분간/MAG
계속	계속/MAG
이어질	이어지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
광고업계는	광고업/NNG+계/XSN+는/JX
전망합니다.	전망/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000024.162.7.2
고액 출연료를 줘야 하는 빅모델 광고의 부담이 크기 때문입니다.

고액	고액/NNG
출연료를	출연료/NNG+를/JKO
줘야	주/VV+어야/EC
하는	하/VX+는/ETM
빅모델	빅모델/NNG
광고의	광고/NNG+의/JKG
부담이	부담/NNG+이/JKS
크기	크/VA+기/ETN
때문입니다.	때문/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000024.162.7.3
제일기획 배성우 차장은 “카메오 광고는 시청자들에게 재미를 줄 수 있고 시청자들이 숨은 카메오를 찾아냈을 때의 광고 효과가 더 오래 지속될 수 있는 것이 장점”이라고 설명합니다.

제일기획	제일기획/NNP
배성우	배성우/NNP
차장은	차장/NNG+은/JX
“카메오	“/SS+카메오/NNG
광고는	광고/NNG+는/JX
시청자들에게	시청자/NNG+들/XSN+에게/JKB
재미를	재미/NNG+를/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
시청자들이	시청자/NNG+들/XSN+이/JKS
숨은	숨/VV+은/ETM
카메오를	카메오/NNG+를/JKO
찾아냈을	찾아내/VV+었/EP+을/ETM
때의	때/NNG+의/JKG
광고	광고/NNG
효과가	효과/NNG+가/JKS
더	더/MAG
오래	오래/MAG
지속될	지속/NNG+되/XSV+ㄹ/ETM
있는	있/VA+는/ETM
것이	것/NNB+이/JKS
장점”이라고	장점/NNG+”/SS+이라고/JKQ
설명합니다.	설명/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000024.162.7.4
배 차장은 “비싼 모델비를 쓰지 않고도 광고 기억 효과를 높일 수 있어 카메오 전략은 당분간 계속될 것으로 보이며 얼마나 기발한 방법을 시도하느냐가 승부처가 될 것”이라고 전망했습니다.

배	배/NNP
차장은	차장/NNG+은/JX
“비싼	“/SS+비싸/VA+ㄴ/ETM
모델비를	모델비/NNG+를/JKO
쓰지	쓰/VV+지/EC
않고도	않/VX+고/EC+도/JX
광고	광고/NNG
기억	기억/NNG
효과를	효과/NNG+를/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
카메오	카메오/NNG
전략은	전략/NNG+은/JX
당분간	당분간/MAG
계속될	계속/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보이며	보이/VV+며/EC
얼마나	얼마나/MAG
기발한	기발하/VA+ㄴ/ETM
방법을	방법/NNG+을/JKO
시도하느냐가	시도/NNG+하/XSV+느냐/EF+가/JKS
승부처가	승부처/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했습니다.	전망/NNG+하/XSV+았/EP+습니다/EF+./SF


