# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.110
metadata : {}


# id : NWRW1800000024.110.1.1
“나도 기자들 접대…재수 없으면 걸린다” /경찰청장이 ‘성매매 발언’

“나도	“/SS+나/NP+도/JX
끝내고	끝내/VV+고/EC
미국	미국/NNP
연수를	연수/NNG+를/JKO
준비하면서,	준비/NNG+하/XSV+면서/EC+,/SP
기자들이	기자/NNG+들/XSN+이/JKS
술	술/NNG
한잔	한잔/NNG
사라고	사/VV+라고/EC
해서	하/VV+아서/EC
(술자리를	(/SS+술자리/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
뒤)	뒤/NNG+)/SS
2차를	2/SN+차/NNB+를/JKO
갔다”며	가/VV+았/EP+다/EF+”/SS+며/EC
“모텔에서	“/SS+모텔/NNG+에서/JKB
기자들에게	기자/NNG+들/XSN+에게/JKB
(방)열쇠를	(/SS+방/NNG+)/SS+열쇠/NNG+를/JKO
나눠주며	나누/VV+어/EC+주/VX+며/EC
‘내가	‘/SS+내/NP+가/JKS
이	이/MMD
나이에	나이/NNG+에/JKB
별일을	별일/NNG+을/JKO
다	다/MAG
하고	하/VV+고/EC
있다’는	있/VX+다/EF+’/SS+는/ETM
생각도	생각/NNG+도/JX
들었다”고	들/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.110.5.1
배석한 김호윤 경찰청 대변인이 “요새는 그런 문제가 없다”며 발언을 제지하자, 강 청장은 “아무튼 그런 거 좋아하는 노총각들이 있는데 그 사람들이 문제”라며 말을 닫았다.

배석한	배석/NNG+하/XSV+ㄴ/ETM
김호윤	김호윤/NNP
경찰청	경찰청/NNG
대변인이	대변인/NNG+이/JKS
“요새는	“/SS+요새/NNG+는/JX
그런	그런/MMD
문제가	문제/NNG+가/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
발언을	발언/NNG+을/JKO
제지하자,	제지/NNG+하/XSV+자/EC+,/SP
강	강/NNP
청장은	청장/NNG+은/JX
“아무튼	“/SS+아무튼/MAG
거	거/NNB
좋아하는	좋아하/VV+는/ETM
노총각들이	노/XPN+총각/NNG+들/XSN+이/JKS
있는데	있/VV+는데/EC
그	그/MMD
사람들이	사람/NNG+들/XSN+이/JKS
문제”라며	문제/NNG+”/SS+이/VCP+라며/EC
말을	말/NNG+을/JKO
닫았다.	닫/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.110.5.2
강 청장은 2001년 7월까지 경찰청 공보관을 지낸 뒤, 2003년 8월까지 워싱턴 주재관으로 근무했다.

강	강/NNP
청장은	청장/NNG+은/JX
2001년	2001/SN+년/NNB
7월까지	7/SN+월/NNB+까지/JX
경찰청	경찰청/NNG
공보관을	공보관/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
2003년	2003/SN+년/NNB
8월까지	8/SN+월/NNB+까지/JX
워싱턴	워싱턴/NNP
주재관으로	주재관/NNG+으로/JKB
근무했다.	근무/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.110.6.1
강 청장의 발언이 전해지자 민주노동당과 시민단체들은 1일 “성매매 단속 업무를 맡고 있는 치안 총수의 자질이 의심스러운 발언”이라며 “강 청장은 응분의 책임을 져야 한다”고 지적했다.

강	강/NNP
청장의	청장/NNG+의/JKG
발언이	발언/NNG+이/JKS
전해지자	전하/VV+아/EC+지/VX+자/EC
민주노동당과	민주노동당/NNP+과/JC
시민단체들은	시민/NNG+단체/NNG+들/XSN+은/JX
1일	1/SN+일/NNB
“성매매	“/SS+성매매/NNG
단속	단속/NNG
업무를	업무/NNG+를/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
치안	치안/NNG
총수의	총수/NNG+의/JKG
자질이	자질/NNG+이/JKS
의심스러운	의심/NNG+스럽/XSA+ㄴ/ETM
발언”이라며	발언/NNG+”/SS+이/VCP+라며/EC
“강	“/SS+강/NNP
청장은	청장/NNG+은/JX
응분의	응분/NNG+의/JKG
책임을	책임/NNG+을/JKO
져야	짓/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.110.7.1
민노당은 이날 논평을 내어 “성매매 단속 업무를 맡은 경찰 총수가 자신도 한때 접대를 많이 했다고 이야기하는 마당에 이 사회에서 성매매 근절과 추방이 있을 수 있겠느냐”며 “경찰이 청와대 행정관 성접대 사건과 장자연씨 사건을 제대로 수사할 수 있을지 의문”이라고 지적했다.

민노당은	민노당/NNP+은/JX
이날	이날/NNG
논평을	논평/NNG+을/JKO
내어	내/VV+어/EC
“성매매	“/SS+성매매/NNG
단속	단속/NNG
업무를	업무/NNG+를/JKO
맡은	맡/VV+은/ETM
경찰	경찰/NNG
총수가	총수/NNG+가/JKS
자신도	자신/NNG+도/JX
한때	한때/MAG
접대를	접대/NNG+를/JKO
많이	많이/MAG
했다고	하/VV+았/EP+다고/EC
이야기하는	이야기/NNG+하/XSV+는/ETM
마당에	마당/NNB+에/JKB
이	이/MMD
사회에서	사회/NNG+에서/JKB
성매매	성매매/NNG
근절과	근절/NNG+과/JC
추방이	추방/NNG+이/JKS
있을	있/VV+을/ETM
수	수/NNB
있겠느냐”며	있/VA+겠/EP+느냐/EF+”/SS+며/EC
“경찰이	“/SS+경찰/NNG+이/JKS
청와대	청와대/NNP
행정관	행정관/NNG
성접대	성/NNG+접대/NNG
사건과	사건/NNG+과/JC
장자연씨	장자연/NNP+씨/NNB
사건을	사건/NNG+을/JKO
제대로	제대로/MAG
수사할	수사/NNG+하/XSV+ㄹ/ETM
있을지	있/VA+을지/EF
의문”이라고	의문/NNG+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.110.7.2
오창익 인권실천시민연대 사무국장도 “서울 마포에서 단속에 걸린 사람들이 일반인이었다면 강 청장이 그렇게 난감해했겠는가”라며 “이번 사건은 단순한 경찰 총수의 자질 논란을 넘어, 엄정히 중립을 지켜야 할 수사기관이 청와대의 눈치를 얼마나 보는지 알려주는 상징적인 사례”라고 말했다.

오창익	오창익/NNP
인권실천시민연대	인권실천시민연대/NNP
사무국장도	사무국장/NNG+도/JX
“서울	“/SS+서울/NNP
마포에서	마포/NNP+에서/JKB
단속에	단속/NNG+에/JKB
걸린	걸리/VV+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
일반인이었다면	일반인/NNG+이/VCP+었/EP+다면/EC
강	강/NNP
청장이	청장/NNG+이/JKS
그렇게	그렇/VA+게/EC
난감해했겠는가”라며	난감하/VA+아/EC+하/VX+았/EP+겠/EP+는가/EF+”/SS+이/VCP+라며/EC
“이번	“/SS+이번/NNG
사건은	사건/NNG+은/JX
단순한	단순/NNG+하/XSA+ㄴ/ETM
경찰	경찰/NNG
총수의	총수/NNG+의/JKG
자질	자질/NNG
논란을	논란/NNG+을/JKO
넘어,	넘/VV+어/EC+,/SP
엄정히	엄정히/MAG
중립을	중립/NNG+을/JKO
지켜야	지키/VV+어야/EC
할	하/VX+ㄹ/ETM
수사기관이	수사/NNG+기관/NNG+이/JKS
청와대의	청와대/NNP+의/JKG
눈치를	눈치/NNG+를/JKO
얼마나	얼마나/MAG
보는지	보/VV+는지/EC
알려주는	알리/VV+어/EC+주/VX+는/ETM
상징적인	상징/NNG+적/XSN+이/VCP+ㄴ/ETM
사례”라고	사례/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.110.8.1
언론의 처신이 부적절했다는 지적도 나온다.

언론의	언론/NNG+의/JKG
처신이	처신/NNG+이/JKS
부적절했다는	부적절하/VA+았/EP+다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.110.8.2
김유진 민주언론시민연합 사무처장은 “과거 선배들은 사실상 성접대를 받고, 후배들은 그런 사실을 내비친 공직자의 실언을 눈감는 기자실 문화가 여전하다는 사실이 놀랍다”고 말했다.

김유진	김유진/NNP
민주언론시민연합	민주언론시민연합/NNP
사무처장은	사무처장/NNG+은/JX
“과거	“/SS+과거/NNG
선배들은	선배/NNG+들/XSN+은/JX
사실상	사실상/MAG
성접대를	성/NNG+접대/NNG+를/JKO
받고,	받/VV+고/EC+,/SP
후배들은	후배/NNG+들/XSN+은/JX
그런	그런/MMD
사실을	사실/NNG+을/JKO
내비친	내비치/VV+ㄴ/ETM
공직자의	공직자/NNG+의/JKG
실언을	실언/NNG+을/JKO
눈감는	눈감/VV+는/ETM
기자실	기자실/NNG
문화가	문화/NNG+가/JKS
여전하다는	여전하/VA+다는/ETM
사실이	사실/NNG+이/JKS
놀랍다”고	놀랍/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.110.9.1
이에 대해 강 청장은 “시대도 바뀌어서 인식의 변화가 필요하다는 점을 강조한 것이 와전됐다”며 “지금은 그런 일이 없어야 한다는 취지로 얘기한 것”이라고 밝혔다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
강	강/NNP
청장은	청장/NNG+은/JX
“시대도	“/SS+시대/NNG+도/JX
바뀌어서	바뀌/VV+어서/EC
인식의	인식/NNG+의/JKG
변화가	변화/NNG+가/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
점을	점/NNG+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
와전됐다”며	와전/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“지금은	“/SS+지금/NNG+은/JX
그런	그런/MMD
일이	일/NNG+이/JKS
없어야	없/VA+어야/EC
한다는	하/VX+ㄴ다는/ETM
취지로	취지/NNG+로/JKB
얘기한	얘기/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.110.9.2
경찰청 관계자는 “기자들과 격의 없이 어울린 자리에서 나온 말이며, 지금은 그런 부적절한 일이 일어나지 않는다”고 말했다.

경찰청	경찰청/NNG
관계자는	관계자/NNG+는/JX
“기자들과	“/SS+기자/NNG+들/XSN+과/JKB
격의	격의/NNG
없이	없이/MAG
어울린	어울리/VV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
말이며,	말/NNG+이/VCP+며/EC+,/SP
지금은	지금/NNG+은/JX
그런	그런/MMD
부적절한	부적절하/VA+ㄴ/ETM
일이	일/NNG+이/JKS
일어나지	일어나/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


