# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.89
metadata : {}


# id : NWRW1800000028.89.1.1
같은 ‘안드로이드’ 다른 이름…왜?

같은	같/VA+은/ETM
‘모토로이’란	‘/SS+모토로이/NNP+’/SS+이/VCP+란/ETM
새로운	새롭/VA+ㄴ/ETM
이름을	이름/NNG+을/JKO
달았다.	달/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.89.4.6
업계 관계자는 “세 글자만 사용해도 제품 특성을 살린 작명이 가능하지만 아무래도 선택지가 좁아질 수밖에 없고 다양한 마케팅에도 제약 조건”이라고 말했다.

업계	업계/NNG
관계자는	관계자/NNG+는/JX
“세	“/SS+세/MMN
글자만	글자/NNG+만/JX
사용해도	사용/NNG+하/XSV+아도/EC
제품	제품/NNG
특성을	특성/NNG+을/JKO
살린	살리/VV+ㄴ/ETM
작명이	작명/NNG+이/JKS
가능하지만	가능/NNG+하/XSA+지만/EC
아무래도	아무래도/MAG
선택지가	선택지/NNG+가/JKS
좁아질	좁아지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없고	없/VA+고/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
마케팅에도	마케팅/NNG+에/JKB+도/JX
제약	제약/NNG
조건”이라고	조건/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.89.5.1
안드로이드 캐릭터를 둘러싼 표절 논쟁도 일고 있다.

안드로이드	안드로이드/NNG
캐릭터를	캐릭터/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
표절	표절/NNG
논쟁도	논쟁/NNG+도/JX
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.89.5.2
에스케이텔레콤은 지난 2월 출시한 ‘모토로이’의 캐릭터 ‘안드로보이’를 따로 만들어 마케팅에 활용하고 있는데, 이달 초 케이티(KT)를 통해 나온 ‘안드로-1’의 캐릭터가 이를 쏙 빼닮았기 때문이다.

에스케이텔레콤은	에스케이텔레콤/NNP+은/JX
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
출시한	출시/NNG+하/XSV+ㄴ/ETM
‘모토로이’의	‘/SS+모토로이/NNP+’/SS+의/JKG
캐릭터	캐릭터/NNG
‘안드로보이’를	‘/SS+안드로보이/NNP+’/SS+를/JKO
따로	따로/MAG
만들어	만들/VV+어/EC
마케팅에	마케팅/NNG+에/JKB
활용하고	활용/NNG+하/XSV+고/EC
있는데,	있/VX+는데/EC+,/SP
이달	이달/NNG
초	초/NNB
케이티(KT)를	케이티/NNP+(/SS+KT/SL+)/SS+를/JKO
통해	통하/VV+아/EC
나온	나오/VV+ㄴ/ETM
‘안드로-1’의	‘/SS+안드로-1/NNP+’/SS+의/JKG
캐릭터가	캐릭터/NNG+가/JKS
이를	이/NP+를/JKO
쏙	쏙/MAG
빼닮았기	빼닮/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.89.5.3
두 캐릭터는 전체적인 모양새와 크기, 움직임이 거의 같다.

두	두/MMN
캐릭터는	캐릭터/NNG+는/JX
전체적인	전체/NNG+적/XSN+이/VCP+ㄴ/ETM
모양새와	모양새/NNG+와/JC
크기,	크기/NNG+,/SP
움직임이	움직임/NNG+이/JKS
거의	거의/MAG
같다.	같/VA+다/EF+./SF


# id : NWRW1800000028.89.5.4
두 업체는 “똑같이 구글의 원조 캐릭터인 ‘안드로이드 로봇’의 이미지를 차용했기 때문에 빚어진 현상”이라고 설명한다.

두	두/MMN
업체는	업체/NNG+는/JX
“똑같이	“/SS+똑같이/MAG
구글의	구글/NNP+의/JKG
원조	원조/NNG
캐릭터인	캐릭터/NNG+이/VCP+ㄴ/ETM
‘안드로이드	‘/SS+안드로이드/NNG
로봇’의	로봇/NNG+’/SS+의/JKG
이미지를	이미지/NNG+를/JKO
차용했기	차용/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
빚어진	빚어지/VV+ㄴ/ETM
현상”이라고	현상/NNG+”/SS+이라고/JKQ
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.89.5.5
안드로이드 로봇 캐릭터 역시 오픈 소스여서 누구나 사용할 수 있다.

안드로이드	안드로이드/NNG
로봇	로봇/NNG
캐릭터	캐릭터/NNG
역시	역시/MAG
오픈	오픈/NNG
소스여서	소스/NNG+이/VCP+어서/EC
누구나	누구/NP+나/JX
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.89.5.6
업계 관계자는 “올해 국내 스마트폰 시장에서 안드로이드폰이 주류로 부상할 것으로 전망되면서 이동통신사와 단말기 업체들의 신경전은 더 치열해질 것 같다”고 말했다.

업계	업계/NNG
관계자는	관계자/NNG+는/JX
“올해	“/SS+올해/NNG
국내	국내/NNG
스마트폰	스마트폰/NNG
시장에서	시장/NNG+에서/JKB
안드로이드폰이	안드로이드폰/NNG+이/JKS
주류로	주류/NNG+로/JKB
부상할	부상/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망되면서	전망/NNG+되/XSV+면서/EC
이동통신사와	이동/NNG+통신사/NNG+와/JKB
단말기	단말기/NNG
업체들의	업체/NNG+들/XSN+의/JKG
신경전은	신경전/NNG+은/JX
더	더/MAG
치열해질	치열/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


