# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.2
metadata : {}


# id : NWRW1800000046.2.1.1
移通 3社, 모바일 앱 마켓 통합하기로

移通	移通/SH
우선 다음 달 초에 통합개발자센터를 만들고 5월부터는 본격적으로 운영에 들어간다는 계획이다.

우선	우선/MAG
다음	다음/NNG
달	달/NNG
초에	초/NNB+에/JKB
통합개발자센터를	통합/NNG+개발자/NNG+센터/NNG+를/JKO
만들고	만들/VV+고/EC
5월부터는	5/SN+월/NNB+부터/JX+는/JX
본격적으로	본격/NNG+적/XSN+으로/JKB
운영에	운영/NNG+에/JKB
들어간다는	들어가/VV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.2.6.1
이통사 앱 장터는 구글 '플레이스토어'나 애플 '앱스토어'에 비해 앱이나 게임 수가 적고 다양성도 부족하다는 지적을 받아왔다.

이통사	이통사/NNG
앱	앱/NNG
장터는	장터/NNG+는/JX
구글	구글/NNP
'플레이스토어'나	'/SS+플레이스토어/NNP+'/SS+나/JC
애플	애플/NNP
'앱스토어'에	'/SS+앱스토어/NNG+'/SS+에/JKB
비해	비/NNG+하/XSV+아/EC
앱이나	앱/NNG+이나/JC
게임	게임/NNG
수가	수/NNG+가/JKS
적고	적/VA+고/EC
다양성도	다양/NNG+성/XSN+도/JX
부족하다는	부족/NNG+하/XSA+다는/ETM
지적을	지적/NNG+을/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.2.6.2
앱을 개발해도 통신사마다 별도로 앱을 등록해야 해 불편한 측면도 있었다.

앱을	앱/NNG+을/JKO
개발해도	개발/NNG+하/XSV+아도/EC
통신사마다	통신사/NNG+마다/JX
별도로	별도/NNG+로/JKB
등록해야	등록/NNG+하/XSV+아야/EC
해	하/VX+아/EC
불편한	불편/NNG+하/XSA+ㄴ/ETM
측면도	측면/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.2.6.3
앞으로는 개발자들이 신설되는 통합개발자센터를 통해 한 번만 앱을 등록하면 이통 3사의 앱 장터에 동시에 올라간다.

앞으로는	앞/NNG+으로/JKB+는/JX
개발자들이	개발자/NNG+들/XSN+이/JKS
신설되는	신설/NNG+되/XSV+는/ETM
통합개발자센터를	통합/NNG+개발자/NNG+센터/NNG+를/JKO
통해	통하/VV+아/EC
한	한/MMN
번만	번/NNB+만/JX
앱을	앱/NNG+을/JKO
등록하면	등록/NNG+하/XSV+면/EC
이통	이통/NNG
3사의	3사/NNG+의/JKG
앱	앱/NNG
장터에	장터/NNG+에/JKB
동시에	동시/NNG+에/JKB
올라간다.	올라가/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.2.6.4
통신사별로 일일이 따로 앱을 등록할 필요가 없어져 개발 비용과 시간이 줄어든다.

통신사별로	통신사/NNG+별/XSN+로/JKB
일일이	일일이/MAG
따로	따로/MAG
앱을	앱/NNG+을/JKO
등록할	등록/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없어져	없어지/VV+어/EC
개발	개발/NNG
비용과	비용/NNG+과/JC
시간이	시간/NNG+이/JKS
줄어든다.	줄어들/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.2.6.5
앱 장터 3곳에서 발생한 다운로드(내려받기) 건수, 거래액 등 각종 통계도 통합해서 한눈에 파악할 수 있다.

앱	앱/NNG
장터	장터/NNG
3곳에서	3/SN+곳/NNG+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
다운로드(내려받기)	다운로드/NNG+(/SS+내려받기/NNG+)/SS
건수,	건수/NNG+,/SP
거래액	거래액/NNG
등	등/NNB
각종	각종/NNG
통계도	통계/NNG+도/JX
통합해서	통합/NNG+하/XSV+아서/EC
한눈에	한눈/NNG+에/JKB
파악할	파악/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.2.7.1
가입 통신사가 바뀌어도 기존 앱을 구매한 계정과 구매 내역이 그대로 유지돼 재설치 등이 간편해진다.

가입	가입/NNG
통신사가	통신사/NNG+가/JKS
바뀌어도	바뀌/VV+어도/EC
기존	기존/NNG
앱을	앱/NNG+을/JKO
구매한	구매/NNG+하/XSV+ㄴ/ETM
계정과	계정/NNG+과/JC
구매	구매/NNG
내역이	내역/NNG+이/JKS
그대로	그대로/MAG
유지돼	유지/NNG+되/XSV+어/EC
재설치	재/XPN+설치/NNG
등이	등/NNB+이/JKS
간편해진다.	간편하/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.2.7.2
T스토어 운영사인 SK플래닛 관계자는 "이통사 간 소모적 경쟁을 지양하고 유통 경로 확대를 통해 시장을 넓히는 계기가 될 것"이라고 말했다.

T스토어	T스토어/NNP
운영사인	운영사/NNG+이/VCP+ㄴ/ETM
SK플래닛	SK플래닛/NNP
관계자는	관계자/NNG+는/JX
"이통사	"/SS+이통사/NNG
간	간/NNB
소모적	소모/NNG+적/XSN
경쟁을	경쟁/NNG+을/JKO
지양하고	지양/NNG+하/XSV+고/EC
유통	유통/NNG
경로	경로/NNG
확대를	확대/NNG+를/JKO
통해	통하/VV+아/EC
시장을	시장/NNG+을/JKO
넓히는	넓히/VV+는/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


