# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.6
metadata : {}


# id : NWRW1800000025.6.1.1
[21세기 한국 건축가 나의 건축을 말한다]김인철 교수의 중앙대 도서관 리모델링

[21세기	[/SS+21/SN+세기/NNG
건축주들은	건축주/NNG+들/XSN+은/JX
‘노출콘크리트를	‘/SS+노출/NNG+콘크리트/NNG+를/JKO
맵시	맵시/NNG
있게	있/VA+게/EC
쓰는	쓰/VV+는/ETM
건축가’로	건축가/NNG+’/SS+로/JKB
알고	알/VV+고/EC
김	김/NNP
교수를	교수/NNG+를/JKO
찾아온다.	찾아오/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.6.4.2
하지만 그가 설계한 서울 강남구 오피스빌딩 ‘어반 하이브(urban hive·도시의 벌집)’나 서대문구 김옥길 기념관에서 두드러지는 것은 깔끔하게 다듬은 노출콘크리트 외벽이 아니다.

하지만	하지만/MAJ
그가	그/NP+가/JKS
설계한	설계/NNG+하/XSV+ㄴ/ETM
서울	서울/NNP
강남구	강남구/NNP
오피스빌딩	오피스/NNG+빌딩/NNG
‘어반	‘/SS+어반/NNP
하이브(urban	하이브/NNP+(/SS+urban/SL
hive·도시의	hive/SL+·/SP+도시/NNG+의/JKG
벌집)’나	벌집/NNG+)/SS+’/SS+나/JC
서대문구	서대문구/NNP
김옥길	김옥길/NNP
기념관에서	기념관/NNG+에서/JKB
두드러지는	두드러지/VV+는/ETM
것은	것/NNB+은/JX
깔끔하게	깔끔/NNG+하/XSA+게/EC
다듬은	다듬/VV+은/ETM
노출콘크리트	노출/NNG+콘크리트/NNG
외벽이	외벽/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000025.6.4.3
방문자의 기억에는 널찍한 채광창에 품어낸 강남대로와 신촌 주택가의 표정이 남는다.

방문자의	방문자/NNG+의/JKG
기억에는	기억/NNG+에/JKB+는/JX
널찍한	널찍하/VA+ㄴ/ETM
채광창에	채광창/NNG+에/JKB
품어낸	품/VV+어/EC+내/VX+ㄴ/ETM
강남대로와	강남대로/NNP+와/JC
신촌	신촌/NNP
주택가의	주택가/NNG+의/JKG
표정이	표정/NNG+이/JKS
남는다.	남/VV+는다/EF+./SF


# id : NWRW1800000025.6.4.4
김 교수의 건물들은 종종 ‘디자인이 제각각’이라는 말을 듣지만, 주어진 배경의 백미(白眉)를 찾아내는 일관성을 갖고 있다.

김	김/NNP
교수의	교수/NNG+의/JKG
건물들은	건물/NNG+들/XSN+은/JX
종종	종종/MAG
‘디자인이	‘/SS+디자인/NNG+이/JKS
제각각’이라는	제각각/NNG+’/SS+이/VCP+라는/ETM
말을	말/NNG+을/JKO
듣지만,	듣/VV+지만/EC+,/SP
주어진	주어지/VV+ㄴ/ETM
배경의	배경/NNG+의/JKG
백미(白眉)를	백미/NNG+(/SS+白眉/SH+)/SS+를/JKO
찾아내는	찾아내/VV+는/ETM
일관성을	일관/NNG+성/XSN+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.6.5.1
“건물은 건축의 결과가 아닙니다.

“건물은	“/SS+건물/NNG+은/JX
건축의	건축/NNG+의/JKG
결과가	결과/NNG+가/JKC
아닙니다.	아니/VCN+ㅂ니다/EF+./SF


# id : NWRW1800000025.6.5.2
환경을 소화해 사람과 연결하는 도구일 뿐이에요.

환경을	환경/NNG+을/JKO
소화해	소화/NNG+하/XSV+아/EC
사람과	사람/NNG+과/JKB
연결하는	연결/NNG+하/XSV+는/ETM
도구일	도구/NNG+이/VCP+ㄹ/ETM
뿐이에요.	뿐/NNB+이/VCP+에요/EF+./SF


# id : NWRW1800000025.6.5.3
환경이란 꼭 자연만을 뜻하지 않죠.

환경이란	환경/NNG+이란/JX
꼭	꼭/MAG
자연만을	자연/NNG+만/JX+을/JKO
뜻하지	뜻/NNG+하/XSV+지/EC
않죠.	않/VX+죠/EF+./SF


# id : NWRW1800000025.6.5.4
어반 하이브에서는 주변 건물, 도로, 그곳을 지나는 행인들이 건축의 환경이 됐습니다.

어반	어반/NNP
하이브에서는	하이브/NNP+에서/JKB+는/JX
주변	주변/NNG
건물,	건물/NNG+,/SP
도로,	도로/NNG+,/SP
그곳을	그곳/NP+을/JKO
지나는	지나/VV+는/ETM
행인들이	행인/NNG+들/XSN+이/JKS
건축의	건축/NNG+의/JKG
환경이	환경/NNG+이/JKC
됐습니다.	되/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000025.6.5.5
건축의 결과는 건물로 인해 생겨나는 관계의 표정이에요.”

건축의	건축/NNG+의/JKG
결과는	결과/NNG+는/JX
건물로	건물/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
생겨나는	생겨나/VV+는/ETM
관계의	관계/NNG+의/JKG
표정이에요.”	표정/NNG+이/VCP+에요/EF+./SF+”/SS


# id : NWRW1800000025.6.6.1
지난해 9월 리모델링을 마친 중앙대 도서관은 관계맺음으로 특별한 장소를 빚어내려는 김 교수의 의지를 보여준다.

지난해	지난해/NNG
9월	9/SN+월/NNB
리모델링을	리모델링/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
중앙대	중앙대/NNP
도서관은	도서관/NNG+은/JX
관계맺음으로	관계/NNG+맺/VV+음/ETN+으로/JKB
특별한	특별/NNG+하/XSA+ㄴ/ETM
장소를	장소/NNG+를/JKO
빚어내려는	빚어내/VV+려는/ETM
김	김/NNP
교수의	교수/NNG+의/JKG
의지를	의지/NNG+를/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.6.6.2
공간을 사용할 주인인 학생들과 주고받으며 만들어낸 관계가 이 프로젝트의 요지다.

공간을	공간/NNG+을/JKO
사용할	사용/NNG+하/XSV+ㄹ/ETM
주인인	주인/NNG+이/VCP+ㄴ/ETM
학생들과	학생/NNG+들/XSN+과/JKB
주고받으며	주고받/VV+으며/EC
만들어낸	만들/VV+어/EC+내/VX+ㄴ/ETM
관계가	관계/NNG+가/JKS
이	이/MMD
프로젝트의	프로젝트/NNG+의/JKG
요지다.	요지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.6.7.1
이날 밤 도서관 2층에서 만난 설윤찬 씨(28·수학과 박사과정)는 “사방이 답답하게 막혀 있던 건물에 환하게 볕이 들어 좋다”며 “쾌적한 느낌의 창가 쪽 자리에 앉으면 공부도 잘된다”고 했다.

이날	이날/NNG
밤	밤/NNG
도서관	도서관/NNG
2층에서	2/SN+층/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
설윤찬	설윤찬/NNP
씨(28·수학과	씨/NNB+(/SS+28/SN+·/SP+수학과/NNG
박사과정)는	박사/NNG+과정/NNG+)/SS+는/JX
“사방이	“/SS+사방/NNG+이/JKS
답답하게	답답하/VA+게/EC
막혀	막히/VV+어/EC
있던	있/VX+던/ETM
건물에	건물/NNG+에/JKB
환하게	환하/VA+게/EC
볕이	볕/NNG+이/JKS
들어	들/VV+어/EC
좋다”며	좋/VA+다/EF+”/SS+며/EC
“쾌적한	“/SS+쾌적하/VA+ㄴ/ETM
느낌의	느낌/NNG+의/JKG
창가	창가/NNG
쪽	쪽/NNB
자리에	자리/NNG+에/JKB
앉으면	앉/VV+으면/EC
공부도	공부/NNG+도/JX
잘된다”고	잘/MAG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.6.8.1
설 씨가 도서관의 장점으로 꼽은 유리 커튼월은 2008년 9월 설계안을 공개했을 때는 학생들의 반대에 부닥쳤던 부분이다.

설	설/NNP
씨가	씨/NNB+가/JKS
도서관의	도서관/NNG+의/JKG
장점으로	장점/NNG+으로/JKB
꼽은	꼽/VV+은/ETM
유리	유리/NNG
커튼월은	커튼월/NNG+은/JX
2008년	2008/SN+년/NNB
9월	9/SN+월/NNB
설계안을	설계안/NNG+을/JKO
공개했을	공개/NNG+하/XSV+았/EP+을/ETM
때는	때/NNG+는/JX
학생들의	학생/NNG+들/XSN+의/JKG
반대에	반대/NNG+에/JKB
부닥쳤던	부닥치/VV+었/EP+던/ETM
부분이다.	부분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.6.8.2
겨울에 춥지 않겠느냐, 차양이 부족해서 불편하지 않겠느냐 등 갖가지 질문이 학교 홈페이지 게시판에 올라왔다.

겨울에	겨울/NNG+에/JKB
춥지	춥/VA+지/EC
않겠느냐,	않/VX+겠/EP+느냐/EF+,/SP
차양이	차양/NNG+이/JKS
부족해서	부족/NNG+하/XSA+아서/EC
불편하지	불편/NNG+하/XSA+지/EC
않겠느냐	않/VX+겠/EP+느냐/EF
등	등/NNB
갖가지	갖가지/NNG
질문이	질문/NNG+이/JKS
학교	학교/NNG
홈페이지	홈페이지/NNG
게시판에	게시판/NNG+에/JKB
올라왔다.	올라오/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.6.8.3
김 교수는 같은 방식으로 완성한 건물 사례를 들어 학생들을 설득하고 동의를 얻었다.

김	김/NNP
교수는	교수/NNG+는/JX
같은	같/VA+은/ETM
방식으로	방식/NNG+으로/JKB
완성한	완성/NNG+하/XSV+ㄴ/ETM
건물	건물/NNG
사례를	사례/NNG+를/JKO
들어	들/VV+어/EC
학생들을	학생/NNG+들/XSN+을/JKO
설득하고	설득/NNG+하/XSV+고/EC
동의를	동의/NNG+를/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.6.9.1
“기둥과 천장에 옛 건물의 자취를 남기는 점에 대해서도 반대가 많았죠.

“기둥과	“/SS+기둥/NNG+과/JC
천장에	천장/NNG+에/JKB
옛	옛/MMA
건물의	건물/NNG+의/JKG
자취를	자취/NNG+를/JKO
남기는	남기/VV+는/ETM
점에	점/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
반대가	반대/NNG+가/JKS
많았죠.	많/VA+았/EP+죠/EF+./SF


# id : NWRW1800000025.6.9.2
1959년 지은 건물입니다.

1959년	1959/SN+년/NNB
지은	짓/VV+은/ETM
건물입니다.	건물/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.6.9.3
모더니즘 가치관에 충실했죠.

모더니즘	모더니즘/NNG
가치관에	가치관/NNG+에/JKB
충실했죠.	충실/NNG+하/XSA+았/EP+죠/EF+./SF


# id : NWRW1800000025.6.9.4
지금 보면 ‘투박하고 촌스럽다’고 할 수 있지만 경박함이 없는 성실한 공간이에요.

지금	지금/MAG
보면	보/VV+면/EC
‘투박하고	‘/SS+투박하/VA+고/EC
촌스럽다’고	촌/NNG+스럽/XSA+다/EF+’/SS+고/JKQ
할	하/VV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
경박함이	경박/NNG+하/XSA+ㅁ/ETN+이/JKS
없는	없/VA+는/ETM
성실한	성실/NNG+하/XSA+ㄴ/ETM
공간이에요.	공간/NNG+이/VCP+에요/EF+./SF


# id : NWRW1800000025.6.9.5
50년간 이곳을 거쳐간 사람들이 쌓아놓은 기억을 허물지 않고 새로운 모습을 겹쳐 올리고 싶었습니다.”

50년간	50/SN+년/NNB+간/XSN
이곳을	이곳/NP+을/JKO
거쳐간	거치/VV+어/EC+가/VX+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
쌓아놓은	쌓/VV+아/EC+놓/VX+은/ETM
기억을	기억/NNG+을/JKO
허물지	허물/VV+지/EC
않고	않/VX+고/EC
새로운	새롭/VA+ㄴ/ETM
모습을	모습/NNG+을/JKO
겹쳐	겹치/VV+어/EC
올리고	올리/VV+고/EC
싶었습니다.”	싶/VX+었/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000025.6.10.1
지하 1층 지상 3층 구조 위에 시계탑을 둔 건물.

지하	지하/NNG
1층	1/SN+층/NNG
지상	지상/NNG
3층	3/SN+층/NNG
구조	구조/NNG
위에	위/NNG+에/JKB
시계탑을	시계탑/NNG+을/JKO
둔	두/VV+ㄴ/ETM
건물.	건물/NNG+./SF


# id : NWRW1800000025.6.10.2
골조와 출입구 형태는 그대로 유지한 채 벽돌로 쌓았던 외벽을 헐고 유리 커튼월로 대체했다.

골조와	골조/NNG+와/JC
출입구	출입구/NNG
형태는	형태/NNG+는/JX
그대로	그대로/MAG
유지한	유지/NNG+하/XSV+ㄴ/ETM
채	채/NNB
벽돌로	벽돌/NNG+로/JKB
쌓았던	쌓/VV+았/EP+던/ETM
외벽을	외벽/NNG+을/JKO
헐고	헐/VV+고/EC
유리	유리/NNG
커튼월로	커튼월/NNG+로/JKB
대체했다.	대체/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.6.10.3
수직으로 관통하는 2개의 중정(中庭·건물 속 정원)을 없애 평면을 넓히자는 의견도 있었지만, 층이 높아질수록 중정 넓이를 좁히는 방법으로 절충하고 대나무를 심었다.

수직으로	수직/NNG+으로/JKB
관통하는	관통/NNG+하/XSV+는/ETM
2개의	2/SN+개/NNB+의/JKG
중정(中庭·건물	중정/NNG+(/SS+中庭/SH+·/SP+건물/NNG
속	속/NNG
정원)을	정원/NNG+)/SS+을/JKO
없애	없애/VV+어/EC
평면을	평면/NNG+을/JKO
넓히자는	넓히/VV+자는/ETM
의견도	의견/NNG+도/JX
있었지만,	있/VA+었/EP+지만/EC+,/SP
층이	층/NNG+이/JKS
높아질수록	높아지/VV+ㄹ수록/EC
중정	중정/NNG
넓이를	넓이/NNG+를/JKO
좁히는	좁히/VV+는/ETM
방법으로	방법/NNG+으로/JKB
절충하고	절충/NNG+하/XSV+고/EC
대나무를	대나무/NNG+를/JKO
심었다.	심/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.6.11.1
“그 중정은 선배 건축가가 남긴 공간의 심장이죠.

“그	“/SS+그/MMD
중정은	중정/NNG+은/JX
선배	선배/NNG
건축가가	건축가/NNG+가/JKS
남긴	남기/VV+ㄴ/ETM
공간의	공간/NNG+의/JKG
심장이죠.	심장/NNG+이/VCP+죠/EF+./SF


# id : NWRW1800000025.6.11.2
평면을 늘려서 얻는 것보다 잃는 것이 크다고 판단했습니다.

평면을	평면/NNG+을/JKO
늘려서	늘리/VV+어서/EC
얻는	얻/VV+는/ETM
것보다	것/NNB+보다/JKB
잃는	잃/VV+는/ETM
것이	것/NNB+이/JKS
크다고	크/VA+다고/EC
판단했습니다.	판단/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000025.6.11.3
‘바닥에 고무 시트를 붙여 달라’는 요구가 많은 게 재미있었어요.

‘바닥에	‘/SS+바닥/NNG+에/JKB
고무	고무/NNG
시트를	시트/NNG+를/JKO
붙여	붙이/VV+어/EC
달라’는	달/VX+라/EF+’/SS+는/ETM
요구가	요구/NNG+가/JKS
많은	많/VA+은/ETM
게	거/NNB+이/JKS
재미있었어요.	재미있/VA+었/EP+어요/EF+./SF


# id : NWRW1800000025.6.11.4
하이힐 소리가 시끄럽다는 거였는데….(웃음)

하이힐	하이힐/NNG
소리가	소리/NNG+가/JKS
시끄럽다는	시끄럽/VA+다는/ETM
거였는데….(웃음)	거/NNB+이/VCP+었/EP+는데/EC+…/SE+./SF+(/SS+웃음/NNG+)/SS


# id : NWRW1800000025.6.11.5
수도원처럼 좀 더 엄숙한 분위기의 도서관을 만들어서 하이힐 신고 들어올 엄두를 아예 못 내게 해야겠다 싶었죠.”

수도원처럼	수도원/NNG+처럼/JKB
좀	좀/MAG
더	더/MAG
엄숙한	엄숙하/VA+ㄴ/ETM
분위기의	분위기/NNG+의/JKG
도서관을	도서관/NNG+을/JKO
만들어서	만들/VV+어서/EC
하이힐	하이힐/NNG
신고	신/VV+고/EC
들어올	들어오/VV+ㄹ/ETM
엄두를	엄두/NNG+를/JKO
아예	아예/MAG
못	못/MAG
내게	내/VV+게/EC
해야겠다	하/VX+아야/EC+하/VX+겠/EP+다/EF
싶었죠.”	싶/VX+었/EP+죠/EF+./SF+”/SS


# id : NWRW1800000025.6.12.1
김 교수는 대학을 졸업하고 사무실을 내기 전까지 15년 동안 엄덕문 사무소에서 일했다.

김	김/NNP
교수는	교수/NNG+는/JX
대학을	대학/NNG+을/JKO
졸업하고	졸업/NNG+하/XSV+고/EC
사무실을	사무실/NNG+을/JKO
내기	내/VV+기/ETN
전까지	전/NNG+까지/JX
15년	15/SN+년/NNB
동안	동안/NNG
엄덕문	엄덕문/NNP
사무소에서	사무소/NNG+에서/JKB
일했다.	일/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.6.12.2
엄 씨는 서울 종로구 세종문화회관, 중구 롯데호텔 등을 설계한 건축가.

엄	엄/NNP
씨는	씨/NNB+는/JX
서울	서울/NNP
종로구	종로구/NNP
세종문화회관,	세종문화회관/NNP+,/SP
중구	중구/NNP
롯데호텔	롯데호텔/NNP
등을	등/NNB+을/JKO
설계한	설계/NNG+하/XSV+ㄴ/ETM
건축가.	건축가/NNG+./SF


# id : NWRW1800000025.6.12.3
김 교수는 “설계팀장으로 1974년부터 6년간 롯데호텔에 매달린 경험이 큰 재산이 됐다”고 말했다.

김	김/NNP
교수는	교수/NNG+는/JX
“설계팀장으로	“/SS+설계/NNG+팀장/NNG+으로/JKB
1974년부터	1974/SN+년/NNB+부터/JX
6년간	6/SN+년/NNB+간/XSN
롯데호텔에	롯데호텔/NNP+에/JKB
매달린	매달리/VV+ㄴ/ETM
경험이	경험/NNG+이/JKS
큰	크/VA+ㄴ/ETM
재산이	재산/NNG+이/JKC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.6.13.1
“호텔은 하나의 도시입니다.

“호텔은	“/SS+호텔/NNG+은/JX
하나의	하나/NR+의/JKG
도시입니다.	도시/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.6.13.2
자잘한 것부터 굉장히 고급스러운 것까지 온갖 디테일을 만들어볼 수 있었죠.

자잘한	자잘하/VA+ㄴ/ETM
것부터	것/NNB+부터/JX
굉장히	굉장히/MAG
고급스러운	고급/NNG+스럽/XSA+ㄴ/ETM
것까지	것/NNB+까지/JX
온갖	온갖/MMN
디테일을	디테일/NNG+을/JKO
만들어볼	만들/VV+어/EC+보/VX+ㄹ/ETM
수	수/NNB
있었죠.	있/VA+었/EP+죠/EF+./SF


# id : NWRW1800000025.6.13.3
뭐든 많이 해보면 버려야 할 것에 대한 결단을 빨리 내릴 수 있게 되잖아요.

뭐든	뭐/NP+든/JX
많이	많이/MAG
해보면	하/VV+아/EC+보/VX+면/EC
버려야	버리/VV+어야/EC
할	하/VX+ㄹ/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
결단을	결단/NNG+을/JKO
빨리	빨리/MAG
내릴	내리/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
되잖아요.	되/VV+잖아/EF+요/JX+./SF


# id : NWRW1800000025.6.13.4
특정한 스타일을 고집하지 않고 이런 저런 시도를 하게 된 것도 그때 많은 재료와 디테일을 경험한 덕분입니다.”

특정한	특정/NNG+하/XSA+ㄴ/ETM
스타일을	스타일/NNG+을/JKO
고집하지	고집/NNG+하/XSV+지/EC
않고	않/VX+고/EC
이런	이런/MMD
저런	저런/MMD
시도를	시도/NNG+를/JKO
하게	하/VV+게/EC
된	되/VV+ㄴ/ETM
것도	것/NNB+도/JX
그때	그때/NNG
많은	많/VA+은/ETM
재료와	재료/NNG+와/JC
디테일을	디테일/NNG+을/JKO
경험한	경험/NNG+하/XSV+ㄴ/ETM
덕분입니다.”	덕분/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000025.6.14.1
하지만 김 교수는 “사무실에서 완전히 미운오리새끼였다”고 했다.

하지만	하지만/MAJ
김	김/NNP
교수는	교수/NNG+는/JX
“사무실에서	“/SS+사무실/NNG+에서/JKB
완전히	완전히/MAG
미운오리새끼였다”고	밉/VA+ㄴ/ETM+오리/NNG+새끼/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.6.14.2
시키는 대로 처음부터 순순히 따른 적이 드물었기 때문.

시키는	시키/VV+는/ETM
대로	대로/NNB
처음부터	처음/NNG+부터/JX
순순히	순순히/MAG
따른	따르/VV+ㄴ/ETM
적이	적/NNB+이/JKS
드물었기	드물/VA+었/EP+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000025.6.14.3
늘 하던 방식대로 계획안을 맞춰 올리면 쉽게 허락을 얻을 수 있었지만 그는 늘 자기 생각을 제안했다.

늘	늘/MAG
하던	하/VV+던/ETM
방식대로	방식/NNG+대로/JX
계획안을	계획안/NNG+을/JKO
맞춰	맞추/VV+어/EC
올리면	올리/VV+면/EC
쉽게	쉽/VA+게/EC
허락을	허락/NNG+을/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있었지만	있/VA+었/EP+지만/EC
그는	그/NP+는/JX
자기	자기/NP
생각을	생각/NNG+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.6.14.4
그러다가 진행하던 프로젝트를 다른 직원에게 뺏긴 적도 많았다.

그러다가	그러/VV+다가/EC
진행하던	진행/NNG+하/XSV+던/ETM
프로젝트를	프로젝트/NNG+를/JKO
다른	다른/MMD
직원에게	직원/NNG+에게/JKB
뺏긴	뺏기/VV+ㄴ/ETM
적도	적/NNB+도/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.6.15.1
“지금 제 사무실에도 꼭 얘기 끝에 언쟁을 벌이는 직원들이 있습니다.

“지금	“/SS+지금/MAG
제	저/NP+의/JKG
사무실에도	사무실/NNG+에/JKB+도/JX
꼭	꼭/MAG
얘기	얘기/NNG
끝에	끝/NNG+에/JKB
언쟁을	언쟁/NNG+을/JKO
벌이는	벌이/VV+는/ETM
직원들이	직원/NNG+들/XSN+이/JKS
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000025.6.15.2
당시 선생님 심정이 한편 이해되지만 저는 그런 친구들이 예뻐요.

당시	당시/NNG
선생님	선생/NNG+님/XSN
심정이	심정/NNG+이/JKS
한편	한편/MAG
이해되지만	이해/NNG+되/XSV+지만/EC
저는	저/NP+는/JX
그런	그런/MMD
친구들이	친구/NNG+들/XSN+이/JKS
예뻐요.	예쁘/VA+어요/EF+./SF


# id : NWRW1800000025.6.15.3
건축가는 스타일을 가질 수 없다고 생각합니다.

건축가는	건축가/NNG+는/JX
스타일을	스타일/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
수	수/NNB
없다고	없/VA+다고/EC
생각합니다.	생각/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000025.6.15.4
땅이 모두 다른데 어떻게 특정 스타일을 갖나요.

땅이	땅/NNG+이/JKS
모두	모두/MAG
다른데	다르/VA+ㄴ데/EC
어떻게	어떻/VA+게/EC
특정	특정/NNG
스타일을	스타일/NNG+을/JKO
갖나요.	갖/VV+나/EF+요/JX+./SF


# id : NWRW1800000025.6.15.5
건축가는 새로운 땅, 새로운 건축에 대한 갈망 덕분에 살아가는 겁니다.”

건축가는	건축가/NNG+는/JX
새로운	새롭/VA+ㄴ/ETM
땅,	땅/NNG+,/SP
건축에	건축/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
갈망	갈망/NNG
덕분에	덕분/NNG+에/JKB
살아가는	살아가/VV+는/ETM
겁니다.”	거/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS

