# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.238
metadata : {}


# id : NWRW1800000030.238.1.1
[조선데스크] 서울에는 '스토리'가 없다

[조선데스크]	[/SS+조선/NNP+데스크/NNP+]/SS
부여한다.	부여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.238.5.4
장소를 인물의 부수적 요소로 처리하는 한국문학의 풍경과는 다른 장면이다.

장소를	장소/NNG+를/JKO
인물의	인물/NNG+의/JKG
부수적	부수/NNG+적/XSN
요소로	요소/NNG+로/JKB
처리하는	처리/NNG+하/XSV+는/ETM
한국문학의	한국/NNP+문학/NNG+의/JKG
풍경과는	풍경/NNG+과/JKB+는/JX
다른	다르/VA+ㄴ/ETM
장면이다.	장면/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.238.6.1
더욱 심각한 것은 우리가 한국의 도시를 전략적으로 보여줄 생각도 하지 않는 사이, 외국 작가들이 서울의 이미지를 만들고 있다는 사실이다.

더욱	더욱/MAG
심각한	심각하/VA+ㄴ/ETM
것은	것/NNB+은/JX
우리가	우리/NP+가/JKS
한국의	한국/NNP+의/JKG
도시를	도시/NNG+를/JKO
전략적으로	전략/NNG+적/XSN+으로/JKB
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
생각도	생각/NNG+도/JX
하지	하/VV+지/EC
않는	않/VX+는/ETM
사이,	사이/NNG+,/SP
외국	외국/NNG
작가들이	작가/NNG+들/XSN+이/JKS
서울의	서울/NNP+의/JKG
이미지를	이미지/NNG+를/JKO
만들고	만들/VV+고/EC
있다는	있/VX+다는/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.238.6.2
지난해 도쿄에서 만났던 소설가 요시다 슈이치는 일본을 벗어나 서울·상하이 등 아시아 각국의 대도시가 등장하는 '도시 여행자'라는 소설집을 발표했다.

지난해	지난해/NNG
도쿄에서	도쿄/NNP+에서/JKB
만났던	만나/VV+았/EP+던/ETM
소설가	소설가/NNG
요시다	요시다/NNP
슈이치는	슈이치/NNP+는/JX
일본을	일본/NNP+을/JKO
벗어나	벗어나/VV+아/EC
서울·상하이	서울/NNP+·/SP+상하이/NNP
등	등/NNB
아시아	아시아/NNP
각국의	각국/NNG+의/JKG
대도시가	대/XPN+도시/NNG+가/JKS
등장하는	등장/NNG+하/XSV+는/ETM
'도시	'/SS+도시/NNG
여행자'라는	여행자/NNG+'/SS+이/VCP+라는/ETM
소설집을	소설집/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.238.6.3
이 작품집에 수록된 단편 '영하 5도'는 서울을 '아름답고 차가운 도시'로 규정한다.

이	이/MMD
작품집에	작품집/NNG+에/JKB
수록된	수록/NNG+되/XSV+ㄴ/ETM
단편	단편/NNG
'영하	'/SS+영하/NNG
5도'는	5/SN+도/NNB+'/SS+는/JX
서울을	서울/NNP+을/JKO
'아름답고	'/SS+아름답/VA+고/EC
차가운	차갑/VA+ㄴ/ETM
도시'로	도시/NNG+'/SS+로/JKB
규정한다.	규정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.238.6.4
'투명한 얼음의 아름다움.

'투명한	'/SS+투명/NNG+하/XSA+ㄴ/ETM
얼음의	얼음/NNG+의/JKG
아름다움.	아름다움/NNG+./SF


# id : NWRW1800000030.238.6.5
멀리 바라다보이는 산들까지도 얼어붙은 맑고 찬 풍경.

멀리	멀리/MAG
바라다보이는	바라다보이/VV+는/ETM
산들까지도	산/NNG+들/XSN+까지/JX+도/JX
얼어붙은	얼어붙/VV+은/ETM
맑고	맑/VA+고/EC
찬	차/VA+ㄴ/ETM
풍경.	풍경/NNG+./SF


# id : NWRW1800000030.238.6.6
난생처음으로 나는 추위가 아름답다고 느꼈다.'

난생처음으로	난생처음/NNG+으로/JKB
나는	나/NP+는/JX
추위가	추위/NNG+가/JKS
아름답다고	아름답/VA+다고/EC
느꼈다.'	느끼/VV+었/EP+다/EF+./SF+'/SS


# id : NWRW1800000030.238.7.1
서울의 도시 성격마저 일본 소설가가 규정하고, 일본의 창(窓)을 통해 서울이 소개되는 현실을 어떻게 받아들여야 할까.

서울의	서울/NNP+의/JKG
도시	도시/NNG
성격마저	성격/NNG+마저/JX
일본	일본/NNP
소설가가	소설가/NNG+가/JKS
규정하고,	규정/NNG+하/XSV+고/EC+,/SP
일본의	일본/NNP+의/JKG
창(窓)을	창/NNG+(/SS+窓/SH+)/SS+을/JKO
통해	통하/VV+아/EC
서울이	서울/NNP+이/JKS
소개되는	소개/NNG+되/XSV+는/ETM
현실을	현실/NNG+을/JKO
어떻게	어떻/VA+게/EC
받아들여야	받아들이/VV+어야/EC
할까.	하/VX+ㄹ까/EF+./SF


# id : NWRW1800000030.238.7.2
오세훈 서울시장은 지난해 G20 정상회의 때 방한한 외신기자들에게 "서울의 도시경쟁력을 2014년까지 세계 5위권으로 올려놓겠다"고 말했다.

오세훈	오세훈/NNP
서울시장은	서울시장/NNG+은/JX
지난해	지난해/NNG
G20	G/SL+20/SN
정상회의	정상/NNG+회의/NNG
때	때/NNG
방한한	방한/NNG+하/XSV+ㄴ/ETM
외신기자들에게	외신/NNG+기자/NNG+들/XSN+에게/JKB
"서울의	"/SS+서울/NNP+의/JKG
도시경쟁력을	도시/NNG+경쟁력/NNG+을/JKO
2014년까지	2014/SN+년/NNB+까지/JX
세계	세계/NNG
5위권으로	5/SN+위/NNB+권/XSN+으로/JKB
올려놓겠다"고	올려놓/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.238.8.1
도시의 경쟁력이 박물관이나 유적, 높이 솟은 건물 같은 하드웨어에서만 비롯되는 것은 아니다.

도시의	도시/NNG+의/JKG
경쟁력이	경쟁력/NNG+이/JKS
박물관이나	박물관/NNG+이나/JC
유적,	유적/NNG+,/SP
높이	높이/MAG
솟은	솟/VV+은/ETM
건물	건물/NNG
같은	같/VA+은/ETM
하드웨어에서만	하드웨어/NNG+에서/JKB+만/JX
비롯되는	비롯되/VV+는/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000030.238.8.2
서울에 이야기를 부여하면 세계 대도시 사이에서 서울의 경쟁력은 조금은 높아질 것이다.

서울에	서울/NNP+에/JKB
이야기를	이야기/NNG+를/JKO
부여하면	부여/NNG+하/XSV+면/EC
세계	세계/NNG
대도시	대/XPN+도시/NNG
사이에서	사이/NNG+에서/JKB
서울의	서울/NNP+의/JKG
경쟁력은	경쟁력/NNG+은/JX
조금은	조금/NNG+은/JX
높아질	높아지/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.238.8.3
작가들의 노력이 우선이겠지만, '교토부 문화상'처럼 도시의 이름을 걸고 서사문학 창작을 독려할 시스템 마련도 필요해 보인다.

작가들의	작가/NNG+들/XSN+의/JKG
노력이	노력/NNG+이/JKS
우선이겠지만,	우선/NNG+이/VCP+겠/EP+지만/EC+,/SP
'교토부	'/SS+교토부/NNP
문화상'처럼	문화/NNG+상/NNG+'/SS+처럼/JKB
도시의	도시/NNG+의/JKG
이름을	이름/NNG+을/JKO
걸고	걸/VV+고/EC
서사문학	서사/NNG+문학/NNG
창작을	창작/NNG+을/JKO
독려할	독려/NNG+하/XSV+ㄹ/ETM
시스템	시스템/NNG
마련도	마련/NNG+도/JX
필요해	필요/NNG+하/XSA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


