# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.337
metadata : {}


# id : NWRW1800000049.337.1.1
[뉴스분석]여야 특권놓기, 쇼 말고 리얼액션 보여라

[뉴스분석]여야	[/SS+뉴스/NNG+분석/NNG+]/SS+여야/NNG
고통	고통/NNG
분담을	분담/NNG+을/JKO
요구하려면	요구/NNG+하/XSV+려면/EC
무엇보다	무엇/NP+보다/JKB
정치권이	정치/NNG+권/XSN+이/JKS
자정	자정/NNG
노력을	노력/NNG+을/JKO
통해	통하/VV+아/EC
신뢰를	신뢰/NNG+를/JKO
회복해야	회복/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.337.6.1
하지만 20대 국회는 이와는 정반대로 내달리고 있다.

하지만	하지만/MAJ
20대	20/SN+대/NNB
국회는	국회/NNG+는/JX
이와는	이/NP+와/JKB+는/JX
정반대로	정반대/NNG+로/JKB
내달리고	내달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.337.6.2
20대 국회가 문을 연 지 꼭 한 달 만인 30일 여야는 모두 초토화됐다.

20대	20/SN+대/NNB
국회가	국회/NNG+가/JKS
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
지	지/NNB
꼭	꼭/MAG
한	한/MMN
달	달/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
30일	30/SN+일/NNB
여야는	여야/NNG+는/JX
모두	모두/MAG
초토화됐다.	초토/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.337.6.3
‘새 정치’를 표방한 국민의당은 선거비용 리베이트 수수 의혹으로 지도부가 붕괴됐다.

‘새	‘/SS+새/MMA
정치’를	정치/NNG+’/SS+를/JKO
표방한	표방/NNG+하/XSV+ㄴ/ETM
국민의당은	국민의당/NNP+은/JX
선거비용	선거/NNG+비용/NNG
리베이트	리베이트/NNG
수수	수수/NNG
의혹으로	의혹/NNG+으로/JKB
지도부가	지도부/NNG+가/JKS
붕괴됐다.	붕괴/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.337.6.4
‘도덕성’을 강조해 온 더불어민주당은 서영교 의원의 친인척 보좌진 채용과 보좌진의 정치 후원금 상납으로 ‘구태 정치의 민낯’을 고스란히 드러냈다.

‘도덕성’을	‘/SS+도덕/NNG+성/XSN+’/SS+을/JKO
강조해	강조/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
더불어민주당은	더불어민주당/NNP+은/JX
서영교	서영교/NNP
의원의	의원/NNG+의/JKG
친인척	친인척/NNG
보좌진	보좌진/NNG
채용과	채용/NNG+과/JC
보좌진의	보좌진/NNG+의/JKG
정치	정치/NNG
후원금	후원금/NNG
상납으로	상납/NNG+으로/JKB
‘구태	‘/SS+구태/NNG
정치의	정치/NNG+의/JKG
민낯’을	민낯/NNG+’/SS+을/JKO
고스란히	고스란히/MAG
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.337.6.5
이를 비판해 온 새누리당에서도 친인척 보좌진 채용이 고구마 줄기처럼 줄줄이 쏟아져 나왔다.

이를	이/NP+를/JKO
비판해	비판/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
새누리당에서도	새누리당/NNP+에서/JKB+도/JX
친인척	친인척/NNG
보좌진	보좌진/NNG
채용이	채용/NNG+이/JKS
고구마	고구마/NNG
줄기처럼	줄기/NNG+처럼/JKB
줄줄이	줄줄이/MAG
쏟아져	쏟아지/VV+어/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.337.7.1
여야 모두 ‘갑질과 편법’이란 먹이사슬에서 자유롭지 않다는 사실만 거듭 확인된 셈이다.

여야	여야/NNG
모두	모두/MAG
‘갑질과	‘/SS+갑/NNG+질/XSN+과/JC
편법’이란	편법/NNG+’/SS+이란/JX
먹이사슬에서	먹이/NNG+사슬/NNG+에서/JKB
자유롭지	자유/NNG+롭/XSA+지/EC
않다는	않/VX+다는/ETM
사실만	사실/NNG+만/JX
거듭	거듭/MAG
확인된	확인/NNG+되/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.337.8.1
비판 여론이 거세지자 정세균 국회의장과 새누리당 정진석, 더민주당 우상호, 국민의당 박지원 원내대표는 30일 의원 체포동의안이 국회 본회의에 보고된 후 72시간 내에 표결이 이뤄지지 않으면 자동 폐기되도록 한 국회법 조항을 삭제하기로 했다.

비판	비판/NNG
여론이	여론/NNG+이/JKS
거세지자	거세지/VV+자/EC
정세균	정세균/NNP
국회의장과	국회/NNG+의장/NNG+과/JC
새누리당	새누리당/NNP
정진석,	정진석/NNP+,/SP
더민주당	더민주당/NNP
우상호,	우상호/NNP+,/SP
국민의당	국민의당/NNP
박지원	박지원/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
30일	30/SN+일/NNB
의원	의원/NNG
체포동의안이	체포/NNG+동의안/NNG+이/JKS
국회	국회/NNG
본회의에	본회의/NNG+에/JKB
보고된	보고/NNG+되/XSV+ㄴ/ETM
후	후/NNG
72시간	72/SN+시간/NNB
내에	내/NNB+에/JKB
표결이	표결/NNG+이/JKS
이뤄지지	이뤄지/VV+지/EC
않으면	않/VX+으면/EC
자동	자동/NNG
폐기되도록	폐기/NNG+되/XSV+도록/EC
한	하/VX+ㄴ/ETM
국회법	국회법/NNG
조항을	조항/NNG+을/JKO
삭제하기로	삭제/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.337.8.2
여야는 국회의장 직속으로 ‘국회의원 특권 내려놓기’ 자문기구를 설치해 관련 법 개정을 하기로 했다.

여야는	여야/NNG+는/JX
국회의장	국회/NNG+의장/NNG
직속으로	직속/NNG+으로/JKB
‘국회의원	‘/SS+국회/NNG+의원/NNG
특권	특권/NNG
내려놓기’	내려놓/VV+기/ETN+’/SS
자문기구를	자문/NNG+기구/NNG+를/JKO
설치해	설치/NNG+하/XSV+아/EC
관련	관련/NNG
법	법/NNG
개정을	개정/NNG+을/JKO
하기로	하/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.337.9.1
하지만 이번에도 ‘립 서비스’로 끝나는 것 아니냐는 우려가 나온다.

하지만	하지만/MAJ
이번에도	이번/NNG+에/JKB+도/JX
‘립	‘/SS+립/NNG
서비스’로	서비스/NNG+’/SS+로/JKB
끝나는	끝나/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
우려가	우려/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.337.9.2
2012년 대선을 앞두고도, 올해 총선을 앞두고도 여야는 특권 폐지에 목소리를 높였다.

2012년	2012/SN+년/NNB
대선을	대선/NNG+을/JKO
앞두고도,	앞두/VV+고도/EC+,/SP
올해	올해/NNG
총선을	총선/NNG+을/JKO
앞두고도	앞두/VV+고/EC+도/JX
여야는	여야/NNG+는/JX
특권	특권/NNG
폐지에	폐지/NNG+에/JKB
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.337.9.3
결과는 용두사미였다.

결과는	결과/NNG+는/JX
용두사미였다.	용두사미/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.337.9.4
의원 징계 강화나 친인척 보좌진 채용 금지 법안은 19대 국회에서도 발의됐지만 제대로 된 논의조차 없이 폐기됐다.

의원	의원/NNG
징계	징계/NNG
강화나	강화/NNG+나/JC
친인척	친인척/NNG
보좌진	보좌진/NNG
채용	채용/NNG
금지	금지/NNG
법안은	법안/NNG+은/JX
19대	19/SN+대/NNB
국회에서도	국회/NNG+에서/JKB+도/JX
발의됐지만	발의/NNG+되/XSV+었/EP+지만/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
논의조차	논의/NNG+조차/JX
없이	없이/MAG
폐기됐다.	폐기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.337.9.5
새누리당이 들고나온 ‘세비 동결’도 지난해 새정치민주연합(현 더민주당)이 주장한 내용이다.

새누리당이	새누리당/NNP+이/JKS
들고나온	들고나오/VV+ㄴ/ETM
‘세비	‘/SS+세비/NNG
동결’도	동결/NNG+’/SS+도/JX
지난해	지난해/NNG
새정치민주연합(현	새정치민주연합/NNP+(/SS+현/MMD
더민주당)이	더민주당/NNP+)/SS+이/JKS
주장한	주장/NNG+하/XSV+ㄴ/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.337.9.6
여야는 지난해 은근슬쩍 세비를 3% 인상하려다가 비판 여론이 거세지자 철회한 ‘전력’도 있다.

여야는	여야/NNG+는/JX
지난해	지난해/NNG
은근슬쩍	은근슬쩍/MAG
세비를	세비/NNG+를/JKO
3%	3/SN+%/SW
인상하려다가	인상/NNG+하/XSV+려다가/EC
비판	비판/NNG
여론이	여론/NNG+이/JKS
거세지자	거세지/VV+자/EC
철회한	철회/NNG+하/XSV+ㄴ/ETM
‘전력’도	‘/SS+전력/NNG+’/SS+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.337.10.1
양승함 연세대 교수(전 한국정치학회장)는 “윤리강령을 엄격하게 만들고, 무책임한 발언을 못 하도록 제재하고, 양심을 바탕으로 의정 활동을 하도록 만드는 3대 전제 조건을 충족시켜야 정치가 신뢰를 회복할 수 있다”고 강조했다.

양승함	양승함/NNP
연세대	연세대/NNP
교수(전	교수/NNG+(/SS+전/MMD
한국정치학회장)는	한국정치학회장/NNG+)/SS+는/JX
“윤리강령을	“/SS+윤리/NNG+강령/NNG+을/JKO
엄격하게	엄격/NNG+하/XSA+게/EC
만들고,	만들/VV+고/EC+,/SP
무책임한	무/XPN+책임/NNG+하/XSA+ㄴ/ETM
발언을	발언/NNG+을/JKO
못	못/MAG
하도록	하/VV+도록/EC
제재하고,	제재/NNG+하/XSV+고/EC+,/SP
양심을	양심/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
의정	의정/NNG
활동을	활동/NNG+을/JKO
만드는	만들/VV+는/ETM
3대	3/SN+대/NNG
전제	전제/NNG
조건을	조건/NNG+을/JKO
충족시켜야	충족/NNG+시키/XSV+어야/EC
정치가	정치/NNG+가/JKS
신뢰를	신뢰/NNG+를/JKO
회복할	회복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


