# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.65
metadata : {}


# id : NWRW1800000052.65.1.1
공정위, SKT-CJ헬로비전 합병 심사보고서 발송…합병 물 건너 가나

공정위,	공정위/NNG+,/SP
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.65.6.5
통신업계 관계자는 “전원회의 일정이 7월 중순으로 잡혀 있어, 그 일정대로라면 심사보고서가 4일 발송돼야 한다고 알고 있다”고 말했다.

통신업계	통신업/NNG+계/XSN
관계자는	관계자/NNG+는/JX
“전원회의	“/SS+전원회의/NNG
일정이	일정/NNG+이/JKS
7월	7/SN+월/NNB
중순으로	중순/NNG+으로/JKB
잡혀	잡히/VV+어/EC
있어,	있/VX+어/EC+,/SP
그	그/MMD
일정대로라면	일정/NNG+대로/JX+이/VCP+라면/EC
심사보고서가	심사/NNG+보고서/NNG+가/JKS
4일	4/SN+일/NNB
발송돼야	발송/NNG+되/XSV+어야/EC
한다고	하/VX+ㄴ다고/EC
알고	알/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.65.7.1
공정위는 보고서에 대해 “심사 중인 사안이라 ‘발송했다’는 사실 말고는 구체적 내용을 밝힐 수 없다”는 태도다.

공정위는	공정위/NNG+는/JX
보고서에	보고서/NNG+에/JKB
대해	대하/VV+아/EC
“심사	“/SS+심사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
사안이라	사안/NNG+이/VCP+라/EC
‘발송했다’는	‘/SS+발송/NNG+하/XSV+았/EP+다/EF+’/SS+는/ETM
사실	사실/NNG
말고는	말/VV+고/EC+는/JX
구체적	구체/NNG+적/XSN
내용을	내용/NNG+을/JKO
밝힐	밝히/VV+ㄹ/ETM
수	수/NNB
없다”는	없/VA+다/EF+”/SS+는/ETM
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.65.7.2
그러나 통신업계에서는 두 업체의 결합으로 업계 1위에 오르는 알뜰폰 사업과 케이티(KT)에 이어 업계 2위가 되는 지역 케이블방송시장에서 경쟁 제한성이 심해진다는 심사의견이 보고서에 담긴 것으로 알려졌다.

그러나	그러나/MAJ
통신업계에서는	통신업/NNG+계/XSN+에서/JKB+는/JX
두	두/MMN
업체의	업체/NNG+의/JKG
결합으로	결합/NNG+으로/JKB
업계	업계/NNG
1위에	1/SN+위/NNB+에/JKB
오르는	오르/VV+는/ETM
알뜰폰	알뜰/NNG+폰/NNG
사업과	사업/NNG+과/JC
케이티(KT)에	케이티/NNP+(/SS+KT/SL+)/SS+에/JKB
이어	잇/VV+어/EC
2위가	2/SN+위/NNB+가/JKC
되는	되/VV+는/ETM
지역	지역/NNG
케이블방송시장에서	케이블/NNG+방송/NNG+시장/NNG+에서/JKB
경쟁	경쟁/NNG
제한성이	제한/NNG+성/XSN+이/JKS
심해진다는	심하/VA+아/EC+지/VX+ㄴ다는/ETM
심사의견이	심사/NNG+의견/NNG+이/JKS
보고서에	보고서/NNG+에/JKB
담긴	담기/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.65.7.3
합병을 추진하려면 이러한 경쟁 제한성을 해소해야 하는 ‘조건부 승인’으로, 두 업체는 합병 뒤 알뜰폰과 지역 케이블방송 시장에서 점유율이 60%를 넘는 경우에는 사실상 사업을 매각·포기해야 한다는 취지의 내용도 담긴 것으로 알려졌다.

합병을	합병/NNG+을/JKO
추진하려면	추진/NNG+하/XSV+려면/EC
이러한	이러하/VA+ㄴ/ETM
경쟁	경쟁/NNG
제한성을	제한/NNG+성/XSN+을/JKO
해소해야	해소/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
‘조건부	‘/SS+조건/NNG+부/XSN
승인’으로,	승인/NNG+’/SS+으로/JKB+,/SP
두	두/MMN
업체는	업체/NNG+는/JX
합병	합병/NNG
뒤	뒤/NNG
알뜰폰과	알뜰/NNG+폰/NNG+과/JC
지역	지역/NNG
케이블방송	케이블/NNG+방송/NNG
시장에서	시장/NNG+에서/JKB
점유율이	점유/NNG+율/XSN+이/JKS
60%를	60/SN+%/SW+를/JKO
넘는	넘/VV+는/ETM
경우에는	경우/NNG+에/JKB+는/JX
사실상	사실/NNG+상/XSN
사업을	사업/NNG+을/JKO
매각·포기해야	매각/NNG+·/SP+포기/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
취지의	취지/NNG+의/JKG
내용도	내용/NNG+도/JX
담긴	담기/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.65.7.4
앞서 공정위는 지난해 심사를 시작하면서 “유료방송시장의 경쟁 제한성과 관련해 전국 시장점유율뿐만 아니라 지역별 시장점유율까지 꼼꼼히 살피겠다”고 밝힌 바 있다.

앞서	앞서/MAG
공정위는	공정위/NNG+는/JX
지난해	지난해/NNG
심사를	심사/NNG+를/JKO
시작하면서	시작/NNG+하/XSV+면서/EC
“유료방송시장의	“/SS+유료/NNG+방송/NNG+시장/NNG+의/JKG
경쟁	경쟁/NNG
제한성과	제한/NNG+성/XSN+과/JKB
관련해	관련/NNG+하/XSV+아/EC
전국	전국/NNG
시장점유율뿐만	시장/NNG+점유/NNG+율/XSN+뿐/JX+만/JX
아니라	아니/VCN+라/EC
지역별	지역/NNG+별/XSN
시장점유율까지	시장/NNG+점유/NNG+율/XSN+까지/JX
꼼꼼히	꼼꼼히/MAG
살피겠다”고	살피/VV+겠/EP+다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.65.8.1
공정위가 까다로운 ‘합병 조건’을 내걸면서 합병을 진행하기 어려울 수 있다는 전망도 나온다.

공정위가	공정위/NNG+가/JKS
까다로운	까다롭/VA+ㄴ/ETM
‘합병	‘/SS+합병/NNG
조건’을	조건/NNG+’/SS+을/JKO
내걸면서	내걸/VV+면서/EC
합병을	합병/NNG+을/JKO
진행하기	진행/NNG+하/XSV+기/ETN
어려울	어렵/VA+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
전망도	전망/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.65.8.2
알뜰폰과 지역 케이블방송 시장에서 지배력을 높이려는 에스케이텔레콤이 공정위가 내건 조건을 이행하려면 합병 실익이 떨어지기 때문이다.

알뜰폰과	알뜰/NNG+폰/NNG+과/JC
지역	지역/NNG
케이블방송	케이블/NNG+방송/NNG
시장에서	시장/NNG+에서/JKB
지배력을	지배력/NNG+을/JKO
높이려는	높이/VV+려는/ETM
에스케이텔레콤이	에스케이텔레콤/NNP+이/JKS
공정위가	공정위/NNG+가/JKS
내건	내걸/VV+ㄴ/ETM
조건을	조건/NNG+을/JKO
이행하려면	이행/NNG+하/XSV+려면/EC
합병	합병/NNG
실익이	실익/NNG+이/JKS
떨어지기	떨어지/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.65.8.3
현재 씨제이헬로비전은 78곳의 케이블방송권역 가운데 23곳에서 사업을 하고 있다.

현재	현재/MAG
씨제이헬로비전은	씨제이헬로비전/NNP+은/JX
78곳의	78/SN+곳/NNG+의/JKG
케이블방송권역	케이블/NNG+방송/NNG+권역/NNG
가운데	가운데/NNG
23곳에서	23/SN+곳/NNG+에서/JKB
사업을	사업/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.65.8.4
한 통신?업체 관계자는 “지역 케이블방송은 점유율 한계선을 60% 이상으로 정하면 (23곳 가운데) 11곳이 해당되며, 50% 이상으로 하면 15개로 늘어난다. 또 인수를 할 때 해당 지역 케이블방송을 떼어내야 하는지, 아니면 모두 산 뒤 몇 년 안에 매각하는 것인지에 따라서도 다르다. 후자의 경우 케이블방송을 사려는 곳이 없어 (매각 자체가) 흐지부지될 가능성이 있다”고 했다.

한	한/MMN
통신?업체	통신/NNG+?/SF+업체/NNG
관계자는	관계자/NNG+는/JX
“지역	“/SS+지역/NNG
케이블방송은	케이블/NNG+방송/NNG+은/JX
점유율	점유/NNG+율/XSN
한계선을	한계선/NNG+을/JKO
60%	60/SN+%/SW
이상으로	이상/NNG+으로/JKB
정하면	정하/VV+면/EC
(23곳	(/SS+23/SN+곳/NNG
가운데)	가운데/NNG+)/SS
11곳이	11/SN+곳/NNG+이/JKS
해당되며,	해당/NNG+되/XSV+며/EC+,/SP
50%	50/SN+%/SW
하면	하/VV+면/EC
15개로	15/SN+개/NNB+로/JKB
늘어난다.	늘어나/VV+ㄴ다/EF+./SF
또	또/MAG
인수를	인수/NNG+를/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
해당	해당/NNG
지역	지역/NNG
케이블방송을	케이블/NNG+방송/NNG+을/JKO
떼어내야	떼/VV+어/EC+내/VX+어야/EC
하는지,	하/VX+는지/EC+,/SP
아니면	아니/VCN+면/EC
모두	모두/MAG
산	사/VV+ㄴ/ETM
뒤	뒤/NNG
몇	몇/NR
년	년/NNB
안에	안/NNG+에/JKB
매각하는	매각/NNG+하/XSV+는/ETM
것인지에	것/NNB+이/VCP+ㄴ지/EF+에/JKB
따라서도	따르/VV+아서/EC+도/JX
다르다.	다르/VA+다/EF+./SF
후자의	후자/NNG+의/JKG
경우	경우/NNG
사려는	사/VV+려는/ETM
곳이	곳/NNG+이/JKS
없어	없/VA+어/EC
(매각	(/SS+매각/NNG
자체가)	자체/NNG+가/JKS+)/SS
흐지부지될	흐지부지/MAG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


