# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.241
metadata : {}


# id : NWRW1800000037.241.1.1
‘대어’ 손흥민, 레버쿠젠 이적

‘대어’	‘/SS+대어/NNG+’/SS
등	등/NNB
계약에	계약/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
세부사항은	세부/NNG+사항/NNG+은/JX
밝히지	밝히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.241.4.3
볼프강 홀츠하우저 레버쿠젠 회장은 “손흥민은 어린 나이에도 지난 시즌 함부르크의 핵심 선수로 활약했다.

볼프강	볼프강/NNP
홀츠하우저	홀츠하우저/NNP
레버쿠젠	레버쿠젠/NNP
회장은	회장/NNG+은/JX
“손흥민은	“/SS+손흥민/NNP+은/JX
어린	어리/VA+ㄴ/ETM
나이에도	나이/NNG+에/JKB+도/JX
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
함부르크의	함부르크/NNP+의/JKG
핵심	핵심/NNG
선수로	선수/NNG+로/JKB
활약했다.	활약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.241.4.4
잠재력이 풍부한 그는 2013∼2014시즌에 유럽 클럽대항전을 펼쳐야 하는 레버쿠젠에 적합한 유형의 선수다”라며 극찬했다.

잠재력이	잠재력/NNG+이/JKS
풍부한	풍부하/VA+ㄴ/ETM
그는	그/NP+는/JX
2013∼2014시즌에	2013/SN+∼/SO+2014/SN+시즌/NNG+에/JKB
유럽	유럽/NNP
클럽대항전을	클럽/NNG+대항전/NNG+을/JKO
펼쳐야	펼치/VV+어야/EC
하는	하/VX+는/ETM
레버쿠젠에	레버쿠젠/NNP+에/JKB
적합한	적합/NNG+하/XSA+ㄴ/ETM
유형의	유형/NNG+의/JKG
선수다”라며	선수/NNG+이/VCP+다/EF+”/SS+이/VCP+라며/EC
극찬했다.	극찬/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.241.5.1
지난 시즌 분데스리가 함부르크에서 활약한 손흥민은 폭발적인 스피드와 강력한 중거리 슛을 앞세워 리그에서 12골을 터뜨렸다.

지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
분데스리가	분데스리가/NNG
함부르크에서	함부르크/NNP+에서/JKB
활약한	활약/NNG+하/XSV+ㄴ/ETM
손흥민은	손흥민/NNP+은/JX
폭발적인	폭발/NNG+적/XSN+이/VCP+ㄴ/ETM
스피드와	스피드/NNG+와/JC
강력한	강력/NNG+하/XSA+ㄴ/ETM
중거리	중거리/NNG
슛을	슛/NNG+을/JKO
앞세워	앞세우/VV+어/EC
리그에서	리그/NNG+에서/JKB
12골을	12/SN+골/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.241.5.2
아시아에서 온 어린 선수가 맹활약을 펼치자 독일 언론은 그에게 ‘손세이셔널(Sonsational)’이란 별명을 붙여줬다.

아시아에서	아시아/NNP+에서/JKB
온	오/VV+ㄴ/ETM
어린	어리/VA+ㄴ/ETM
선수가	선수/NNG+가/JKS
맹활약을	맹활약/NNG+을/JKO
펼치자	펼치/VV+자/EC
독일	독일/NNP
언론은	언론/NNG+은/JX
그에게	그/NP+에게/JKB
‘손세이셔널(Sonsational)’이란	‘/SS+손세이셔널/NNP+(/SS+Sonsational/SL+)/SS+’/SS+이/VCP+란/ETM
별명을	별명/NNG+을/JKO
붙여줬다.	붙이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.241.5.3
‘선풍적인’이란 뜻의 영어 센세이셔널(Sensational)을 패러디한 것이다.

‘선풍적인’이란	‘/SS+선풍/NNG+적/XSN+이/VCP+ㄴ/ETM+’/SS+이/VCP+란/ETM
뜻의	뜻/NNG+의/JKG
영어	영어/NNP
센세이셔널(Sensational)을	센세이셔널/NNP+(/SS+Sensational/SL+)/SS+을/JKO
패러디한	패러디/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.241.5.4
손흥민은 지난 시즌 후반부터 토트넘, 리버풀(이상 잉글랜드), 인터밀란(이탈리아) 등 많은 명문 팀의 러브콜을 받았다.

손흥민은	손흥민/NNP+은/JX
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
후반부터	후반/NNG+부터/JX
토트넘,	토트넘/NNP+,/SP
리버풀(이상	리버풀/NNP+(/SS+이상/NNG
잉글랜드),	잉글랜드/NNP+)/SS+,/SP
인터밀란(이탈리아)	인터밀란/NNP+(/SS+이탈리아/NNP+)/SS
등	등/NNB
많은	많/VA+은/ETM
명문	명문/NNG
팀의	팀/NNG+의/JKG
러브콜을	러브콜/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.241.5.5
그러나 익숙한 독일 무대에서 자신의 기량을 더욱 발전시키고 싶은 욕심과 ‘꿈의 무대’로 불리는 유럽축구연맹(UEFA) 챔피언스리그에서 뛰고자 하는 열망 때문에 레버쿠젠을 선택한 것으로 보인다.

그러나	그러나/MAJ
익숙한	익숙하/VA+ㄴ/ETM
독일	독일/NNP
무대에서	무대/NNG+에서/JKB
자신의	자신/NNG+의/JKG
기량을	기량/NNG+을/JKO
더욱	더욱/MAG
발전시키고	발전/NNG+시키/XSV+고/EC
싶은	싶/VX+은/ETM
욕심과	욕심/NNG+과/JC
‘꿈의	‘/SS+꿈/NNG+의/JKG
무대’로	무대/NNG+’/SS+로/JKB
불리는	불리/VV+는/ETM
유럽축구연맹(UEFA)	유럽축구연맹/NNP+(/SS+UEFA/SL+)/SS
챔피언스리그에서	챔피언스리그/NNG+에서/JKB
뛰고자	뛰/VV+고자/EC
하는	하/VX+는/ETM
열망	열망/NNG
때문에	때문/NNB+에/JKB
레버쿠젠을	레버쿠젠/NNP+을/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.241.5.6
레버쿠젠은 지난 시즌 분데스리가 3위를 차지해 2013∼2014시즌 UEFA 챔피언스리그 진출 티켓을 손에 넣었다.

레버쿠젠은	레버쿠젠/NNP+은/JX
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
분데스리가	분데스리가/NNG
3위를	3/SN+위/NNB+를/JKO
차지해	차지/NNG+하/XSV+아/EC
2013∼2014시즌	2013/SN+∼/SO+2014/SN+시즌/NNG
UEFA	UEFA/SL
챔피언스리그	챔피언스리그/NNG
진출	진출/NNG
티켓을	티켓/NNG+을/JKO
손에	손/NNG+에/JKB
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.241.6.1
레버쿠젠은 한국과 인연이 깊은 팀이다.

레버쿠젠은	레버쿠젠/NNP+은/JX
한국과	한국/NNP+과/JKB
인연이	인연/NNG+이/JKS
깊은	깊/VA+은/ETM
팀이다.	팀/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.241.6.2
과거 분데스리가를 휘저었던 ‘차붐’ 차범근 전 수원 삼성 감독이 1983년부터 1989년까지 활약했던 팀이 레버쿠젠이다.

과거	과거/NNG
분데스리가를	분데스리가/NNG+를/JKO
휘저었던	휘젓/VV+었/EP+던/ETM
‘차붐’	‘/SS+차붐/NNP+’/SS
차범근	차범근/NNP
전	전/MMD
수원	수원/NNP
삼성	삼성/NNP
감독이	감독/NNG+이/JKS
1983년부터	1983/SN+년/NNB+부터/JX
1989년까지	1989/SN+년/NNB+까지/JX
활약했던	활약/NNG+하/XSV+았/EP+던/ETM
팀이	팀/NNG+이/JKS
레버쿠젠이다.	레버쿠젠/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000037.241.6.3
손흥민이 차범근 전 감독에 이어 레버쿠젠의 한국인 에이스로 거듭나며 ‘손붐’을 일으키기를 팬들은 기대하고 있다.

손흥민이	손흥민/NNP+이/JKS
차범근	차범근/NNP
전	전/MMD
감독에	감독/NNG+에/JKB
이어	잇/VV+어/EC
레버쿠젠의	레버쿠젠/NNP+의/JKG
한국인	한국인/NNG
에이스로	에이스/NNG+로/JKB
거듭나며	거듭나/VV+며/EC
‘손붐’을	‘/SS+손붐/NNP+’/SS+을/JKO
일으키기를	일으키/VV+기/ETN+를/JKO
팬들은	팬/NNG+들/XSN+은/JX
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


