# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.95
metadata : {}


# id : NWRW1800000044.95.1.1
‘우산혁명’을 바라보는 홍콩언론의 두 얼굴

‘우산혁명’을	‘/SS+우산/NNG+혁명/NNG+’/SS+을/JKO
투쟁강도를	투쟁/NNG+강도/NNG+를/JKO
높이겠다”고	높이/VV+겠/EP+다/EF+”/SS+고/JKQ
말하고	말/NNG+하/XSV+고/EC
있어,	있/VX+어/EC+,/SP
대화를	대화/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
해결	해결/NNG
전망은	전망/NNG+은/JX
여전히	여전히/MAG
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.95.12.5
홍콩 시사평론가인 린허리(윌리 람)는 <비비시>(BBC) 방송에 “시위대가 일시적이고 전략적인 철수를 한 상황”이라며 “하지만 베이징(중앙 정부)의 권위와 홍콩 시민들의 민주화 열망이 기싸움을 하고 있다.

홍콩	홍콩/NNP
시사평론가인	시사/NNG+평론가/NNG+이/VCP+ㄴ/ETM
린허리(윌리	린허리/NNP+(/SS+윌리/NNP
람)는	람/NNP+)/SS+는/JX
<비비시>(BBC)	</SS+비비시/NNP+>/SS+(/SS+BBC/SL+)/SS
방송에	방송/NNG+에/JKB
“시위대가	“/SS+시위대/NNG+가/JKS
일시적이고	일시/NNG+적/XSN+이/VCP+고/EC
전략적인	전략/NNG+적/XSN+이/VCP+ㄴ/ETM
철수를	철수/NNG+를/JKO
한	하/VV+ㄴ/ETM
상황”이라며	상황/NNG+”/SS+이/VCP+라며/EC
“하지만	“/SS+하지만/MAJ
베이징(중앙	베이징/NNP+(/SS+중앙/NNG
정부)의	정부/NNG+)/SS+의/JKG
권위와	권위/NNG+와/JC
시민들의	시민/NNG+들/XSN+의/JKG
민주화	민주/NNG+화/XSN
열망이	열망/NNG+이/JKS
기싸움을	기/NNG+싸움/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.95.12.6
단기 대화로는 해결이 어려우며 지구전이 될 공산이 크다”고 말했다.

단기	단기/NNG
대화로는	대화/NNG+로/JKB+는/JX
해결이	해결/NNG+이/JKS
어려우며	어렵/VA+으며/EC
지구전이	지구전/NNG+이/JKC
될	되/VV+ㄹ/ETM
공산이	공산/NNG+이/JKS
크다”고	크/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.95.13.1
도심 점거 시위를 반대하는 일부 중장년층은 애드미럴티와 몽콕 등에서 점거를 이어가고 있는 수백명의 시위대에게 “자유직선제가 뭔데 아직도 도로를 막고 있느냐”고 거세게 항의하며 실랑이가 이어지고 있다.

도심	도심/NNG
점거	점거/NNG
시위를	시위/NNG+를/JKO
반대하는	반대/NNG+하/XSV+는/ETM
일부	일부/NNG
중장년층은	중장년/NNG+층/XSN+은/JX
애드미럴티와	애드미럴티/NNP+와/JC
몽콕	몽콕/NNP
등에서	등/NNB+에서/JKB
점거를	점거/NNG+를/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있는	있/VX+는/ETM
수백명의	수백/NR+명/NNB+의/JKG
시위대에게	시위대/NNG+에게/JKB
“자유직선제가	“/SS+자유/NNG+직선/NNG+제/XSN+가/JKS
뭔데	뭐/NP+이/VCP+ㄴ데/EC
아직도	아직/MAG+도/JX
도로를	도로/NNG+를/JKO
막고	막/VV+고/EC
있느냐”고	있/VA+느냐/EF+”/SS+고/JKQ
거세게	거세/VA+게/EC
항의하며	항의/NNG+하/XSV+며/EC
실랑이가	실랑이/NNG+가/JKS
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


