# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.205
metadata : {}


# id : NWRW1800000033.205.1.1
제주의 속살 100km를 달리다

제주의	제주/NNP+의/JKG
직접	직접/MAG
기자가	기자/NNG+가/JKS
도전해	도전/NNG+하/XSV+아/EC
봤다(작은	보/VX+았/EP+다/EF+(/SS+작/VA+은/ETM
사진).	사진/NNG+)/SS+./SF


# id : NWRW1800000033.205.3.5
마라톤의 지구력과 등산의 근력이 필요한 경기였지만 올레길의 여유까지 느끼며 코스를 완주할 수 있었다.

마라톤의	마라톤/NNG+의/JKG
지구력과	지구력/NNG+과/JC
등산의	등산/NNG+의/JKG
근력이	근력/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
경기였지만	경기/NNG+이/VCP+었/EP+지만/EC
올레길의	올레길/NNP+의/JKG
여유까지	여유/NNG+까지/JX
느끼며	느끼/VV+며/EC
코스를	코스/NNG+를/JKO
완주할	완주/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.205.4.1
○ 산과 바다, 그리고 오름

○	○/SW
산과	산/NNG+과/JC
바다,	바다/NNG+,/SP
그리고	그리고/MAJ
오름	오름/NNG


# id : NWRW1800000033.205.5.1
1일차 20km 구간은 한라산 관음사를 출발해 정상을 거쳐 성판악휴게소까지 내려오는 등산코스.

1일차	1/SN+일/NNB+차/NNB
20km	20/SN+km/SW
구간은	구간/NNG+은/JX
한라산	한라산/NNP
관음사를	관음사/NNP+를/JKO
출발해	출발/NNG+하/XSV+아/EC
정상을	정상/NNG+을/JKO
거쳐	거치/VV+어/EC
성판악휴게소까지	성판악휴게소/NNP+까지/JX
내려오는	내려오/VV+는/ETM
등산코스.	등산/NNG+코스/NNG+./SF


# id : NWRW1800000033.205.5.2
2일 오전 8시 출발 신호와 함께 43명이 관음사 등산코스에서 힘차게 발을 내디뎠다.

2일	2/SN+일/NNB
오전	오전/NNG
8시	8/SN+시/NNB
출발	출발/NNG
신호와	신호/NNG+와/JKB
함께	함께/MAG
43명이	43/SN+명/NNB+이/JKS
관음사	관음사/NNP
등산코스에서	등산/NNG+코스/NNG+에서/JKB
힘차게	힘차/VA+게/EC
발을	발/NNG+을/JKO
내디뎠다.	내디디/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.205.5.3
하루 전 한라산에 첫눈이 내린 탓에 길이 미끄러웠지만 초겨울 설경은 장관이었다.

하루	하루/NNG
전	전/NNG
한라산에	한라산/NNP+에/JKB
첫눈이	첫눈/NNG+이/JKS
내린	내리/VV+ㄴ/ETM
탓에	탓/NNG+에/JKB
길이	길/NNG+이/JKS
미끄러웠지만	미끄럽/VA+었/EP+지만/EC
초겨울	초겨울/NNG
설경은	설경/NNG+은/JX
장관이었다.	장관/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.205.5.4
구상나무 숲은 눈사람 전시장을 방불케 했다.

구상나무	구상나무/NNG
숲은	숲/NNG+은/JX
눈사람	눈사람/NNG
전시장을	전시장/NNG+을/JKO
방불케	방불하/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.205.5.5
해발 1700m 이상 나무에는 상고대로 불리는 서리꽃이 만발했다.

해발	해발/NNG
1700m	1700/SN+m/SW
이상	이상/NNG
나무에는	나무/NNG+에/JKB+는/JX
상고대로	상고대/NNG+로/JKB
불리는	불리/VV+는/ETM
서리꽃이	서리꽃/NNG+이/JKS
만발했다.	만발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.205.6.1
2일차엔 서귀포시 표선면 표선해수욕장을 출발해 성산읍 광치기해변까지 해안 40km 구간을 달렸다.

2일차엔	2/SN+일/NNB+차/NNB+에/JKB+ㄴ/JX
서귀포시	서귀포시/NNP
표선면	표선면/NNP
표선해수욕장을	표선해수욕장/NNP+을/JKO
출발해	출발/NNG+하/XSV+아/EC
성산읍	성산읍/NNP
광치기해변까지	광치기해변/NNP+까지/JX
해안	해안/NNG
40km	40/SN+km/SW
구간을	구간/NNG+을/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.205.6.2
사막마라톤처럼 푹푹 빠지는 모래 위를 달리는 건 이색적인 경험이었다.

사막마라톤처럼	사막/NNG+마라톤/NNG+처럼/JKB
푹푹	푹푹/MAG
빠지는	빠지/VV+는/ETM
모래	모래/NNG
위를	위/NNG+를/JKO
달리는	달리/VV+는/ETM
건	거/NNB+ㄴ/JX
이색적인	이색/NNG+적/XSN+이/VCP+ㄴ/ETM
경험이었다.	경험/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.205.6.3
점성이 높은 용암이 천천히 흐르다 바다와 만나면서 굳어진 ‘아아용암’ 바위지대에서는 칼날 같은 바위 끝을 요리조리 피하면서 깡충깡충 뛰어야 했다.

점성이	점성/NNG+이/JKS
높은	높/VA+은/ETM
용암이	용암/NNG+이/JKS
천천히	천천히/MAG
흐르다	흐르/VV+다/EC
바다와	바다/NNG+와/JKB
만나면서	만나/VV+면서/EC
굳어진	굳어지/VV+ㄴ/ETM
‘아아용암’	‘/SS+아아용암/NNG+’/SS
바위지대에서는	바위/NNG+지대/NNG+에서/JKB+는/JX
칼날	칼날/NNG
같은	같/VA+은/ETM
바위	바위/NNG
끝을	끝/NNG+을/JKO
요리조리	요리조리/MAG
피하면서	피하/VV+면서/EC
깡충깡충	깡충깡충/MAG
뛰어야	뛰/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.205.6.4
에메랄드빛 바다와 보랏빛 갯쑥부쟁이가 한창인 해안은 말 그대로 절경이었다.

에메랄드빛	에메랄드빛/NNG
바다와	바다/NNG+와/JC
보랏빛	보랏빛/NNG
갯쑥부쟁이가	갯쑥부쟁이/NNG+가/JKS
한창인	한창/NNG+이/VCP+ㄴ/ETM
해안은	해안/NNG+은/JX
말	말/NNG
그대로	그대로/MAG
절경이었다.	절경/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.205.7.1
3일차인 4일에는 표선면 가시리 일대 오름(작은 화산체)과 목장지대 40km 구간을 달렸다.

3일차인	3/SN+일/NNB+차/NNB+이/VCP+ㄴ/ETM
4일에는	4/SN+일/NNB+에/JKB+는/JX
표선면	표선면/NNP
가시리	가시리/NNP
일대	일대/NNG
오름(작은	오름/NNG+(/SS+작/VA+은/ETM
화산체)과	화산체/NNG+)/SS+과/JC
목장지대	목장/NNG+지대/NNG
40km	40/SN+km/SW
구간을	구간/NNG+을/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.205.7.2
따라비오름(해발 342m)과 큰사슴이오름(해발 475m)을 4번씩 모두 8번을 오르내려야 했다.

따라비오름(해발	따라비오름/NNP+(/SS+해발/NNG
342m)과	342/SN+m/SW+)/SS+과/JC
큰사슴이오름(해발	큰사슴이오름/NNP+(/SS+해발/NNG
475m)을	475/SN+m/SW+)/SS+을/JKO
4번씩	4/SN+번/NNB+씩/XSN
모두	모두/MAG
8번을	8/SN+번/NNB+을/JKO
오르내려야	오르내리/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.205.7.3
비바람이 몰아치면서 코스는 진흙탕으로 변했다.

비바람이	비바람/NNG+이/JKS
몰아치면서	몰아치/VV+면서/EC
코스는	코스/NNG+는/JX
진흙탕으로	진흙탕/NNG+으로/JKB
변했다.	변하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.205.7.4
큰사슴이오름을 오르고 하천을 지나는 길에서 여러 번 미끄러지기도 했다.

큰사슴이오름을	큰사슴이오름/NNP+을/JKO
오르고	오르/VV+고/EC
하천을	하천/NNG+을/JKO
지나는	지나/VV+는/ETM
길에서	길/NNG+에서/JKB
여러	여러/MMN
번	번/NNB
미끄러지기도	미끄러지/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.205.7.5
몸은 힘들어도 물매화, 꽃향유가 한창 꽃을 피운 가운데 억새가 나부끼는 오름 풍경은 피곤을 잠시 씻어갔다.

몸은	몸/NNG+은/JX
힘들어도	힘들/VA+어도/EC
물매화,	물매화/NNG+,/SP
꽃향유가	꽃향유/NNG+가/JKS
한창	한창/MAG
꽃을	꽃/NNG+을/JKO
피운	피우/VV+ㄴ/ETM
가운데	가운데/NNG
억새가	억새/NNG+가/JKS
나부끼는	나부끼/VV+는/ETM
오름	오름/NNG
풍경은	풍경/NNG+은/JX
피곤을	피곤/NNG+을/JKO
잠시	잠시/MAG
씻어갔다.	씻/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.205.8.1
○ “3일 내내 행복했다”

○	○/SW
“3일	“/SS+3/SN+일/NNB
내내	내내/MAG
행복했다”	행복/NNG+하/XSA+았/EP+다/EF+”/SS


# id : NWRW1800000033.205.9.1
이 대회에는 다양한 사람이 출전했다.

이	이/MMD
대회에는	대회/NNG+에/JKB+는/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
사람이	사람/NNG+이/JKS
출전했다.	출전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.205.9.2
대한산악연맹 오지탐사대원, 총학생회장 출마 예정 대학생, 71세의 ‘목포 유달산 사나이’, 경험 삼아 출전한 여성 마라토너, 자신의 한계를 시험하는 해병대원….

대한산악연맹	대한산악연맹/NNP
오지탐사대원,	오지/NNG+탐사/NNG+대원/NNG+,/SP
총학생회장	총학생회장/NNG
출마	출마/NNG
예정	예정/NNG
대학생,	대학/NNG+생/XSN+,/SP
71세의	71/SN+세/NNB+의/JKG
‘목포	‘/SS+목포/NNP
유달산	유달산/NNP
사나이’,	사나이/NNG+’/SS+,/SP
경험	경험/NNG
삼아	삼/VV+아/EC
출전한	출전/NNG+하/XSV+ㄴ/ETM
여성	여성/NNG
마라토너,	마라토너/NNG+,/SP
자신의	자신/NNG+의/JKG
한계를	한계/NNG+를/JKO
시험하는	시험/NNG+하/XSV+는/ETM
해병대원….	해병대원/NNG+…/SE+./SF


# id : NWRW1800000033.205.9.3
다들 사흘 내내 행복감에 젖어 있었다.

다들	다/MAG+들/XSN
사흘	사흘/NNG
내내	내내/MAG
행복감에	행복감/NNG+에/JKB
젖어	젖/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.205.9.4
제한시간(하루 7시간 총 21시간) 이내 완주자는 32명으로 100km 개인별 기록은 9시간19분에서 18시간46분까지로 다양했다.

제한시간(하루	제한/NNG+시간/NNG+(/SS+하루/NNG
7시간	7/SN+시간/NNB
총	총/MMA
21시간)	21/SN+시간/NNB+)/SS
이내	이내/MAG
완주자는	완주자/NNG+는/JX
32명으로	32/SN+명/NNB+으로/JKB
100km	100/SN+km/SW
개인별	개인/NNG+별/XSN
기록은	기록/NNG+은/JX
9시간19분에서	9/SN+시간/NNB+19/SN+분/NNB+에서/JKB
18시간46분까지로	18/SN+시간/NNB+46/SN+분/NNB+까지/JX+로/JKB
다양했다.	다양/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000033.205.9.5
기자의 기록은 16시간23분이었다.

기자의	기자/NNG+의/JKG
기록은	기록/NNG+은/JX
16시간23분이었다.	16/SN+시간/NNB+23/SN+분/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.205.10.1
참가자들은 가슴을 트이게 하는 풍광은 물론이고 거친 날씨마저 즐겼다.

참가자들은	참가자/NNG+들/XSN+은/JX
가슴을	가슴/NNG+을/JKO
트이게	트이/VV+게/EC
하는	하/VX+는/ETM
풍광은	풍광/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
거친	거칠/VA+ㄴ/ETM
날씨마저	날씨/NNG+마저/JX
즐겼다.	즐기/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.205.10.2
오지(奧地)마라토너 김순모 씨(66·경기 수원시)는 “기록보다는 자연과 더불어 걷고, 달릴 수 있는 대회여서 특별했다”고 말했다.

오지(奧地)마라토너	오지/NNG+(/SS+奧地/SH+)/SS+마라토너/NNG
김순모	김순모/NNP
씨(66·경기	씨/NNB+(/SS+66/SN+·/SP+경기/NNP
수원시)는	수원시/NNP+)/SS+는/JX
“기록보다는	“/SS+기록/NNG+보다/JKB+는/JX
자연과	자연/NNG+과/JKB
더불어	더불/VV+어/EC
걷고,	걷/VV+고/EC+,/SP
달릴	달리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대회여서	대회/NNG+이/VCP+어서/EC
특별했다”고	특별/NNG+하/XSA+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.205.10.3
일본인 가와이 요스케 씨(56)는 “풍광이 너무 아름다워 내년에 꼭 다시 오고 싶다”고 했다.

일본인	일본인/NNG
가와이	가와이/NNP
요스케	요스케/NNP
씨(56)는	씨/NNB+(/SS+56/SN+)/SS+는/JX
“풍광이	“/SS+풍광/NNG+이/JKS
너무	너무/MAG
아름다워	아름답/VA+어/EC
내년에	내년/NNG+에/JKB
꼭	꼭/MAG
다시	다시/MAG
오고	오/VV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.205.10.4
참가자들은 이번 행사를 기획한 안병식 씨(39)에게 “행복했다”는 말로 작별인사를 대신했다.

참가자들은	참가자/NNG+들/XSN+은/JX
이번	이번/NNG
행사를	행사/NNG+를/JKO
기획한	기획/NNG+하/XSV+ㄴ/ETM
안병식	안병식/NNP
씨(39)에게	씨/NNB+(/SS+39/SN+)/SS+에게/JKB
“행복했다”는	“/SS+행복/NNG+하/XSA+았/EP+다/EF+”/SS+는/ETM
말로	말/NNG+로/JKB
작별인사를	작별/NNG+인사/NNG+를/JKO
대신했다.	대신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.205.11.1
남극, 북극을 비롯해 세계 오지마라톤을 섭렵한 안 씨는 “내년에는 해외 러너들을 대거 초청하고 준비도 더 많이 해 참가자들에게 트레일 런의 재미를 제대로 느끼게 해주고 싶다”고 말했다.

남극,	남극/NNG+,/SP
북극을	북극/NNG+을/JKO
비롯해	비롯하/VV+아/EC
세계	세계/NNG
오지마라톤을	오지/NNG+마라톤/NNG+을/JKO
섭렵한	섭렵/NNG+하/XSV+ㄴ/ETM
안	안/NNP
씨는	씨/NNB+는/JX
“내년에는	“/SS+내년/NNG+에/JKB+는/JX
해외	해외/NNG
러너들을	러너/NNG+들/XSN+을/JKO
대거	대거/MAG
초청하고	초청/NNG+하/XSV+고/EC
준비도	준비/NNG+도/JX
더	더/MAG
많이	많이/MAG
해	하/VV+아/EC
참가자들에게	참가자/NNG+들/XSN+에게/JKB
트레일	트레일/NNG
런의	런/NNG+의/JKG
재미를	재미/NNG+를/JKO
제대로	제대로/MAG
느끼게	느끼/VV+게/EC
해주고	하/VX+아/EC+주/VX+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


