# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.121
metadata : {}


# id : NWRW1800000049.121.1.1
박윤수·홍지민·정훈목… 해외파 무용수들 한자리에

박윤수·홍지민·정훈목…	박윤수/NNP+·/SP+홍지민/NNP+·/SP+정훈목/NNP+…/SE
수상한	수상/NNG+하/XSV+ㄴ/ETM
전준혁(영국	전준혁/NNP+(/SS+영국/NNP
로열발레학교)과	로열발레학교/NNP+)/SS+과/JC
캐나다	캐나다/NNP
국립발레학교에	국립발레학교/NNP+에/JKB
재학	재학/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
송현정	송현정/NNP
등이	등/NNB+이/JKS
출연한다.	출연/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.121.7.1
장광열 무용평론가 겸 제작감독은 “많은 무용수들이 소속 발레단의 해외 투어 일정 때문에 함께하지 못했다”며 “이 행사를 통해 한국 무용수의 우수성을 알리고, 지속적인 지원을 이끌어내고 싶다”고 말했다.

장광열	장광열/NNP
무용평론가	무용/NNG+평론가/NNG
겸	겸/NNB
제작감독은	제작/NNG+감독/NNG+은/JX
“많은	“/SS+많/VA+은/ETM
무용수들이	무용수/NNG+들/XSN+이/JKS
소속	소속/NNG
발레단의	발레단/NNG+의/JKG
해외	해외/NNG
투어	투어/NNG
일정	일정/NNG
때문에	때문/NNB+에/JKB
함께하지	함께/MAG+하/XSV+지/EC
못했다”며	못하/VX+았/EP+다/EF+”/SS+며/EC
“이	“/SS+이/MMD
행사를	행사/NNG+를/JKO
통해	통하/VV+아/EC
한국	한국/NNP
무용수의	무용수/NNG+의/JKG
우수성을	우수/NNG+성/XSN+을/JKO
알리고,	알리/VV+고/EC+,/SP
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
지원을	지원/NNG+을/JKO
이끌어내고	이끌/VV+어/EC+내/VX+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.121.7.2
02-3674-2210

02-3674-2210	02/SN+-/SO+3674/SN+-/SO+2210/SN


# id : NWRW1800000049.121.8.1
한편 21∼24일 서울무용센터와 호암아트홀, 서울사이버대에서는 무용학자, 안무가, 무용수 등 300여 명이 참가하는 ‘제2회 아시아 태평양 국제무용총회’가 열린다.

한편	한편/MAG
21∼24일	21/SN+∼/SO+24/SN+일/NNB
서울무용센터와	서울무용센터/NNP+와/JC
호암아트홀,	호암아트홀/NNP+,/SP
서울사이버대에서는	서울사이버대/NNP+에서/JKB+는/JX
무용학자,	무용학자/NNG+,/SP
안무가,	안무가/NNG+,/SP
무용수	무용수/NNG
등	등/NNB
300여	300/SN+여/XSN
명이	명/NNB+이/JKS
참가하는	참가/NNG+하/XSV+는/ETM
‘제2회	‘/SS+제/XPN+2/SN+회/NNB
아시아	아시아/NNP
태평양	태평양/NNP
국제무용총회’가	국제/NNG+무용/NNG+총회/NNG+’/SS+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.121.9.1
50개의 심포지엄을 비롯해 36개의 쇼케이스 공연, 5명의 아시아 안무가가 32명의 아시아 무용수들과 함께 공연을 하는 안무가랩이 펼쳐진다.

50개의	50/SN+개/NNB+의/JKG
심포지엄을	심포지엄/NNG+을/JKO
비롯해	비롯하/VV+아/EC
36개의	36/SN+개/NNB+의/JKG
쇼케이스	쇼케이스/NNG
공연,	공연/NNG+,/SP
5명의	5/SN+명/NNB+의/JKG
아시아	아시아/NNP
안무가가	안무가/NNG+가/JKS
32명의	32/SN+명/NNB+의/JKG
무용수들과	무용수/NNG+들/XSN+과/JKB
함께	함께/MAG
공연을	공연/NNG+을/JKO
하는	하/VV+는/ETM
안무가랩이	안무가/NNG+랩/NNG+이/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.121.9.2
23일에는 한국(김용걸 김주원 정영재 황혜민 엄재용)과 홍콩 싱가포르 대만 등의 대표적 무용가들이 무대에 오른다.

23일에는	23/SN+일/NNB+에/JKB+는/JX
한국(김용걸	한국/NNP+(/SS+김용걸/NNP
김주원	김주원/NNP
정영재	정영재/NNP
황혜민	황혜민/NNP
엄재용)과	엄재용/NNP+)/SS+과/JC
홍콩	홍콩/NNP
싱가포르	싱가포르/NNP
대만	대만/NNP
등의	등/NNB+의/JKG
대표적	대표/NNG+적/XSN
무용가들이	무용가/NNG+들/XSN+이/JKS
무대에	무대/NNG+에/JKB
오른다.	오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.121.9.3
02-920-7790

02-920-7790	02/SN+-/SO+920/SN+-/SO+7790/SN


